energy_ev,total_up,total_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,P_s_up,P_s_down,P_p_up,P_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-5.86793397,2.09218502,-2.09218502,1.18869429,-1.18869429,0.30451356,-0.30451356,0.02936311,-0.02936311,0.55956280,-0.55956280,0.02013362,-0.02013362,0.65881124,-0.65881123
-5.86193097,1.97344908,-1.97344907,1.13313608,-1.13313608,0.28637918,-0.28637918,0.02655964,-0.02655964,0.53589855,-0.53589855,0.01872567,-0.01872567,0.61447334,-0.61447334
-5.85592796,1.85609007,-1.85609007,1.07701441,-1.07701441,0.26859939,-0.26859939,0.02390723,-0.02390723,0.51171629,-0.51171629,0.01737752,-0.01737752,0.57138062,-0.57138062
-5.84992496,1.74110027,-1.74110027,1.02091993,-1.02091993,0.25131839,-0.25131839,0.02142240,-0.02142240,0.48727840,-0.48727839,0.01609546,-0.01609546,0.52984564,-0.52984564
-5.84392196,1.62938390,-1.62938390,0.96538713,-0.96538713,0.23467647,-0.23467647,0.01911964,-0.01911964,0.46283584,-0.46283584,0.01488442,-0.01488442,0.49013839,-0.49013839
-5.83791896,1.52175361,-1.52175361,0.91089315,-0.91089315,0.21880930,-0.21880930,0.01701133,-0.01701133,0.43862696,-0.43862696,0.01374798,-0.01374798,0.45248584,-0.45248584
-5.83191596,1.41893214,-1.41893214,0.85785972,-0.85785972,0.20384777,-0.20384777,0.01510785,-0.01510785,0.41487744,-0.41487744,0.01268844,-0.01268844,0.41707337,-0.41707337
-5.82591296,1.32155841,-1.32155841,0.80665797,-0.80665797,0.18991834,-0.18991834,0.01341769,-0.01341769,0.39180135,-0.39180135,0.01170699,-0.01170699,0.38404778,-0.38404778
-5.81990995,1.23019710,-1.23019710,0.75761517,-0.75761517,0.17714378,-0.17714378,0.01194770,-0.01194770,0.36960290,-0.36960290,0.01080385,-0.01080385,0.35352162,-0.35352162
-5.81390695,1.14535061,-1.14535061,0.71102287,-0.71102287,0.16564412,-0.16564412,0.01070343,-0.01070343,0.34847880,-0.34847880,0.00997857,-0.00997857,0.32557835,-0.32557835
-5.80790395,1.06747209,-1.06747209,0.66714560,-0.66714560,0.15553767,-0.15553767,0.00968945,-0.00968945,0.32862071,-0.32862071,0.00923027,-0.00923027,0.30027793,-0.30027793
-5.80190095,0.99697845,-0.99697845,0.62622941,-0.62622941,0.14694193,-0.14694193,0.00890969,-0.00890969,0.31021769,-0.31021769,0.00855790,-0.00855790,0.27766245,-0.27766245
-5.79589795,0.93426214,-0.93426214,0.58850954,-0.58850954,0.13997423,-0.13997423,0.00836785,-0.00836785,0.29345814,-0.29345814,0.00796053,-0.00796053,0.25776144,-0.25776144
-5.78989495,0.87970076,-0.87970076,0.55421668,-0.55421668,0.13475198,-0.13475198,0.00806759,-0.00806759,0.27853119,-0.27853119,0.00743760,-0.00743760,0.24059635,-0.24059635
-5.78389195,0.83366359,-0.83366359,0.52358137,-0.52358137,0.13139228,-0.13139228,0.00801284,-0.00801284,0.26562717,-0.26562717,0.00698916,-0.00698916,0.22618429,-0.22618429
-5.77788894,0.79651452,-0.79651452,0.49683611,-0.49683611,0.13001093,-0.13001093,0.00820788,-0.00820788,0.25493702,-0.25493702,0.00661600,-0.00661600,0.21454037,-0.21454037
-5.77188594,0.76861093,-0.76861093,0.47421510,-0.47421510,0.13072073,-0.13072073,0.00865739,-0.00865739,0.24665057,-0.24665057,0.00631988,-0.00631988,0.20567906,-0.20567906
-5.76588294,0.75029849,-0.75029849,0.45595152,-0.45595152,0.13362894,-0.13362894,0.00936634,-0.00936634,0.24095365,-0.24095365,0.00610353,-0.00610353,0.19961403,-0.19961403
-5.75987994,0.74190187,-0.74190187,0.44227239,-0.44227239,0.13883407,-0.13883407,0.01033979,-0.01033979,0.23802399,-0.23802399,0.00597075,-0.00597075,0.19635698,-0.19635698
-5.75387694,0.74371180,-0.74371181,0.43339137,-0.43339137,0.14642201,-0.14642201,0.01158256,-0.01158256,0.23802605,-0.23802605,0.00592638,-0.00592638,0.19591529,-0.19591529
-5.74787394,0.75596902,-0.75596902,0.42949963,-0.42949963,0.15646154,-0.15646154,0.01309881,-0.01309881,0.24110491,-0.24110491,0.00597619,-0.00597619,0.19828876,-0.19828876
-5.74187094,0.77884577,-0.77884578,0.43075541,-0.43075541,0.16899946,-0.16899946,0.01489148,-0.01489148,0.24737946,-0.24737946,0.00612678,-0.00612678,0.20346573,-0.20346573
-5.73586793,0.81242592,-0.81242592,0.43727264,-0.43727264,0.18405557,-0.18405557,0.01696175,-0.01696175,0.25693505,-0.25693505,0.00638543,-0.00638543,0.21141873,-0.21141873
-5.72986493,0.85668447,-0.85668447,0.44910924,-0.44910924,0.20161757,-0.20161757,0.01930838,-0.01930838,0.26981614,-0.26981614,0.00675983,-0.00675983,0.22210005,-0.22210005
-5.72386193,0.91146775,-0.91146775,0.46625571,-0.46625571,0.22163633,-0.22163633,0.02192712,-0.02192712,0.28601898,-0.28601899,0.00725785,-0.00725785,0.23543734,-0.23543734
-5.71785893,0.97647527,-0.97647527,0.48862453,-0.48862453,0.24402165,-0.24402165,0.02481004,-0.02481004,0.30548506,-0.30548506,0.00788726,-0.00788726,0.25132978,-0.25132978
-5.71185593,1.05124443,-1.05124443,0.51604115,-0.51604115,0.26863885,-0.26863885,0.02794503,-0.02794503,0.32809534,-0.32809534,0.00865535,-0.00865535,0.26964471,-0.26964471
-5.70585293,1.13513900,-1.13513900,0.54823690,-0.54823690,0.29530642,-0.29530642,0.03131536,-0.03131536,0.35366596,-0.35366596,0.00956863,-0.00956863,0.29021524,-0.29021524
-5.69984992,1.22734240,-1.22734241,0.58484457,-0.58484457,0.32379498,-0.32379499,0.03489932,-0.03489932,0.38194556,-0.38194557,0.01063245,-0.01063245,0.31283887,-0.31283888
-5.69384692,1.32685644,-1.32685644,0.62539694,-0.62539694,0.35382772,-0.35382772,0.03867006,-0.03867006,0.41261466,-0.41261466,0.01185059,-0.01185059,0.33727729,-0.33727729
-5.68784392,1.43250611,-1.43250611,0.66932865,-0.66932865,0.38508241,-0.38508241,0.04259563,-0.04259563,0.44528715,-0.44528715,0.01322494,-0.01322494,0.36325733,-0.36325733
-5.68184092,1.54295078,-1.54295078,0.71598158,-0.71598158,0.41719514,-0.41719514,0.04663914,-0.04663914,0.47951431,-0.47951431,0.01475511,-0.01475511,0.39047330,-0.39047330
-5.67583792,1.65670175,-1.65670175,0.76461392,-0.76461392,0.44976572,-0.44976572,0.05075914,-0.05075914,0.51479115,-0.51479115,0.01643809,-0.01643809,0.41859052,-0.41859052
-5.66983492,1.77214601,-1.77214601,0.81441269,-0.81441269,0.48236460,-0.48236460,0.05491020,-0.05491020,0.55056518,-0.55056518,0.01826795,-0.01826795,0.44724996,-0.44724996
-5.66383192,1.88757563,-1.88757563,0.86450952,-0.86450952,0.51454127,-0.51454127,0.05904364,-0.05904364,0.58624738,-0.58624739,0.02023561,-0.02023561,0.47607399,-0.47607399
-5.65782891,2.00122205,-2.00122206,0.91399939,-0.91399939,0.54583379,-0.54583379,0.06310847,-0.06310847,0.62122511,-0.62122511,0.02232864,-0.02232864,0.50467304,-0.50467304
-5.65182591,2.11129421,-2.11129422,0.96196161,-0.96196161,0.57577920,-0.57577920,0.06705232,-0.06705232,0.65487653,-0.65487653,0.02453117,-0.02453117,0.53265282,-0.53265282
-5.64582291,2.21601930,-2.21601930,1.00748250,-1.00748250,0.60392444,-0.60392444,0.07082266,-0.07082266,0.68658608,-0.68658608,0.02682394,-0.02682394,0.55962219,-0.55962219
-5.63981991,2.31368476,-2.31368476,1.04967886,-1.04967886,0.62983743,-0.62983743,0.07436784,-0.07436784,0.71576052,-0.71576052,0.02918432,-0.02918432,0.58520118,-0.58520118
-5.63381691,2.40268012,-2.40268012,1.08772147,-1.08772147,0.65311784,-0.65311785,0.07763834,-0.07763834,0.74184473,-0.74184473,0.03158666,-0.03158666,0.60902905,-0.60902905
-5.62781391,2.48153712,-2.48153713,1.12085771,-1.12085771,0.67340726,-0.67340727,0.08058786,-0.08058786,0.76433694,-0.76433694,0.03400256,-0.03400256,0.63077219,-0.63077219
-5.62181091,2.54896679,-2.54896680,1.14843242,-1.14843242,0.69039828,-0.69039828,0.08317438,-0.08317438,0.78280251,-0.78280251,0.03640144,-0.03640144,0.65013159,-0.65013159
-5.61580790,2.60389208,-2.60389209,1.16990609,-1.16990609,0.70384228,-0.70384228,0.08536112,-0.08536112,0.79688594,-0.79688594,0.03875114,-0.03875114,0.66684967,-0.66684968
-5.60980490,2.64547504,-2.64547504,1.18486986,-1.18486986,0.71355559,-0.71355559,0.08711736,-0.08711736,0.80632042,-0.80632042,0.04101864,-0.04101864,0.68071640,-0.68071640
-5.60380190,2.67313751,-2.67313751,1.19305649,-1.19305649,0.71942386,-0.71942386,0.08841908,-0.08841908,0.81093472,-0.81093472,0.04317094,-0.04317094,0.69157436,-0.69157436
-5.59779890,2.68657480,-2.68657480,1.19434708,-1.19434708,0.72140449,-0.72140449,0.08924944,-0.08924944,0.81065710,-0.81065710,0.04517599,-0.04517599,0.69932279,-0.69932279
-5.59179590,2.68576187,-2.68576187,1.18877319,-1.18877319,0.71952712,-0.71952712,0.08959911,-0.08959911,0.80551605,-0.80551605,0.04700362,-0.04700362,0.70392049,-0.70392049
-5.58579290,2.67095191,-2.67095191,1.17651425,-1.17651425,0.71389221,-0.71389221,0.08946633,-0.08946633,0.79563804,-0.79563804,0.04862658,-0.04862658,0.70538731,-0.70538731
-5.57978989,2.64266764,-2.64266764,1.15789057,-1.15789057,0.70466773,-0.70466773,0.08885686,-0.08885686,0.78124229,-0.78124229,0.05002149,-0.05002149,0.70380440,-0.70380440
-5.57378689,2.60168548,-2.60168548,1.13335207,-1.13335207,0.69208424,-0.69208424,0.08778375,-0.08778375,0.76263286,-0.76263286,0.05116975,-0.05116975,0.69931300,-0.69931300
-5.56778389,2.54901346,-2.54901346,1.10346337,-1.10346337,0.67642854,-0.67642854,0.08626689,-0.08626689,0.74018851,-0.74018851,0.05205834,-0.05205834,0.69211185,-0.69211185
-5.56178089,2.48586339,-2.48586339,1.06888571,-1.06888571,0.65803597,-0.65803597,0.08433250,-0.08433250,0.71435070,-0.71435070,0.05268048,-0.05268048,0.68245311,-0.68245311
-5.55577789,2.41361854,-2.41361854,1.03035653,-1.03035653,0.63728188,-0.63728188,0.08201245,-0.08201245,0.68561029,-0.68561029,0.05303615,-0.05303615,0.67063694,-0.67063694
-5.54977489,2.33379746,-2.33379746,0.98866737,-0.98866736,0.61457233,-0.61457233,0.07934346,-0.07934346,0.65449345,-0.65449345,0.05313230,-0.05313230,0.65700469,-0.65700469
-5.54377189,2.24801534,-2.24801534,0.94464097,-0.94464097,0.59033436,-0.59033436,0.07636628,-0.07636628,0.62154725,-0.62154725,0.05298294,-0.05298294,0.64193089,-0.64193089
-5.53776888,2.15794373,-2.15794373,0.89910836,-0.89910835,0.56500606,-0.56500606,0.07312476,-0.07312476,0.58732557,-0.58732556,0.05260890,-0.05260890,0.62581408,-0.62581408
-5.53176588,2.06526987,-2.06526987,0.85288651,-0.85288651,0.53902677,-0.53902677,0.06966492,-0.06966492,0.55237561,-0.55237561,0.05203738,-0.05203738,0.60906671,-0.60906671
-5.52576288,1.97165653,-1.97165653,0.80675756,-0.80675756,0.51282744,-0.51282744,0.06603394,-0.06603394,0.51722556,-0.51722556,0.05130124,-0.05130124,0.59210440,-0.59210439
-5.51975988,1.87870344,-1.87870344,0.76144978,-0.76144978,0.48682159,-0.48682159,0.06227928,-0.06227928,0.48237347,-0.48237347,0.05043806,-0.05043806,0.57533467,-0.57533467
-5.51375688,1.78791112,-1.78791112,0.71762123,-0.71762123,0.46139684,-0.46139684,0.05844772,-0.05844772,0.44827792,-0.44827792,0.04948902,-0.04948902,0.55914565,-0.55914565
-5.50775388,1.70064809,-1.70064809,0.67584602,-0.67584601,0.43690729,-0.43690729,0.05458448,-0.05458448,0.41535025,-0.41535025,0.04849759,-0.04849759,0.54389495,-0.54389495
-5.50175088,1.61812210,-1.61812210,0.63660384,-0.63660384,0.41366691,-0.41366690,0.05073244,-0.05073244,0.38394869,-0.38394869,0.04750810,-0.04750810,0.52989919,-0.52989919
-5.49574787,1.54135606,-1.54135606,0.60027270,-0.60027270,0.39194392,-0.39194392,0.04693141,-0.04693141,0.35437423,-0.35437423,0.04656430,-0.04656430,0.51742447,-0.51742447
-5.48974487,1.47116926,-1.47116926,0.56712490,-0.56712490,0.37195648,-0.37195648,0.04321754,-0.04321754,0.32686826,-0.32686826,0.04570782,-0.04570782,0.50667827,-0.50667827
-5.48374187,1.40816428,-1.40816428,0.53732640,-0.53732640,0.35386957,-0.35386957,0.03962283,-0.03962283,0.30161186,-0.30161186,0.04497676,-0.04497676,0.49780295,-0.49780295
-5.47773887,1.35271989,-1.35271989,0.51093916,-0.51093916,0.33779324,-0.33779324,0.03617473,-0.03617473,0.27872651,-0.27872650,0.04440433,-0.04440433,0.49087141,-0.49087141
-5.47173587,1.30499008,-1.30499008,0.48792651,-0.48792650,0.32378227,-0.32378227,0.03289597,-0.03289597,0.25827617,-0.25827617,0.04401763,-0.04401763,0.48588487,-0.48588487
-5.46573287,1.26490929,-1.26490929,0.46816099,-0.46816099,0.31183719,-0.31183719,0.02980443,-0.02980443,0.24027059,-0.24027059,0.04383671,-0.04383671,0.48277312,-0.48277312
-5.45972986,1.23220356,-1.23220356,0.45143461,-0.45143461,0.30190668,-0.30190668,0.02691320,-0.02691320,0.22466945,-0.22466945,0.04387377,-0.04387377,0.48139719,-0.48139719
-5.45372686,1.20640728,-1.20640728,0.43747081,-0.43747081,0.29389126,-0.29389126,0.02423073,-0.02423073,0.21138741,-0.21138741,0.04413272,-0.04413272,0.48155452,-0.48155452
-5.44772386,1.18688517,-1.18688517,0.42593794,-0.42593794,0.28764827,-0.28764827,0.02176116,-0.02176116,0.20029979,-0.20029979,0.04460897,-0.04460897,0.48298627,-0.48298628
-5.44172086,1.17285858,-1.17285858,0.41646363,-0.41646363,0.28299781,-0.28299781,0.01950470,-0.01950470,0.19124873,-0.19124873,0.04528954,-0.04528954,0.48538684,-0.48538684
-5.43571786,1.16343547,-1.16343547,0.40864968,-0.40864968,0.27972976,-0.27972976,0.01745808,-0.01745808,0.18404960,-0.18404960,0.04615351,-0.04615351,0.48841489,-0.48841489
-5.42971486,1.15764304,-1.15764304,0.40208693,-0.40208693,0.27761143,-0.27761143,0.01561512,-0.01561512,0.17849776,-0.17849776,0.04717271,-0.04717271,0.49170575,-0.49170575
-5.42371186,1.15446195,-1.15446195,0.39636959,-0.39636959,0.27639569,-0.27639569,0.01396734,-0.01396734,0.17437520,-0.17437520,0.04831272,-0.04831272,0.49488456,-0.49488456
-5.41770885,1.15286108,-1.15286108,0.39110877,-0.39110877,0.27582945,-0.27582945,0.01250449,-0.01250449,0.17145723,-0.17145723,0.04953407,-0.04953407,0.49757968,-0.49757968
-5.41170585,1.15183164,-1.15183164,0.38594458,-0.38594458,0.27566206,-0.27566206,0.01121520,-0.01121520,0.16951897,-0.16951897,0.05079363,-0.05079363,0.49943583,-0.49943583
-5.40570285,1.15041958,-1.15041958,0.38055664,-0.38055664,0.27565348,-0.27565348,0.01008756,-0.01008756,0.16834142,-0.16834142,0.05204618,-0.05204618,0.50012644,-0.50012644
-5.39969985,1.14775514,-1.14775514,0.37467268,-0.37467268,0.27558185,-0.27558185,0.00910961,-0.00910961,0.16771723,-0.16771723,0.05324603,-0.05324603,0.49936476,-0.49936476
-5.39369685,1.14307883,-1.14307883,0.36807492,-0.36807492,0.27525044,-0.27525044,0.00826985,-0.00826985,0.16745583,-0.16745583,0.05434865,-0.05434865,0.49691326,-0.49691326
-5.38769385,1.13576278,-1.13576278,0.36060436,-0.36060436,0.27449339,-0.27449339,0.00755759,-0.00755759,0.16738791,-0.16738791,0.05531229,-0.05531229,0.49259107,-0.49259107
-5.38169085,1.12532707,-1.12532707,0.35216264,-0.35216264,0.27318050,-0.27318050,0.00696331,-0.00696331,0.16736921,-0.16736921,0.05609944,-0.05609944,0.48627913,-0.48627913
-5.37568784,1.11145046,-1.11145046,0.34271185,-0.34271185,0.27122054,-0.27122054,0.00647883,-0.00647883,0.16728331,-0.16728331,0.05667821,-0.05667821,0.47792298,-0.47792298
-5.36968484,1.09397542,-1.09397541,0.33227222,-0.33227222,0.26856319,-0.26856319,0.00609751,-0.00609751,0.16704369,-0.16704369,0.05702340,-0.05702340,0.46753320,-0.46753320
-5.36368184,1.07290744,-1.07290744,0.32091795,-0.32091795,0.26519952,-0.26519952,0.00581422,-0.00581422,0.16659464,-0.16659464,0.05711739,-0.05711739,0.45518348,-0.45518348
-5.35767884,1.04840888,-1.04840888,0.30877154,-0.30877154,0.26116102,-0.26116102,0.00562533,-0.00562533,0.16591124,-0.16591124,0.05695065,-0.05695065,0.44100657,-0.44100657
-5.35167584,1.02078764,-1.02078764,0.29599683,-0.29599683,0.25651719,-0.25651719,0.00552859,-0.00552859,0.16499836,-0.16499836,0.05652202,-0.05652202,0.42518845,-0.42518845
-5.34567284,0.99048152,-0.99048152,0.28279124,-0.28279124,0.25137186,-0.25137186,0.00552292,-0.00552292,0.16388865,-0.16388865,0.05583861,-0.05583861,0.40796089,-0.40796089
-5.33966983,0.95803878,-0.95803878,0.26937742,-0.26937742,0.24585835,-0.24585835,0.00560813,-0.00560813,0.16263960,-0.16263960,0.05491536,-0.05491536,0.38959288,-0.38959288
-5.33366683,0.92409586,-0.92409586,0.25599480,-0.25599480,0.24013372,-0.24013372,0.00578464,-0.00578464,0.16132988,-0.16132988,0.05377438,-0.05377438,0.37038146,-0.37038145
-5.32766383,0.88935330,-0.88935330,0.24289138,-0.24289138,0.23437229,-0.23437229,0.00605314,-0.00605314,0.16005491,-0.16005491,0.05244397,-0.05244397,0.35064204,-0.35064204
-5.32166083,0.85455067,-0.85455067,0.23031599,-0.23031599,0.22875868,-0.22875868,0.00641421,-0.00641421,0.15892196,-0.15892196,0.05095737,-0.05095737,0.33069905,-0.33069905
-5.31565783,0.82044163,-0.82044163,0.21851138,-0.21851138,0.22348072,-0.22348072,0.00686792,-0.00686792,0.15804493,-0.15804493,0.04935147,-0.04935147,0.31087693,-0.31087693
-5.30965483,0.78776995,-0.78776995,0.20770830,-0.20770830,0.21872240,-0.21872240,0.00741352,-0.00741352,0.15753901,-0.15753901,0.04766529,-0.04766529,0.29149195,-0.29149195
-5.30365183,0.75724753,-0.75724753,0.19812079,-0.19812078,0.21465722,-0.21465722,0.00804911,-0.00804911,0.15751538,-0.15751538,0.04593847,-0.04593847,0.27284516,-0.27284516
-5.29764882,0.72953487,-0.72953487,0.18994264,-0.18994264,0.21144212,-0.21144212,0.00877127,-0.00877127,0.15807621,-0.15807621,0.04420980,-0.04420980,0.25521655,-0.25521655
-5.29164582,0.70522495,-0.70522495,0.18334524,-0.18334524,0.20921231,-0.20921231,0.00957492,-0.00957492,0.15931026,-0.15931026,0.04251579,-0.04251579,0.23886066,-0.23886066
-5.28564282,0.68483066,-0.68483066,0.17847657,-0.17847657,0.20807707,-0.20807707,0.01045311,-0.01045311,0.16128900,-0.16128900,0.04088944,-0.04088944,0.22400353,-0.22400353
-5.27963982,0.66877620,-0.66877620,0.17546137,-0.17546137,0.20811680,-0.20811680,0.01139696,-0.01139696,0.16406373,-0.16406373,0.03935915,-0.03935915,0.21084118,-0.21084118
-5.27363682,0.65739260,-0.65739260,0.17440229,-0.17440229,0.20938131,-0.20938131,0.01239565,-0.01239565,0.16766359,-0.16766359,0.03794791,-0.03794791,0.19953930,-0.19953930
-5.26763382,0.65091702,-0.65091702,0.17538181,-0.17538181,0.21188948,-0.21188948,0.01343659,-0.01343659,0.17209457,-0.17209457,0.03667272,-0.03667272,0.19023408,-0.19023408
-5.26163082,0.64949579,-0.64949579,0.17846472,-0.17846472,0.21563018,-0.21563018,0.01450560,-0.01450560,0.17733973,-0.17733973,0.03554433,-0.03554433,0.18303401,-0.18303401
-5.25562781,0.65319067,-0.65319067,0.18370079,-0.18370079,0.22056450,-0.22056450,0.01558727,-0.01558727,0.18336032,-0.18336032,0.03456722,-0.03456722,0.17802233,-0.17802233
-5.24962481,0.66198761,-0.66198761,0.19112751,-0.19112751,0.22662902,-0.22662902,0.01666537,-0.01666537,0.19009801,-0.19009801,0.03373988,-0.03373988,0.17525983,-0.17525983
-5.24362181,0.67580764,-0.67580764,0.20077248,-0.20077248,0.23374009,-0.23374009,0.01772339,-0.01772339,0.19747791,-0.19747791,0.03305534,-0.03305534,0.17478780,-0.17478780
-5.23761881,0.69451870,-0.69451870,0.21265528,-0.21265528,0.24179877,-0.24179877,0.01874510,-0.01874510,0.20541233,-0.20541233,0.03250190,-0.03250190,0.17663084,-0.17663084
-5.23161581,0.71794809,-0.71794809,0.22678846,-0.22678846,0.25069624,-0.25069624,0.01971519,-0.01971519,0.21380508,-0.21380508,0.03206404,-0.03206404,0.18079914,-0.18079915
-5.22561281,0.74589432,-0.74589432,0.24317767,-0.24317767,0.26031947,-0.26031947,0.02061999,-0.02061999,0.22255598,-0.22255598,0.03172352,-0.03172352,0.18729027,-0.18729027
-5.21960980,0.77813798,-0.77813798,0.26182057,-0.26182057,0.27055677,-0.27055677,0.02144805,-0.02144805,0.23156553,-0.23156553,0.03146043,-0.03146043,0.19609000,-0.19609000
-5.21360680,0.81445086,-0.81445086,0.28270463,-0.28270463,0.28130297,-0.28130297,0.02219087,-0.02219087,0.24073937,-0.24073937,0.03125442,-0.03125442,0.20717238,-0.20717238
-5.20760380,0.85460278,-0.85460278,0.30580385,-0.30580385,0.29246406,-0.29246406,0.02284339,-0.02284339,0.24999237,-0.24999237,0.03108577,-0.03108577,0.22049879,-0.22049879
-5.20160080,0.89836602,-0.89836602,0.33107442,-0.33107442,0.30396107,-0.30396107,0.02340455,-0.02340455,0.25925215,-0.25925215,0.03093649,-0.03093649,0.23601615,-0.23601615
-5.19559780,0.94551701,-0.94551701,0.35844970,-0.35844970,0.31573289,-0.31573289,0.02387761,-0.02387761,0.26846184,-0.26846184,0.03079124,-0.03079124,0.25365440,-0.25365440
-5.18959480,0.99583551,-0.99583551,0.38783464,-0.38783464,0.32773814,-0.32773814,0.02427042,-0.02427042,0.27758204,-0.27758204,0.03063810,-0.03063810,0.27332339,-0.27332339
-5.18359180,1.04910149,-1.04910149,0.41910022,-0.41910022,0.33995590,-0.33995590,0.02459545,-0.02459545,0.28659187,-0.28659187,0.03046918,-0.03046918,0.29490949,-0.29490949
-5.17758879,1.10509013,-1.10509014,0.45207824,-0.45207824,0.35238525,-0.35238525,0.02486970,-0.02486970,0.29548909,-0.29548909,0.03028101,-0.03028101,0.31827222,-0.31827222
-5.17158579,1.16356563,-1.16356563,0.48655686,-0.48655686,0.36504396,-0.36504396,0.02511442,-0.02511442,0.30428929,-0.30428929,0.03007472,-0.03007472,0.34324118,-0.34324118
-5.16558279,1.22427434,-1.22427434,0.52227756,-0.52227756,0.37796607,-0.37796607,0.02535466,-0.02535466,0.31302443,-0.31302443,0.02985599,-0.02985599,0.36961376,-0.36961376
