energy_ev,total_up,Ga_p_up,Ga_d_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-2.17008504,2.14138509,0.32294115,0.00000000,0.36222236,1.46276193,0.06365314,0.38896966
-2.16408204,2.02827373,0.30564606,0.00000000,0.33741963,1.38582719,0.06123652,0.36723269
-2.15807904,1.92129749,0.28902543,0.00000000,0.31353023,1.31383672,0.05895628,0.34636897
-2.15207604,1.82187118,0.27331850,0.00000000,0.29083274,1.24773935,0.05684620,0.32662769
-2.14607304,1.73113352,0.25872085,0.00000000,0.26955723,1.18829746,0.05493051,0.30820281
-2.14007004,1.64993194,0.24538154,0.00000000,0.24988229,1.13607797,0.05322354,0.29123037
-2.13406703,1.57881920,0.23340224,0.00000000,0.23193417,1.09145108,0.05172972,0.27578836
-2.12806403,1.51806123,0.22283817,0.00000000,0.21578808,1.05459624,0.05044404,0.26189879
-2.12206103,1.46765542,0.21370082,0.00000000,0.20147119,1.02551463,0.04935285,0.24953195
-2.11605803,1.42735751,0.20596217,0.00000000,0.18896722,1.00404721,0.04843502,0.23861238
-2.11005503,1.39671566,0.19955998,0.00000000,0.17822223,0.98989722,0.04766336,0.22902632
-2.10405203,1.37510939,0.19440407,0.00000000,0.16915120,0.98265559,0.04700620,0.22063010
-2.09804902,1.36179144,0.19038300,0.00000000,0.16164514,0.98182805,0.04642915,0.21325915
-2.09204602,1.35593028,0.18737094,0.00000000,0.15557820,0.98686243,0.04589680,0.20673718
-2.08604302,1.35665128,0.18523440,0.00000000,0.15081466,0.99717473,0.04537447,0.20088510
-2.08004002,1.36307468,0.18383847,0.00000000,0.14721534,1.01217296,0.04482980,0.19552935
-2.07403702,1.37434876,0.18305234,0.00000000,0.14464328,1.03127753,0.04423415,0.19050933
-2.06803402,1.38967712,0.18275399,0.00000000,0.14296848,1.05393757,0.04356381,0.18568372
-2.06203102,1.40833913,0.18283375,0.00000000,0.14207164,1.07964263,0.04280088,0.18093547
-2.05602801,1.42970338,0.18319688,0.00000000,0.14184680,1.10792969,0.04193395,0.17617539
-2.05002501,1.45323400,0.18376500,0.00000000,0.14220286,1.13838551,0.04095838,0.17134438
