energy_ev,total_up,Sn_p_up,Sn_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
5.87993997,1.13957332,0.09873344,0.01777079,0.20213442,0.00000000,0.67378911,0.05165023
5.88594297,1.18270764,0.10279356,0.01782719,0.21534188,0.00000000,0.71107108,0.05266010
5.89194597,1.23012849,0.10685356,0.01793581,0.23014280,0.00000000,0.75146756,0.05386414
5.89794897,1.28199401,0.11093675,0.01810506,0.24655145,0.00000000,0.79521921,0.05527295
5.90395198,1.33837083,0.11506899,0.01834258,0.26454842,0.00000000,0.84255606,0.05689187
5.90995498,1.39921547,0.11927618,0.01865500,0.28407593,0.00000000,0.89367838,0.05872034
5.91595798,1.46435758,0.12358148,0.01904760,0.30503412,0.00000000,0.94873730,0.06075141
5.92196098,1.53348624,0.12800256,0.01952403,0.32727847,0.00000000,1.00781610,0.06297127
5.92796398,1.60614023,0.13254888,0.02008607,0.35061854,0.00000000,1.07091318,0.06535908
5.93396698,1.68170344,0.13721934,0.02073335,0.37481835,0.00000000,1.13792772,0.06788694
5.93996998,1.75940601,0.14200028,0.02146320,0.39959847,0.00000000,1.20864898,0.07052007
5.94597299,1.83833208,0.14686406,0.02227050,0.42463993,0.00000000,1.28274998,0.07321730
5.95197599,1.91743414,0.15176835,0.02314769,0.44958996,0.00000000,1.35978613,0.07593181
5.95797899,1.99555425,0.15665615,0.02408478,0.47406954,0.00000000,1.43919910,0.07861205
5.96398199,2.07145148,0.16145660,0.02506952,0.49768248,0.00000000,1.52032598,0.08120305
5.96998499,2.14383490,0.16608665,0.02608762,0.52002585,0.00000000,1.60241336,0.08364779
5.97598799,2.21140085,0.17045342,0.02712309,0.54070147,0.00000000,1.68463572,0.08588885
5.98199100,2.27287315,0.17445729,0.02815865,0.55932788,0.00000000,1.76611738,0.08787014
5.98799400,2.32704433,0.17799540,0.02917618,0.57555252,0.00000000,1.84595663,0.08953862
5.99399700,2.37281627,0.18096572,0.03015723,0.58906346,0.00000000,1.92325112,0.09084613
6.00000000,2.40923811,0.18327106,0.03108359,0.59960027,0.00000000,1.99712289,0.09175095
