energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
4.32516258,0.68041314,-0.46177915,0.00603407,-0.01377998,0.15005728,-0.09810209,0.57948823,-0.32119926,0.20926565,-0.18897387,0.21273587,-0.15846844,0.00000000,-0.00000000
4.33116558,0.67245967,-0.48477245,0.00645627,-0.01420598,0.14900555,-0.10744263,0.57277750,-0.34912749,0.20465492,-0.19793743,0.20706419,-0.15743861,0.00000000,-0.00000000
4.33716858,0.66337607,-0.50943012,0.00691427,-0.01471824,0.14736361,-0.11698664,0.56596829,-0.37885781,0.19990071,-0.20751703,0.20110470,-0.15683913,0.00000000,-0.00000000
4.34317159,0.65329823,-0.53552500,0.00741733,-0.01528802,0.14512305,-0.12663675,0.55929579,-0.41012019,0.19502918,-0.21763384,0.19487954,-0.15675690,0.00000000,-0.00000000
4.34917459,0.64242077,-0.56280697,0.00797609,-0.01588726,0.14228982,-0.13629122,0.55304451,-0.44262770,0.19007797,-0.22819950,0.18842097,-0.15726638,0.00000000,-0.00000000
4.35517759,0.63099992,-0.59100795,0.00860246,-0.01648906,0.13888520,-0.14584676,0.54754918,-0.47608157,0.18509788,-0.23911779,0.18177280,-0.15842737,0.00000000,-0.00000000
4.36118059,0.61935311,-0.61984768,0.00930932,-0.01706810,0.13494598,-0.15520161,0.54319273,-0.51017661,0.18015375,-0.25028683,0.17499122,-0.16028331,0.00000000,-0.00000000
4.36718359,0.60785516,-0.64904027,0.01011027,-0.01760114,0.13052396,-0.16425866,0.54040105,-0.54460676,0.17532436,-0.26160135,0.16814475,-0.16286023,0.00000000,-0.00000000
4.37318659,0.59693101,-0.67830106,0.01101916,-0.01806736,0.12568485,-0.17292852,0.53963446,-0.57907058,0.17070131,-0.27295523,0.16131345,-0.16616610,0.00000000,-0.00000000
4.37918959,0.58704519,-0.70735345,0.01204964,-0.01844877,0.12050646,-0.18113226,0.54137605,-0.61327642,0.16638699,-0.28424396,0.15458730,-0.17019079,0.00000000,-0.00000000
4.38519260,0.57868816,-0.73593534,0.01321464,-0.01873048,0.11507642,-0.18880389,0.54611717,-0.64694703,0.16249159,-0.29536698,0.14806393,-0.17490647,0.00000000,-0.00000000
4.39119560,0.57236024,-0.76380478,0.01452572,-0.01890096,0.10948946,-0.19589226,0.55434034,-0.67982358,0.15912938,-0.30622969,0.14184571,-0.18026841,0.00000000,-0.00000000
4.39719860,0.56855359,-0.79074465,0.01599246,-0.01895223,0.10384438,-0.20236229,0.56650038,-0.71166863,0.15641439,-0.31674511,0.13603640,-0.18621606,0.00000000,-0.00000000
4.40320160,0.56773290,-0.81656592,0.01762185,-0.01887989,0.09824091,-0.20819562,0.58300422,-0.74226836,0.15445568,-0.32683505,0.13073751,-0.19267455,0.00000000,-0.00000000
4.40920460,0.57031571,-0.84110955,0.01941760,-0.01868313,0.09277645,-0.21339040,0.60419036,-0.77143366,0.15335241,-0.33643074,0.12604455,-0.19955628,0.00000000,-0.00000000
4.41520760,0.57665320,-0.86424687,0.02137961,-0.01836466,0.08754311,-0.21796038,0.63030874,-0.79900045,0.15318901,-0.34547296,0.12204328,-0.20676279,0.00000000,-0.00000000
4.42121061,0.58701210,-0.88587853,0.02350344,-0.01793050,0.08262484,-0.22193329,0.66150195,-0.82482913,0.15403063,-0.35391169,0.11880635,-0.21418669,0.00000000,-0.00000000
4.42721361,0.60155881,-0.90593218,0.02577989,-0.01738970,0.07809502,-0.22534861,0.69778881,-0.84880341,0.15591906,-0.36170536,0.11639018,-0.22171381,0.00000000,-0.00000000
4.43321661,0.62034635,-0.92435915,0.02819470,-0.01675407,0.07401450,-0.22825475,0.73905093,-0.87082885,0.15886944,-0.36881976,0.11483253,-0.22922530,0.00000000,-0.00000000
4.43921961,0.64330482,-0.94113043,0.03072846,-0.01603772,0.07043016,-0.23070591,0.78502346,-0.89083120,0.16286787,-0.37522682,0.11415075,-0.23659996,0.00000000,-0.00000000
4.44522261,0.67023614,-0.95623232,0.03335661,-0.01525670,0.06737406,-0.23275876,0.83529042,-0.90875480,0.16787000,-0.38090328,0.11434074,-0.24371648,0.00000000,-0.00000000
4.45122561,0.70081325,-0.96966214,0.03604966,-0.01442855,0.06486319,-0.23446897,0.88928527,-0.92456152,0.17380090,-0.38582956,0.11537689,-0.25045577,0.00000000,-0.00000000
4.45722861,0.73458432,-0.98142436,0.03877366,-0.01357186,0.06289979,-0.23588804,0.94629734,-0.93823013,0.18055606,-0.38998874,0.11721285,-0.25670333,0.00000000,-0.00000000
4.46323162,0.77098189,-0.99152751,0.04149074,-0.01270587,0.06147232,-0.23706028,1.00548390,-0.94975649,0.18800367,-0.39336588,0.11978324,-0.26235152,0.00000000,-0.00000000
4.46923462,0.80933696,-0.99998217,0.04415995,-0.01185011,0.06055688,-0.23802040,1.06588824,-0.95915457,0.19598808,-0.39594781,0.12300625,-0.26730181,0.00000000,-0.00000000
4.47523762,0.84889776,-1.00680012,0.04673820,-0.01102403,0.06011916,-0.23879158,1.12646315,-0.96645829,0.20433442,-0.39772325,0.12678701,-0.27146691,0.00000000,-0.00000000
4.48124062,0.88885261,-1.01199499,0.04918134,-0.01024680,0.06011678,-0.23938433,1.18609948,-0.97172422,0.21285413,-0.39868347,0.13102175,-0.27477276,0.00000000,-0.00000000
4.48724362,0.92835631,-1.01558411,0.05144537,-0.00953700,0.06050190,-0.23979599,1.24365882,-0.97503487,0.22135140,-0.39882331,0.13560246,-0.27716028,0.00000000,-0.00000000
4.49324662,0.96655917,-1.01759175,0.05348769,-0.00891257,0.06122409,-0.24001112,1.29800940,-0.97650250,0.22963006,-0.39814253,0.14042208,-0.27858688,0.00000000,-0.00000000
4.49924962,1.00263758,-1.01805335,0.05526835,-0.00839063,0.06223330,-0.24000257,1.34806387,-0.97627302,0.23750088,-0.39664754,0.14537986,-0.27902766,0.00000000,-0.00000000
4.50525263,1.03582516,-1.01702054,0.05675127,-0.00798744,0.06348281,-0.23973320,1.39281769,-0.97452977,0.24478891,-0.39435311,0.15038676,-0.27847627,0.00000000,-0.00000000
4.51125563,1.06544315,-1.01456661,0.05790541,-0.00771837,0.06493208,-0.23915830,1.43138659,-0.97149671,0.25134054,-0.39128421,0.15537076,-0.27694530,0.00000000,-0.00000000
4.51725863,1.09092882,-1.01079190,0.05870573,-0.00759786,0.06654939,-0.23822837,1.46304165,-0.96744077,0.25703007,-0.38747770,0.16028167,-0.27446637,0.00000000,-0.00000000
4.52326163,1.11186079,-1.00582873,0.05913403,-0.00763943,0.06831416,-0.23689232,1.48724038,-0.96267281,0.26176537,-0.38298369,0.16509537,-0.27108964,0.00000000,-0.00000000
4.52926463,1.12798006,-0.99984545,0.05917956,-0.00785554,0.07021888,-0.23510070,1.50365274,-0.95754694,0.26549260,-0.37786658,0.16981723,-0.26688298,0.00000000,-0.00000000
4.53526763,1.13920581,-0.99304900,0.05883939,-0.00825762,0.07227049,-0.23280905,1.51218054,-0.95245785,0.26819947,-0.37220548,0.17448451,-0.26193065,0.00000000,-0.00000000
4.54127064,1.14564516,-0.98568570,0.05811848,-0.00885584,0.07449127,-0.22998092,1.51296953,-0.94783588,0.26991717,-0.36609406,0.17916756,-0.25633151,0.00000000,-0.00000000
4.54727364,1.14759631,-0.97803986,0.05702957,-0.00965893,0.07691909,-0.22659063,1.50641347,-0.94413972,0.27072062,-0.35963967,0.18396974,-0.25019686,0.00000000,-0.00000000
4.55327664,1.14554485,-0.97043002,0.05559274,-0.01067399,0.07960700,-0.22262551,1.49314969,-0.94184660,0.27072710,-0.35296173,0.18902601,-0.24364794,0.00000000,-0.00000000
4.55927964,1.14015312,-0.96320259,0.05383475,-0.01190607,0.08262221,-0.21808746,1.47404633,-0.94144007,0.27009330,-0.34618933,0.19450000,-0.23681304,0.00000000,-0.00000000
4.56528264,1.13224292,-0.95672296,0.05178823,-0.01335789,0.08604446,-0.21299393,1.45018135,-0.94339559,0.26901079,-0.33945814,0.20057988,-0.22982436,0.00000000,-0.00000000
4.57128564,1.12277215,-0.95136426,0.04949059,-0.01502937,0.08996371,-0.20737799,1.42281428,-0.94816422,0.26770012,-0.33290666,0.20747283,-0.22281474,0.00000000,-0.00000000
4.57728864,1.11280612,-0.94749399,0.04698290,-0.01691724,0.09447742,-0.20128782,1.39335127,-0.95615495,0.26640375,-0.32667193,0.21539839,-0.21591420,0.00000000,-0.00000000
4.58329165,1.10348458,-0.94545906,0.04430867,-0.01901460,0.09968731,-0.19478529,1.36330500,-0.96771618,0.26537809,-0.32088486,0.22458097,-0.20924646,0.00000000,-0.00000000
4.58929465,1.09598572,-0.94556980,0.04151258,-0.02131051,0.10569578,-0.18794404,1.33425064,-0.98311729,0.26488491,-0.31566535,0.23524154,-0.20292564,0.00000000,-0.00000000
4.59529765,1.09148827,-0.94808369,0.03863928,-0.02378969,0.11260215,-0.18084689,1.30777937,-1.00253093,0.26518249,-0.31111743,0.24758903,-0.19705298,0.00000000,-0.00000000
4.60130065,1.09113338,-0.95318971,0.03573219,-0.02643225,0.12049876,-0.17358292,1.28545128,-1.02601708,0.26651684,-0.30732460,0.26181156,-0.19171402,0.00000000,-0.00000000
4.60730365,1.09598737,-0.96099393,0.03283250,-0.02921355,0.12946718,-0.16624421,1.26874896,-1.05350979,0.26911328,-0.30434567,0.27806801,-0.18697610,0.00000000,-0.00000000
4.61330665,1.10700690,-0.97150766,0.02997827,-0.03210426,0.13957449,-0.15892259,1.25903372,-1.08480747,0.27316877,-0.30221134,0.29648008,-0.18288638,0.00000000,-0.00000000
4.61930965,1.12500781,-0.98463850,0.02720366,-0.03507053,0.15087000,-0.15170636,1.25750552,-1.11956763,0.27884527,-0.30092162,0.31712535,-0.17947055,0.00000000,-0.00000000
4.62531266,1.15063858,-1.00018544,0.02453844,-0.03807435,0.16338231,-0.14467737,1.26516825,-1.15730673,0.28626430,-0.30044445,0.34003154,-0.17673221,0.00000000,-0.00000000
4.63131566,1.18435955,-1.01783839,0.02200759,-0.04107413,0.17711701,-0.13790845,1.28280128,-1.19740563,0.29550293,-0.30071549,0.36517230,-0.17465305,0.00000000,-0.00000000
4.63731866,1.22642840,-1.03718260,0.01963119,-0.04402544,0.19205497,-0.13146133,1.31093831,-1.23912101,0.30659143,-0.30163936,0.39246467,-0.17319382,0.00000000,-0.00000000
4.64332166,1.27689251,-1.05770817,0.01742434,-0.04688191,0.20815138,-0.12538531,1.34985407,-1.28160266,0.31951244,-0.30309217,0.42176844,-0.17229621,0.00000000,-0.00000000
4.64932466,1.33558828,-1.07882441,0.01539740,-0.04959628,0.22533558,-0.11971647,1.39955928,-1.32391646,0.33420186,-0.30492544,0.45288757,-0.17188543,0.00000000,-0.00000000
4.65532766,1.40214745,-1.09987894,0.01355626,-0.05212165,0.24351165,-0.11447767,1.45980389,-1.36507230,0.35055128,-0.30697121,0.48557344,-0.17187366,0.00000000,-0.00000000
4.66133067,1.47600991,-1.12018067,0.01190271,-0.05441266,0.26255982,-0.10967923,1.53008854,-1.40405626,0.36841185,-0.30904825,0.51953012,-0.17216397,0.00000000,-0.00000000
4.66733367,1.55644265,-1.13902586,0.01043496,-0.05642680,0.28233859,-0.10532014,1.60968347,-1.43986572,0.38759937,-0.31096908,0.55442133,-0.17265496,0.00000000,-0.00000000
4.67333667,1.64256379,-1.15572626,0.00914817,-0.05812568,0.30268755,-0.10138996,1.69765428,-1.47154606,0.40790044,-0.31254747,0.58987891,-0.17324548,0.00000000,-0.00000000
4.67933967,1.73337077,-1.16963799,0.00803493,-0.05947618,0.32343082,-0.09787094,1.79289339,-1.49822757,0.42907935,-0.31360620,0.62551248,-0.17383975,0.00000000,-0.00000000
4.68534267,1.82777147,-1.18018985,0.00708590,-0.06045155,0.34438086,-0.09474054,1.89415584,-1.51916075,0.45088529,-0.31398461,0.66091992,-0.17435216,0.00000000,-0.00000000
4.69134567,1.92461695,-1.18690988,0.00629027,-0.06103222,0.36534268,-0.09197400,2.00009805,-1.53374860,0.47305986,-0.31354575,0.69569820,-0.17471200,0.00000000,-0.00000000
4.69734867,2.02273432,-1.18944864,0.00563624,-0.06120653,0.38611823,-0.08954689,2.10931777,-1.54157431,0.49534418,-0.31218265,0.72945421,-0.17486756,0.00000000,-0.00000000
4.70335168,2.12095853,-1.18759832,0.00511148,-0.06097104,0.40651067,-0.08743746,2.22039363,-1.54242306,0.51748565,-0.30982347,0.76181500,-0.17478961,0.00000000,-0.00000000
4.70935468,2.21816152,-1.18130658,0.00470343,-0.06033077,0.42632862,-0.08562873,2.33192253,-1.53629689,0.53924380,-0.30643533,0.79243710,-0.17447405,0.00000000,-0.00000000
4.71535768,2.31327774,-1.17068446,0.00439967,-0.05929896,0.44538999,-0.08411003,2.44255338,-1.52342195,0.56039528,-0.30202665,0.82101450,-0.17394350,0.00000000,-0.00000000
4.72136068,2.40532485,-1.15600800,0.00418807,-0.05789671,0.46352532,-0.08287823,2.55101577,-1.50424759,0.58073746,-0.29664782,0.84728487,-0.17324798,0.00000000,-0.00000000
4.72736368,2.49341910,-1.13771353,0.00405701,-0.05615229,0.48058062,-0.08193824,2.65614240,-1.47943758,0.60009097,-0.29039028,0.87103386,-0.17246436,0.00000000,-0.00000000
4.73336668,2.57678465,-1.11638667,0.00399546,-0.05410023,0.49641937,-0.08130310,2.75688476,-1.44985353,0.61830069,-0.28338400,0.89209733,-0.17169479,0.00000000,-0.00000000
4.73936968,2.65475705,-1.09274579,0.00399303,-0.05178026,0.51092384,-0.08099342,2.85232137,-1.41653150,0.63523558,-0.27579360,0.91036140,-0.17106412,0.00000000,-0.00000000
4.74537269,2.72678089,-1.06762064,0.00403999,-0.04923602,0.52399565,-0.08103642,2.94165904,-1.38065272,0.65078731,-0.26781316,0.92576037,-0.17071638,0.00000000,-0.00000000
4.75137569,2.79240235,-1.04192707,0.00412727,-0.04651386,0.53555550,-0.08146456,3.02422746,-1.34350968,0.66486778,-0.25966013,0.93827286,-0.17081051,0.00000000,-0.00000000
