energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Mg_p_up,Mg_d_up,Se_s_up,Se_p_up
-5.44772386,0.34895134,0.02697677,0.00980678,0.15727331,0.02499551,0.14816447,0.00000000,0.00779147,0.21692294
-5.44172086,0.33319121,0.02550109,0.01015889,0.14776574,0.02533132,0.14275217,0.00000000,0.00745582,0.20324121
-5.43571786,0.32368568,0.02438092,0.01078173,0.14091689,0.02626624,0.14031114,0.00000000,0.00731474,0.19308368
-5.42971486,0.32061544,0.02364259,0.01168329,0.13679017,0.02781893,0.14094140,0.00000000,0.00736421,0.18653579
-5.42371186,0.32410650,0.02330666,0.01287076,0.13542503,0.03000449,0.14472765,0.00000000,0.00759917,0.18364778
-5.41770885,0.33422922,0.02338772,0.01435030,0.13683782,0.03283365,0.15173900,0.00000000,0.00801351,0.18443588
-5.41170585,0.35099640,0.02389421,0.01612672,0.14102226,0.03631173,0.16202827,0.00000000,0.00860005,0.18888308
-5.40570285,0.37436072,0.02482833,0.01820304,0.14794967,0.04043755,0.17563052,0.00000000,0.00935040,0.19693962
-5.39969985,0.40421150,0.02618580,0.02058015,0.15756884,0.04520226,0.19256107,0.00000000,0.01025481,0.20852316
-5.39369685,0.44037129,0.02795576,0.02325638,0.16980573,0.05058820,0.21281321,0.00000000,0.01130205,0.22351874
-5.38769385,0.48259257,0.03012060,0.02622706,0.18456301,0.05656779,0.23635544,0.00000000,0.01247922,0.24177874
-5.38169085,0.53055491,0.03265588,0.02948424,0.20171969,0.06310269,0.26312878,0.00000000,0.01377163,0.26312282
-5.37568784,0.58386329,0.03553029,0.03301637,0.22113091,0.07014309,0.29304403,0.00000000,0.01516276,0.28733828
-5.36968484,0.64204759,0.03870574,0.03680813,0.24262795,0.07762740,0.32597933,0.00000000,0.01663423,0.31418067
-5.36368184,0.70456408,0.04213752,0.04084040,0.26601875,0.08548231,0.36177812,0.00000000,0.01816587,0.34337518
-5.35767884,0.77079877,0.04577472,0.04509022,0.29108890,0.09362323,0.40024762,0.00000000,0.01973598,0.37461850
-5.35167584,0.84007301,0.04956074,0.04953104,0.31760314,0.10195528,0.44115797,0.00000000,0.02132152,0.40758165
-5.34567284,0.91165142,0.05343407,0.05413295,0.34530752,0.11037464,0.48424214,0.00000000,0.02289855,0.44191334
-5.33966983,0.98475179,0.05732930,0.05886303,0.37393206,0.11877050,0.52919654,0.00000000,0.02444271,0.47724422
-5.33366683,1.05855702,0.06117824,0.06368590,0.40319392,0.12702726,0.57568247,0.00000000,0.02592971,0.51319162
-5.32766383,1.13222857,0.06491135,0.06856414,0.43280097,0.13502721,0.62332824,0.00000000,0.02733598,0.54936481
-5.32166083,1.20492104,0.06845927,0.07345893,0.46245568,0.14265339,0.67173213,0.00000000,0.02863930,0.58537052
-5.31565783,1.27579729,0.07175443,0.07833064,0.49185911,0.14979263,0.72046586,0.00000000,0.02981939,0.62081855
-5.30965483,1.34404372,0.07473280,0.08313936,0.52071501,0.15633865,0.76907879,0.00000000,0.03085856,0.65532731
-5.30365183,1.40888504,0.07733557,0.08784552,0.54873381,0.16219499,0.81710263,0.00000000,0.03174222,0.68852907
-5.29764882,1.46959802,0.07951075,0.09241043,0.57563639,0.16727786,0.86405670,0.00000000,0.03245939,0.72007479
-5.29164582,1.52552388,0.08121470,0.09679674,0.60115766,0.17151852,0.90945362,0.00000000,0.03300297,0.74963843
-5.28564282,1.57607903,0.08241334,0.10096895,0.62504979,0.17486528,0.95280558,0.00000000,0.03337009,0.77692066
-5.27963982,1.62076368,0.08308319,0.10489381,0.64708515,0.17728502,0.99363096,0.00000000,0.03356209,0.80165202
-5.27363682,1.65916849,0.08321202,0.10854069,0.66705890,0.17876402,1.03146150,0.00000000,0.03358453,0.82359540
