energy_ev,total_up,As_p_up,As_d_up,Hf_p_up,Hf_d_up,Se_s_up,Se_p_up
-5.34567284,1.54699038,0.09928490,0.00000000,0.91390495,0.60393373,0.02468355,1.11676555
-5.33966983,1.56269787,0.10374813,0.00000000,0.91568817,0.60615023,0.02480302,1.12427791
-5.33366683,1.57703619,0.10886493,0.00000000,0.91589971,0.60757560,0.02482359,1.12998020
-5.32766383,1.58990261,0.11457206,0.00000000,0.91445580,0.60825452,0.02474806,1.13387807
-5.32166083,1.60132171,0.12080986,0.00000000,0.91134870,0.60829137,0.02458166,1.13607285
-5.31565783,1.61144700,0.12752312,0.00000000,0.90664756,0.60785042,0.02433187,1.13676229
-5.30965483,1.62055818,0.13466183,0.00000000,0.90049697,0.60715398,0.02400818,1.13623803
-5.30365183,1.62905433,0.14218180,0.00000000,0.89311337,0.60647846,0.02362183,1.13487998
-5.29764882,1.63744301,0.15004509,0.00000000,0.88477920,0.60614854,0.02318545,1.13314767
-5.29164582,1.64632565,0.15822033,0.00000000,0.87583527,0.60652930,0.02271267,1.13156876
-5.28564282,1.65637960,0.16668277,0.00000000,0.86667127,0.60801685,0.02221771,1.13072503
-5.27963982,1.66833736,0.17541410,0.00000000,0.85771497,0.61102734,0.02171498,1.13123633
-5.27363682,1.68296348,0.18440206,0.00000000,0.84942027,0.61598492,0.02121865,1.13374282
-5.26763382,1.70102983,0.19363971,0.00000000,0.84225444,0.62330877,0.02074229,1.13888606
-5.26163082,1.72328982,0.20312441,0.00000000,0.83668496,0.63339965,0.02029847,1.14728948
-5.25562781,1.75045243,0.21285657,0.00000000,0.83316635,0.64662633,0.01989844,1.15953871
-5.24962481,1.78315652,0.22283804,0.00000000,0.83212710,0.66331223,0.01955194,1.17616237
-5.24362181,1.82194638,0.23307041,0.00000000,0.83395737,0.68372278,0.01926692,1.19761373
-5.23761881,1.86724911,0.24355308,0.00000000,0.83899746,0.70805372,0.01904946,1.22425390
-5.23161581,1.91935444,0.25428130,0.00000000,0.84752748,0.73642086,0.01890367,1.25633679
-5.22561281,1.97839781,0.26524430,0.00000000,0.85975843,0.76885157,0.01883171,1.29399649
-5.21960980,2.04434707,0.27642349,0.00000000,0.87582490,0.80527834,0.01883382,1.33723726
-5.21360680,2.11699344,0.28779098,0.00000000,0.89577953,0.84553470,0.01890850,1.38592658
-5.20760380,2.19594713,0.29930844,0.00000000,0.91958948,0.88935365,0.01905259,1.43979156
-5.20160080,2.28063779,0.31092641,0.00000000,0.94713482,0.93636890,0.01926155,1.49841872
-5.19559780,2.37032017,0.32258407,0.00000000,0.97820909,0.98611886,0.01952965,1.56125768
-5.18959480,2.46408476,0.33420964,0.00000000,1.01252189,1.03805351,0.01985023,1.62762833
