energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up,Zr_p_up,Zr_d_up
-5.62781391,2.29486210,0.01138037,0.10872171,0.03201074,1.34939199,0.73807062,0.04301591,0.48655300,0.31365352
-5.62181091,2.30814512,0.01166910,0.11376533,0.02977722,1.35464692,0.73434328,0.04142834,0.49172031,0.32008150
-5.61580790,2.34064052,0.01206263,0.11913459,0.02786055,1.37169898,0.73777679,0.04039162,0.50049579,0.32846258
-5.60980490,2.39098699,0.01255548,0.12467141,0.02623562,1.39989775,0.74802886,0.03990354,0.51262918,0.33850964
-5.60380190,2.45791424,0.01314214,0.13022118,0.02487541,1.43865398,0.76479057,0.03996203,0.52791372,0.34994204
-5.59779890,2.54028721,0.01381729,0.13563700,0.02375226,1.48746196,0.78779744,0.04056579,0.54619282,0.36249360
-5.59179590,2.63713966,0.01457609,0.14078393,0.02283905,1.54591470,0.81683635,0.04171456,0.56736356,0.37591983
-5.58579290,2.74769495,0.01541429,0.14554296,0.02211027,1.61371085,0.85174786,0.04340924,0.59137652,0.39000398
-5.57978989,2.87137267,0.01632844,0.14981481,0.02154303,1.69065262,0.89242347,0.04565161,0.61823193,0.40456165
-5.57378689,3.00778027,0.01731592,0.15352323,0.02111791,1.77663437,0.93879788,0.04844366,0.64797195,0.41944367
-5.56778389,3.15668955,0.01837500,0.15661768,0.02081962,1.87162202,0.99083612,0.05178679,0.68066942,0.43453732
-5.56178089,3.31799885,0.01950470,0.15907531,0.02063752,1.97562404,1.04851638,0.05568059,0.71641340,0.44976544
-5.55577789,3.49168246,0.02070475,0.16090213,0.02056591,2.08865510,1.11180899,0.06012151,0.75529209,0.46508388
-5.54977489,3.67772963,0.02197533,0.16213319,0.02060414,2.21069437,1.18065269,0.06510135,0.79737402,0.48047706
-5.54377189,3.87607640,0.02331689,0.16283185,0.02075648,2.34164045,1.25492956,0.07060576,0.84268833,0.49595212
-5.53776888,4.08653393,0.02472981,0.16308793,0.02103187,2.48126559,1.33443989,0.07661274,0.89120531,0.51153175
-5.53176588,4.30871751,0.02621417,0.16301500,0.02144336,2.62917190,1.41887866,0.08309134,0.94281820,0.52724634
-5.52576288,4.54198038,0.02776938,0.16274665,0.02200748,2.78475236,1.50781509,0.09000058,0.99732754,0.54312566
-5.51975988,4.78535690,0.02939392,0.16243201,0.02274343,2.94715921,1.60067683,0.09728873,1.05442895,0.55919067
-5.51375688,5.03751854,0.03108508,0.16223046,0.02367206,3.11528235,1.69674007,0.10489301,1.11370524,0.57544588
-5.50775388,5.29674623,0.03283875,0.16230594,0.02481486,3.28773928,1.79512650,0.11273970,1.17462371,0.59187275
-5.50175088,5.56092130,0.03464921,0.16282087,0.02619279,3.46287836,1.89480788,0.12074486,1.23653887,0.60842439
-5.49574787,5.82753654,0.03650911,0.16392986,0.02782510,3.63879564,1.99461850,0.12881543,1.29870089,0.62502205
-5.48974487,6.09372761,0.03840940,0.16577367,0.02972815,3.81336536,2.09327528,0.13685087,1.36026958,0.64155334
-5.48374187,6.35632393,0.04033941,0.16847333,0.03191427,3.98428311,2.18940498,0.14474528,1.42033343,0.65787251
-5.47773887,6.61191723,0.04228696,0.17212484,0.03439069,4.14912005,2.28157738,0.15238974,1.47793297,0.67380266
-5.47173587,6.85694458,0.04423853,0.17679467,0.03715855,4.30538587,2.36834318,0.15967504,1.53208752,0.68913964
-5.46573287,7.08778240,0.04617948,0.18251600,0.04021216,4.45059767,2.44827479,0.16649446,1.58182407,0.70365764
-5.45972986,7.30084684,0.04809435,0.18928624,0.04353835,4.58235164,2.52000822,0.17274660,1.62620701,0.71711596
-5.45372686,7.49269610,0.04996708,0.19706559,0.04711614,4.69839420,2.58228405,0.17833813,1.66436746,0.72926668
-5.44772386,7.66012992,0.05178132,0.20577692,0.05091654,4.79668928,2.63398573,0.18318625,1.69553075,0.73986288
-5.44172086,7.80028184,0.05352072,0.21530706,0.05490277,4.87547882,2.67417316,0.18722089,1.71904090,0.74866685
-5.43571786,7.91070041,0.05516914,0.22550930,0.05903066,4.93333371,2.70211042,0.19038643,1.73438107,0.75545818
-5.42971486,7.98941608,0.05671091,0.23620725,0.06324934,4.96919324,2.71728615,0.19264295,1.74118928,0.76004116
-5.42371186,8.03499168,0.05813099,0.24719990,0.06750223,4.98239161,2.71942608,0.19396702,1.73926861,0.76225128
-5.41770885,8.04655497,0.05941517,0.25826766,0.07172831,4.97267076,2.70849719,0.19435179,1.72859192,0.76196077
-5.41170585,8.02381306,0.06055020,0.26917932,0.07586351,4.94017964,2.68470382,0.19380676,1.70930096,0.75908286
-5.40570285,7.96704930,0.06152388,0.27969967,0.07984238,4.88546057,2.64847599,0.19235691,1.68170024,0.75357477
-5.39969985,7.87710393,0.06232518,0.28959743,0.08359981,4.80942408,2.60045106,0.19004149,1.64624616,0.74543954
-5.39369685,7.75534077,0.06294434,0.29865344,0.08707288,4.71331392,2.54144974,0.18691244,1.60353224,0.73472662
-5.38769385,7.60360226,0.06337294,0.30666851,0.09020264,4.59866450,2.47244785,0.18303263,1.55427114,0.72153135
-5.38169085,7.42415586,0.06360408,0.31347102,0.09293591,4.46725296,2.39454530,0.17847382,1.49927463,0.70599362
-5.37568784,7.21963457,0.06363241,0.31892366,0.09522688,4.32104833,2.30893378,0.17331470,1.43943224,0.68829562
-5.36968484,6.99297434,0.06345437,0.32292930,0.09703860,4.16215994,2.21686458,0.16763885,1.37568971,0.66865902
-5.36368184,6.74735092,0.06306831,0.32543559,0.09834420,3.99278718,2.11961774,0.16153288,1.30902781,0.64734159
-5.35767884,6.48611813,0.06247466,0.32643834,0.09912778,3.81517226,2.01847366,0.15508469,1.24044246,0.62463343
-5.35167584,6.21274920,0.06167613,0.32598330,0.09938513,3.63155727,1.91468786,0.14838194,1.17092649,0.60085289
-5.34567284,5.93078222,0.06067790,0.32416650,0.09912395,3.44414645,1.80946962,0.14151078,1.10145353,0.57634222
-5.33966983,5.64377038,0.05948772,0.32113288,0.09836384,3.25507417,1.70396449,0.13455475,1.03296404,0.55146300
-5.33366683,5.35523694,0.05811608,0.31707356,0.09713592,3.06637860,1.59924093,0.12759401,0.96635373,0.52659131
-5.32766383,5.06863473,0.05657628,0.31222145,0.09548210,2.87998103,1.49628077,0.12070467,0.90246410,0.50211273
-5.32166083,4.78730970,0.05488439,0.30684567,0.09345406,2.69767000,1.39597308,0.11395837,0.84207482,0.47841700
-5.31565783,4.51446749,0.05305920,0.30124468,0.09111198,2.52108981,1.29911105,0.10742191,0.78589789,0.45589245
-5.30965483,4.25314240,0.05112208,0.29573841,0.08852303,2.35173242,1.20639114,0.10115708,0.73457290,0.43492018
-5.30365183,4.00616782,0.04909668,0.29065968,0.08575960,2.19093195,1.11841413,0.09522042,0.68866333,0.41586782
-5.29764882,3.77614737,0.04700862,0.28634489,0.08289756,2.03986091,1.03568723,0.08966304,0.64865330,0.39908315
-5.29164582,3.56542646,0.04488503,0.28312451,0.08001423,1.89952750,0.95862686,0.08453045,0.61494464,0.38488743
-5.28564282,3.37606375,0.04275405,0.28131342,0.07718646,1.77077339,0.88756178,0.07986229,0.58785405,0.37356859
-5.27963982,3.20980285,0.04064420,0.28120137,0.07448871,1.65427162,0.82273594,0.07569203,0.56761013,0.36537439
-5.27363682,3.06804465,0.03858379,0.28304388,0.07199109,1.55052448,0.76431126,0.07204660,0.55435042,0.36050582
-5.26763382,2.95182083,0.03660016,0.28705379,0.06975763,1.45986131,0.71236988,0.06894607,0.54811841,0.35911066
-5.26163082,2.86176991,0.03471908,0.29339369,0.06784468,1.38243658,0.66691620,0.06640316,0.54886081,0.36127780
-5.25562781,2.79811676,0.03296400,0.30216942,0.06629944,1.31822849,0.62787875,0.06442289,0.55642529,0.36703214
-5.24962481,2.76065727,0.03135545,0.31342496,0.06515880,1.26703865,0.59511208,0.06300223,0.57055910,0.37633076
-5.24362181,2.74874944,0.02991046,0.32713888,0.06444843,1.22849349,0.56839898,0.06212982,0.59090892,0.38906027
-5.23761881,2.76131249,0.02864204,0.34322237,0.06418217,1.20204780,0.54745331,0.06178589,0.61702236,0.40503569
-5.23161581,2.79683513,0.02755882,0.36151925,0.06436166,1.18699113,0.53192368,0.06194223,0.64835142,0.42400126
-5.22561281,2.85339406,0.02666478,0.38180782,0.06497642,1.18245747,0.52139835,0.06256245,0.68425827,0.44563292
-5.21960980,2.92868332,0.02595910,0.40380462,0.06600417,1.18743850,0.51541127,0.06360240,0.72402364,0.46954306
-5.21360680,3.02005474,0.02543622,0.42717025,0.06741150,1.20080057,0.51344971,0.06501086,0.76685771,0.49528706
-5.20760380,3.12456901,0.02508592,0.45151683,0.06915488,1.22130545,0.51496311,0.06673040,0.81191366,0.52237199
-5.20160080,3.23905670,0.02489371,0.47641727,0.07118189,1.24763445,0.51937338,0.06869851,0.85830357,0.55026695
-5.19559780,3.36018766,0.02484118,0.50141580,0.07343275,1.27841546,0.52608620,0.07084887,0.90511635,0.57841505
-5.18959480,3.48454694,0.02490662,0.52603969,0.07584207,1.31225227,0.53450316,0.07311282,0.95143720,0.60624656
-5.18359180,3.60871485,0.02506566,0.54981163,0.07834064,1.34775515,0.54403429,0.07542089,0.99636794,0.63319283
-5.17758879,3.72934846,0.02529200,0.57226243,0.08085747,1.38357174,0.55411062,0.07770440,1.03904752,0.65870047
-5.17158579,3.84326167,0.02555824,0.59294360,0.08332171,1.41841717,0.56419617,0.07989709,1.07867189,0.68224548
-5.16558279,3.94750089,0.02583671,0.61143936,0.08566462,1.45110219,0.57379905,0.08193661,1.11451249,0.70334642
-5.15957979,4.03941343,0.02610025,0.62737757,0.08782134,1.48055830,0.58248112,0.08376595,1.14593254,0.72157660
-5.15357679,4.11670619,0.02632310,0.64043935,0.08973262,1.50585887,0.58986581,0.08533465,1.17240044,0.73657435
-5.14757379,4.17749232,0.02648157,0.65036689,0.09134615,1.52623553,0.59564392,0.08659985,1.19349988,0.74805142
-5.14157079,4.22032451,0.02655477,0.65696931,0.09261783,1.54108917,0.59957704,0.08752700,1.20893599,0.75579886
-5.13556778,4.24421367,0.02652509,0.66012629,0.09351252,1.54999531,0.60149858,0.08809036,1.21853772,0.75969046
-5.12956478,4.24863300,0.02637871,0.65978952,0.09400464,1.55270384,0.60131248,0.08827319,1.22225604,0.75968351
-5.12356178,4.23350778,0.02610585,0.65598186,0.09407837,1.54913333,0.59898973,0.08806770,1.22015860,0.75581709
-5.11755878,4.19919196,0.02570095,0.64879445,0.09372755,1.53936051,0.59456289,0.08747463,1.21242088,0.74820786
-5.11155578,4.14643345,0.02516263,0.63838190,0.09295529,1.52360561,0.58811916,0.08650275,1.19931467,0.73704395
-5.10555278,4.07632999,0.02449361,0.62495591,0.09177332,1.50221451,0.57979228,0.08516807,1.18119451,0.72257694
-5.09954977,3.99027845,0.02370042,0.60877765,0.09020116,1.47563883,0.56975373,0.08349294,1.15848276,0.70511268
-5.09354677,3.88991991,0.02279300,0.59014919,0.08826512,1.44441491,0.55820378,0.08150504,1.13165427,0.68500123
-5.08754377,3.77708356,0.02178428,0.56940453,0.08599715,1.40914284,0.54536286,0.07923634,1.10122141,0.66262646
-5.08154077,3.65373160,0.02068956,0.54690055,0.08343377,1.37046641,0.53146346,0.07672210,1.06772005,0.63839575
-5.07553777,3.52190769,0.01952600,0.52300813,0.08061485,1.32905502,0.51674308,0.07399984,1.03169730,0.61273020
-5.06953477,3.38369053,0.01831198,0.49810402,0.07758259,1.28558778,0.50143840,0.07110849,0.99370128,0.58605563
-5.06353177,3.24115405,0.01706647,0.47256338,0.07438047,1.24074065,0.48578064,0.06808757,0.95427336,0.55879480
-5.05752876,3.09633492,0.01580851,0.44675348,0.07105240,1.19517638,0.46999233,0.06497658,0.91394287,0.53136077
-5.05152576,2.95120768,0.01455665,0.42102849,0.06764201,1.14953748,0.45428527,0.06181447,0.87322428,0.50415167
-5.04552276,2.80766707,0.01332850,0.39572543,0.06419200,1.10444177,0.43885953,0.05863928,0.83261651,0.47754680
-5.03951976,2.66751703,0.01214037,0.37116130,0.06074373,1.06048011,0.42390328,0.05548792,0.79260413,0.45190398
-5.03351676,2.53246516,0.01100691,0.34763127,0.05733691,1.01821589,0.40959314,0.05239599,0.75365986,0.42755792
-5.02751376,2.40412126,0.00994098,0.32540775,0.05400937,0.97818539,0.39609480,0.04939779,0.71624769,0.40481954
-5.02151076,2.28399862,0.00895343,0.30474020,0.05079695,0.94089870,0.38356357,0.04652631,0.68082633,0.38397584
-5.01550775,2.17351643,0.00805310,0.28585547,0.04773343,0.90684032,0.37214472,0.04381326,0.64785200,0.36529024
-5.00950475,2.07400196,0.00724678,0.26895849,0.04485054,0.87646920,0.36197333,0.04128913,0.61778030,0.34900298
-5.00350175,1.98669135,0.00653933,0.25423294,0.04217788,0.85021760,0.35317351,0.03898320,0.59106648,0.33533151
-4.99749875,1.91272798,0.00593373,0.24184199,0.03974293,0.82848877,0.34585718,0.03692347,0.56816386,0.32447054
-4.99149575,1.85315776,0.00543123,0.23192869,0.03757096,0.81165323,0.34012204,0.03513661,0.54952004,0.31659181
-4.98549275,1.80892114,0.00503151,0.22461602,0.03568492,0.80004377,0.33604931,0.03364775,0.53557085,0.31184326
-4.97948974,1.78084181,0.00473281,0.22000648,0.03410528,0.79394944,0.33370099,0.03248021,0.52673200,0.31034780
-4.97348674,1.76961239,0.00453211,0.21818122,0.03284980,0.79360883,0.33311715,0.03165517,0.52338874,0.31220154
-4.96748374,1.77577796,0.00442527,0.21919869,0.03193332,0.79920311,0.33431339,0.03119122,0.52588367,0.31747164
-4.96148074,1.79971799,0.00440711,0.22309282,0.03136744,0.81084923,0.33727863,0.03110392,0.53450327,0.32619388
-4.95547774,1.84162803,0.00447162,0.22987100,0.03116025,0.82859386,0.34197366,0.03140525,0.54946373,0.33837010
-4.94947474,1.90150210,0.00461196,0.23951175,0.03131606,0.85240854,0.34833046,0.03210309,0.57089654,0.35396570
-4.94347174,1.97911702,0.00482064,0.25196248,0.03183517,0.88218632,0.35625260,0.03320067,0.59883488,0.37290729
-4.93746873,2.07401979,0.00508953,0.26713732,0.03271364,0.91774036,0.36561672,0.03469611,0.63320111,0.39508086
-4.93146573,2.18551909,0.00541000,0.28491534,0.03394321,0.95880464,0.37627514,0.03658195,0.67379658,0.42033045
-4.92546273,2.31268165,0.00577301,0.30513923,0.03551126,1.00503682,0.38805963,0.03884483,0.72029399,0.44845756
-4.91945973,2.45433429,0.00616915,0.32761476,0.03740084,1.05602331,0.40078605,0.04146526,0.77223332,0.47922146
-4.91345673,2.60907184,0.00658883,0.35211094,0.03959084,1.11128634,0.41425993,0.04441752,0.82902152,0.51234042
-4.90745373,2.77527127,0.00702232,0.37836118,0.04205627,1.17029277,0.42828252,0.04766971,0.88993657,0.54749388
-4.90145073,2.95111170,0.00745999,0.40606547,0.04476856,1.23246428,0.44265715,0.05118398,0.95413594,0.58432570
-4.89544772,3.13460007,0.00789235,0.43489349,0.04769602,1.29718851,0.45719564,0.05491688,1.02066953,0.62244831
-4.88944472,3.32360151,0.00831031,0.46448880,0.05080427,1.36383062,0.47172430,0.05881991,1.08849696,0.66144770
-4.88344172,3.51587395,0.00870530,0.49447392,0.05405680,1.43174489,0.48608935,0.06284023,1.15650863,0.70088926
-4.87743872,3.70910541,0.00906943,0.52445620,0.05741549,1.50028570,0.50016137,0.06692142,1.22355015,0.74032411
-4.87143572,3.90095325,0.00939568,0.55403439,0.06084113,1.56881763,0.51383857,0.07100449,1.28844926,0.77929595
-4.86543272,4.08908387,0.00967801,0.58280563,0.06429397,1.63672411,0.52704871,0.07502892,1.35004429,0.81734813
-4.85942971,4.27121173,0.00991149,0.61037275,0.06773414,1.70341453,0.53974946,0.07893369,1.40721331,0.85403075
-4.85342671,4.44513653,0.01009240,0.63635155,0.07112212,1.76832942,0.55192721,0.08265854,1.45890268,0.88890772
-4.84742371,4.60877764,0.01021824,0.66037799,0.07441909,1.83094384,0.56359433,0.08614502,1.50415408,0.92156344
-4.84142071,4.76020472,0.01028780,0.68211493,0.07758728,1.89076890,0.57478495,0.08933771,1.54212891,0.95160913
-4.83541771,4.89766421,0.01030107,0.70125840,0.08059024,1.94735165,0.58554954,0.09218523,1.57212924,0.97868851
-4.82941471,5.01960108,0.01025926,0.71754303,0.08339311,2.00027367,0.59594840,0.09464130,1.59361444,1.00248290
-4.82341171,5.12467587,0.01016459,0.73074675,0.08596285,2.04914866,0.60604453,0.09666562,1.60621295,1.02271561
-4.81740870,5.21177711,0.01002028,0.74069450,0.08826855,2.09361965,0.61589624,0.09822467,1.60972889,1.03915559
-4.81140570,5.28002937,0.00983030,0.74726103,0.09028165,2.13335609,0.62554974,0.09929233,1.60414339,1.05162031
-4.80540270,5.32879750,0.00959928,0.75037261,0.09197631,2.16805161,0.63503243,0.09985039,1.58961060,1.05997800
-4.79939970,5.35768772,0.00933227,0.75000785,0.09332981,2.19742271,0.64434701,0.09988888,1.56644900,1.06414916
-4.79339670,5.36654598,0.00903463,0.74619761,0.09432296,2.22120890,0.65346700,0.09940622,1.53512825,1.06410746
-4.78739370,5.35545459,0.00871184,0.73902395,0.09494063,2.23917456,0.66233390,0.09840925,1.49625253,1.05988010
-4.78139070,5.32472735,0.00836938,0.72861842,0.09517229,2.25111278,0.67085627,0.09691300,1.45054095,1.05154758
-4.77538769,5.27490392,0.00801257,0.71515955,0.09501258,2.25685120,0.67891091,0.09494040,1.39880611,1.03924306
-4.76938469,5.20674371,0.00764654,0.69886981,0.09446192,2.25625979,0.68634618,0.09252178,1.34193159,1.02315117
-4.76338169,5.12121935,0.00727609,0.68001203,0.09352698,2.24926023,0.69298738,0.08969424,1.28084932,1.00350647
-4.75737869,5.01950986,0.00690574,0.65888535,0.09222118,2.23583666,0.69864410,0.08650089,1.21651757,0.98059141
-4.75137569,4.90299332,0.00653964,0.63582082,0.09056506,2.21604715,0.70311912,0.08298999,1.14990036,0.95473388
-4.74537269,4.77323869,0.00618163,0.61117675,0.08858638,2.19003528,0.70621866,0.07921401,1.08194879,0.92630425
-4.73936968,4.63199633,0.00583527,0.58533369,0.08632022,2.15804115,0.70776327,0.07522863,1.01358474,0.89571192
-4.73336668,4.48118670,0.00550383,0.55868934,0.08380867,2.12041103,0.70759912,0.07109166,0.94568727,0.86340138
-4.72736368,4.32288669,0.00519039,0.53165320,0.08110044,2.07760499,0.70560886,0.06686206,0.87908176,0.82984768
-4.72136068,4.15931305,0.00489788,0.50464112,0.07825012,2.03020166,0.70172162,0.06259881,0.81453181,0.79555129
-4.71535768,3.99280227,0.00462909,0.47806969,0.07531725,1.97889964,0.69592157,0.05835998,0.75273372,0.76103243
-4.70935468,3.82578672,0.00438672,0.45235064,0.07236514,1.92451491,0.68825452,0.05420178,0.69431336,0.72682468
-4.70335168,3.66076664,0.00417341,0.42788509,0.06945952,1.86797402,0.67883224,0.05017770,0.63982492,0.69346810
-4.69734867,3.50027797,0.00399173,0.40505779,0.06666698,1.81030282,0.66783401,0.04633774,0.58975128,0.66150166
-4.69134567,3.34685610,0.00384416,0.38423134,0.06405336,1.75261066,0.65550544,0.04272781,0.54450551,0.63145528
-4.68534267,3.20299589,0.00373307,0.36574052,0.06168200,1.69607052,0.64215429,0.03938913,0.50443310,0.60384125
-4.67933967,3.07110863,0.00366066,0.34988660,0.05961202,1.64189521,0.62814356,0.03635787,0.46981439,0.57914546
-4.67333667,2.95347665,0.00362894,0.33693190,0.05789671,1.59131049,0.61388193,0.03366485,0.44086701,0.55781834
-4.66733367,2.85220667,0.00363960,0.32709451,0.05658192,1.54552585,0.59981205,0.03133529,0.41774800,0.54026579
-4.66133067,2.76918322,0.00369401,0.32054348,0.05570470,1.50570390,0.58639700,0.02938876,0.40055532,0.52684025
-4.65532766,2.70602353,0.00379309,0.31739435,0.05529212,1.47292943,0.57410553,0.02783918,0.38932882,0.51783229
-4.64932466,2.66403543,0.00393728,0.31770543,0.05536045,1.44817938,0.56339679,0.02669488,0.38405048,0.51346272
-4.64332166,2.64418001,0.00412647,0.32147478,0.05591447,1.43229479,0.55470494,0.02595872,0.38464427,0.51387583
