energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up,Zn_p_up,Zn_d_up
-4.49324662,0.73070797,0.00004964,0.16246693,0.25615273,0.00000000,0.36541656,0.20771376,0.36154500,0.00171598
-4.48724362,0.71840827,0.00004142,0.15646461,0.25319990,0.00000000,0.37232480,0.19719076,0.36712165,0.00170363
-4.48124062,0.70812347,0.00003532,0.15189722,0.24967724,0.00000000,0.37997247,0.18801914,0.37142390,0.00169226
-4.47523762,0.69980682,0.00003101,0.14875070,0.24556846,0.00000000,0.38842257,0.18015627,0.37449907,0.00168124
-4.46923462,0.69345334,0.00002822,0.14700308,0.24089679,0.00000000,0.39774587,0.17356115,0.37643518,0.00167026
-4.46323162,0.68909796,0.00002670,0.14662622,0.23572234,0.00000000,0.40801617,0.16819697,0.37735525,0.00165927
-4.45722861,0.68681079,0.00002626,0.14758711,0.23013833,0.00000000,0.41930483,0.16403256,0.37741042,0.00164847
-4.45122561,0.68669016,0.00002675,0.14984871,0.22426601,0.00000000,0.43167473,0.16104315,0.37677223,0.00163826
-4.44522261,0.68885391,0.00002805,0.15337032,0.21824888,0.00000000,0.44517425,0.15921016,0.37562439,0.00162916
-4.43921961,0.69342960,0.00003008,0.15810772,0.21224613,0.00000000,0.45983164,0.15852038,0.37415474,0.00162182
-4.43321661,0.70054439,0.00003278,0.16401309,0.20642586,0.00000000,0.47565026,0.15896454,0.37254744,0.00161692
-4.42721361,0.71031530,0.00003611,0.17103491,0.20095813,0.00000000,0.49260508,0.16053558,0.37097628,0.00161517
-4.42121061,0.72284042,0.00004007,0.17911789,0.19600836,0.00000000,0.51064069,0.16322658,0.36959895,0.00161723
-4.41520760,0.73819167,0.00004467,0.18820309,0.19173106,0.00000000,0.52967122,0.16702879,0.36855301,0.00162371
-4.40920460,0.75640950,0.00004994,0.19822823,0.18826436,0.00000000,0.54958196,0.17192963,0.36795330,0.00163512
-4.40320160,0.77749968,0.00005594,0.20912834,0.18572534,0.00000000,0.57023287,0.17791096,0.36789112,0.00165188
-4.39719860,0.80143232,0.00006274,0.22083653,0.18420636,0.00000000,0.59146382,0.18494772,0.36843502,0.00167426
-4.39119560,0.82814308,0.00007044,0.23328514,0.18377251,0.00000000,0.61310099,0.19300687,0.36963298,0.00170243
-4.38519260,0.85753607,0.00007914,0.24640690,0.18446014,0.00000000,0.63496438,0.20204674,0.37151587,0.00173644
-4.37918959,0.88948841,0.00008898,0.26013621,0.18627655,0.00000000,0.65687565,0.21201687,0.37410169,0.00177621
-4.37318659,0.92385568,0.00010009,0.27441039,0.18920066,0.00000000,0.67866604,0.22285814,0.37740032,0.00182158
-4.36718359,0.96047793,0.00011262,0.28917071,0.19318481,0.00000000,0.70018358,0.23450329,0.38141838,0.00187229
-4.36118059,0.99918561,0.00012672,0.30436315,0.19815724,0.00000000,0.72129931,0.24687775,0.38616372,0.00192803
-4.35517759,1.03980507,0.00014256,0.31993886,0.20402548,0.00000000,0.74191195,0.25990061,0.39164929,0.00198842
-4.34917459,1.08216296,0.00016027,0.33585407,0.21068016,0.00000000,0.76195078,0.27348586,0.39789594,0.00205306
-4.34317159,1.12608953,0.00017999,0.35206963,0.21799932,0.00000000,0.78137640,0.28754359,0.40493412,0.00212154
-4.33716858,1.17142025,0.00020186,0.36855005,0.22585292,0.00000000,0.80017946,0.30198140,0.41280404,0.00219343
-4.33116558,1.21799599,0.00022594,0.38526210,0.23410735,0.00000000,0.81837725,0.31670563,0.42155463,0.00226829
-4.32516258,1.26566160,0.00025231,0.40217305,0.24262992,0.00000000,0.83600848,0.33162267,0.43124093,0.00234571
-4.31915958,1.31426319,0.00028096,0.41924870,0.25129298,0.00000000,0.85312658,0.34664021,0.44192042,0.00242527
-4.31315658,1.36364432,0.00031187,0.43645131,0.25997773,0.00000000,0.86979183,0.36166836,0.45364827,0.00250652
-4.30715358,1.41364160,0.00034493,0.45373752,0.26857743,0.00000000,0.88606299,0.37662077,0.46647194,0.00258905
-4.30115058,1.46408004,0.00037998,0.47105655,0.27700004,0.00000000,0.90198891,0.39141567,0.48042545,0.00267241
-4.29514757,1.51476876,0.00041680,0.48834880,0.28517016,0.00000000,0.91760068,0.40597685,0.49552365,0.00275611
