energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Cu_p_up,Cu_p_down,Cu_d_up,Cu_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
4.63131566,3.39598446,-3.36750929,0.09298338,-0.07694734,0.97706312,-0.75919743,2.28472517,-2.04816550,0.67317614,-0.63539451,1.22882054,-1.77335816,0.00545373,-0.00527433,0.69015118,-0.75570496,0.00000000,-0.00000000
4.63731866,3.39474003,-3.42046180,0.10208876,-0.08560925,0.97672735,-0.78294853,2.26980235,-2.09003739,0.66718099,-0.64636637,1.14667469,-1.73184713,0.00558679,-0.00540361,0.68674083,-0.75759832,0.00000000,-0.00000000
4.64332166,3.39848606,-3.46824430,0.11137454,-0.09465123,0.97572891,-0.80512009,2.25438852,-2.12605386,0.66101720,-0.65550464,1.06753138,-1.68290973,0.00574374,-0.00554034,0.68518363,-0.75815589,0.00000000,-0.00000000
4.64932466,3.40724207,-3.51124647,0.12071662,-0.10398215,0.97418585,-0.82558251,2.23893081,-2.15649416,0.65482698,-0.66288816,0.99213528,-1.62748851,0.00592299,-0.00568491,0.68549798,-0.75761952,0.00000000,-0.00000000
4.65532766,3.42069709,-3.54991174,0.12997785,-0.11349396,0.97218711,-0.84425336,2.22373569,-2.18173810,0.64871628,-0.66863049,0.92106439,-1.56663543,0.00612204,-0.00583749,0.68761487,-0.75623969,0.00000000,-0.00000000
4.66133067,3.43821942,-3.58469734,0.13901113,-0.12306322,0.96978994,-0.86109654,2.20896598,-2.20224374,0.64275357,-0.67287357,0.85472762,-1.50147402,0.00633750,-0.00599795,0.69138066,-0.75426228,0.00000000,-0.00000000
4.66733367,3.45887970,-3.61603430,0.14766304,-0.13255325,0.96701885,-0.87611930,2.19464388,-2.21852222,0.63697009,-0.67578032,0.79336878,-1.43316024,0.00656518,-0.00616580,0.69656296,-0.75191601,0.00000000,-0.00000000
4.67333667,3.48148619,-3.64428981,0.15577811,-0.14181706,0.96386583,-0.88936751,2.18065949,-2.23111095,0.63136143,-0.67752671,0.73707620,-1.36284381,0.00680017,-0.00634012,0.70285951,-0.74940095,0.00000000,-0.00000000
4.67933967,3.50463021,-3.66973436,0.16320327,-0.15070092,0.96029170,-0.90091949,2.16678396,-2.24054662,0.62589033,-0.67829347,0.68579705,-1.29163177,0.00703695,-0.00651950,0.70990955,-0.74687903,0.00000000,-0.00000000
4.68534267,3.52673998,-3.69251562,0.16979265,-0.15904848,0.95622841,-0.91087867,2.15268631,-2.24733932,0.62049040,-0.67825806,0.63935549,-1.22055577,0.00726961,-0.00670206,0.71730711,-0.74446677,0.00000000,-0.00000000
4.69134567,3.54613998,-3.71264081,0.17541224,-0.16670518,0.95158215,-0.91936573,2.13795307,-2.25194911,0.61507048,-0.67758719,0.59747337,-1.15054442,0.00749196,-0.00688541,0.72461574,-0.74223084,0.00000000,-0.00000000
4.69734867,3.56111363,-3.72996828,0.17994438,-0.17352308,0.94623709,-0.92651040,2.12210955,-2.25476618,0.60951952,-0.67643018,0.55979249,-1.08240157,0.00769775,-0.00706671,0.73138399,-0.74018631,0.00000000,-0.00000000
4.70335168,3.56996632,-3.74420913,0.18329178,-0.17936548,0.94005955,-0.93244364,2.10464210,-2.25609558,0.60371168,-0.67491363,0.52589731,-1.01679121,0.00788089,-0.00724272,0.73716111,-0.73829794,0.00000000,-0.00000000
4.70935468,3.57108656,-3.75493830,0.18538094,-0.18411152,0.93290263,-0.93729036,2.08502029,-2.25614697,0.59751161,-0.67313742,0.49533718,-0.95422909,0.00803560,-0.00740986,0.74151227,-0.73648402,0.00000000,-0.00000000
4.71535768,3.56300274,-3.76161457,0.18616480,-0.18766031,0.92461102,-0.94116309,2.06271852,-2.25503009,0.59077960,-0.67117223,0.46764718,-0.89508099,0.00815665,-0.00756435,0.74403287,-0.73462261,0.00000000,-0.00000000
4.72136068,3.54443360,-3.76360810,0.18562441,-0.18993450,0.91502618,-0.94415689,2.03723633,-2.25275547,0.58337669,-0.66905867,0.44236688,-0.83956727,0.00823950,-0.00770231,0.74436140,-0.73255970,0.00000000,-0.00000000
4.72736368,3.51433073,-3.76023359,0.18376967,-0.19088302,0.90399163,-0.94634556,2.00811705,-2.24924054,0.57516947,-0.66680780,0.41905666,-0.78777281,0.00828047,-0.00781988,0.74219038,-0.73011867,0.00000000,-0.00000000
4.73336668,3.47191190,-3.75078712,0.18063905,-0.19048304,0.89135842,-0.94777914,1.97496445,-2.24432013,0.56603462,-0.66440304,0.39731096,-0.73966150,0.00827683,-0.00791338,0.73727530,-0.72711049,0.00000000,-0.00000000
4.73936968,3.41668434,-3.73458436,0.17629821,-0.18874079,0.87699064,-0.94848287,1.93745700,-2.23776071,0.55586316,-0.66180319,0.37676855,-0.69509430,0.00822690,-0.00797943,0.72944104,-0.72334413,0.00000000,-0.00000000
4.74537269,3.34845770,-3.71099777,0.17083783,-0.18569149,0.86077095,-0.94845729,1.89535969,-2.22927737,0.54456423,-0.65894630,0.35711966,-0.65384950,0.00813010,-0.00801509,0.71858591,-0.71863640,0.00000000,-0.00000000
4.75137569,3.26734669,-3.67949081,0.16437049,-0.18139811,0.84260593,-0.94767931,1.84853314,-2.21855219,0.53206842,-0.65575404,0.33811008,-0.61564415,0.00798694,-0.00801797,0.70468323,-0.71282090,0.00000000,-0.00000000
4.75737869,3.17376386,-3.63964718,0.15702693,-0.17594932,0.82243106,-0.94610428,1.79694001,-2.20525314,0.51833061,-0.65213645,0.31954249,-0.58015560,0.00779900,-0.00798631,0.68778040,-0.70575552,0.00000000,-0.00000000
