energy_ev,total_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
1.94197099,2.16294837,0.09229529,0.29417005,0.73535767,0.19917426,0.42789828,0.00000000,0.67456856,1.17973254
1.94797399,2.27426235,0.09848915,0.30866656,0.77740954,0.20950442,0.45260169,0.00000000,0.71811669,1.23677992
1.95397699,2.38754353,0.10445173,0.32267977,0.81911126,0.21983079,0.47711025,0.00000000,0.76102269,1.29666726
1.95997999,2.50070253,0.11007287,0.33592943,0.85973217,0.22995186,0.50100668,0.00000000,0.80259772,1.35829060
1.96598299,2.61153716,0.11524548,0.34813717,0.89852379,0.23965978,0.52386316,0.00000000,0.84215322,1.42044272
1.97198599,2.71779011,0.11986843,0.35903508,0.93474035,0.24874617,0.54525206,0.00000000,0.87901576,1.48184373
1.97798899,2.81721063,0.12384930,0.36837419,0.96765986,0.25700825,0.56475736,0.00000000,0.91254240,1.54117538
1.98399200,2.90761820,0.12710702,0.37593256,0.99660485,0.26425485,0.58198612,0.00000000,0.94213599,1.59711767
1.98999500,2.98696564,0.12957430,0.38152248,1.02096210,0.27031227,0.59657976,0.00000000,0.96725990,1.64838658
1.99599800,3.05339950,0.13119958,0.38499668,1.04020048,0.27502951,0.60822453,0.00000000,0.98745160,1.69377170
2.00200100,3.10531527,0.13194859,0.38625306,1.05388626,0.27828292,0.61666093,0.00000000,1.00233458,1.73217227
2.00800400,3.14140552,0.13180533,0.38523798,1.06169532,0.27997989,0.62169156,0.00000000,1.01162809,1.76263041
2.01400700,3.16069908,0.13077251,0.38194780,1.06342184,0.28006153,0.62318716,0.00000000,1.01515442,1.78436034
2.02001001,3.16258983,0.12887127,0.37642875,1.05898314,0.27850424,0.62109068,0.00000000,1.01284335,1.79677248
2.02601301,3.14685418,0.12614048,0.36877514,1.04842064,0.27532014,0.61541898,0.00000000,1.00473368,1.79949152
2.03201601,3.11365666,0.12263529,0.35912601,1.03189696,0.27055625,0.60626244,0.00000000,0.99097180,1.79236796
2.03801901,3.06354356,0.11842530,0.34766037,1.00968942,0.26429269,0.59378225,0.00000000,0.97180734,1.77548257
2.04402201,2.99742515,0.11359232,0.33459138,0.98218022,0.25663981,0.57820562,0.00000000,0.94758617,1.74914377
2.05002501,2.91654729,0.10822772,0.32015964,0.94984395,0.24773447,0.55981915,0.00000000,0.91874106,1.71387805
2.05602801,2.82245380,0.10242972,0.30462592,0.91323286,0.23773566,0.53896062,0.00000000,0.88578036,1.67041393
2.06203102,2.71694106,0.09630052,0.28826366,0.87296056,0.22681961,0.51600953,0.00000000,0.84927512,1.61966012
2.06803402,2.60200690,0.08994346,0.27135154,0.82968493,0.21517462,0.49137681,0.00000000,0.80984534,1.56267870
2.07403702,2.47979562,0.08346040,0.25416636,0.78409071,0.20299583,0.46549410,0.00000000,0.76814554,1.50065462
2.08004002,2.35254122,0.07694926,0.23697655,0.73687251,0.19048009,0.43880294,0.00000000,0.72485044,1.43486232
2.08604302,2.22251087,0.07050194,0.22003637,0.68871880,0.17782112,0.41174435,0.00000000,0.68064101,1.36663111
2.09204602,2.09195041,0.06420258,0.20358111,0.64029729,0.16520513,0.38474900,0.00000000,0.63619138,1.29731018
2.09804902,1.96303359,0.05812624,0.18782323,0.59224204,0.15280699,0.35822833,0.00000000,0.59215687,1.22823459
2.10405203,1.83781632,0.05233798,0.17294959,0.54514270,0.14078705,0.33256689,0.00000000,0.54916337,1.16069330
2.11005503,1.71819707,0.04689238,0.15911965,0.49953587,0.12928868,0.30811589,0.00000000,0.50779833,1.09589991
2.11605803,1.60588396,0.04183342,0.14646467,0.45589866,0.11843649,0.28518816,0.00000000,0.46860318,1.03496723
2.12206103,1.50236913,0.03719469,0.13508772,0.41464453,0.10833526,0.26405442,0.00000000,0.43206743,0.97888573
2.12806403,1.40891019,0.03299990,0.12506442,0.37612098,0.09906949,0.24494098,0.00000000,0.39862412,0.92850661
2.13406703,1.32651862,0.02926359,0.11644433,0.34060922,0.09070359,0.22802849,0.00000000,0.36864659,0.88452927
2.14007004,1.25595460,0.02599203,0.10925265,0.30832525,0.08328241,0.21345189,0.00000000,0.34244628,0.84749338
2.14607304,1.19772753,0.02318416,0.10349227,0.27942223,0.07683234,0.20130109,0.00000000,0.32027145,0.81777513
2.15207604,1.15210152,0.02083257,0.09914588,0.25399384,0.07136254,0.19162244,0.00000000,0.30230650,0.79558739
2.15807904,1.11910486,0.01892450,0.09617818,0.23207819,0.06686644,0.18442069,0.00000000,0.28867175,0.78098334
2.16408204,1.09854271,0.01744272,0.09453786,0.21366218,0.06332331,0.17966132,0.00000000,0.27942350,0.77386311
2.17008504,1.09001217,0.01636634,0.09415947,0.19868594,0.06069982,0.17727298,0.00000000,0.27455422,0.77398276
2.17608804,1.09291901,0.01567150,0.09496508,0.18704724,0.05895161,0.17715021,0.00000000,0.27399301,0.78096536
2.18209105,1.10649554,0.01533192,0.09686564,0.17860571,0.05802474,0.17915603,0.00000000,0.27760605,0.79431345
2.18809405,1.12981915,0.01531932,0.09976219,0.17318679,0.05785700,0.18312471,0.00000000,0.28519745,0.81342268
2.19409705,1.16183141,0.01560381,0.10354682,0.17058541,0.05837917,0.18886450,0.00000000,0.29651039,0.83759625
