energy_ev,total_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-3.43671836,0.56739237,0.33651750,0.00041166,0.00007418,0.08743441,0.14446909,0.22220762
-3.43071536,0.59311504,0.34891374,0.00046426,0.00008365,0.08618739,0.14567982,0.23549665
-3.42471236,0.62089079,0.36226453,0.00051981,0.00009366,0.08482211,0.14700433,0.24998367
-3.41870935,0.65052890,0.37649984,0.00057783,0.00010412,0.08338339,0.14846665,0.26553615
-3.41270635,0.68174003,0.39149703,0.00063772,0.00011491,0.08191080,0.15007528,0.28197463
-3.40670335,0.71413689,0.40708028,0.00069876,0.00012590,0.08043712,0.15182183,0.29907451
-3.40070035,0.74723929,0.42302235,0.00076014,0.00013696,0.07898716,0.15368048,0.31656974
-3.39469735,0.78048341,0.43904887,0.00082097,0.00014793,0.07757707,0.15560828,0.33415837
-3.38869435,0.81323542,0.45484497,0.00088031,0.00015862,0.07621409,0.15754643,0.35150972
-3.38269135,0.84480887,0.47006424,0.00093716,0.00016886,0.07489682,0.15942234,0.36827326
-3.37668834,0.87448552,0.48433957,0.00099051,0.00017847,0.07361588,0.16115252,0.38408870
-3.37068534,0.90153852,0.49729553,0.00103939,0.00018728,0.07235503,0.16264609,0.39859696
-3.36468234,0.92525726,0.50856165,0.00108284,0.00019511,0.07109261,0.16380874,0.41145173
-3.35867934,0.94497262,0.51778622,0.00112001,0.00020181,0.06980319,0.16454704,0.42233098
-3.35267634,0.96008160,0.52464972,0.00115013,0.00020723,0.06845937,0.16477276,0.43094802
-3.34667334,0.97007003,0.52887738,0.00117258,0.00021128,0.06703361,0.16440703,0.43706157
-3.34067034,0.97453249,0.53025027,0.00118689,0.00021386,0.06550002,0.16338422,0.44048442
-3.33466733,0.97318832,0.52861435,0.00119275,0.00021491,0.06383597,0.16165522,0.44109026
-3.32866433,0.96589307,0.52388705,0.00119002,0.00021442,0.06202342,0.15919003,0.43881839
-3.32266133,0.95264484,0.51606115,0.00117878,0.00021240,0.06005004,0.15597959,0.43367601
-3.31665833,0.93358526,0.50520568,0.00115926,0.00020888,0.05790991,0.15203668,0.42573816
