energy_ev,total_up,Ga_p_up,Ga_d_up,Se_s_up,Se_p_up,W_p_up,W_d_up
0.21910955,1.66837020,0.36929576,0.00000000,0.01749299,0.09932942,0.55959868,1.42277589
0.22511256,1.56377548,0.34588609,0.00000000,0.01615020,0.08980263,0.51534554,1.33969653
0.23111556,1.46430248,0.32371488,0.00000000,0.01488494,0.08092702,0.47349570,1.26025269
0.23711856,1.37005476,0.30281448,0.00000000,0.01370511,0.07273134,0.43424888,1.18446807
0.24312156,1.28109144,0.28320663,0.00000000,0.01261599,0.06523109,0.39775327,1.11235038
0.24912456,1.19744062,0.26490659,0.00000000,0.01162047,0.05843000,0.36411103,1.04390137
0.25512756,1.11911370,0.24792751,0.00000000,0.01071934,0.05232178,0.33338561,0.97912680
0.26113057,1.04612030,0.23228510,0.00000000,0.00991173,0.04689216,0.30561053,0.91804611
0.26713357,0.97848347,0.21800243,0.00000000,0.00919546,0.04212105,0.28079923,0.86070173
0.27313657,0.91625467,0.20511470,0.00000000,0.00856756,0.03798486,0.25895577,0.80716775
0.27913957,0.85952833,0.19367399,0.00000000,0.00802468,0.03445870,0.24008580,0.75755794
0.28514257,0.80845539,0.18375369,0.00000000,0.00756355,0.03151860,0.22420760,0.71203286
0.29114557,0.76325564,0.17545266,0.00000000,0.00718145,0.02914350,0.21136264,0.67080588
0.29714857,0.72422809,0.16889880,0.00000000,0.00687658,0.02731703,0.20162534,0.63414797
0.30315158,0.69175909,0.16425193,0.00000000,0.00664843,0.02602904,0.19511161,0.60239087
0.30915458,0.66632768,0.16170583,0.00000000,0.00649801,0.02527680,0.19198582,0.57592848
0.31515758,0.64850740,0.16148916,0.00000000,0.00642813,0.02506575,0.19246581,0.55521605
0.32116058,0.63896424,0.16386509,0.00000000,0.00644351,0.02540995,0.19682552,0.54076679
0.32716358,0.63845012,0.16912944,0.00000000,0.00655082,0.02633206,0.20539504,0.53314563
0.33316658,0.64779127,0.17760713,0.00000000,0.00675862,0.02786280,0.21855773,0.53295977
0.33916958,0.66787145,0.18964672,0.00000000,0.00707727,0.03004009,0.23674415,0.54084571
0.34517259,0.69960941,0.20561297,0.00000000,0.00751866,0.03290758,0.26042266,0.55745267
0.35117559,0.74393078,0.22587731,0.00000000,0.00809588,0.03651287,0.29008665,0.58342230
0.35717859,0.80173453,0.25080623,0.00000000,0.00882280,0.04090517,0.32623832,0.61936485
0.36318159,0.87385441,0.28074773,0.00000000,0.00971358,0.04613274,0.36936936,0.66583219
0.36918459,0.96101615,0.31601597,0.00000000,0.01078204,0.05223986,0.41993861,0.72328807
0.37518759,1.06379168,0.35687452,0.00000000,0.01204103,0.05926370,0.47834746,0.79207672
0.38119060,1.18255154,0.40351865,0.00000000,0.01350173,0.06723095,0.54491344,0.87239049
0.38719360,1.31741761,0.45605727,0.00000000,0.01517288,0.07615446,0.61984294,0.96423813
0.39319660,1.46821782,0.51449524,0.00000000,0.01706006,0.08603004,0.70320411,1.06741482
0.39919960,1.63444541,0.57871679,0.00000000,0.01916496,0.09683348,0.79490109,1.18147587
0.40520260,1.81522486,0.64847102,0.00000000,0.02148472,0.10851794,0.89465070,1.30571542
0.41120560,2.00928698,0.72336039,0.00000000,0.02401132,0.12101203,1.00196324,1.43915195
0.41720860,2.21495536,0.80283288,0.00000000,0.02673112,0.13421851,1.11612835,1.58052204
0.42321161,2.43014606,0.88617901,0.00000000,0.02962457,0.14801385,1.23620747,1.72828357
0.42921461,2.65238214,0.97253400,0.00000000,0.03266601,0.16224884,1.36103377,1.88062946
0.43521761,2.87882397,1.06088588,0.00000000,0.03582378,0.17675010,1.48922053,2.03551236
0.44122061,3.10631562,1.15008966,0.00000000,0.03906052,0.19132278,1.61917845,2.19068044
0.44722361,3.33144690,1.23888765,0.00000000,0.04233366,0.20575419,1.74914199,2.34372372
0.45322661,3.55062979,1.32593556,0.00000000,0.04559619,0.21981851,1.87720448,2.49213001
0.45922961,3.76018717,1.40983384,0.00000000,0.04879763,0.23328229,2.00136137,2.63334869
0.46523262,3.95645115,1.48916331,0.00000000,0.05188525,0.24591064,2.11956017,2.76486052
0.47123562,4.13586738,1.56252393,0.00000000,0.05480534,0.25747387,2.22975582,2.88425068
0.47723862,4.29510152,1.62857526,0.00000000,0.05750476,0.26775435,2.32996910,2.98928235
0.48324162,4.43114349,1.68607702,0.00000000,0.05993239,0.27655326,2.41834625,3.07796793
0.48924462,4.54140517,1.73392816,0.00000000,0.06204072,0.28369701,2.49321701,3.14863455
0.49524762,4.62380715,1.77120260,0.00000000,0.06378729,0.28904295,2.55314877,3.19998141
0.50125063,4.67685089,1.79718028,0.00000000,0.06513609,0.29248416,2.59699447,3.23112601
0.50725363,4.69967268,1.81137186,0.00000000,0.06605868,0.29395319,2.62393193,3.24163731
0.51325663,4.69207705,1.81353620,0.00000000,0.06653519,0.29342430,2.63349300,3.23155421
0.51925963,4.65454804,1.80368951,0.00000000,0.06655494,0.29091447,2.62558089,3.20138845
0.52526263,4.58823754,1.78210601,0.00000000,0.06611680,0.28648271,2.60047515,3.15211167
0.53126563,4.49493132,1.74930980,0.00000000,0.06522922,0.28022811,2.55882377,3.08512722
0.53726863,4.37699419,1.70605852,0.00000000,0.06390992,0.27228640,2.50162304,3.00222780
0.54327164,4.23729654,1.65331943,0.00000000,0.06218528,0.26282533,2.43018580,2.90554079
0.54927464,4.07912563,1.59223896,0.00000000,0.06008943,0.25203912,2.34609982,2.79746362
0.55527764,3.90608518,1.52410721,0.00000000,0.05766313,0.24014212,2.25117801,2.68059167
0.56128064,3.72198758,1.45031882,0.00000000,0.05495239,0.22736205,2.14740272,2.55764172
0.56728364,3.53074295,1.37233192,0.00000000,0.05200707,0.21393307,2.03686660,2.43137383
0.57328664,3.33624919,1.29162677,0.00000000,0.04887929,0.20008903,1.92171240,2.30451451
0.57928964,3.14228722,1.20966576,0.00000000,0.04562196,0.18605707,1.80407402,2.17968388
0.58529265,2.95242459,1.12785614,0.00000000,0.04228730,0.17205189,1.68602124,2.05932905
0.59129565,2.76993077,1.04751665,0.00000000,0.03892546,0.15827083,1.56950969,1.94566570
0.59729865,2.59770596,0.96984917,0.00000000,0.03558338,0.14488994,1.45633785,1.84062938
0.60330165,2.43822532,0.89591585,0.00000000,0.03230374,0.13206107,1.34811191,1.74583738
0.60930465,2.29349909,0.82662232,0.00000000,0.02912426,0.11991003,1.24621926,1.66256179
0.61530765,2.16504903,0.76270676,0.00000000,0.02607710,0.10853582,1.15181078,1.59171388
0.62131066,2.05390039,0.70473500,0.00000000,0.02318860,0.09801082,1.06579163,1.53383935
0.62731366,1.96058861,0.65310092,0.00000000,0.02047917,0.08838182,0.98882003,1.48912403
0.63331666,1.88517931,0.60803182,0.00000000,0.01796342,0.07967188,0.92131318,1.45740896
0.63931966,1.82729977,0.56959786,0.00000000,0.01565043,0.07188260,0.86345926,1.43821398
0.64532266,1.78618011,0.53772495,0.00000000,0.01354423,0.06499698,0.81523433,1.43076848
0.65132566,1.76070216,0.51221013,0.00000000,0.01164431,0.05898240,0.77642301,1.43404808
0.65732866,1.74945405,0.49273881,0.00000000,0.00994624,0.05379374,0.74664170,1.44681611
0.66333167,1.75078855,0.47890299,0.00000000,0.00844234,0.04937650,0.72536326,1.46766823
0.66933467,1.76288340,0.47021987,0.00000000,0.00712235,0.04566973,0.71194231,1.49507923
0.67533767,1.78380181,0.46615032,0.00000000,0.00597406,0.04260870,0.70564020,1.52745055
0.68134067,1.81155167,0.46611655,0.00000000,0.00498395,0.04012728,0.70564915,1.56315730
0.68734367,1.84414195,0.46951885,0.00000000,0.00413773,0.03815999,0.71111506,1.60059364
0.69334667,1.87963510,0.47575091,0.00000000,0.00342079,0.03664363,0.72115854,1.63821529
0.69934967,1.91619420,0.48421359,0.00000000,0.00281870,0.03551853,0.73489419,1.67457824
0.70535268,1.95212410,0.49432698,0.00000000,0.00231744,0.03472947,0.75144779,1.70837257
0.71135568,1.98590560,0.50554066,0.00000000,0.00190375,0.03422623,0.76997150,1.73845057
0.71735868,2.01622210,0.51734217,0.00000000,0.00156528,0.03396387,0.78965703,1.76384857
0.72336168,2.04197854,0.52926362,0.00000000,0.00129068,0.03390271,0.80974685,1.78380187
0.72936468,2.06231221,0.54088649,0.00000000,0.00106977,0.03400818,0.82954345,1.79775267
0.73536768,2.07659581,0.55184480,0.00000000,0.00089345,0.03425042,0.84841672,1.80535089
0.74137069,2.08443299,0.56182660,0.00000000,0.00075378,0.03460383,0.86580954,1.80644820
0.74737369,2.08564710,0.57057406,0.00000000,0.00064387,0.03504658,0.88124165,1.80108586
0.75337669,2.08026406,0.57788224,0.00000000,0.00055787,0.03556000,0.89431184,1.78947711
0.75937969,2.06849040,0.58359676,0.00000000,0.00049086,0.03612812,0.90469857,1.77198529
0.76538269,2.05068789,0.58761063,0.00000000,0.00043879,0.03673719,0.91215929,1.74909871
0.77138569,2.02734606,0.58986052,0.00000000,0.00039835,0.03737528,0.91652834,1.72140388
0.77738869,1.99905413,0.59032255,0.00000000,0.00036695,0.03803202,0.91771392,1.68955828
0.78339170,1.96647374,0.58900811,0.00000000,0.00034258,0.03869841,0.91569412,1.65426414
0.78939470,1.93031375,0.58595968,0.00000000,0.00032379,0.03936683,0.91051238,1.61624447
0.79539770,1.89130827,0.58124716,0.00000000,0.00030955,0.04003106,0.90227249,1.57622238
0.80140070,1.85019863,0.57496449,0.00000000,0.00029925,0.04068653,0.89113338,1.53490449
0.80740370,1.80771987,0.56722709,0.00000000,0.00029263,0.04133055,0.87730401,1.49296894
0.81340670,1.76459193,0.55816982,0.00000000,0.00028973,0.04196269,0.86103817,1.45105819
0.81940970,1.72151529,0.54794561,0.00000000,0.00029082,0.04258514,0.84262973,1.40977640
0.82541271,1.67917054,0.53672465,0.00000000,0.00029642,0.04320307,0.82240788,1.36969089
0.83141571,1.63822109,0.52469392,0.00000000,0.00030723,0.04382495,0.80073273,1.33133704
0.83741871,1.59931798,0.51205696,0.00000000,0.00032412,0.04446276,0.77799081,1.29522542
0.84342171,1.56310554,0.49903351,0.00000000,0.00034807,0.04513207,0.75459063,1.26185020
0.84942471,1.53022669,0.48585885,0.00000000,0.00038018,0.04585199,0.73095787,1.23169749
0.85542771,1.50132660,0.47278262,0.00000000,0.00042163,0.04664480,0.70753015,1.20525253
0.86143072,1.47705370,0.46006669,0.00000000,0.00047364,0.04753554,0.68475113,1.18300448
0.86743372,1.45805698,0.44798216,0.00000000,0.00053744,0.04855119,0.66306379,1.16544798
0.87343672,1.44497922,0.43680520,0.00000000,0.00061422,0.04971973,0.64290288,1.15308083
0.87943972,1.43844555,0.42681164,0.00000000,0.00070512,0.05106903,0.62468642,1.14639725
0.88544272,1.43904764,0.41827055,0.00000000,0.00081113,0.05262546,0.60880640,1.14587680
0.89144572,1.44732385,0.41143676,0.00000000,0.00093309,0.05441251,0.59561889,1.15196907
0.89744872,1.46373615,0.40654263,0.00000000,0.00107163,0.05644928,0.58543369,1.16507481
0.90345173,1.48864477,0.40378933,0.00000000,0.00122709,0.05874906,0.57850413,1.18552432
0.90945473,1.52228208,0.40333808,0.00000000,0.00139947,0.06131791,0.57501722,1.21355414
0.91545773,1.56472701,0.40530173,0.00000000,0.00158842,0.06415355,0.57508481,1.24928344
0.92146073,1.61588168,0.40973714,0.00000000,0.00179317,0.06724441,0.57873616,1.29269137
0.92746373,1.67545183,0.41663879,0.00000000,0.00201250,0.07056903,0.58591264,1.34359693
0.93346673,1.74293241,0.42593416,0.00000000,0.00224472,0.07409591,0.59646467,1.40164267
0.93946973,1.81759978,0.43748121,0.00000000,0.00248768,0.07778370,0.61015171,1.46628348
0.94547274,1.89851148,0.45106823,0.00000000,0.00273878,0.08158193,0.62664531,1.53678172
0.95147574,1.98451421,0.46641640,0.00000000,0.00299500,0.08543210,0.64553547,1.61220919
0.95747874,2.07426057,0.48318508,0.00000000,0.00325294,0.08926936,0.66634039,1.69145690
0.96348174,2.16623432,0.50097993,0.00000000,0.00350894,0.09302440,0.68851940,1.77325235
