energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Li_s_up,Te_p_up,Te_d_up
-5.37568784,3.67451485,0.02510169,0.76273348,1.44696089,1.28719333,0.28580421,1.53499355,0.00000000
-5.36968484,3.60961117,0.02659068,0.72280258,1.41511570,1.22387474,0.28972244,1.53888748,0.00000000
-5.36368184,3.54746149,0.02810149,0.68466118,1.38441464,1.16332069,0.29371388,1.54253217,0.00000000
-5.35767884,3.48902223,0.02962256,0.64867216,1.35523167,1.10616702,0.29776148,1.54615647,0.00000000
-5.35167584,3.43505396,0.03114095,0.61511946,1.32785462,1.05292198,0.30183356,1.54995277,0.00000000
-5.34567284,3.38610558,0.03264237,0.58420716,1.30248175,1.00396279,0.30588419,1.55406704,0.00000000
-5.33966983,3.34250800,0.03411132,0.55606121,1.27922233,0.95953670,0.30985436,1.55859222,0.00000000
-5.33366683,3.30437714,0.03553136,0.53073354,1.25810074,0.91976599,0.31367390,1.56356494,0.00000000
-5.32766383,3.27162542,0.03688538,0.50820822,1.23906378,0.88465647,0.31726399,1.56896566,0.00000000
-5.32166083,3.24398052,0.03815602,0.48840915,1.22199062,0.85410889,0.32054010,1.57472181,0.00000000
-5.31565783,3.22101029,0.03932603,0.47120898,1.20670469,0.82793247,0.32341529,1.58071365,0.00000000
-5.30965483,3.20215225,0.04037884,0.45643879,1.19298687,0.80586011,0.32580358,1.58678234,0.00000000
-5.30365183,3.18674611,0.04129894,0.44389822,1.18058939,0.78756458,0.32762324,1.59273950,0.00000000
-5.29764882,3.17406785,0.04207245,0.43336556,1.16924970,0.77267504,0.32879994,1.59837776,0.00000000
-5.29164582,3.16336380,0.04268749,0.42460771,1.15870379,0.76079349,0.32926947,1.60348159,0.00000000
-5.28564282,3.15388328,0.04313466,0.41738953,1.14869844,0.75151063,0.32897997,1.60783773,0.00000000
-5.27963982,3.14490878,0.04340726,0.41148256,1.13900197,0.74442063,0.32789363,1.61124474,0.00000000
-5.27363682,3.13578237,0.04350160,0.40667274,1.12941317,0.73913462,0.32598778,1.61352112,0.00000000
-5.26763382,3.12592776,0.04341707,0.40276709,1.11976816,0.73529241,0.32325528,1.61451178,0.00000000
-5.26163082,3.11486733,0.04315617,0.39959920,1.10994520,0.73257242,0.31970433,1.61409246,0.00000000
-5.25562781,3.10223374,0.04272440,0.39703341,1.09986718,0.73069929,0.31535777,1.61217218,0.00000000
-5.24962481,3.08777616,0.04213004,0.39496754,1.08950201,0.72944942,0.31025176,1.60869361,0.00000000
-5.24362181,3.07136106,0.04138386,0.39333430,1.07886111,0.72865404,0.30443425,1.60363175,0.00000000
-5.23761881,3.05296800,0.04049875,0.39210114,1.06799590,0.72819993,0.29796296,1.59699096,0.00000000
-5.23161581,3.03268082,0.03948922,0.39126862,1.05699291,0.72802774,0.29090341,1.58880087,0.00000000
-5.22561281,3.01067495,0.03837098,0.39086740,1.04596745,0.72812809,0.28332666,1.57911151,0.00000000
-5.21960980,2.98720152,0.03716044,0.39095385,1.03505637,0.72853553,0.27530732,1.56798819,0.00000000
-5.21360680,2.96256912,0.03587419,0.39160441,1.02441010,0.72932066,0.26692152,1.55550634,0.00000000
-5.20760380,2.93712411,0.03452864,0.39290893,1.01418439,0.73058065,0.25824517,1.54174701,0.00000000
-5.20160080,2.91123037,0.03313953,0.39496320,1.00453198,0.73242860,0.24935246,1.52679302,0.00000000
-5.19559780,2.88524930,0.03172171,0.39786087,0.99559451,0.73498212,0.24031462,1.51072625,0.00000000
-5.18959480,2.85952101,0.03028879,0.40168518,0.98749510,0.73835167,0.23119902,1.49362606,0.00000000
-5.18359180,2.83434722,0.02885307,0.40650086,0.98033161,0.74262911,0.22206849,1.47556889,0.00000000
-5.17758879,2.80997683,0.02742538,0.41234647,0.97417111,0.74787703,0.21298099,1.45662897,0.00000000
-5.17158579,2.78659429,0.02601509,0.41922763,0.96904545,0.75411938,0.20398939,1.43687997,0.00000000
-5.16558279,2.76431146,0.02463018,0.42711154,0.96494834,0.76133386,0.19514152,1.41639732,0.00000000
-5.15957979,2.74316293,0.02327731,0.43592300,0.96183388,0.76944650,0.18648029,1.39526090,0.00000000
-5.15357679,2.72310514,0.02196197,0.44554238,0.95961667,0.77832871,0.17804395,1.37355775,0.00000000
-5.14757379,2.70401891,0.02068868,0.45580550,0.95817346,0.78779718,0.16986631,1.35138449,0.00000000
-5.14157079,2.68571545,0.01946110,0.46650575,0.95734631,0.79761653,0.16197701,1.32884912,0.00000000
-5.13556778,2.66794524,0.01828225,0.47739838,0.95694717,0.80750481,0.15440170,1.30607191,0.00000000
-5.12956478,2.65040958,0.01715463,0.48820674,0.95676358,0.81714165,0.14716227,1.28318528,0.00000000
-5.12356178,2.63277403,0.01608036,0.49863048,0.95656553,0.82617870,0.14027687,1.26033249,0.00000000
-5.11755878,2.61468318,0.01506125,0.50835522,0.95611289,0.83425197,0.13375996,1.23766509,0.00000000
-5.11155578,2.59577618,0.01409890,0.51706335,0.95516346,0.84099557,0.12762228,1.21533934,0.00000000
-5.10555278,2.57570226,0.01319468,0.52444555,0.95348104,0.84605605,0.12187077,1.19351170,0.00000000
-5.09954977,2.55413553,0.01234976,0.53021240,0.95084338,0.84910695,0.11650848,1.17233355,0.00000000
-5.09354677,2.53078871,0.01156507,0.53410565,0.94704957,0.84986261,0.11153449,1.15194567,0.00000000
-5.08754377,2.50542487,0.01084126,0.53590861,0.94192675,0.84809078,0.10694384,1.13247249,0.00000000
-5.08154077,2.47786720,0.01017861,0.53545512,0.93533561,0.84362340,0.10272758,1.11401683,0.00000000
-5.07553777,2.44800614,0.00957706,0.53263678,0.92717477,0.83636494,0.09887288,1.09665511,0.00000000
-5.06953477,2.41580391,0.00903605,0.52740805,0.91738366,0.82629817,0.09536321,1.08043366,0.00000000
-5.06353177,2.38129636,0.00855459,0.51978909,0.90594396,0.81348694,0.09217874,1.06536615,0.00000000
-5.05752876,2.34459226,0.00813121,0.50986611,0.89287957,0.79807591,0.08929677,1.05143246,0.00000000
-5.05152576,2.30587023,0.00776394,0.49778939,0.87825505,0.78028747,0.08669235,1.03857908,0.00000000
-5.04552276,2.26537371,0.00745043,0.48376900,0.86217294,0.76041587,0.08433902,1.02672110,0.00000000
-5.03951976,2.22340430,0.00718794,0.46806863,0.84476984,0.73881905,0.08220963,1.01574572,0.00000000
-5.03351676,2.18031401,0.00697348,0.45099754,0.82621173,0.71590848,0.08027726,1.00551719,0.00000000
-5.02751376,2.13649689,0.00680392,0.43290142,0.80668869,0.69213761,0.07851614,0.99588290,0.00000000
-5.02151076,2.09238040,0.00667608,0.41415221,0.78640928,0.66798942,0.07690268,0.98668059,0.00000000
-5.01550775,2.04841697,0.00658693,0.39513758,0.76559491,0.64396362,0.07541636,0.97774604,0.00000000
-5.00950475,2.00507610,0.00653369,0.37625036,0.74447445,0.62056385,0.07404064,0.96892124,0.00000000
-5.00350175,1.96283704,0.00651394,0.35787831,0.72327918,0.59828560,0.07276370,0.96006243,0.00000000
-4.99749875,1.92218230,0.00652581,0.34039456,0.70223839,0.57760487,0.07157913,0.95104779,0.00000000
-4.99149575,1.88359187,0.00656800,0.32414906,0.68157558,0.55896805,0.07048634,0.94178437,0.00000000
-4.98549275,1.84753806,0.00663993,0.30946108,0.66150543,0.54278314,0.06949087,0.93221395,0.00000000
-4.97948974,1.81448073,0.00674170,0.29661307,0.64223135,0.52941230,0.06860448,0.92231757,0.00000000
