energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,S_s_up,S_p_up,W_p_up,W_d_up
-5.69384692,5.81368792,0.00400710,0.00000000,0.08926153,0.54635136,0.01461973,3.53344358,2.77205644,1.43861177
-5.68784392,5.67358933,0.00394152,0.00000000,0.08938054,0.53082459,0.01389823,3.43569808,2.67338151,1.42015608
-5.68184092,5.53369626,0.00390984,0.00000000,0.08945547,0.51534303,0.01327238,3.33734522,2.57634739,1.40238321
-5.67583792,5.39567485,0.00391253,0.00000000,0.08951994,0.50026474,0.01273715,3.23927168,2.48206410,1.38548850
-5.66983492,5.26140414,0.00395005,0.00000000,0.08961517,0.48595136,0.01228854,3.14253700,2.39171252,1.36968673
-5.66383192,5.13288157,0.00402278,0.00000000,0.08978774,0.47275301,0.01192353,3.04832286,2.30649651,1.35519390
-5.65782891,5.01211940,0.00413095,0.00000000,0.09008701,0.46099362,0.01163994,2.95787447,2.22759154,1.34220820
-5.65182591,4.90103806,0.00427446,0.00000000,0.09056231,0.45095724,0.01143625,2.87243738,2.15609254,1.33089174
-5.64582291,4.80136244,0.00445287,0.00000000,0.09125987,0.44287589,0.01131133,2.79319350,2.09296365,1.32135417
-5.63981991,4.71452714,0.00466522,0.00000000,0.09221998,0.43691984,0.01126420,2.72119981,2.03899251,1.31363955
-5.63381691,4.64159606,0.00490995,0.00000000,0.09347414,0.43319035,0.01129375,2.65733338,1.99475122,1.30771749
-5.62781391,4.58320092,0.00518486,0.00000000,0.09504277,0.43171560,0.01139852,2.60224549,1.96056602,1.30347930
-5.62181091,4.53950220,0.00548699,0.00000000,0.09693320,0.43244965,0.01157649,2.55632772,1.93649724,1.30073986
-5.61580790,4.51017488,0.00581266,0.00000000,0.09913846,0.43527473,0.01182494,2.51969157,1.92233036,1.29924505
-5.60980490,4.49441997,0.00615744,0.00000000,0.10163660,0.44000655,0.01214045,2.49216294,1.91757886,1.29868491
-5.60380190,4.49100144,0.00651623,0.00000000,0.10439087,0.44640257,0.01251887,2.47329168,1.92149869,1.29871169
-5.59779890,4.49830687,0.00688329,0.00000000,0.10735061,0.45417274,0.01295546,2.46237575,1.93311392,1.29896220
-5.59179590,4.51442890,0.00725242,0.00000000,0.11045287,0.46299229,0.01344507,2.45849881,1.95125245,1.29908316
-5.58579290,4.53726356,0.00761710,0.00000000,0.11362469,0.47251601,0.01398241,2.46057921,1.97459037,1.29875838
-5.57978989,4.56462044,0.00797061,0.00000000,0.11678600,0.48239351,0.01456235,2.46742790,2.00170314,1.29773626
-5.57378689,4.59433951,0.00830633,0.00000000,0.11985288,0.49228456,0.01518024,2.47781231,2.03112148,1.29585614
-5.56778389,4.62440846,0.00861787,0.00000000,0.12274112,0.50187417,0.01583231,2.49052275,2.06138951,1.29307203
-5.56178089,4.65307488,0.00889931,0.00000000,0.12536991,0.51088651,0.01651595,2.50443807,2.09112290,1.28947241
-5.55577789,4.67894736,0.00914543,0.00000000,0.12766536,0.51909709,0.01723000,2.51858700,2.11906438,1.28529485
-5.54977489,4.70108053,0.00935187,0.00000000,0.12956384,0.52634283,0.01797499,2.53220197,2.14413424,1.28093453
-5.54377189,4.71903923,0.00951529,0.00000000,0.13101477,0.53252932,0.01875323,2.54476257,2.16547376,1.27694600
-5.53776888,4.73293847,0.00963353,0.00000000,0.13198291,0.53763500,0.01956880,2.55602611,2.18247937,1.27403771
-5.53176588,4.74345664,0.00970563,0.00000000,0.13244984,0.54171215,0.02042745,2.56604362,2.19482631,1.27305937
-5.52576288,4.75182072,0.00973194,0.00000000,0.13241475,0.54488435,0.02133633,2.57516010,2.20248030,1.27498232
-5.51975988,4.75976362,0.00971401,0.00000000,0.13189425,0.54734068,0.02230357,2.58399878,2.20569697,1.28087345
-5.51375688,4.76945502,0.00965462,0.00000000,0.13092145,0.54932674,0.02333777,2.59342981,2.20500861,1.29186355
-5.50775388,4.78340857,0.00955759,0.00000000,0.12954423,0.55113294,0.02444739,2.60452463,2.20119904,1.30911126
-5.50175088,4.80436905,0.00942763,0.00000000,0.12782275,0.55308034,0.02564003,2.61849814,2.19526730,1.33376362
-5.49574787,4.83518460,0.00927017,0.00000000,0.12582646,0.55550496,0.02692169,2.63664117,2.18838197,1.36691508
-5.48974487,4.87866958,0.00909110,0.00000000,0.12363066,0.55874094,0.02829600,2.66024663,2.18182785,1.40956599
-5.48374187,4.93746429,0.00889654,0.00000000,0.12131283,0.56310352,0.02976356,2.69053273,2.17694745,1.46258259
-5.47773887,5.01389800,0.00869261,0.00000000,0.11894888,0.56887254,0.03132126,2.72856727,2.17507977,1.52665965
-5.47173587,5.10986164,0.00848516,0.00000000,0.11660964,0.57627730,0.03296184,2.77519672,2.17749914,1.60228731
-5.46573287,5.22669635,0.00827956,0.00000000,0.11435753,0.58548353,0.03467351,2.83098383,2.18535675,1.68972348
-5.45972986,5.36510302,0.00808049,0.00000000,0.11224384,0.59658305,0.03643984,2.89615702,2.19962744,1.78897262
-5.45372686,5.52507749,0.00789182,0.00000000,0.11030656,0.60958680,0.03823988,2.97057454,2.22106403,1.89977195
-5.44772386,5.70587459,0.00771645,0.00000000,0.10856893,0.62442157,0.04004846,3.05370530,2.25016122,2.02158545
-5.44172086,5.90600312,0.00755626,0.00000000,0.10703876,0.64093065,0.04183674,3.14462801,2.28713048,2.15360603
-5.43571786,6.12325215,0.00741213,0.00000000,0.10570854,0.65887853,0.04357305,3.24204881,2.33188688,2.29476568
-5.42971486,6.35474803,0.00728390,0.00000000,0.10455630,0.67795938,0.04522382,3.34433722,2.38404834,2.44375334
-5.42371186,6.59703956,0.00717052,0.00000000,0.10354718,0.69780909,0.04675477,3.44957895,2.44294725,2.59903980
-5.41770885,6.84620796,0.00707014,0.00000000,0.10263557,0.71802026,0.04813210,3.55564343,2.50765350,2.75890889
-5.41170585,7.09799689,0.00698023,0.00000000,0.10176770,0.73815956,0.04932385,3.66026327,2.57700818,2.92149381
-5.40570285,7.34795700,0.00689783,0.00000000,0.10088462,0.75778658,0.05030117,3.76112206,2.64966594,3.08481743
-5.39969985,7.59159898,0.00681967,0.00000000,0.09992526,0.77647343,0.05103955,3.85594671,2.72414448,3.24683551
-5.39369685,7.82454865,0.00674243,0.00000000,0.09882954,0.79382399,0.05151995,3.94260017,2.79887880,3.40548128
-5.38769385,8.04269791,0.00666286,0.00000000,0.09754127,0.80949213,0.05172972,4.01917046,2.87227803,3.55871053
-5.38169085,8.24234544,0.00657802,0.00000000,0.09601086,0.82319801,0.05166325,4.08405203,2.94278261,3.70454567
-5.37568784,8.42032186,0.00648541,0.00000000,0.09419750,0.83474152,0.05132248,4.13601589,3.00891962,3.84111810
-5.36968484,8.57409476,0.00638311,0.00000000,0.09207089,0.84401269,0.05071701,4.17426556,3.06935415,3.96670770
-5.36368184,8.70185009,0.00626985,0.00000000,0.08961246,0.85099814,0.04986397,4.19847631,3.12293510,4.07977876
-5.35767884,8.80254741,0.00614511,0.00000000,0.08681592,0.85578380,0.04878761,4.20881640,3.16873372,4.17901176
-5.35167584,8.87594772,0.00600912,0.00000000,0.08368725,0.85855349,0.04751864,4.20594920,3.20607387,4.26333029
-5.34567284,8.92261363,0.00586286,0.00000000,0.08024416,0.85958371,0.04609327,4.19101647,3.23455312,4.33192275
-5.33966983,8.94388264,0.00570803,0.00000000,0.07651507,0.85923487,0.04455215,4.16560357,3.25405418,4.38425841
-5.33366683,8.94181548,0.00554699,0.00000000,0.07253763,0.85793943,0.04293912,4.13168808,3.26474661,4.42009744
-5.32766383,8.91912177,0.00538264,0.00000000,0.06835697,0.85618760,0.04129988,4.09157403,3.26707884,4.43949472
-5.32166083,8.87906632,0.00521837,0.00000000,0.06402376,0.85451109,0.03968061,4.04781440,3.26176120,4.44279703
-5.31565783,8.82535964,0.00505789,0.00000000,0.05959208,0.85346586,0.03812668,4.00312486,3.24974037,4.43063365
-5.30965483,8.76203645,0.00490518,0.00000000,0.05511742,0.85361433,0.03668130,3.96029203,3.23216656,4.40390009
-5.30365183,8.69332629,0.00476431,0.00000000,0.05065468,0.85550787,0.03538444,3.92207944,3.21035428,4.36373521
-5.29764882,8.62352026,0.00463934,0.00000000,0.04625638,0.85967014,0.03427175,3.89113466,3.18573819,4.31149190
-5.29164582,8.55683784,0.00453423,0.00000000,0.04197116,0.86658173,0.03337373,3.86990059,3.15982544,4.24870168
-5.28564282,8.49729762,0.00445276,0.00000000,0.03784246,0.87666657,0.03271507,3.86053379,3.13414590,4.17703415
-5.27963982,8.44859551,0.00439837,0.00000000,0.03390761,0.89028036,0.03231418,3.86483252,3.11020216,4.09825203
-5.27363682,8.41399371,0.00437416,0.00000000,0.03019726,0.90770121,0.03218292,3.88417654,3.08942052,4.01416317
-5.26763382,8.39622350,0.00438278,0.00000000,0.02673497,0.92912252,0.03232647,3.91948050,3.07310487,3.92657089
-5.26163082,8.39740434,0.00442639,0.00000000,0.02353733,0.95464810,0.03274346,3.97116222,3.06239478,3.83722440
-5.25562781,8.41898158,0.00450661,0.00000000,0.02061409,0.98428946,0.03342614,4.03912667,3.05822922,3.74777093
-5.24962481,8.46168447,0.00462446,0.00000000,0.01796869,1.01796510,0.03436080,4.12276596,3.06131707,3.65971155
-5.24362181,8.52550560,0.00478033,0.00000000,0.01559888,1.05550155,0.03552819,4.22097526,3.07211554,3.57436228
-5.23761881,8.60970247,0.00497396,0.00000000,0.01349742,1.09663623,0.03690413,4.33218392,3.09081696,3.49282214
-5.23161581,8.71282123,0.00520442,0.00000000,0.01165297,1.14102168,0.03846013,4.45440085,3.11734466,3.41594951
-5.22561281,8.83274187,0.00547006,0.00000000,0.01005085,1.18823127,0.04016408,4.58527249,3.15135777,3.34434771
-5.21960980,8.96674360,0.00576851,0.00000000,0.00867394,1.23776619,0.04198097,4.72215162,3.19226490,3.27836038
-5.21360680,9.11158853,0.00609670,0.00000000,0.00750343,1.28906369,0.04387367,4.86217466,3.23924606,3.21807682
-5.20760380,9.26362101,0.00645085,0.00000000,0.00651960,1.34150655,0.04580369,5.00234495,3.29128186,3.16334692
-5.20160080,9.41887960,0.00682651,0.00000000,0.00570236,1.39443383,0.04773196,5.13961946,3.34718902,3.11380486
-5.19559780,9.57321815,0.00721859,0.00000000,0.00503193,1.44715280,0.04961962,5.27099591,3.40566065,3.06890035
-5.18959480,9.72243205,0.00762146,0.00000000,0.00448918,1.49895213,0.05142875,5.39359769,3.46530984,3.02793597
-5.18359180,9.86238569,0.00802902,0.00000000,0.00405608,1.54911621,0.05312319,5.50475382,3.52471483,2.99010869
-5.17758879,9.98913702,0.00843481,0.00000000,0.00371590,1.59694058,0.05466920,5.60207145,3.58246428,2.95455363
-5.17158579,10.09905530,0.00883217,0.00000000,0.00345344,1.64174812,0.05603621,5.68349875,3.63720074,2.92038832
-5.16558279,10.18892845,0.00921438,0.00000000,0.00325516,1.68290595,0.05719744,5.74737641,3.68766113,2.88675519
-5.15957979,10.25605652,0.00957483,0.00000000,0.00310920,1.71984249,0.05813053,5.79247631,3.73271267,2.85286092
-5.15357679,10.29832901,0.00990722,0.00000000,0.00300544,1.75206429,0.05881803,5.81802674,3.77138337,2.81801092
-5.14757379,10.31428345,0.01020573,0.00000000,0.00293542,1.77917217,0.05924790,5.82372356,3.80288615,2.78163786
-5.14157079,10.30314424,0.01046522,0.00000000,0.00289233,1.80087597,0.05941378,5.80972769,3.82663614,2.74332343
-5.13556778,10.26484077,0.01068140,0.00000000,0.00287089,1.81700736,0.05931531,5.77664958,3.84226088,2.70281279
-5.12956478,10.20000487,0.01085098,0.00000000,0.00286731,1.82753007,0.05895816,5.72552157,3.84960355,2.66002157
-5.12356178,10.10994814,0.01097178,0.00000000,0.00287910,1.83254695,0.05835406,5.65775981,3.84871946,2.61503567
-5.11755878,9.99662028,0.01104287,0.00000000,0.00290503,1.83230328,0.05752056,5.57511720,3.83986635,2.56810423
-5.11155578,9.86255006,0.01106457,0.00000000,0.00294495,1.82718599,0.05648077,5.47962935,3.82348916,2.51962646
-5.10555278,9.71077095,0.01103850,0.00000000,0.00299967,1.81771829,0.05526280,5.37355533,3.80020017,2.47013327
-5.09954977,9.54473372,0.01096750,0.00000000,0.00307083,1.80454978,0.05389919,5.25931515,3.77075518,2.42026446
-5.09354677,9.36820841,0.01085559,0.00000000,0.00316073,1.78844180,0.05242611,5.13942582,3.73602681,2.37074259
-5.08754377,9.18517844,0.01070781,0.00000000,0.00327217,1.77024841,0.05088249,5.01643734,3.69697574,2.32234459
-5.08154077,8.99972940,0.01053006,0.00000000,0.00340830,1.75089317,0.04930900,4.89287037,3.65462052,2.27587185
-5.07553777,8.81593526,0.01032891,0.00000000,0.00357242,1.73134241,0.04774700,4.77115647,3.61000702,2.23212001
-5.06953477,8.63774463,0.01011136,0.00000000,0.00376783,1.71257561,0.04623741,4.65358215,3.56417787,2.19184903
-5.06353177,8.46886973,0.00988460,0.00000000,0.00399760,1.69555380,0.04481955,4.54223732,3.51814268,2.15575449
-5.05752876,8.31268046,0.00965575,0.00000000,0.00426442,1.68118685,0.04353003,4.43896903,3.47284961,2.12444076
-5.05152576,8.17210636,0.00943164,0.00000000,0.00457041,1.67030097,0.04240166,4.34534098,3.42915859,2.09839669
-5.04552276,8.04954871,0.00921854,0.00000000,0.00491696,1.66360730,0.04146247,4.26259922,3.38781704,2.07797446
-5.03951976,7.94680525,0.00902194,0.00000000,0.00530452,1.66167293,0.04073476,4.19164490,3.34943831,2.06337199
-5.03351676,7.86500994,0.00884641,0.00000000,0.00573256,1.66489552,0.04023443,4.13301424,3.31448363,2.05461968
-5.02751376,7.80458985,0.00869541,0.00000000,0.00619937,1.67348251,0.03997036,4.08686663,3.28324799,2.05157164
-5.02151076,7.76524125,0.00857120,0.00000000,0.00670208,1.68743609,0.03994407,4.05298125,3.25585078,2.05390210
-5.01550775,7.74592664,0.00847479,0.00000000,0.00723656,1.70654466,0.04014955,4.03076297,3.23223156,2.06110702
-5.00950475,7.74489394,0.00840590,0.00000000,0.00779753,1.73038150,0.04057330,4.01925790,3.21215186,2.07251150
-5.00350175,7.75971869,0.00836304,0.00000000,0.00837854,1.75831113,0.04119469,4.01717913,3.19520318,2.08728273
-4.99749875,7.78736927,0.00834355,0.00000000,0.00897222,1.78950337,0.04198642,4.02294267,3.18082180,2.10444864
-4.99149575,7.82429451,0.00834377,0.00000000,0.00957037,1.82295514,0.04291533,4.03471348,3.16831043,2.12292195
-4.98549275,7.86653200,0.00835915,0.00000000,0.01016426,1.85751938,0.04394333,4.05046110,3.15686654,2.14152908
-4.97948974,7.90983465,0.00838449,0.00000000,0.01074492,1.89194036,0.04502850,4.06802376,3.14561692,2.15904328
-4.97348674,7.94981194,0.00841415,0.00000000,0.01130344,1.92489425,0.04612639,4.08517956,3.13365773,2.17422106
-4.96748374,7.98208143,0.00844227,0.00000000,0.01183138,1.95503358,0.04719139,4.09972267,3.12009865,2.18584070
-4.96148074,8.00242536,0.00846299,0.00000000,0.01232111,1.98103391,0.04817812,4.10954223,3.10410972,2.19274157
-4.95547774,8.00694654,0.00847073,0.00000000,0.01276623,2.00164091,0.04904286,4.11270098,3.08496899,2.19386284
-4.94947474,7.99221729,0.00846038,0.00000000,0.01316194,2.01571600,0.04974494,4.10751071,3.06210870,2.18827988
-4.94347174,7.95541526,0.00842751,0.00000000,0.01350536,2.02227861,0.05024798,4.09260117,3.03515788,2.17523707
-4.93746873,7.89444000,0.00836853,0.00000000,0.01379590,2.02054324,0.05052105,4.06697950,3.00397903,2.15417535
-4.93146573,7.80800502,0.00828083,0.00000000,0.01403542,2.00994970,0.05053954,4.03007700,2.96869655,2.12475340
-4.92546273,7.69570062,0.00816290,0.00000000,0.01422850,1.99018525,0.05028592,3.98178095,2.92971513,2.08686132
-4.91945973,7.55802419,0.00801436,0.00000000,0.01438247,1.96119754,0.04975014,3.92244940,2.88772634,2.04062615
-4.91345673,7.39637600,0.00783598,0.00000000,0.01450744,1.92319791,0.04892980,3.85290770,2.84370238,1.98640894
-4.90745373,7.21302002,0.00762963,0.00000000,0.01461621,1.87665478,0.04783009,3.77442635,2.79887640,1.92479323
-4.90145073,7.01101086,0.00739824,0.00000000,0.01472403,1.82227759,0.04646340,3.68868054,2.75470947,1.85656557
-4.89544772,6.79408978,0.00714566,0.00000000,0.01484836,1.76099194,0.04484870,3.59769274,2.71284500,1.78268873
-4.88944472,6.56655365,0.00687652,0.00000000,0.01500846,1.69390715,0.04301080,3.50376034,2.67505197,1.70426895
-4.88344172,6.33310255,0.00659608,0.00000000,0.01522491,1.62227772,0.04097929,3.40937131,2.64315898,1.62251836
-4.87743872,6.09867237,0.00631003,0.00000000,0.01551907,1.54746043,0.03878748,3.31711117,2.61898178,1.53871448
-4.87143572,5.86825933,0.00602430,0.00000000,0.01591249,1.47086893,0.03647121,3.22956528,2.60424716,1.45415839
-4.86543272,5.64674399,0.00574485,0.00000000,0.01642625,1.39392784,0.03406770,3.14922052,2.60051658,1.37013325
-4.85942971,5.43872192,0.00547752,0.00000000,0.01708036,1.31802807,0.03161432,3.07837046,2.60911283,1.28786502
-4.85342671,5.24834788,0.00522779,0.00000000,0.01789305,1.24448535,0.02914755,3.01902815,2.63105320,1.20848677
-4.84742371,5.07919971,0.00500071,0.00000000,0.01888018,1.17450325,0.02670196,2.97285004,2.66699223,1.13300782
-4.84142071,4.93416699,0.00480066,0.00000000,0.02005469,1.10914211,0.02430944,2.94107428,2.71717707,1.06228891
-4.83541771,4.81536839,0.00463136,0.00000000,0.02142610,1.04929462,0.02199846,2.92447585,2.78141747,0.99702387
-4.82941471,4.72410026,0.00449573,0.00000000,0.02300011,0.99566875,0.01979361,2.92334020,2.85907246,0.93772825
-4.82341171,4.66081756,0.00439585,0.00000000,0.02477833,0.94877816,0.01771530,2.93745636,2.94905440,0.88473502
-4.81740870,4.62514688,0.00433299,0.00000000,0.02675817,0.90893995,0.01577957,2.96612950,3.04985086,0.83819685
-4.81140570,4.61592986,0.00430763,0.00000000,0.02893277,0.87627931,0.01399815,3.00821212,3.15956364,0.79809462
-4.80540270,4.63129413,0.00431949,0.00000000,0.03129120,0.85074045,0.01237861,3.06215234,3.27596362,0.76425125
-4.79939970,4.66874793,0.00436761,0.00000000,0.03381872,0.83210277,0.01092460,3.12605691,3.39655924,0.73635002
-4.79339670,4.72529350,0.00445046,0.00000000,0.03649718,0.82000139,0.00963626,3.19776596,3.51867607,0.71395621
-4.78739370,4.79755405,0.00456604,0.00000000,0.03930562,0.81395073,0.00851062,3.27493633,3.63954395,0.69654103
-4.78139070,4.88190834,0.00471198,0.00000000,0.04222083,0.81337008,0.00754207,3.35512944,3.75638819,0.68350670
-4.77538769,4.97462730,0.00488569,0.00000000,0.04521812,0.81760992,0.00672286,3.43590027,3.86652092,0.67421169
-4.76938469,5.07200679,0.00508444,0.00000000,0.04827204,0.82597800,0.00604356,3.51488327,3.96742873,0.66799501
-4.76338169,5.17049134,0.00530546,0.00000000,0.05135715,0.83776405,0.00549352,3.58987196,4.05685269,0.66419899
-4.75737869,5.26678414,0.00554605,0.00000000,0.05444867,0.85226242,0.00506127,3.65888864,4.13285763,0.66218955
-4.75137569,5.35793928,0.00580365,0.00000000,0.05752321,0.86879175,0.00473493,3.72024177,4.19388757,0.66137377
-4.74537269,5.44143341,0.00607584,0.00000000,0.06055922,0.88671136,0.00450249,3.77256878,4.23880517,0.66121417
-4.73936968,5.51521481,0.00636042,0.00000000,0.06353741,0.90543386,0.00435211,3.81486292,4.26691376,0.66123968
-4.73336668,5.57772893,0.00665536,0.00000000,0.06644097,0.92443380,0.00427229,3.84648358,4.27796134,0.66105329
-4.72736368,5.62792083,0.00695880,0.00000000,0.06925561,0.94325252,0.00425208,3.86715026,4.27212679,0.66033636
-4.72136068,5.66521563,0.00726902,0.00000000,0.07196946,0.96149928,0.00428115,3.87692117,4.24998943,0.65885009
-4.71535768,5.68947949,0.00758432,0.00000000,0.07457273,0.97884894,0.00434990,3.87615816,4.21248380,0.65643419
-4.70935468,5.70096406,0.00790301,0.00000000,0.07705729,0.99503685,0.00444949,3.86548011,4.16084228,0.65300345
-4.70335168,5.70023827,0.00822328,0.00000000,0.07941606,1.00985137,0.00457182,3.84570793,4.09652859,0.64854241
-4.69734867,5.68811172,0.00854317,0.00000000,0.08164244,1.02312477,0.00470957,3.81780398,4.02116569,0.64309872
-4.69134567,5.66555422,0.00886044,0.00000000,0.08372951,1.03472313,0.00485614,3.78280939,3.93646166,0.63677557
-4.68534267,5.63361573,0.00917252,0.00000000,0.08566950,1.04453613,0.00500563,3.74178260,3.84413717,0.62972361
-4.67933967,5.59335130,0.00947652,0.00000000,0.08745308,1.05246715,0.00515279,3.69574222,3.74585795,0.62213270
-4.67333667,5.54575438,0.00976911,0.00000000,0.08906899,1.05842466,0.00529297,3.64561697,3.64317516,0.61422369
-4.66733367,5.49170190,0.01004663,0.00000000,0.09050367,1.06231512,0.00542210,3.59220506,3.53747619,0.60624053
-4.66133067,5.43191337,0.01030507,0.00000000,0.09174122,1.06403803,0.00553663,3.53614460,3.42994763,0.59844277
-4.65532766,5.36692522,0.01054012,0.00000000,0.09276347,1.06348337,0.00563350,3.47789617,3.32155150,0.59109851
-4.64932466,5.29708100,0.01074733,0.00000000,0.09355040,1.06053144,0.00571015,3.41773765,3.21301502,0.58447771
-4.64332166,5.22253681,0.01092216,0.00000000,0.09408066,1.05505521,0.00576443,3.35577105,3.10483350,0.57884588
