energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-4.38519260,2.55500011,0.37420574,0.33170526,0.09105995,0.07083621,0.72269942,1.63067105,0.43818846,0.00000000
-4.37918959,2.50101628,0.35216410,0.31760682,0.08940691,0.06898929,0.71830174,1.60424052,0.43043143,0.00000000
-4.37318659,2.44435736,0.33306610,0.30363153,0.08725000,0.06704284,0.71288377,1.57565726,0.42209735,0.00000000
-4.36718359,2.38534285,0.31686662,0.28987819,0.08462697,0.06502080,0.70645550,1.54500616,0.41327896,0.00000000
-4.36118059,2.32437769,0.30349588,0.27644069,0.08158385,0.06294953,0.69907105,1.51244013,0.40408670,0.00000000
-4.35517759,2.26194656,0.29286178,0.26340654,0.07817338,0.06085716,0.69082909,1.47818063,0.39464558,0.00000000
-4.34917459,2.19860323,0.28485144,0.25085543,0.07445338,0.05877295,0.68187087,1.44251442,0.38509115,0.00000000
-4.34317159,2.13495528,0.27933196,0.23885780,0.07048490,0.05672651,0.67237568,1.40578654,0.37556474,0.00000000
-4.33716858,2.07164495,0.27615069,0.22747345,0.06633054,0.05474692,0.66255395,1.36838983,0.36620814,0.00000000
-4.33116558,2.00932697,0.27513509,0.21675032,0.06205265,0.05286187,0.65263824,1.33075152,0.35715803,0.00000000
-4.32516258,1.94864456,0.27609258,0.20672353,0.05771176,0.05109678,0.64287263,1.29331764,0.34854034,0.00000000
-4.31915958,1.89020499,0.27881049,0.19741468,0.05336517,0.04947396,0.63350086,1.25653606,0.34046488,0.00000000
-4.31315658,1.83455591,0.28305654,0.18883146,0.04906570,0.04801177,0.62475403,1.22083918,0.33302049,0.00000000
-4.30715358,1.78216402,0.28857985,0.18096776,0.04486077,0.04672394,0.61683852,1.18662723,0.32627102,0.00000000
-4.30115058,1.73339708,0.29511284,0.17380412,0.04079165,0.04561901,0.60992469,1.15425322,0.32025221,0.00000000
-4.29514757,1.68851062,0.30237409,0.16730865,0.03689305,0.04469992,0.60413719,1.12401030,0.31496987,0.00000000
-4.28914457,1.64763984,0.31007213,0.16143845,0.03319294,0.04396384,0.59954744,1.09612233,0.31039933,0.00000000
-4.28314157,1.61079749,0.31791024,0.15614131,0.02971254,0.04340212,0.59616861,1.07073815,0.30648621,0.00000000
-4.27713857,1.57787766,0.32559208,0.15135783,0.02646663,0.04300058,0.59395365,1.04792978,0.30314864,0.00000000
-4.27113557,1.54866545,0.33282801,0.14702380,0.02346393,0.04273992,0.59279633,1.02769467,0.30028064,0.00000000
-4.26513257,1.52285180,0.33934196,0.14307272,0.02070771,0.04259638,0.59253542,1.00996167,0.29775671,0.00000000
-4.25912956,1.50005287,0.34487841,0.13943838,0.01819638,0.04254260,0.59296169,0.99460038,0.29543729,0.00000000
-4.25312656,1.47983258,0.34920937,0.13605748,0.01592428,0.04254862,0.59382743,0.98143307,0.29317491,0.00000000
-4.24712356,1.46172737,0.35214097,0.13287195,0.01388236,0.04258294,0.59485796,0.97024862,0.29082065,0.00000000
-4.24112056,1.44527155,0.35351934,0.12983118,0.01205898,0.04261375,0.59576445,0.96081740,0.28823075,0.00000000
-4.23511756,1.43002203,0.35323564,0.12689380,0.01044059,0.04261008,0.59625742,0.95290621,0.28527295,0.00000000
-4.22911456,1.41558114,0.35122987,0.12402908,0.00901237,0.04254294,0.59606019,0.94629258,0.28183229,0.00000000
-4.22311156,1.40161640,0.34749341,0.12121790,0.00775886,0.04238638,0.59492148,0.94077748,0.27781618,0.00000000
-4.21710855,1.38787639,0.34207016,0.11845324,0.00666446,0.04211840,0.59262660,0.93619591,0.27315842,0.00000000
-4.21110555,1.37420214,0.33505616,0.11574016,0.00571385,0.04172170,0.58900674,0.93242493,0.26782219,0.00000000
-4.20510255,1.36053379,0.32659781,0.11309541,0.00489235,0.04118420,0.58394575,0.92938895,0.26180169,0.00000000
-4.19909955,1.34691250,0.31688880,0.11054656,0.00418620,0.04049940,0.57738439,0.92706216,0.25512264,0.00000000
-4.19309655,1.33347792,0.30616579,0.10813088,0.00358275,0.03966642,0.56932179,0.92546844,0.24784150,0.00000000
-4.18709355,1.32046192,0.29470307,0.10589392,0.00307059,0.03868994,0.55981432,0.92467902,0.24004363,0.00000000
-4.18109055,1.30817929,0.28280641,0.10388794,0.00263965,0.03757984,0.54897193,0.92480846,0.23184045,0.00000000
-4.17508754,1.29701622,0.27080642,0.10217026,0.00228122,0.03635072,0.53695248,0.92600949,0.22336582,0.00000000
-4.16908454,1.28741775,0.25905140,0.10080156,0.00198794,0.03502128,0.52395438,0.92846738,0.21477186,0.00000000
-4.16308154,1.27987485,0.24790015,0.09984428,0.00175380,0.03361355,0.51020814,0.93239449,0.20622443,0.00000000
-4.15707854,1.27491216,0.23771481,0.09936106,0.00157408,0.03215217,0.49596729,0.93802538,0.19789837,0.00000000
-4.15107554,1.27307694,0.22885383,0.09941340,0.00144527,0.03066352,0.48149917,0.94561299,0.18997294,0.00000000
-4.14507254,1.27492962,0.22166537,0.10006034,0.00136503,0.02917495,0.46707615,0.95542609,0.18262731,0.00000000
-4.13906953,1.28103635,0.21648102,0.10135741,0.00133211,0.02771405,0.45296764,0.96774804,0.17603656,0.00000000
-4.13306653,1.29196318,0.21361007,0.10335564,0.00134626,0.02630799,0.43943312,0.98287666,0.17036802,0.00000000
-4.12706353,1.30827193,0.21333422,0.10610063,0.00140815,0.02498290,0.42671642,1.00112500,0.16577816,0.00000000
-4.12106053,1.33051693,0.21590291,0.10963181,0.00151929,0.02376347,0.41504146,1.02282239,0.16240996,0.00000000
-4.11505753,1.35924221,0.22152905,0.11398159,0.00168194,0.02267248,0.40460917,1.04831527,0.16039089,0.00000000
-4.10905453,1.39497831,0.23038539,0.11917464,0.00189898,0.02173060,0.39559568,1.07796713,0.15983118,0.00000000
-4.10305153,1.43823789,0.24260129,0.12522707,0.00217383,0.02095611,0.38815162,1.11215679,0.16082265,0.00000000
-4.09704852,1.48950959,0.25826014,0.13214562,0.00251031,0.02036479,0.38240201,1.15127455,0.16343774,0.00000000
-4.09104552,1.54924932,0.27739715,0.13992683,0.00291249,0.01996978,0.37844689,1.19571556,0.16772884,0.00000000
-4.08504252,1.61786879,0.29999783,0.14855621,0.00338453,0.01978153,0.37636210,1.24587012,0.17372774,0.00000000
-4.07903952,1.69572096,0.32599695,0.15800740,0.00393053,0.01980766,0.37620008,1.30211077,0.18144521,0.00000000
-4.07303652,1.78308250,0.35527813,0.16824148,0.00455432,0.02005293,0.37799063,1.36477617,0.19087062,0.00000000
-4.06703352,1.88013366,0.38767413,0.17920634,0.00525927,0.02051908,0.38174121,1.43415220,0.20197159,0.00000000
-4.06103052,1.98693623,0.42296769,0.19083626,0.00604810,0.02120476,0.38743698,1.51045078,0.21469362,0.00000000
-4.05502751,2.10341031,0.46089319,0.20305171,0.00692266,0.02210536,0.39504042,1.59378722,0.22895989,0.00000000
-4.04902451,2.22931125,0.50113886,0.21575944,0.00788377,0.02321287,0.40449055,1.68415724,0.24467094,0.00000000
-4.04302151,2.36420788,0.54334982,0.22885293,0.00893104,0.02451580,0.41570201,1.78141462,0.26170472,0.00000000
-4.03701851,2.50746351,0.58713167,0.24221312,0.01006273,0.02599903,0.42856402,1.88525107,0.27991665,0.00000000
-4.03101551,2.65822115,0.63205479,0.25570960,0.01127569,0.02764386,0.44293947,1.99517938,0.29914009,0.00000000
-4.02501251,2.81539432,0.67765920,0.26920211,0.01256528,0.02942800,0.45866434,2.11052131,0.31918714,0.00000000
-4.01900950,2.97766481,0.72345996,0.28254242,0.01392542,0.03132576,0.47554763,2.23040149,0.33984991,0.00000000
-4.01300650,3.14348845,0.76895313,0.29557655,0.01534868,0.03330832,0.49337208,2.35374817,0.36090230,0.00000000
-4.00700350,3.31110962,0.81362217,0.30814725,0.01682645,0.03534413,0.51189571,2.47930178,0.38210245,0.00000000
