energy_ev,total_up,Ru_p_up,Ru_d_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up
-5.02151076,2.62317755,1.57834585,2.23249185,0.42663457,0.01682393,0.00311607,0.15430656
-5.01550775,2.58811098,1.56491766,2.19075910,0.42847602,0.01657024,0.00304268,0.15726293
-5.00950475,2.55249679,1.55247739,2.14875668,0.42972396,0.01631116,0.00296726,0.16013176
-5.00350175,2.51641400,1.54094236,2.10670003,0.43027987,0.01604685,0.00288915,0.16286084
-4.99749875,2.47999415,1.53023188,2.06484275,0.43006312,0.01577787,0.00280778,0.16539753
-4.99149575,2.44342993,1.52028190,2.02348115,0.42901412,0.01550515,0.00272274,0.16769098
-4.98549275,2.40698098,1.51105883,1.98295590,0.42709742,0.01523007,0.00263376,0.16969438
-4.97948974,2.37097635,1.50257166,1.94365026,0.42430444,0.01495436,0.00254077,0.17136741
-4.97348674,2.33581307,1.49488168,1.90598477,0.42065574,0.01468010,0.00244389,0.17267843
-4.96748374,2.30195070,1.48810911,1.87040841,0.41620269,0.01440966,0.00234343,0.17360668
-4.96148074,2.26990202,1.48243641,1.83738663,0.41102834,0.01414560,0.00223990,0.17414405
-4.95547774,2.24022021,1.47810797,1.80738676,0.40524757,0.01389059,0.00213399,0.17429654
-4.94947474,2.21348310,1.47542622,1.78086164,0.39900617,0.01364729,0.00202654,0.17408526
-4.94347174,2.19027528,1.47474444,1.75823235,0.39247909,0.01341822,0.00191855,0.17354687
-4.93746873,2.17116903,1.47645649,1.73987117,0.38586762,0.01320568,0.00181114,0.17273348
-4.93146573,2.15670495,1.48098419,1.72608560,0.37939564,0.01301157,0.00170549,0.17171188
-4.92546273,2.14737334,1.48876271,1.71710458,0.37330490,0.01283735,0.00160288,0.17056221
-4.91945973,2.14359713,1.50022479,1.71306772,0.36784948,0.01268390,0.00150461,0.16937601
-4.91345673,2.14571715,1.51578435,1.71401805,0.36328941,0.01255151,0.00141200,0.16825372
-4.90745373,2.15398028,1.53582018,1.71989892,0.35988368,0.01243977,0.00132632,0.16730170
-4.90145073,2.16853082,1.56066008,1.73055495,0.35788274,0.01234763,0.00124886,0.16662883
-4.89544772,2.18940526,1.59056613,1.74573720,0.35752065,0.01227340,0.00118082,0.16634284
-4.88944472,2.21653028,1.62572135,1.76511185,0.35900711,0.01221479,0.00112332,0.16654643
-4.88344172,2.24972368,1.66621783,1.78827208,0.36251954,0.01216899,0.00107743,0.16733335
-4.87743872,2.28869790,1.71204685,1.81475210,0.36819552,0.01213279,0.00104410,0.16878458
-4.87143572,2.33306541,1.76309081,1.84404251,0.37612580,0.01210269,0.00102418,0.17096465
-4.86543272,2.38234552,1.81911705,1.87560606,0.38634812,0.01207504,0.00101840,0.17391843
-4.85942971,2.43597190,1.87977385,1.90889270,0.39884213,0.01204614,0.00102741,0.17766824
-4.85342671,2.49330052,1.94458840,1.94335320,0.41352574,0.01201244,0.00105168,0.18221174
-4.84742371,2.55361739,2.01296700,1.97845055,0.43025304,0.01197057,0.00109160,0.18752037
-4.84142071,2.61614620,2.08419766,2.01366870,0.44881401,0.01191754,0.00114742,0.19353864
-4.83541771,2.68005559,2.15745521,2.04851834,0.46893630,0.01185074,0.00121924,0.20018432
-4.82941471,2.74446641,2.23180925,2.08253982,0.49028906,0.01176808,0.00130704,0.20734945
-4.82341171,2.80845927,2.30623514,2.11530344,0.51248891,0.01166796,0.00141066,0.21490235
-4.81740870,2.87108274,2.37962809,2.14640749,0.53510803,0.01154933,0.00152978,0.22269041
-4.81140570,2.93136267,2.45082078,2.17547492,0.55768416,0.01141166,0.00166396,0.23054386
-4.80540270,2.98831320,2.51860409,2.20214917,0.57973234,0.01125490,0.00181260,0.23828010
-4.79939970,3.04094973,2.58175109,2.22609009,0.60075801,0.01107947,0.00197494,0.24570885
-4.79339670,3.08830404,2.63904367,2.24697067,0.62027103,0.01088616,0.00215008,0.25263757
-4.78739370,3.12944159,2.68930135,2.26447517,0.63780024,0.01067611,0.00233698,0.25887727
-4.78139070,3.16348087,2.73141135,2.27829924,0.65290784,0.01045069,0.00253443,0.26424835
-4.77538769,3.18961408,2.76435893,2.28815228,0.66520321,0.01021152,0.00274109,0.26858624
-4.76938469,3.20712876,2.78725692,2.29376203,0.67435547,0.00996033,0.00295545,0.27174667
-4.76338169,3.21542927,2.79937305,2.29488135,0.68010427,0.00969900,0.00317589,0.27361043
-4.75737869,3.21405719,2.80015398,2.29129675,0.68226847,0.00942945,0.00340063,0.27408719
-4.75137569,3.20270971,2.78924474,2.28283825,0.68075212,0.00915367,0.00362779,0.27311846
-4.74537269,3.18125484,2.76650266,2.26938978,0.67554777,0.00887373,0.00385536,0.27067948
-4.73936968,3.14974268,2.73200494,2.25089961,0.66673670,0.00859170,0.00408124,0.26677990
-4.73336668,3.10841206,2.68604943,2.22738996,0.65448635,0.00830975,0.00430329,0.26146333
-4.72736368,3.05769198,2.62914848,2.19896532,0.63904490,0.00803013,0.00451927,0.25480575
-4.72136068,2.99819778,2.56201603,2.16581875,0.62073344,0.00775519,0.00472698,0.24691287
-4.71535768,2.93072208,2.48554859,2.12823590,0.59993608,0.00748739,0.00492421,0.23791655
-4.70935468,2.85622085,2.40080092,2.08659648,0.57708837,0.00722938,0.00510884,0.22797049
-4.70335168,2.77579527,2.30895761,2.04137288,0.55266472,0.00698393,0.00527886,0.21724542
-4.69734867,2.69067002,2.21130185,1.99312629,0.52716528,0.00675404,0.00543244,0.20592393
-4.69134567,2.60216901,2.10918278,1.94250008,0.50110282,0.00654286,0.00556796,0.19419519
-4.68534267,2.51168933,2.00398292,1.89021096,0.47499010,0.00635375,0.00568408,0.18224990
-4.67933967,2.42067451,1.89708697,1.83703800,0.44932812,0.00619021,0.00577983,0.17027544
-4.67333667,2.33058761,1.78985311,1.78380996,0.42459577,0.00605589,0.00585459,0.15845164
-4.66733367,2.24288517,1.68358791,1.73139106,0.40124081,0.00595456,0.00590818,0.14694712
-4.66133067,2.15899221,1.57952533,1.68066565,0.37967266,0.00589000,0.00594089,0.13591640
-4.65532766,2.08027895,1.47881048,1.63252192,0.36025685,0.00586599,0.00595347,0.12549778
-4.64932466,2.00803935,1.38248806,1.58783501,0.34331115,0.00588621,0.00594721,0.11581209
-4.64332166,1.94347160,1.29149553,1.54744966,0.32910339,0.00595414,0.00592384,0.10696215
-4.63731866,1.88766074,1.20666056,1.51216276,0.31785068,0.00607297,0.00588560,0.09903306
-4.63131566,1.84156329,1.12870233,1.48270609,0.30972003,0.00624547,0.00583516,0.09209302
-4.62531266,1.80599407,1.05823609,1.45972943,0.30483005,0.00647391,0.00577560,0.08619484
-4.61930965,1.78161516,0.99578010,1.44378467,0.30325362,0.00675993,0.00571035,0.08137783
-4.61330665,1.76892721,0.94176454,1.43531116,0.30502143,0.00710440,0.00564313,0.07766996
-4.60730365,1.76826326,0.89654144,1.43462293,0.31012606,0.00750738,0.00557790,0.07509031
-4.60130065,1.77978532,0.86039513,1.44189813,0.31852667,0.00796799,0.00551880,0.07365157
