energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,Zn_p_up,Zn_p_down,Zn_d_up,Zn_d_down
-5.84992496,3.34561298,-2.49952684,0.01303599,-0.01390284,0.37734827,-0.23854471,1.05661725,-0.69350121,0.45655042,-0.25954032,0.10781534,-0.07390888,1.26666445,-1.09599966,0.47014270,-0.45904895,0.15591408,-0.11078016
-5.84392196,3.31935577,-2.58804664,0.01277189,-0.01315364,0.38199203,-0.25926313,1.06150520,-0.72824303,0.45458327,-0.27511026,0.10784481,-0.07693669,1.24451137,-1.11650349,0.45605138,-0.46097700,0.15568396,-0.11391361
-5.83791896,3.28963623,-2.68279138,0.01258265,-0.01246772,0.38655308,-0.28020652,1.06609580,-0.76551980,0.45301951,-0.29110025,0.10766213,-0.07995789,1.22048842,-1.14056433,0.44186644,-0.46501675,0.15523944,-0.11720973
-5.83191596,3.25680675,-2.78193605,0.01246787,-0.01184336,0.39114952,-0.30112788,1.07067967,-0.80478096,0.45195267,-0.30727714,0.10728090,-0.08292025,1.19459599,-1.16748498,0.42756764,-0.47089954,0.15459277,-0.12060027
-5.82591296,3.22147517,-2.88341217,0.01242706,-0.01127722,0.39592742,-0.32176412,1.07567563,-0.84538849,0.45149355,-0.32338649,0.10672148,-0.08576993,1.16693963,-1.19644233,0.41317223,-0.47828667,0.15376730,-0.12401059
-5.81990995,3.18451006,-2.98497550,0.01245965,-0.01076477,0.40105999,-0.34184234,1.08163646,-0.88663668,0.45177098,-0.33915967,0.10601045,-0.08845328,1.13773516,-1.22651796,0.39873883,-0.48678337,0.15279738,-0.12736222
-5.81390695,3.14703269,-3.08428087,0.01256496,-0.01030065,0.40674531,-0.36108677,1.08924875,-0.92777515,0.45293103,-0.35432177,0.10517975,-0.09091858,1.10730843,-1.25673171,0.38436896,-0.49595444,0.15172765,-0.13057561
-5.80790395,3.11039601,-3.17896129,0.01274204,-0.00987915,0.41320251,-0.37922652,1.09932655,-0.96803459,0.45513486,-0.36860003,0.10426553,-0.09311775,1.07609001,-1.28607739,0.37020642,-0.50534118,0.15061184,-0.13357284
-5.80190095,3.07615185,-3.26670862,0.01298963,-0.00949453,0.42066657,-0.39600354,1.11279858,-1.00665429,0.45855520,-0.38173251,0.10330683,-0.09500790,1.04460530,-1.31355892,0.35643457,-0.51447888,0.14951107,-0.13628028
-5.79589795,3.04600763,-3.34535303,0.01330599,-0.00914137,0.42938171,-0.41118084,1.13068933,-1.04291078,0.46337161,-0.39347668,0.10234408,-0.09655270,1.01346060,-1.33822588,0.34327180,-0.52291421,0.14849176,-0.13863099
-5.78989495,3.02177487,-3.41293857,0.01368880,-0.00881493,0.43959382,-0.42455049,1.15409428,-1.07614650,0.46976485,-0.40361774,0.10141752,-0.09772355,0.98332611,-1.35920717,0.33096549,-0.53022199,0.14762330,-0.14056698
-5.78389195,3.00531168,-3.46779237,0.01413507,-0.00851133,0.45154195,-0.43594131,1.18414991,-1.10579767,0.47791059,-0.41197620,0.10056564,-0.09850046,0.95491648,-1.37574168,0.31978480,-0.53602059,0.14697547,-0.14204104
-5.77788894,2.99846190,-3.50858522,0.01464108,-0.00822773,0.46544941,-0.44522580,1.22199957,-1.13142045,0.48797280,-0.41841460,0.09982370,-0.09887271,0.92897010,-1.38720501,0.31001260,-0.53998566,0.14661578,-0.14301835
-5.77188594,3.00299342,-3.53438174,0.01520237,-0.00796253,0.48151469,-0.45232617,1.26875601,-1.15271436,0.50009732,-0.42284314,0.09922243,-0.09883923,0.90622779,-1.39313135,0.30193699,-0.54186155,0.14660696,-0.14347760
-5.76588294,3.02053834,-3.54467847,0.01581386,-0.00771533,0.49990275,-0.45721927,1.32546208,-1.16954224,0.51440578,-0.42522395,0.09878689,-0.09840863,0.88741185,-1.39323009,0.29584270,-0.54147020,0.14700444,-0.14341183
-5.75987994,3.05253722,-3.53942900,0.01646992,-0.00748703,0.52073689,-0.45994008,1.39305080,-1.18194591,0.53099036,-0.42557387,0.09853564,-0.09759912,0.87320615,-1.38739657,0.29200266,-0.53871718,0.14785425,-0.14282881
-5.75387694,3.10018968,-3.51905532,0.01716457,-0.00727977,0.54409172,-0.46058378,1.47230634,-1.19015697,0.54990966,-0.42396571,0.09848021,-0.09643805,0.86423790,-1.37571679,0.29067005,-0.53359479,0.14919113,-0.14175107
-5.74787394,3.16441293,-3.48444534,0.01789177,-0.00709683,0.56998760,-0.45930620,1.56382736,-1.19460212,0.57118582,-0.42052789,0.09862488,-0.09496133,0.86106143,-1.35846612,0.29207095,-0.52618214,0.15103709,-0.14021559
-5.74187094,3.24580959,-3.43693660,0.01864569,-0.00694256,0.59838665,-0.45632256,1.66799405,-1.19590274,0.59480324,-0.41544252,0.09896674,-0.09321265,0.86414454,-1.33610215,0.29639788,-0.51664238,0.15340043,-0.13827309
-5.73586793,3.34464575,-3.37828689,0.01942106,-0.00682220,0.62919080,-0.45190464,1.78494038,-1.19486829,0.62070880,-0.40894191,0.09949610,-0.09124243,0.87385729,-1.30925200,0.30380418,-0.50521712,0.15627524,-0.13598701
-5.72986493,3.46083957,-3.31063272,0.02021355,-0.00674173,0.66224185,-0.44637613,1.91453254,-1.19248382,0.64881372,-0.40130363,0.10019716,-0.08910684,0.89046348,-1.27869461,0.31439939,-0.49221845,0.15964133,-0.13343225
-5.72386193,3.59396043,-3.23643672,0.02102007,-0.00670771,0.69732372,-0.44010661,2.05635470,-1.18989126,0.67899686,-0.39284440,0.10104885,-0.08686644,0.91411475,-1.24533859,0.32824562,-0.47801885,0.16346471,-0.13069349
-5.71785893,3.74323819,-3.15842571,0.02183914,-0.00672701,0.73416676,-0.43350395,2.20970278,-1.18836507,0.71110936,-0.38391271,0.10202588,-0.08458496,0.94484700,-1.21019643,0.34535494,-0.46303928,0.16769839,-0.12786342
-5.71185593,3.90758174,-3.07952087,0.02267117,-0.00680667,0.77245407,-0.42700546,2.37358660,-1.18928256,0.74498033,-0.37488064,0.10309991,-0.08232785,0.98257920,-1.17435582,0.36568773,-0.44773607,0.17228368,-0.12504055
-5.70585293,4.08560569,-3.00276214,0.02351864,-0.00695363,0.81182949,-0.42106800,2.54674069,-1.19408941,0.78042326,-0.36613497,0.10424068,-0.08016082,1.02711406,-1.13894883,0.38915192,-0.43258696,0.17715174,-0.12232701
-5.69984992,4.27566390,-2.93122855,0.02438627,-0.00717454,0.85190716,-0.41615715,2.72764348,-1.20426123,0.81724286,-0.35806778,0.10541719,-0.07814838,1.07814067,-1.10512010,0.41560327,-0.41807672,0.18222539,-0.11982604
-5.69384692,4.47588840,-2.86795684,0.02528098,-0.00747551,0.89228199,-0.41273583,2.91454433,-1.22126199,0.85524190,-0.35106688,0.10659880,-0.07635229,1.13523873,-1.07399463,0.44484638,-0.40468286,0.18742107,-0.11763938
-5.68784392,4.68423195,-2.81586013,0.02621187,-0.00786189,0.93254083,-0.41125253,3.10549777,-1.24650037,0.89422759,-0.34550623,0.10775613,-0.07483015,1.19788422,-1.04664627,0.47663670,-0.39286186,0.19265097,-0.11586472
-5.68184092,4.89851290,-2.77764905,0.02718992,-0.00833808,0.97227377,-0.41212955,3.29840368,-1.28128520,0.93401729,-0.34173664,0.10886187,-0.07363389,1.26545663,-1.02406759,0.51068331,-0.38303623,0.19782511,-0.11459292
-5.67583792,5.11646076,-2.75575717,0.02822774,-0.00890732,1.01108503,-0.41575142,3.49105230,-1.32678124,0.97444306,-0.34007691,0.10989142,-0.07280849,1.33724741,-1.00714213,0.54665267,-0.37558283,0.20285341,-0.11390547
-5.66983492,5.33576102,-2.75227278,0.02933905,-0.00957153,1.04860311,-0.42245393,3.68117256,-1.38396670,1.01535480,-0.34080571,0.11082323,-0.07239071,1.41246992,-0.99661965,0.58417309,-0.37082264,0.20764766,-0.11387199
-5.66383192,5.55409831,-2.76887893,0.03053820,-0.01033115,1.08448955,-0.43251399,3.86648222,-1.45359382,1.05662187,-0.34415434,0.11163906,-0.07240807,1.49027079,-0.99309505,0.62284024,-0.36901237,0.21212332,-0.11454796
-5.65782891,5.76919672,-2.80680342,0.03183951,-0.01118508,1.11844621,-0.44614065,4.04473832,-1.53615397,1.09813295,-0.35030056,0.11232401,-0.07287799,1.56974270,-0.99699169,0.66222341,-0.37033792,0.21620115,-0.11597271
-5.65182591,5.97885678,-2.86678017,0.03325657,-0.01213054,1.15022042,-0.46346759,4.21378641,-1.63184872,1.13979420,-0.35936373,0.11286640,-0.07380717,1.64993883,-1.00854948,0.70187268,-0.37491001,0.21980861,-0.11816785
-5.64582291,6.18098852,-2.94902340,0.03480159,-0.01316314,1.17960822,-0.48454721,4.37160723,-1.74056789,1.18152587,-0.37140119,0.11325759,-0.07519126,1.72988876,-1.02781812,0.74132690,-0.38276183,0.22288104,-0.12113603
