energy_ev,total_up,B_p_up,B_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-5.11155578,0.45154591,0.01553009,0.00000000,0.01862896,0.14375148,0.11848902,0.05080752
-5.10555278,0.46047740,0.01540451,0.00000000,0.02019153,0.14494998,0.12014814,0.05270216
-5.09954977,0.47259112,0.01534423,0.00000000,0.02190075,0.14721107,0.12256593,0.05497056
-5.09354677,0.48802549,0.01535595,0.00000000,0.02375431,0.15063721,0.12577381,0.05761878
-5.08754377,0.50686746,0.01544495,0.00000000,0.02574844,0.15531384,0.12978919,0.06064769
-5.08154077,0.52915448,0.01561518,0.00000000,0.02787801,0.16130848,0.13461626,0.06405335
-5.07553777,0.55487717,0.01586949,0.00000000,0.03013670,0.16867013,0.14024694,0.06782746
-5.06953477,0.58398256,0.01620982,0.00000000,0.03251719,0.17742897,0.14666201,0.07195785
-5.06353177,0.61637747,0.01663741,0.00000000,0.03501126,0.18759618,0.15383234,0.07642887
-5.05752876,0.65193169,0.01715300,0.00000000,0.03760996,0.19916398,0.16172001,0.08122184
-5.05152576,0.69048079,0.01775702,0.00000000,0.04030368,0.21210565,0.17027942,0.08631527
-5.04552276,0.73182842,0.01844965,0.00000000,0.04308223,0.22637564,0.17945816,0.09168512
-5.03951976,0.77574792,0.01923092,0.00000000,0.04593487,0.24190971,0.18919767,0.09730482
-5.03351676,0.82198331,0.02010066,0.00000000,0.04885033,0.25862513,0.19943369,0.10314530
-5.02751376,0.87024990,0.02105841,0.00000000,0.05181677,0.27642107,0.21009654,0.10917484
-5.02151076,0.92023440,0.02210325,0.00000000,0.05482182,0.29517906,0.22111118,0.11535896
-5.01550775,0.97159513,0.02323362,0.00000000,0.05785252,0.31476375,0.23239718,0.12166019
-5.00950475,1.02396236,0.02444702,0.00000000,0.06089530,0.33502399,0.24386863,0.12803790
-5.00350175,1.07693915,0.02573978,0.00000000,0.06393605,0.35579424,0.25543418,0.13444823
-4.99749875,1.13010298,0.02710674,0.00000000,0.06696015,0.37689641,0.26699707,0.14084404
-4.99149575,1.18300840,0.02854106,0.00000000,0.06995253,0.39814206,0.27845550,0.14717507
-4.98549275,1.23519079,0.03003397,0.00000000,0.07289786,0.41933512,0.28970322,0.15338816
-4.97948974,1.28617139,0.03157469,0.00000000,0.07578065,0.44027482,0.30063037,0.15942781
-4.97348674,1.33546352,0.03315037,0.00000000,0.07858548,0.46075901,0.31112481,0.16523672
-4.96748374,1.38257988,0.03474617,0.00000000,0.08129724,0.48058756,0.32107359,0.17075669
-4.96148074,1.42704078,0.03634539,0.00000000,0.08390132,0.49956591,0.33036489,0.17592951
-4.95547774,1.46838282,0.03792983,0.00000000,0.08638383,0.51750840,0.33889011,0.18069811
-4.94947474,1.50616792,0.03948008,0.00000000,0.08873184,0.53424150,0.34654609,0.18500768
-4.94347174,1.53999205,0.04097604,0.00000000,0.09093350,0.54960657,0.35323750,0.18880687
-4.93746873,1.56949342,0.04239742,0.00000000,0.09297816,0.56346223,0.35887904,0.19204893
-4.93146573,1.59435971,0.04372430,0.00000000,0.09485642,0.57568607,0.36339761,0.19469279
-4.92546273,1.61433396,0.04493774,0.00000000,0.09656012,0.58617587,0.36673411,0.19670403
-4.91945973,1.62921881,0.04602030,0.00000000,0.09808225,0.59485002,0.36884489,0.19805562
-4.91345673,1.63887913,0.04695656,0.00000000,0.09941679,0.60164753,0.36970282,0.19872852
-4.90745373,1.64324266,0.04773357,0.00000000,0.10055853,0.60652731,0.36929776,0.19871203
-4.90145073,1.64229898,0.04834117,0.00000000,0.10150287,0.60946710,0.36763659,0.19800388
-4.89544772,1.63609671,0.04877224,0.00000000,0.10224552,0.61046203,0.36474268,0.19661016
-4.88944472,1.62473934,0.04902277,0.00000000,0.10278233,0.60952298,0.36065487,0.19454497
-4.88344172,1.60837994,0.04909187,0.00000000,0.10310902,0.60667487,0.35542605,0.19182991
-4.87743872,1.58721502,0.04898162,0.00000000,0.10322110,0.60195506,0.34912136,0.18849341
-4.87143572,1.56147809,0.04869681,0.00000000,0.10311375,0.59541184,0.34181624,0.18456999
-4.86543272,1.53143313,0.04824461,0.00000000,0.10278184,0.58710331,0.33359421,0.18009935
-4.85942971,1.49736844,0.04763418,0.00000000,0.10222001,0.57709654,0.32454474,0.17512556
-4.85342671,1.45959107,0.04687622,0.00000000,0.10142295,0.56546713,0.31476122,0.16969612
-4.84742371,1.41842214,0.04598250,0.00000000,0.10038560,0.55229912,0.30433901,0.16386118
-4.84142071,1.37419319,0.04496545,0.00000000,0.09910361,0.53768523,0.29337389,0.15767272
-4.83541771,1.32724351,0.04383774,0.00000000,0.09757377,0.52172734,0.28196071,0.15118389
-4.82941471,1.27791858,0.04261195,0.00000000,0.09579451,0.50453719,0.27019253,0.14444841
-4.82341171,1.22656935,0.04130030,0.00000000,0.09376640,0.48623703,0.25815995,0.13752003
-4.81740870,1.17355235,0.03991445,0.00000000,0.09149268,0.46696031,0.24595099,0.13045210
-4.81140570,1.11923020,0.03846542,0.00000000,0.08897974,0.44685209,0.23365108,0.12329727
-4.80540270,1.06397251,0.03696354,0.00000000,0.08623747,0.42606930,0.22134341,0.11610710
-4.79939970,1.00815666,0.03541852,0.00000000,0.08327961,0.40478050,0.20910943,0.10893191
-4.79339670,0.95216841,0.03383953,0.00000000,0.08012392,0.38316538,0.19702944,0.10182046
-4.78739370,0.89640199,0.03223534,0.00000000,0.07679228,0.36141367,0.18518322,0.09481979
-4.78139070,0.84125959,0.03061450,0.00000000,0.07331054,0.33972369,0.17365051,0.08797498
-4.77538769,0.78715002,0.02898547,0.00000000,0.06970842,0.31830047,0.16251150,0.08132897
-4.76938469,0.73448658,0.02735680,0.00000000,0.06601906,0.29735344,0.15184700,0.07492227
-4.76338169,0.68368403,0.02573723,0.00000000,0.06227864,0.27709385,0.14173842,0.06879279
-4.75737869,0.63515477,0.02413575,0.00000000,0.05852579,0.25773186,0.13226747,0.06297554
-4.75137569,0.58930423,0.02256163,0.00000000,0.05480094,0.23947359,0.12351561,0.05750244
-4.74537269,0.54652564,0.02102441,0.00000000,0.05114563,0.22251788,0.11556308,0.05240202
-4.73936968,0.50719429,0.01953382,0.00000000,0.04760177,0.20705320,0.10848781,0.04769925
-4.73336668,0.47166138,0.01809962,0.00000000,0.04421087,0.19325445,0.10236394,0.04341531
-4.72736368,0.44024765,0.01673146,0.00000000,0.04101334,0.18127990,0.09726016,0.03956740
-4.72136068,0.41323691,0.01543869,0.00000000,0.03804772,0.17126820,0.09323789,0.03616859
-4.71535768,0.39086960,0.01423013,0.00000000,0.03535006,0.16333560,0.09034927,0.03322768
-4.70935468,0.37333655,0.01311385,0.00000000,0.03295319,0.15757326,0.08863511,0.03074911
-4.70335168,0.36077300,0.01209696,0.00000000,0.03088621,0.15404481,0.08812287,0.02873287
-4.69734867,0.35325320,0.01118537,0.00000000,0.02917393,0.15278412,0.08882469,0.02717445
-4.69134567,0.35078546,0.01038366,0.00000000,0.02783636,0.15379336,0.09073553,0.02606485
-4.68534267,0.35330810,0.00969489,0.00000000,0.02688832,0.15704137,0.09383164,0.02539056
-4.67933967,0.36068639,0.00912047,0.00000000,0.02633899,0.16246244,0.09806934,0.02513361
-4.67333667,0.37271055,0.00866011,0.00000000,0.02619167,0.16995560,0.10338415,0.02527165
-4.66733367,0.38909524,0.00831177,0.00000000,0.02644345,0.17938439,0.10969051,0.02577812
-4.66133067,0.40948057,0.00807165,0.00000000,0.02708501,0.19057744,0.11688205,0.02662238
-4.65532766,0.43343495,0.00793423,0.00000000,0.02810053,0.20332968,0.12483250,0.02777002
-4.64932466,0.46045982,0.00789237,0.00000000,0.02946766,0.21740454,0.13339723,0.02918320
-4.64332166,0.48999645,0.00793744,0.00000000,0.03115757,0.23253694,0.14241557,0.03082106
-4.63731866,0.52143480,0.00805942,0.00000000,0.03313523,0.24843729,0.15171371,0.03264026
-4.63131566,0.55412442,0.00824719,0.00000000,0.03535974,0.26479648,0.16110833,0.03459563
-4.62531266,0.58738718,0.00848864,0.00000000,0.03778487,0.28129162,0.17041070,0.03664086
-4.61930965,0.62053167,0.00877100,0.00000000,0.04035977,0.29759269,0.17943122,0.03872934
-4.61330665,0.65286878,0.00908108,0.00000000,0.04302985,0.31336977,0.18798432,0.04081499
-4.60730365,0.68372807,0.00940552,0.00000000,0.04573783,0.32830066,0.19589338,0.04285326
-4.60130065,0.71247441,0.00973116,0.00000000,0.04842493,0.34207868,0.20299564,0.04480196
-4.59529765,0.73852413,0.01004524,0.00000000,0.05103217,0.35442041,0.20914687,0.04662227
-4.58929465,0.76136033,0.01033576,0.00000000,0.05350178,0.36507302,0.21422547,0.04827955
-4.58329165,0.78054635,0.01059172,0.00000000,0.05577864,0.37382081,0.21813602,0.04974412
-4.57728864,0.79573714,0.01080335,0.00000000,0.05781169,0.38049096,0.22081203,0.05099194
-4.57128564,0.80668788,0.01096239,0.00000000,0.05955527,0.38495790,0.22221767,0.05200502
-4.56528264,0.81325941,0.01106219,0.00000000,0.06097035,0.38714640,0.22234855,0.05277181
-4.55927964,0.81542035,0.01109789,0.00000000,0.06202553,0.38703302,0.22123150,0.05328724
-4.55327664,0.81324569,0.01106651,0.00000000,0.06269790,0.38464607,0.21892316,0.05355266
-4.54727364,0.80691199,0.01096693,0.00000000,0.06297351,0.38006388,0.21550777,0.05357552
-4.54127064,0.79668935,0.01079991,0.00000000,0.06284767,0.37341164,0.21109398,0.05336889
-4.53526763,0.78293068,0.01056796,0.00000000,0.06232484,0.36485692,0.20581096,0.05295080
-4.52926463,0.76605850,0.01027525,0.00000000,0.06141829,0.35460395,0.19980400,0.05234346
-4.52326163,0.74655019,0.00992740,0.00000000,0.06014948,0.34288723,0.19322971,0.05157233
-4.51725863,0.72492207,0.00953127,0.00000000,0.05854710,0.32996439,0.18625115,0.05066526
-4.51125563,0.70171318,0.00909473,0.00000000,0.05664603,0.31610890,0.17903292,0.04965143
-4.50525263,0.67746931,0.00862637,0.00000000,0.05448607,0.30160277,0.17173656,0.04856049
-4.49924962,0.65272791,0.00813522,0.00000000,0.05211054,0.28672956,0.16451635,0.04742164
-4.49324662,0.62800435,0.00763051,0.00000000,0.04956498,0.27176791,0.15751557,0.04626290
-4.48724362,0.60378006,0.00712138,0.00000000,0.04689573,0.25698574,0.15086348,0.04511036
-4.48124062,0.58049267,0.00661664,0.00000000,0.04414861,0.24263534,0.14467289,0.04398774
-4.47523762,0.55852831,0.00612456,0.00000000,0.04136784,0.22894931,0.13903846,0.04291591
-4.46923462,0.53821628,0.00565269,0.00000000,0.03859496,0.21613734,0.13403569,0.04191268
-4.46323162,0.51982573,0.00520769,0.00000000,0.03586800,0.20438394,0.12972053,0.04099261
-4.45722861,0.50356438,0.00479524,0.00000000,0.03322088,0.19384679,0.12612953,0.04016702
-4.45122561,0.48957892,0.00441993,0.00000000,0.03068296,0.18465582,0.12328051,0.03944407
-4.44522261,0.47795685,0.00408529,0.00000000,0.02827877,0.17691278,0.12117363,0.03882883
-4.43921961,0.46872947,0.00379370,0.00000000,0.02602795,0.17069113,0.11979266,0.03832357
-4.43321661,0.46187563,0.00354649,0.00000000,0.02394535,0.16603633,0.11910662,0.03792790
-4.42721361,0.45732617,0.00334392,0.00000000,0.02204119,0.16296616,0.11907143,0.03763905
-4.42121061,0.45496861,0.00318531,0.00000000,0.02032141,0.16147132,0.11963170,0.03745215
-4.41520760,0.45465207,0.00306910,0.00000000,0.01878802,0.16151601,0.12072255,0.03736042
-4.40920460,0.45619231,0.00299296,0.00000000,0.01743954,0.16303879,0.12227137,0.03735544
-4.40320160,0.45937677,0.00295389,0.00000000,0.01627145,0.16595348,0.12419964,0.03742737
