energy_ev,total_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up
-4.55327664,0.47620854,0.13561829,0.22901266,0.01708014,0.21745607,0.03222681,0.00000000
-4.54727364,0.45984266,0.12937792,0.21821325,0.01718181,0.21528268,0.02856912,0.00000000
-4.54127064,0.44845161,0.12457455,0.21025770,0.01732165,0.21504788,0.02553750,0.00000000
-4.53526763,0.44204657,0.12120002,0.20512257,0.01750703,0.21679752,0.02311638,0.00000000
-4.52926463,0.44062703,0.11924245,0.20277322,0.01774689,0.22057164,0.02129146,0.00000000
-4.52326163,0.44418296,0.11868688,0.20316610,0.01805164,0.22640391,0.02005032,0.00000000
-4.51725863,0.45269529,0.11951549,0.20625022,0.01843287,0.23432040,0.01938292,0.00000000
-4.51125563,0.46613484,0.12170752,0.21196790,0.01890301,0.24433771,0.01928199,0.00000000
-4.50525263,0.48445978,0.12523896,0.22025474,0.01947487,0.25646059,0.01974320,0.00000000
-4.49924962,0.50761185,0.13008192,0.23103900,0.02016116,0.27067927,0.02076525,0.00000000
-4.49324662,0.53551180,0.13620392,0.24424045,0.02097398,0.28696655,0.02234974,0.00000000
-4.48724362,0.56805434,0.14356718,0.25976887,0.02192423,0.30527508,0.02450091,0.00000000
-4.48124062,0.60510310,0.15212791,0.27752245,0.02302106,0.32553482,0.02722524,0.00000000
-4.47523762,0.64648606,0.16183582,0.29738623,0.02427138,0.34765112,0.03053098,0.00000000
-4.46923462,0.69199184,0.17263391,0.31923079,0.02567940,0.37150340,0.03442747,0.00000000
-4.46323162,0.74136727,0.18445853,0.34291143,0.02724625,0.39694483,0.03892456,0.00000000
-4.45722861,0.79431651,0.19723984,0.36826787,0.02896967,0.42380287,0.04403184,0.00000000
-4.45122561,0.85050210,0.21090271,0.39512468,0.03084391,0.45188094,0.04975801,0.00000000
-4.44522261,0.90954786,0.22536792,0.42329260,0.03285969,0.48096116,0.05611016,0.00000000
-4.43921961,0.97104383,0.24055377,0.45257054,0.03500428,0.51080809,0.06309320,0.00000000
-4.43321661,1.03455308,0.25637789,0.48274849,0.03726181,0.54117346,0.07070924,0.00000000
-4.42721361,1.09962020,0.27275927,0.51361111,0.03961362,0.57180154,0.07895717,0.00000000
-4.42121061,1.16578117,0.28962027,0.54494197,0.04203878,0.60243526,0.08783220,0.00000000
-4.41520760,1.23257416,0.30688859,0.57652820,0.04451472,0.63282245,0.09732554,0.00000000
-4.40920460,1.29955073,0.32449897,0.60816542,0.04701787,0.66272225,0.10742403,0.00000000
-4.40320160,1.36628702,0.34239449,0.63966262,0.04952445,0.69191122,0.11810992,0.00000000
-4.39719860,1.43239411,0.36052739,0.67084681,0.05201118,0.72018886,0.12936050,0.00000000
-4.39119560,1.49752719,0.37885933,0.70156718,0.05445603,0.74738234,0.14114779,0.00000000
-4.38519260,1.56139284,0.39736088,0.73169834,0.05683886,0.77335003,0.15343818,0.00000000
-4.37918959,1.62375395,0.41601037,0.76114274,0.05914203,0.79798385,0.16619191,0.00000000
-4.37318659,1.68443203,0.43479206,0.78983167,0.06135082,0.82121000,0.17936256,0.00000000
-4.36718359,1.74330644,0.45369365,0.81772498,0.06345373,0.84298823,0.19289645,0.00000000
-4.36118059,1.80031069,0.47270334,0.84480941,0.06544266,0.86330959,0.20673200,0.00000000
-4.35517759,1.85542567,0.49180648,0.87109534,0.06731285,0.88219260,0.22079907,0.00000000
-4.34917459,1.90867037,0.51098219,0.89661231,0.06906269,0.89967832,0.23501843,0.00000000
