energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up
-2.36818409,1.73722898,0.01433969,0.17280516,0.19316228,0.04087819,0.07345967,1.30108561,0.03066160,0.05911193
-2.36218109,1.86522835,0.01613397,0.18709781,0.21434120,0.04441409,0.07868417,1.39254926,0.03236842,0.06458088
-2.35617809,2.00393198,0.01805633,0.20239170,0.23768756,0.04820070,0.08447940,1.49190819,0.03412774,0.07056603
-2.35017509,2.15299626,0.02009406,0.21859340,0.26312300,0.05221454,0.09083451,1.59902787,0.03592556,0.07705132
-2.34417209,2.31193418,0.02223062,0.23558495,0.29052953,0.05642520,0.09773568,1.71369130,0.03774600,0.08401399
-2.33816908,2.48011879,0.02444576,0.25322469,0.31974881,0.06079561,0.10516668,1.83560086,0.03957163,0.09142450
-2.33216608,2.65678956,0.02671563,0.27134865,0.35058223,0.06528250,0.11310944,1.96438133,0.04138365,0.09924664
-2.32616308,2.84106140,0.02901322,0.28977281,0.38279209,0.06983708,0.12154449,2.09958409,0.04316227,0.10743773
-2.32016008,3.03193621,0.03130879,0.30829592,0.41610379,0.07440598,0.13045125,2.24069215,0.04488705,0.11594881
-2.31415708,3.22831668,0.03357051,0.32670308,0.45020919,0.07893231,0.13980820,2.38712578,0.04653733,0.12472505
-2.30815408,3.42902144,0.03576522,0.34476989,0.48477103,0.08335703,0.14959287,2.53824827,0.04809266,0.13370618
-2.30215108,3.63280127,0.03785924,0.36226710,0.51942834,0.08762028,0.15978160,2.69337144,0.04953328,0.14282710
-2.29614807,3.83835528,0.03981930,0.37896563,0.55380281,0.09166295,0.17034919,2.85176032,0.05084053,0.15201849
-2.29014507,4.04434636,0.04161346,0.39464179,0.58750583,0.09542818,0.18126831,3.01263666,0.05199742,0.16120756
-2.28414207,4.24941530,0.04321204,0.40908259,0.62014618,0.09886281,0.19250872,3.17518080,0.05298893,0.17031891
-2.27813907,4.45219286,0.04458852,0.42209088,0.65133793,0.10191886,0.20403641,3.33853194,0.05380249,0.17927533
-2.27213607,4.65130940,0.04572029,0.43349020,0.68070854,0.10455474,0.21581258,3.50178655,0.05442826,0.18799878
-2.26613307,4.84540220,0.04658939,0.44312916,0.70790675,0.10673630,0.22779260,3.66399548,0.05485940,0.19641131
-2.26013007,5.03312047,0.04718297,0.45088523,0.73261010,0.10843772,0.23992495,3.82416015,0.05509221,0.20443602
-2.25412706,5.21312871,0.04749369,0.45666769,0.75453187,0.10964202,0.25215038,3.98122863,0.05512623,0.21199807
-2.24812406,5.38410933,0.04751985,0.46041990,0.77342726,0.11034140,0.26440109,4.13409275,0.05496419,0.21902561
-2.24212106,5.54476545,0.04726538,0.46212058,0.78909864,0.11053725,0.27660039,4.28158726,0.05461192,0.22545080
-2.23611806,5.69382538,0.04673962,0.46178425,0.80139978,0.11023991,0.28866263,4.42249236,0.05407817,0.23121076
-2.23011506,5.83004979,0.04595697,0.45946077,0.81023895,0.10946822,0.30049368,4.55554082,0.05337434,0.23624854
-2.22411206,5.95224298,0.04493631,0.45523409,0.81558094,0.10824887,0.31199192,4.67943067,0.05251420,0.24051411
-2.21810905,6.05926913,0.04370037,0.44922030,0.81744794,0.10661552,0.32304985,4.79284426,0.05151350,0.24396534
-2.21210605,6.15007412,0.04227502,0.44156503,0.81591933,0.10460797,0.33355635,4.89447404,0.05038971,0.24656891
-2.20610305,6.22371317,0.04068847,0.43244031,0.81113045,0.10227106,0.34339953,4.98305504,0.04916162,0.24830136
-2.20010005,6.27938372,0.03897046,0.42204118,0.80327041,0.09965378,0.35247008,5.05740320,0.04784903,0.24914995
-2.19409705,6.31646276,0.03715151,0.41058190,0.79257898,0.09680821,0.36066511,5.11645874,0.04647249,0.24911359
-2.18809405,6.33454697,0.03526218,0.39829210,0.77934273,0.09378863,0.36789228,5.15933243,0.04505306,0.24820361
-2.18209105,6.33349358,0.03333244,0.38541287,0.76389043,0.09065065,0.37407402,5.18535295,0.04361206,0.24644454
-2.17608804,6.31345947,0.03139111,0.37219283,0.74658770,0.08745047,0.37915168,5.19411263,0.04217098,0.24387454
-2.17008504,6.27493586,0.02946536,0.35888429,0.72783119,0.08424414,0.38308932,5.18550888,0.04075130,0.24054585
-2.16408204,6.21877564,0.02758045,0.34573954,0.70804209,0.08108701,0.38587698,5.15977866,0.03937440,0.23652481
-2.15807904,6.14621072,0.02575940,0.33300720,0.68765917,0.07803313,0.38753311,5.11752321,0.03806145,0.23189166
-2.15207604,6.05885701,0.02402285,0.32092870,0.66713141,0.07513474,0.38810604,5.05972094,0.03683328,0.22674000
-2.14607304,5.95870503,0.02238902,0.30973492,0.64691014,0.07244182,0.38767424,4.98772661,0.03571026,0.22117581
-2.14007004,5.84809508,0.02087364,0.29964279,0.62744093,0.07000150,0.38634540,4.90325567,0.03471207,0.21531614
-2.13406703,5.72967649,0.01949001,0.29085207,0.60915518,0.06785759,0.38425405,4.80835347,0.03385750,0.20928733
-2.12806403,5.60635128,0.01824903,0.28354218,0.59246159,0.06605000,0.38155800,4.70534955,0.03316413,0.20322283
-2.12206103,5.48120375,0.01715927,0.27786905,0.57773762,0.06461408,0.37843345,4.59679854,0.03264803,0.19726068
-2.11605803,5.35741798,0.01622707,0.27396219,0.56532114,0.06358003,0.37506919,4.48540929,0.03232329,0.19154058
-2.11005503,5.23818625,0.01545651,0.27192179,0.55550238,0.06297216,0.37165983,4.37396519,0.03220166,0.18620079
-2.10405203,5.12661185,0.01484954,0.27181619,0.54851654,0.06280824,0.36839856,4.26523859,0.03229209,0.18137472
-2.09804902,5.02561027,0.01440597,0.27367956,0.54453706,0.06309882,0.36546976,4.16190307,0.03260026,0.17718756
-2.09204602,4.93781280,0.01412349,0.27751006,0.54367010,0.06384663,0.36304159,4.06644699,0.03312819,0.17375278
-2.08604302,4.86547687,0.01399773,0.28326851,0.54595022,0.06504606,0.36125924,3.98109222,0.03387389,0.17116889
-2.08004002,4.81040686,0.01402225,0.29087772,0.55133759,0.06668282,0.36023884,3.90772129,0.03483103,0.16951632
-2.07403702,4.77388900,0.01418867,0.30022260,0.55971701,0.06873375,0.36006256,3.84781614,0.03598885,0.16885476
