energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
4.82941471,0.37900224,-0.75394923,0.39636066,-0.99105503,0.01723288,-0.06816776,0.04054036,-0.03396397,0.04401161,-0.03515785,0.03518529,-0.05417599,0.05646396,-0.03195989
4.83541771,0.38822285,-0.72449496,0.41973972,-0.95105569,0.01750077,-0.06613774,0.04517322,-0.03257471,0.04619518,-0.03358640,0.03384658,-0.05104542,0.05842103,-0.03108226
4.84142071,0.39848287,-0.69293092,0.44473085,-0.90826640,0.01782293,-0.06381885,0.05001030,-0.03109220,0.04847683,-0.03192635,0.03250912,-0.04790293,0.06049571,-0.03007582
4.84742371,0.40966670,-0.65969507,0.47104663,-0.86323039,0.01819251,-0.06125191,0.05499764,-0.02953570,0.05083576,-0.03019477,0.03119835,-0.04477390,0.06266821,-0.02896124
4.85342671,0.42162145,-0.62526901,0.49835196,-0.81654103,0.01860129,-0.05848371,0.06007363,-0.02792613,0.05324433,-0.02840995,0.02993782,-0.04168353,0.06491104,-0.02776254
4.85942971,0.43415699,-0.59016944,0.52626772,-0.76883070,0.01903962,-0.05556595,0.06517000,-0.02628568,0.05566845,-0.02659111,0.02874864,-0.03865666,0.06718926,-0.02650660
4.86543272,0.44704857,-0.55493833,0.55437748,-0.72075805,0.01949646,-0.05255395,0.07021319,-0.02463739,0.05806824,-0.02475801,0.02764907,-0.03571764,0.06946106,-0.02522262
4.87143572,0.46004190,-0.52013210,0.58223690,-0.67299412,0.01995962,-0.04950543,0.07512605,-0.02300465,0.06039900,-0.02293055,0.02665438,-0.03289019,0.07167884,-0.02394155
4.87743872,0.47286047,-0.48631026,0.60938557,-0.62620793,0.02041598,-0.04647907,0.07982981,-0.02141069,0.06261257,-0.02112843,0.02577673,-0.03019713,0.07379053,-0.02269541
4.88344172,0.48521470,-0.45402388,0.63536077,-0.58105194,0.02085191,-0.04353322,0.08424631,-0.01987810,0.06465883,-0.01937075,0.02502533,-0.02766019,0.07574136,-0.02151666
4.88944472,0.49681243,-0.42380426,0.65971240,-0.53814814,0.02125365,-0.04072455,0.08830031,-0.01842829,0.06648744,-0.01767564,0.02440669,-0.02529975,0.07747571,-0.02043761
4.89544772,0.50737019,-0.39615213,0.68201834,-0.49807490,0.02160785,-0.03810682,0.09192183,-0.01708113,0.06804964,-0.01605996,0.02392488,-0.02313463,0.07893919,-0.01948971
4.90145073,0.51662453,-0.37152766,0.70189944,-0.46135527,0.02190201,-0.03572981,0.09504845,-0.01585445,0.06930011,-0.01453909,0.02358194,-0.02118185,0.08008080,-0.01870301
4.90745373,0.52434284,-0.35034136,0.71903327,-0.42844676,0.02212500,-0.03363827,0.09762735,-0.01476370,0.07019870,-0.01312668,0.02337826,-0.01945647,0.08085489,-0.01810558
4.91345673,0.53033291,-0.33294620,0.73316581,-0.39973293,0.02226750,-0.03187116,0.09961715,-0.01382171,0.07071206,-0.01183459,0.02331289,-0.01797144,0.08122306,-0.01772299
4.91945973,0.53445081,-0.31963083,0.74412039,-0.37551680,0.02232232,-0.03046088,0.10098921,-0.01303836,0.07081497,-0.01067276,0.02338382,-0.01673743,0.08115578,-0.01757785
4.92546273,0.53660646,-0.31061400,0.75180348,-0.35601609,0.02228475,-0.02943279,0.10172867,-0.01242050,0.07049141,-0.00964926,0.02358825,-0.01576275,0.08063368,-0.01768930
4.93146573,0.53676676,-0.30604023,0.75620666,-0.34136027,0.02215273,-0.02880480,0.10183475,-0.01197175,0.06973527,-0.00877030,0.02392260,-0.01505329,0.07964841,-0.01807269
4.93746873,0.53495602,-0.30597657,0.75740500,-0.33158936,0.02192692,-0.02858708,0.10132072,-0.01169253,0.06855067,-0.00804029,0.02438260,-0.01461241,0.07820311,-0.01873913
4.94347174,0.53125367,-0.31041058,0.75555167,-0.32665424,0.02161065,-0.02878197,0.10021319,-0.01158002,0.06695190,-0.00746198,0.02496312,-0.01444093,0.07631244,-0.01969522
4.94947474,0.52578961,-0.31924942,0.75086919,-0.32641852,0.02120982,-0.02938391,0.09855097,-0.01162824,0.06496297,-0.00703649,0.02565804,-0.01453706,0.07400213,-0.02094271
4.95547774,0.51873733,-0.33232016,0.74363785,-0.33066184,0.02073266,-0.03037959,0.09638348,-0.01182819,0.06261681,-0.00676344,0.02646002,-0.01489634,0.07130825,-0.02247826
4.96148074,0.51030542,-0.34937127,0.73418202,-0.33908445,0.02018940,-0.03174812,0.09376874,-0.01216801,0.05995417,-0.00664105,0.02736020,-0.01551161,0.06827598,-0.02429325
4.96748374,0.50072805,-0.37007554,0.72285511,-0.35131315,0.01959197,-0.03346136,0.09077124,-0.01263322,0.05702235,-0.00666612,0.02834798,-0.01637293,0.06495832,-0.02637366
4.97348674,0.49025496,-0.39403424,0.71002412,-0.36690848,0.01895357,-0.03548439,0.08745950,-0.01320702,0.05387363,-0.00683414,0.02941080,-0.01746757,0.06141441,-0.02869998
4.97948974,0.47914169,-0.42078293,0.69605474,-0.38537322,0.01828834,-0.03777603,0.08390375,-0.01387064,0.05056376,-0.00713921,0.03053402,-0.01877998,0.05770798,-0.03124726
