energy_ev,total_up,In_p_up,In_d_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-5.30365183,6.45985911,0.19164939,0.00711782,3.67596288,2.69881918,0.02729203,4.12598572
-5.29764882,6.37076524,0.18884509,0.00708684,3.63041931,2.65424229,0.02761569,4.05698872
-5.29164582,6.28491262,0.18588812,0.00703867,3.59273209,2.61540768,0.02787260,3.99262085
-5.28564282,6.20459003,0.18285403,0.00697509,3.56397912,2.58331787,0.02806798,3.93450367
-5.27963982,6.13184522,0.17981237,0.00689797,3.54498737,2.55880518,0.02820828,3.88406132
-5.27363682,6.06841433,0.17682461,0.00680920,3.53630074,2.54250222,0.02830084,3.84247086
-5.26763382,6.01566385,0.17394266,0.00671066,3.53815869,2.53481906,0.02835352,3.81062181
-5.26163082,5.97454697,0.17120757,0.00660417,3.55048637,2.53592790,0.02837428,3.78908652
-5.25562781,5.94557563,0.16864883,0.00649141,3.57289647,2.54575561,0.02837079,3.77810227
-5.24962481,5.92880894,0.16628398,0.00637394,3.60470230,2.56398454,0.02834996,3.77756558
-5.24362181,5.92385776,0.16411865,0.00625311,3.64494132,2.59006135,0.02831760,3.78703860
-5.23761881,5.92990491,0.16214693,0.00613009,3.69240784,2.62321346,0.02827801,3.80576715
-5.23161581,5.94573986,0.16035215,0.00600586,3.74569327,2.66247263,0.02823375,3.83270934
-5.22561281,5.96980608,0.15870790,0.00588114,3.80323218,2.70670468,0.02818543,3.86657348
-5.21960980,6.00025931,0.15717934,0.00575648,3.86335232,2.75464432,0.02813161,3.90586383
-5.21360680,6.03503427,0.15572475,0.00563221,3.92432663,2.80493411,0.02806882,3.94893219
-5.20760380,6.07191755,0.15429721,0.00550849,3.98442559,2.85616599,0.02799170,3.99403361
-5.20160080,6.10862404,0.15284649,0.00538529,4.04196814,2.90692435,0.02789318,4.03938428
-5.19559780,6.14287439,0.15132088,0.00526245,4.09536971,2.95582904,0.02776491,4.08321945
-5.18959480,6.17247099,0.14966915,0.00513970,4.14318606,3.00157707,0.02759756,4.12384982
-5.18359180,6.19537004,0.14784239,0.00501669,4.18415193,3.04298170,0.02738139,4.15971429
-5.17758879,6.20974744,0.14579579,0.00489300,4.21721350,3.07900758,0.02710670,4.18942773
-5.17158579,6.21405643,0.14349019,0.00476820,4.24155406,3.10880082,0.02676439,4.21182201
-5.16558279,6.20707523,0.14089355,0.00464185,4.25661226,3.13171295,0.02634645,4.22597932
-5.15957979,6.18794304,0.13798197,0.00451358,4.26209260,3.14731796,0.02584639,4.23125648
-5.15357679,6.15618336,0.13474064,0.00438307,4.25796800,3.15542163,0.02525970,4.22729969
-5.14757379,6.11171380,0.13116431,0.00425007,4.24447418,3.15606292,0.02458407,4.21404899
-5.14157079,6.05484197,0.12725753,0.00411447,4.22209610,3.14950702,0.02381966,4.19173251
-5.13556778,5.98624776,0.12303458,0.00397626,4.19154661,3.13623037,0.02296912,4.16085049
-5.12956478,5.90695238,0.11851906,0.00383560,4.15373781,3.11689797,0.02203762,4.12214956
-5.12356178,5.81827552,0.11374323,0.00369276,4.10974581,3.09233378,0.02103267,4.07658839
