energy_ev,total_up,Co_p_up,Co_d_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-4.04302151,6.67007743,1.21054624,1.49910094,3.03855615,0.44229337,0.00552492,1.07445434,0.02301401,3.58457821
-4.03701851,6.72354286,1.18097352,1.54469577,3.05195041,0.44192027,0.00551631,1.08098636,0.02369062,3.60744188
-4.03101551,6.78135381,1.15238916,1.59500727,3.05842882,0.44102713,0.00550963,1.08441655,0.02434467,3.63451056
-4.02501251,6.84415834,1.12513527,1.65006527,3.05855015,0.43963139,0.00550477,1.08494934,0.02497007,3.66610650
-4.01900950,6.91259480,1.09953644,1.70983473,3.05301297,0.43776933,0.00550151,1.08285365,0.02556111,3.70250418
-4.01300650,6.98723836,1.07588500,1.77420849,3.04262251,0.43549361,0.00549961,1.07844837,0.02611244,3.74390414
-4.00700350,7.06854892,1.05442720,1.84300193,3.02825375,0.43287040,0.00549880,1.07208607,0.02661911,3.79040877
-4.00100050,7.15682312,1.03535107,1.91595020,3.01081206,0.42997616,0.00549888,1.06413579,0.02707654,3.84200150
-3.99499750,7.25215291,1.01877653,1.99270828,2.99119304,0.42689428,0.00549975,1.05496564,0.02748053,3.89853050
-3.98899450,7.35439313,1.00474830,2.07285414,2.97024320,0.42371152,0.00550141,1.04492600,0.02782722,3.95969790
-3.98299150,7.46313968,0.99323194,2.15589520,2.94872295,0.42051455,0.00550401,1.03433402,0.02811311,4.02505508
-3.97698849,7.57771993,0.98411319,2.24127812,2.92727364,0.41738657,0.00550786,1.02346002,0.02833501,4.09400464
-3.97098549,7.69719589,0.97720060,2.32840181,2.90638981,0.41440409,0.00551340,1.01251656,0.02849004,4.16580910
-3.96498249,7.82038058,0.97223140,2.41663342,2.88639793,0.41163401,0.00552119,1.00165045,0.02857562,4.23960616
-3.95897949,7.94586708,0.96888023,2.50532679,2.86744259,0.40913102,0.00553186,0.99093807,0.02858947,4.31443001
-3.95297649,8.07206915,0.96677028,2.59384286,2.84948067,0.40693544,0.00554606,0.98038423,0.02852961,4.38923804
-3.94697349,8.19727191,0.96548649,2.68157120,2.83228391,0.40507143,0.00556440,0.96992445,0.02839441,4.46294176
-3.94097049,8.31969025,0.96458997,2.76795172,2.81544978,0.40354581,0.00558740,0.95943066,0.02818260,4.53444078
-3.93496748,8.43753220,0.96363317,2.85249549,2.79842015,0.40234731,0.00561537,0.94871979,0.02789335,4.60265817
-3.92896448,8.54906432,0.96217514,2.93480360,2.78050714,0.40144643,0.00564840,0.93756502,0.02752628,4.66657584
-3.92296148,8.65267570,0.95979610,3.01458274,2.76092484,0.40079591,0.00568628,0.92570893,0.02708161,4.72526802
-3.91695848,8.74693720,0.95611090,3.09165654,2.73882569,0.40033168,0.00572846,0.91287804,0.02656016,4.77793128
-3.91095548,8.83065263,0.95078080,3.16597149,2.71333968,0.39997443,0.00577404,0.89879784,0.02596352,4.82390952
-3.90495248,8.90289906,0.94352307,3.23759670,2.68361469,0.39963169,0.00582176,0.88320782,0.02529402,4.86271253
-3.89894947,8.96305351,0.93411825,3.30671685,2.64885614,0.39920038,0.00587003,0.86587551,0.02455491,4.89402705
-3.89294647,9.01080453,0.92241478,3.37361815,2.60836402,0.39856970,0.00591697,0.84660908,0.02375033,4.91771953
-3.88694347,9.04614746,0.90833098,3.43866736,2.56156571,0.39762446,0.00596047,0.82526780,0.02288538,4.93383043
-3.88094047,9.06936328,0.89185438,3.50228446,2.50804312,0.39624849,0.00599830,0.80177002,0.02196614,4.94255998
-3.87493747,9.08098197,0.87303871,3.56490998,2.44755289,0.39432826,0.00602820,0.77609821,0.02099962,4.94424621
-3.86893447,9.08173219,0.85199857,3.62696814,2.38003902,0.39175642,0.00604804,0.74830107,0.01999374,4.93933615
-3.86293147,9.07247974,0.82890247,3.68882779,2.30563739,0.38843527,0.00605590,0.71849260,0.01895724,4.92835183
-3.85692846,9.05415838,0.80396428,3.75076288,2.22467225,0.38427989,0.00605022,0.68684832,0.01789957,4.91185273
-3.85092546,9.02769679,0.77743378,3.81291470,2.13764518,0.37922104,0.00602995,0.65359897,0.01683079,4.89039685
-3.84492246,8.99394599,0.74958670,3.87525811,2.04521714,0.37320743,0.00599464,0.61902203,0.01576139,4.86450252
-3.83891946,8.95361146,0.72071462,3.93757386,1.94818488,0.36620758,0.00594459,0.58343168,0.01470215,4.83461313
-3.83291646,8.90719410,0.69111522,3.99942891,1.84745298,0.35821097,0.00588087,0.54716761,0.01366398,4.80106680
-3.82691346,8.85494372,0.66108323,4.06016632,1.74400297,0.34922860,0.00580545,0.51058335,0.01265775,4.76407281
-3.82091046,8.79682798,0.63090234,4.11890594,1.63886111,0.33929284,0.00572116,0.47403472,0.01169412,4.72369612
-3.81490745,8.73251887,0.60083831,4.17455644,1.53306632,0.32845659,0.00563177,0.43786882,0.01078339,4.67985108
-3.80890445,8.66139797,0.57113352,4.22583877,1.42763964,0.31679192,0.00554187,0.40241405,0.00993537,4.63230458
-3.80290145,8.58258033,0.54200289,4.27132042,1.32355645,0.30438804,0.00545687,0.36797159,0.00915925,4.58068874
-3.79689845,8.49495606,0.51363131,4.30945950,1.22172237,0.29134885,0.00538285,0.33480847,0.00846351,4.52452238
-3.79089545,8.39724754,0.48617241,4.33865668,1.12295363,0.27779014,0.00532645,0.30315259,0.00785580,4.46324016
-3.78489245,8.28807924,0.45974870,4.35731304,1.02796223,0.26383650,0.00529470,0.27318946,0.00734287,4.39622796
-3.77888944,8.16605657,0.43445275,4.36389127,0.93734617,0.24961811,0.00529480,0.24506089,0.00693048,4.32286237
-3.77288644,8.02984955,0.41034935,4.35697736,0.85158453,0.23526754,0.00533394,0.21886534,0.00662335,4.24255242
-3.76688344,7.87827697,0.38747842,4.33534021,0.77103718,0.22091666,0.00541901,0.19465975,0.00642510,4.15478131
-3.76088044,7.71038666,0.36585839,4.29798620,0.69594850,0.20669379,0.00555641,0.17246268,0.00633812,4.05914576
-3.75487744,7.52552774,0.34548993,4.24420641,0.62645470,0.19272117,0.00575177,0.15225843,0.00636356,3.95539137
-3.74887444,7.32341133,0.32635982,4.17361420,0.56259384,0.17911285,0.00600970,0.13400179,0.00650124,3.84344178
-3.74287144,7.10415675,0.30844469,4.08617155,0.50431787,0.16597303,0.00633355,0.11762338,0.00674953,3.72342073
-3.73686843,6.86832119,0.29171472,3.98220303,0.45150611,0.15339492,0.00672517,0.10303497,0.00710535,3.59566566
-3.73086543,6.61691169,0.27613692,3.86239689,0.40397939,0.14146015,0.00718479,0.09013493,0.00756403,3.46073264
-3.72486243,6.35137930,0.26167817,3.72779323,0.36151421,0.13023860,0.00771078,0.07881334,0.00811934,3.31939249
-3.71885943,6.07359605,0.24830776,3.57976010,0.32385659,0.11978885,0.00829962,0.06895677,0.00876343,3.17261865
-3.71285643,5.78581652,0.23599968,3.41995875,0.29073514,0.11015893,0.00894583,0.06045249,0.00948683,3.02156745
-3.70685343,5.49062604,0.22473438,3.25029948,0.26187292,0.10138757,0.00964197,0.05319228,0.01027860,2.86755229
-3.70085043,5.19087861,0.21450027,3.07289049,0.23699815,0.09350570,0.01037876,0.04707549,0.01112634,2.71201286
-3.69484742,4.88962753,0.20529487,2.88998167,0.21585345,0.08653815,0.01114519,0.04201163,0.01201645,2.55648120
-3.68884442,4.59005211,0.19712570,2.70390591,0.19820350,0.08050551,0.01192880,0.03792229,0.01293430,2.40254610
-3.68284142,4.29538358,0.19001092,2.51702020,0.18384137,0.07542605,0.01271593,0.03474258,0.01386460,2.25181753
-3.67683842,4.00883319,0.18397973,2.33164867,0.17259325,0.07131747,0.01349208,0.03242198,0.01479164,2.10589226
-3.67083542,3.73352502,0.17907257,2.15002965,0.16432172,0.06819866,0.01424231,0.03092478,0.01569979,1.96632218
-3.66483242,3.47243534,0.17534102,1.97426811,0.15892763,0.06609098,0.01495169,0.03022998,0.01657384,1.83458578
-3.65882941,3.22833981,0.17284741,1.80629504,0.15635054,0.06501939,0.01560572,0.03033078,0.01739948,1.71206367
-3.65282641,3.00376940,0.17166407,1.64783417,0.15656773,0.06501296,0.01619082,0.03123373,0.01816374,1.60001810
-3.64682341,2.80097471,0.17187213,1.50037673,0.15959186,0.06610507,0.01669475,0.03295733,0.01885534,1.49957652
