energy_ev,total_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-5.57978989,3.34672550,0.03263232,0.23922305,1.55495664,1.66140638,0.00617541,1.30290558,0.44551257,0.21735802
-5.57378689,3.28407388,0.03189648,0.24100133,1.54547339,1.63232353,0.00611051,1.26912199,0.43606884,0.21141352
-5.56778389,3.22282998,0.03110755,0.24311296,1.53901581,1.60304759,0.00608106,1.23579650,0.42707319,0.20549397
-5.56178089,3.16379012,0.03027304,0.24569480,1.53617079,1.57399122,0.00608915,1.20313101,0.41862708,0.19964067
-5.55577789,3.10785865,0.02940205,0.24889422,1.53758606,1.54562300,0.00613630,1.17137167,0.41085185,0.19390244
-5.54977489,3.05601885,0.02850490,0.25286470,1.54394664,1.51845414,0.00622331,1.14080046,0.40388441,0.18833390
-5.54377189,3.00929743,0.02759265,0.25776065,1.55594641,1.49302215,0.00635024,1.11172412,0.39787176,0.18299340
-5.53776888,2.96872435,0.02667665,0.26373181,1.57425618,1.46987227,0.00651627,1.08446133,0.39296465,0.17794072
-5.53176588,2.93528982,0.02576807,0.27091732,1.59948969,1.44953750,0.00671978,1.05932851,0.38931059,0.17323470
-5.52576288,2.90990063,0.02487745,0.27943986,1.63216895,1.43251803,0.00695821,1.03662515,0.38704662,0.16893087
-5.51975988,2.89333784,0.02401434,0.28939994,1.67269081,1.41926132,0.00722821,1.01661926,0.38629207,0.16507913
-5.51375688,2.88621792,0.02318700,0.30087079,1.72129634,1.41014331,0.00752559,0.99953373,0.38714175,0.16172168
-5.50775388,2.88895909,0.02240211,0.31389387,1.77804447,1.40545201,0.00784546,0.98553431,0.38965983,0.15889131
-5.50175088,2.90175445,0.02166471,0.32847532,1.84279148,1.40537391,0.00818233,0.97471957,0.39387472,0.15660988
-5.49574787,2.92455312,0.02097810,0.34458343,1.91517726,1.40998389,0.00853021,0.96711363,0.39977521,0.15488738
-5.48974487,2.95705009,0.02034388,0.36214732,1.99461935,1.41923901,0.00888284,0.96266161,0.40730798,0.15372135
-5.48374187,2.99868534,0.01976207,0.38105665,2.08031505,1.43297637,0.00923378,0.96122831,0.41637671,0.15309667
-5.47773887,3.04865186,0.01923128,0.40116272,2.17125189,1.45091507,0.00957665,0.96259988,0.42684273,0.15298594
-5.47173587,3.10591249,0.01874895,0.42228052,2.26622598,1.47266210,0.00990527,0.96648860,0.43852721,0.15335011
-5.46573287,3.16922439,0.01831159,0.44419199,2.36386770,1.49772189,0.01021381,0.97254025,0.45121486,0.15413953
-5.45972986,3.23717022,0.01791505,0.46665004,2.46267383,1.52550890,0.01049701,0.98034400,0.46465890,0.15529534
-5.45372686,3.30819460,0.01755480,0.48938349,2.56104464,1.55536296,0.01075023,0.98944406,0.47858706,0.15675099
-5.44772386,3.38064434,0.01722618,0.51210254,2.65732466,1.58656643,0.01096962,0.99935287,0.49270852,0.15843405
-5.44172086,3.45281071,0.01692459,0.53450467,2.74984548,1.61836265,0.01115213,1.00956492,0.50672131,0.16026807
-5.43571786,3.52297237,0.01664569,0.55628079,2.83696881,1.64997497,0.01129562,1.01957098,0.52032005,0.16217448
-5.42971486,3.58943722,0.01638552,0.57712150,2.91712838,1.68062573,0.01139880,1.02887186,0.53320359,0.16407447
-5.42371186,3.65058194,0.01614058,0.59672322,2.98886884,1.70955443,0.01146125,1.03699151,0.54508239,0.16589081
-5.41770885,3.70488792,0.01590787,0.61479409,3.05088059,1.73603470,0.01148335,1.04348867,0.55568536,0.16754956
-5.41170585,3.75097269,0.01568483,0.63105954,3.10202923,1.75938957,0.01146619,1.04796703,0.56476593,0.16898154
-5.40570285,3.78761613,0.01546937,0.64526739,3.14137889,1.77900463,0.01141149,1.05008346,0.57210719,0.17012370
-5.39969985,3.81378097,0.01525973,0.65719235,3.16820887,1.79433888,0.01132149,1.04955409,0.57752599,0.17092024
-5.39369685,3.82862746,0.01505441,0.66664001,3.18202334,1.80493318,0.01119879,1.04615844,0.58087597,0.17132342
-5.38769385,3.83152222,0.01485207,0.67345007,3.18255432,1.81041605,0.01104628,1.03974126,0.58204946,0.17129428
-5.38169085,3.82204154,0.01465143,0.67749895,3.16975816,1.81050722,0.01086699,1.03021255,0.58097827,0.17080300
-5.37568784,3.79996954,0.01445120,0.67870168,3.14380634,1.80501864,0.01066397,1.01754571,0.57763351,0.16982906
-5.36968484,3.76529183,0.01424997,0.67701303,3.10507114,1.79385351,0.01044021,1.00177416,0.57202446,0.16836129
-5.36368184,3.71818527,0.01404624,0.67242802,3.05410743,1.77700330,0.01019859,0.98298668,0.56419665,0.16639756
-5.35767884,3.65900455,0.01383831,0.66498162,2.99163133,1.75454329,0.00994173,0.96132186,0.55422929,0.16394443
-5.35167584,3.58826636,0.01362437,0.65474787,2.91849700,1.72662664,0.00967205,0.93696181,0.54223222,0.16101663
-5.34567284,3.50663187,0.01340250,0.64183824,2.83567230,1.69347752,0.00939167,0.91012558,0.52834242,0.15763641
-5.33966983,3.41488809,0.01317069,0.62639942,2.74421451,1.65538359,0.00910243,0.88106241,0.51272032,0.15383282
-5.33366683,3.31392888,0.01292698,0.60861052,2.64524662,1.61268788,0.00880591,0.85004525,0.49554602,0.14964094
-5.32766383,3.20473593,0.01266951,0.58867966,2.53993500,1.56578066,0.00850342,0.81736450,0.47701545,0.14510110
-5.32166083,3.08836037,0.01239657,0.56684015,2.42946890,1.51509123,0.00819607,0.78332229,0.45733664,0.14025813
-5.31565783,2.96590516,0.01210678,0.54334621,2.31504202,1.46107998,0.00788476,0.74822737,0.43672616,0.13516055
-5.30965483,2.83850866,0.01179908,0.51846846,2.19783651,1.40423089,0.00757030,0.71239066,0.41540572,0.12985995
-5.30365183,2.70732948,0.01147287,0.49248905,2.07900927,1.34504446,0.00725337,0.67612139,0.39359910,0.12441031
-5.29764882,2.57353281,0.01112802,0.46569683,1.95968064,1.28403124,0.00693461,0.63972406,0.37152929,0.11886751
-5.29164582,2.43827815,0.01076497,0.43838240,1.84092528,1.22170597,0.00661467,0.60349589,0.34941607,0.11328885
-5.28564282,2.30270858,0.01038469,0.41083339,1.72376510,1.15858246,0.00629420,0.56772493,0.32747377,0.10773267
-5.27963982,2.16794143,0.00998874,0.38332990,1.60916396,1.09516891,0.00597393,0.53268859,0.30590948,0.10225805
-5.27363682,2.03506028,0.00957920,0.35614032,1.49802397,1.03196402,0.00565466,0.49865268,0.28492152,0.09692463
-5.26763382,1.90510816,0.00915870,0.32951762,1.39118308,0.96945348,0.00533728,0.46587067,0.26469834,0.09179236
-5.26163082,1.77908190,0.00873030,0.30369617,1.28941371,0.90810701,0.00502279,0.43458321,0.24541759,0.08692135
-5.25562781,1.65792731,0.00829748,0.27888906,1.19342226,0.84837580,0.00471228,0.40501786,0.22724560,0.08237176
-5.24962481,1.54253521,0.00786404,0.25528621,1.10384922,0.79069018,0.00440693,0.37738880,0.21033709,0.07820357
-5.24362181,1.43373798,0.00743400,0.23305294,1.02126975,0.73545765,0.00410801,0.35189655,0.19483503,0.07447639
-5.23761881,1.33230665,0.00701155,0.21232931,0.94619447,0.68306096,0.00381685,0.32872772,0.18087082,0.07124913
-5.23161581,1.23894814,0.00660092,0.19322996,0.87907042,0.63385634,0.00353481,0.30805449,0.16856444,0.06857966
-5.22561281,1.15430271,0.00620629,0.17584452,0.82028193,0.58817179,0.00326326,0.29003411,0.15802481,0.06652430
-5.21960980,1.07894143,0.00583172,0.16023849,0.77015148,0.54630531,0.00300359,0.27480809,0.14935001,0.06513724
-5.21360680,1.01336355,0.00548108,0.14645446,0.72894022,0.50852314,0.00275713,0.26250129,0.14262758,0.06446982
-5.20760380,0.95799371,0.00515792,0.13451367,0.69684827,0.47505798,0.00252516,0.25322082,0.13793462,0.06456974
-5.20160080,0.91317899,0.00486549,0.12441767,0.67401472,0.44610708,0.00230888,0.24705478,0.13533772,0.06548011
-5.19559780,0.87918579,0.00460661,0.11615020,0.66051719,0.42183040,0.00210937,0.24407085,0.13489272,0.06723851
-5.18959480,0.85619655,0.00438372,0.10967899,0.65637111,0.40234874,0.00192762,0.24431478,0.13664412,0.06987589
-5.18359180,0.84430641,0.00419879,0.10495753,0.66152866,0.38774184,0.00176445,0.24780889,0.14062434,0.07341557
-5.17758879,0.84351987,0.00405336,0.10192674,0.67587740,0.37804675,0.00162055,0.25455049,0.14685254,0.07787214
-5.17158579,0.85374773,0.00394854,0.10051652,0.69923874,0.37325623,0.00149644,0.26451045,0.15533329,0.08325047
-5.16558279,0.87480428,0.00388500,0.10064700,0.73136620,0.37331748,0.00139249,0.27763179,0.16605496,0.08954488
-5.15957979,0.90640514,0.00386308,0.10222974,0.77194379,0.37813128,0.00130887,0.29382858,0.17898788,0.09673831
-5.15357679,0.94816585,0.00388272,0.10516861,0.82058441,0.38755150,0.00124563,0.31298500,0.19408248,0.10480183
-5.14757379,0.99960153,0.00394361,0.10936062,0.87682868,0.40138536,0.00120260,0.33495476,0.21126736,0.11369429
-5.14157079,1.06012785,0.00404514,0.11469650,0.94014414,0.41939426,0.00117948,0.35956095,0.23044750,0.12336228
-5.13556778,1.12906362,0.00418652,0.12106128,1.00992527,0.44129557,0.00117578,0.38659628,0.25150272,0.13374040
-5.12956478,1.20563515,0.00436675,0.12833476,1.08549442,0.46676535,0.00119089,0.41582387,0.27428651,0.14475181
-5.12356178,1.28898280,0.00458468,0.13639199,1.16610392,0.49544216,0.00122403,0.44697870,0.29862537,0.15630922
-5.11755878,1.37816973,0.00483902,0.14510382,1.25093969,0.52693197,0.00127429,0.47976957,0.32431891,0.16831611
-5.11155578,1.47219312,0.00512833,0.15433759,1.33912657,0.56081434,0.00134064,0.51388184,0.35114063,0.18066841
-5.10555278,1.56999789,0.00545101,0.16395795,1.42973561,0.59664972,0.00142197,0.54898090,0.37883971,0.19325638
-5.09954977,1.67049292,0.00580529,0.17382786,1.52179347,0.63398791,0.00151705,0.58471635,0.40714373,0.20596689
-5.09354677,1.77256950,0.00618917,0.18380987,1.61429428,0.67237755,0.00162461,0.62072691,0.43576250,0.21868575
-5.08754377,1.87512195,0.00660040,0.19376764,1.70621368,0.71137634,0.00174333,0.65664610,0.46439279,0.23130040
-5.08154077,1.97706977,0.00703643,0.20356766,1.79652537,0.75056184,0.00187188,0.69210851,0.49272416,0.24370243
-5.07553777,2.07738095,0.00749434,0.21308127,1.88421967,0.78954251,0.00200896,0.72675664,0.52044553,0.25579027
-5.06953477,2.17509557,0.00797084,0.22218683,1.96832405,0.82796844,0.00215331,0.76024815,0.54725248,0.26747162
-5.06353177,2.26934907,0.00846221,0.23077203,2.04792492,0.86554150,0.00230374,0.79226334,0.57285501,0.27866567
-5.05752876,2.35939407,0.00896427,0.23873625,2.12219023,0.90202436,0.00245918,0.82251263,0.59698539,0.28930501
-5.05152576,2.44462000,0.00947242,0.24599293,2.19039206,0.93724786,0.00261868,0.85074377,0.61940600,0.29933704
-5.04552276,2.52456936,0.00998165,0.25247176,2.25192825,0.97111630,0.00278146,0.87674861,0.63991654,0.30872488
-5.03951976,2.59894983,0.01048658,0.25812067,2.30634217,1.00361029,0.00294689,0.90036892,0.65836053,0.31744772
-5.03351676,2.66764135,0.01098154,0.26290742,2.35333956,1.03478673,0.00311454,0.92150120,0.67463061,0.32550049
-5.02751376,2.73069741,0.01146065,0.26682073,2.39280144,1.06477580,0.00328416,0.94010005,0.68867237,0.33289293
-5.02151076,2.78834028,0.01191796,0.26987092,2.42479218,1.09377474,0.00345567,0.95617990,0.70048645,0.33964804
-5.01550775,2.84094974,0.01234757,0.27208976,2.44956179,1.12203859,0.00362915,0.96981483,0.71012876,0.34579996
-5.00950475,2.88904553,0.01274374,0.27352977,2.46754199,1.14986807,0.00380481,0.98113647,0.71770863,0.35139137
-5.00350175,2.93326381,0.01310106,0.27426271,2.47933550,1.17759488,0.00398299,0.99032978,0.72338500,0.35647053
-4.99749875,2.97432844,0.01341460,0.27437736,2.48569860,1.20556503,0.00416406,0.99762680,0.72736052,0.36108811
-4.99149575,3.01301778,0.01367999,0.27397666,2.48751709,1.23412075,0.00434845,1.00329850,0.72987399,0.36529393
-4.98549275,3.05012859,0.01389358,0.27317415,2.48577626,1.26358181,0.00453652,1.00764491,0.73119117,0.36913376
-4.97948974,3.08643817,0.01405249,0.27209006,2.48152574,1.29422695,0.00472859,1.01098380,0.73159451,0.37264643
-4.97348674,3.12266637,0.01415470,0.27084689,2.47584038,1.32627633,0.00492486,1.01363844,0.73137200,0.37586133
-4.96748374,3.15943930,0.01419908,0.26956493,2.46977870,1.35987577,0.00512535,1.01592472,0.73080582,0.37879635
-4.96148074,3.19725604,0.01418537,0.26835765,2.46434050,1.39508355,0.00532990,1.01813822,0.73016111,0.38145658
-4.95547774,3.23646007,0.01411420,0.26732735,2.46042529,1.43186052,0.00553810,1.02054184,0.72967543,0.38383363
-4.94947474,3.27721683,0.01398701,0.26656111,2.45879365,1.47006388,0.00574932,1.02335428,0.72954931,0.38590573
-4.94347174,3.31949825,0.01380600,0.26612730,2.46003296,1.50944519,0.00596264,1.02674021,0.72993833,0.38763851
-4.93746873,3.36307536,0.01357402,0.26607276,2.46452934,1.54965272,0.00617689,1.03080232,0.73094712,0.38898652
-4.93146573,3.40751919,0.01329449,0.26642084,2.47244717,1.59023817,0.00639065,1.03557576,0.73262540,0.38989531
-4.92546273,3.45221020,0.01297128,0.26717029,2.48371721,1.63066752,0.00660226,1.04102521,0.73496642,0.39030400
-4.91945973,3.49635592,0.01260863,0.26829519,2.49803421,1.67033575,0.00680985,1.04704487,0.73790767,0.39014822
-4.91345673,3.53901607,0.01221101,0.26974576,2.51486418,1.70858477,0.00701138,1.05346125,0.74133389,0.38936320
-4.90745373,3.57913432,0.01178303,0.27145027,2.53346131,1.74472395,0.00720469,1.06003890,0.74508225,0.38788694
-4.90145073,3.61557527,0.01132940,0.27331767,2.55289401,1.77805241,0.00738753,1.06648864,0.74894946,0.38566325
-4.89544772,3.64716520,0.01085480,0.27524107,2.57207888,1.80788214,0.00755760,1.07247822,0.75270035,0.38264455
-4.88944472,3.67273490,0.01036383,0.27710184,2.58982162,1.83356115,0.00771265,1.07764484,0.75607773,0.37879421
-4.88344172,3.69116287,0.00986100,0.27877411,2.60486272,1.85449552,0.00785047,1.08160900,0.75881295,0.37408852
-4.87743872,3.70141702,0.00935066,0.28012955,2.61592643,1.87016967,0.00796901,1.08398921,0.76063674,0.36851800
-4.87143572,3.70259323,0.00883699,0.28104219,2.62177063,1.88016389,0.00806635,1.08441687,0.76128990,0.36208823
-4.86543272,3.69394926,0.00832398,0.28139307,2.62123568,1.88416843,0.00814084,1.08255073,0.76053338,0.35482002
-4.85942971,3.67493266,0.00781543,0.28107461,2.61329002,1.88199375,0.00819105,1.07809034,0.75815736,0.34674901
-4.85342671,3.64520162,0.00731493,0.27999443,2.59707081,1.87357633,0.00821586,1.07078797,0.75398904,0.33792479
-4.84742371,3.60463817,0.00682588,0.27807855,2.57191791,1.85898008,0.00821448,1.06045852,0.74789877,0.32840961
-4.84142071,3.55335324,0.00635146,0.27527383,2.53739987,1.83839314,0.00818646,1.04698710,0.73980452,0.31827663
-4.83541771,3.49168379,0.00589465,0.27154965,2.49333130,1.81212048,0.00813174,1.03033405,0.72967444,0.30760804
-4.82941471,3.42018230,0.00545821,0.26689873,2.43978086,1.78057256,0.00805061,1.01053730,0.71752761,0.29649300
-4.82341171,3.33959937,0.00504467,0.26133713,2.37707030,1.74425069,0.00794373,0.98771204,0.70343303,0.28502551
-4.81740870,3.25086056,0.00465632,0.25490355,2.30576468,1.70372980,0.00781215,0.96204800,0.68750704,0.27330238
-4.81140570,3.15503863,0.00429522,0.24765792,2.22665481,1.65963943,0.00765724,0.93380436,0.66990930,0.26142135
-4.80540270,3.05332263,0.00396314,0.23967944,2.14073309,1.61264379,0.00748071,0.90330294,0.65083776,0.24947936
-4.79939970,2.94698539,0.00366158,0.23106424,2.04916408,1.56342184,0.00728456,0.87091971,0.63052273,0.23757120
-4.79339670,2.83735077,0.00339173,0.22192262,1.95325142,1.51264825,0.00707103,0.83707537,0.60922047,0.22578830
-4.78739370,2.72576220,0.00315449,0.21237631,1.85440264,1.46097602,0.00684260,0.80222530,0.58720656,0.21421799
-4.78139070,2.61355350,0.00295039,0.20255551,1.75409348,1.40902137,0.00660187,0.76684925,0.56476928,0.20294293
-4.77538769,2.50202322,0.00277968,0.19259612,1.65383302,1.35735156,0.00635160,0.73144121,0.54220334,0.19204086
-4.76938469,2.39241292,0.00264221,0.18263703,1.55513077,1.30647581,0.00609456,0.69649983,0.51980399,0.18158456
-4.76338169,2.28588990,0.00253753,0.17281768,1.45946672,1.25683959,0.00583355,0.66251942,0.49786183,0.17164198
-4.75737869,2.18353445,0.00246483,0.16327577,1.36826480,1.20882217,0.00557131,0.62998187,0.47665823,0.16227646
-4.75137569,2.08633135,0.00242297,0.15414533,1.28287009,1.16273725,0.00531051,0.59934940,0.45646151,0.15354703
-4.74537269,1.99516510,0.00241049,0.14555489,1.20452978,1.11883619,0.00505363,0.57105828,0.43752381,0.14550855
-4.73936968,1.91081828,0.00242566,0.13762587,1.13437751,1.07731343,0.00480302,0.54551321,0.42007863,0.13821196
-4.73336668,1.83397205,0.00246646,0.13047122,1.07342081,1.03831344,0.00456077,0.52308249,0.40433884,0.13170414
-4.72736368,1.76520814,0.00253063,0.12419397,1.02253084,1.00193845,0.00432877,0.50409367,0.39049526,0.12602781
-4.72136068,1.70501111,0.00261573,0.11888600,0.98243402,0.96825654,0.00410863,0.48882948,0.37871543,0.12122100
-4.71535768,1.65377044,0.00271914,0.11462675,0.95370476,0.93730919,0.00390171,0.47752413,0.36914271,0.11731649
-4.70935468,1.61178143,0.00283813,0.11148186,0.93675901,0.90911797,0.00370910,0.47035963,0.36189532,0.11434086
-4.70335168,1.57924483,0.00296989,0.10950194,0.93184803,0.88368984,0.00353162,0.46746224,0.35706556,0.11231352
-4.69734867,1.55626459,0.00311156,0.10872120,0.93905249,0.86102079,0.00336985,0.46889897,0.35471878,0.11124544
-4.69134567,1.54284410,0.00326028,0.10915618,0.95827688,0.84109777,0.00322415,0.47467433,0.35489242,0.11113793
-4.68534267,1.53888098,0.00341325,0.11080454,0.98924447,0.82389877,0.00309465,0.48472732,0.35759480,0.11198133
-4.67933967,1.54416101,0.00356774,0.11364406,1.03149346,0.80939134,0.00298130,0.49892900,0.36280400,0.11375384
-4.67333667,1.55835191,0.00372110,0.11763184,1.08437486,0.79752986,0.00288391,0.51708082,0.37046660,0.11642050
-4.66733367,1.58099782,0.00387084,0.12270381,1.14705299,0.78825175,0.00280211,0.53891399,0.38049664,0.11993237
-4.66133067,1.61151525,0.00401460,0.12877478,1.21850933,0.78147340,0.00273545,0.56409019,0.39277480,0.12422616
