energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-5.70585293,1.46433947,0.36406357,0.27463965,0.00420928,0.01825478,0.19218553,0.47778534,0.00355027,0.78762733
-5.69984992,1.48232391,0.36410374,0.27895447,0.00393740,0.01828014,0.19952020,0.48994975,0.00355064,0.79127640
-5.69384692,1.50345696,0.36497534,0.28390112,0.00365759,0.01844805,0.20762657,0.50260469,0.00360877,0.79712613
-5.68784392,1.52782462,0.36676357,0.28951098,0.00337416,0.01874538,0.21644601,0.51570348,0.00372358,0.80533048
-5.68184092,1.55544846,0.36953788,0.29580279,0.00309120,0.01915977,0.22590599,0.52918423,0.00389350,0.81600168
-5.67583792,1.58627854,0.37334829,0.30278110,0.00281246,0.01967925,0.23591917,0.54297056,0.00411640,0.82920312
-5.66983492,1.62018895,0.37822244,0.31043523,0.00254127,0.02029197,0.24638320,0.55697291,0.00438954,0.84494366
-5.66383192,1.65697607,0.38416352,0.31873864,0.00228053,0.02098595,0.25718124,0.57109054,0.00470944,0.86317381
-5.65782891,1.69635935,0.39114901,0.32764865,0.00203263,0.02174879,0.26818298,0.58521393,0.00507184,0.88378348
-5.65182591,1.73798427,0.39913022,0.33710656,0.00179945,0.02256758,0.27924642,0.59922742,0.00547169,0.90660155
-5.64582291,1.78142723,0.40803260,0.34703803,0.00158240,0.02342875,0.29022010,0.61301195,0.00590309,0.93139686
-5.63981991,1.82620207,0.41775658,0.35735379,0.00138238,0.02431804,0.30094580,0.62644769,0.00635931,0.95788080
-5.63381691,1.87176782,0.42817919,0.36795050,0.00119987,0.02522055,0.31126167,0.63941654,0.00683287,0.98571125
-5.62781391,1.91753742,0.43915600,0.37871191,0.00103493,0.02612083,0.32100557,0.65180417,0.00731557,1.01449774
-5.62181091,1.96288726,0.45052367,0.38951022,0.00088728,0.02700304,0.33001856,0.66350173,0.00779870,1.04380777
-5.61580790,2.00716725,0.46210272,0.40020764,0.00075636,0.02785113,0.33814856,0.67440710,0.00827313,1.07317417
-5.60980490,2.04971131,0.47370076,0.41065817,0.00064136,0.02864920,0.34525378,0.68442568,0.00872954,1.10210336
-5.60380190,2.08984829,0.48511595,0.42070970,0.00054128,0.02938168,0.35120607,0.69347081,0.00915864,1.13008446
-5.59779890,2.12691312,0.49614069,0.43020629,0.00045503,0.03003375,0.35589401,0.70146389,0.00955142,1.15659905
-5.59179590,2.16025817,0.50656551,0.43899077,0.00038141,0.03059165,0.35922552,0.70833426,0.00989937,1.18113148
-5.58579290,2.18926484,0.51618311,0.44690759,0.00031919,0.03104302,0.36113016,0.71401895,0.01019478,1.20317955
-5.57978989,2.21335517,0.52479254,0.45380590,0.00026716,0.03137722,0.36156074,0.71846255,0.01043089,1.22226537
-5.57378689,2.23200345,0.53220325,0.45954280,0.00022412,0.03158561,0.36049453,0.72161713,0.01060220,1.23794611
-5.56778389,2.24474762,0.53823929,0.46398673,0.00018892,0.03166182,0.35793368,0.72344247,0.01070456,1.24982444
-5.56178089,2.25120030,0.54274320,0.46702095,0.00016051,0.03160191,0.35390524,0.72390664,0.01073533,1.25755843
-5.55577789,2.25105924,0.54557980,0.46854685,0.00013789,0.03140454,0.34846038,0.72298699,0.01069348,1.26087044
-5.54977489,2.24411691,0.54663954,0.46848722,0.00012017,0.03107097,0.34167323,0.72067159,0.01057960,1.25955499
-5.54377189,2.23026902,0.54584155,0.46678915,0.00010653,0.03060508,0.33363906,0.71696123,0.01039584,1.25348510
-5.53776888,2.20952166,0.54313609,0.46342657,0.00009626,0.03001331,0.32447222,0.71187175,0.01014588,1.24261704
-5.53176588,2.18199688,0.53850647,0.45840230,0.00008872,0.02930442,0.31430352,0.70543682,0.00983479,1.22699321
-5.52576288,2.14793636,0.53197025,0.45174948,0.00008336,0.02848941,0.30327754,0.69771098,0.00946879,1.20674313
-5.51975988,2.10770309,0.52357979,0.44353235,0.00007971,0.02758115,0.29154968,0.68877279,0.00905513,1.18208230
-5.51375688,2.06178077,0.51342201,0.43384629,0.00007736,0.02659417,0.27928314,0.67872795,0.00860177,1.15330910
-5.50775388,2.01077080,0.50161741,0.42281710,0.00007598,0.02554432,0.26664598,0.66771212,0.00811720,1.12079972
-5.50175088,1.95538678,0.48831825,0.41059951,0.00007526,0.02444844,0.25380823,0.65589325,0.00761011,1.08500116
-5.49574787,1.89644641,0.47370607,0.39737496,0.00007499,0.02332406,0.24093909,0.64347314,0.00708921,1.04642267
-5.48974487,1.83486075,0.45798849,0.38334868,0.00007497,0.02218905,0.22820439,0.63068804,0.00656294,1.00562561
-5.48374187,1.77162091,0.44139530,0.36874603,0.00007504,0.02106136,0.21576423,0.61780793,0.00603931,0.96321219
-5.47773887,1.70778211,0.42417400,0.35380839,0.00007510,0.01995874,0.20377084,0.60513440,0.00552568,0.91981326
-5.47173587,1.64444539,0.40658494,0.33878850,0.00007506,0.01889846,0.19236667,0.59299692,0.00502864,0.87607546
-5.46573287,1.58273715,0.38889593,0.32394542,0.00007486,0.01789715,0.18168261,0.58174734,0.00455392,0.83264808
-5.45972986,1.52378665,0.37137672,0.30953930,0.00007446,0.01697055,0.17183656,0.57175272,0.00410627,0.79016994
-5.45372686,1.46870211,0.35429325,0.29582592,0.00007386,0.01613334,0.16293200,0.56338638,0.00368949,0.74925646
-5.44772386,1.41854567,0.33790193,0.28305131,0.00007305,0.01539903,0.15505686,0.55701753,0.00330639,0.71048747
-5.44172086,1.37430783,0.32244404,0.27144646,0.00007204,0.01477980,0.14828247,0.55299959,0.00295885,0.67439571
-5.43571786,1.33688214,0.30814045,0.26122222,0.00007087,0.01428638,0.14266266,0.55165758,0.00264784,0.64145658
-5.42971486,1.30704071,0.29518668,0.25256467,0.00006956,0.01392794,0.13823313,0.55327511,0.00237352,0.61207911
-5.42371186,1.28541140,0.28374860,0.24563092,0.00006814,0.01371199,0.13501087,0.55808139,0.00213534,0.58659856
-5.41770885,1.27245759,0.27395873,0.24054550,0.00006666,0.01364429,0.13299395,0.56623887,0.00193209,0.56527060
-5.41170585,1.26846115,0.26591340,0.23739749,0.00006515,0.01372880,0.13216142,0.57783216,0.00176205,0.54826745
-5.40570285,1.27350962,0.25967077,0.23623842,0.00006364,0.01396752,0.13247363,0.59285876,0.00162302,0.53567578
-5.39969985,1.28748808,0.25524980,0.23708100,0.00006217,0.01436054,0.13387280,0.61122210,0.00151251,0.52749667
-5.39369685,1.31007635,0.25263020,0.23989879,0.00006075,0.01490592,0.13628396,0.63272762,0.00142775,0.52364741
-5.38769385,1.34075193,0.25175345,0.24462676,0.00005940,0.01559967,0.13961625,0.65708196,0.00136580,0.52396522
-5.38169085,1.37879884,0.25252469,0.25116275,0.00005813,0.01643579,0.14376457,0.68389577,0.00132362,0.52821272
-5.37568784,1.42332230,0.25481564,0.25936985,0.00005694,0.01740624,0.14861161,0.71269011,0.00129815,0.53608491
-5.36968484,1.47326897,0.25846821,0.26907963,0.00005582,0.01850101,0.15403009,0.74290641,0.00128637,0.54721761
-5.36368184,1.52745229,0.26329900,0.28009600,0.00005477,0.01970819,0.15988537,0.77391976,0.00128532,0.56119690
-5.35767884,1.58458200,0.26910412,0.29219979,0.00005376,0.02101404,0.16603814,0.80505517,0.00129219,0.57756947
-5.35167584,1.64329710,0.27566461,0.30515377,0.00005277,0.02240317,0.17234723,0.83560609,0.00130431,0.59585335
-5.34567284,1.70220094,0.28275197,0.31870802,0.00005178,0.02385865,0.17867243,0.86485464,0.00131923,0.61554895
-5.33966983,1.75989724,0.29013370,0.33260547,0.00005076,0.02536220,0.18487723,0.89209275,0.00133473,0.63614982
-5.33366683,1.81502586,0.29757879,0.34658742,0.00004969,0.02689440,0.19083133,0.91664325,0.00134883,0.65715309
-5.32766383,1.86629685,0.30486284,0.36039896,0.00004854,0.02843493,0.19641298,0.93788007,0.00135982,0.67806914
-5.32166083,1.91252183,0.31177277,0.37379407,0.00004730,0.02996279,0.20151094,0.95524689,0.00136626,0.69843037
-5.31565783,1.95264134,0.31811097,0.38654026,0.00004595,0.03145661,0.20602610,0.96827315,0.00136702,0.71779892
-5.30965483,1.98574760,0.32369881,0.39842270,0.00004448,0.03289495,0.20987271,0.97658708,0.00136124,0.73577314
-5.30365183,2.01110179,0.32837948,0.40924775,0.00004288,0.03425658,0.21297923,0.97992511,0.00134835,0.75199286
-5.29764882,2.02814567,0.33202011,0.41884579,0.00004115,0.03552087,0.21528884,0.97813733,0.00132805,0.76614346
-5.29164582,2.03650725,0.33451323,0.42707339,0.00003930,0.03666808,0.21675956,0.97118896,0.00130031,0.77795868
-5.28564282,2.03600089,0.33577754,0.43381479,0.00003734,0.03767979,0.21736413,0.95915782,0.00126531,0.78722247
-5.27963982,2.02662199,0.33575812,0.43898273,0.00003529,0.03853925,0.21708967,0.94222813,0.00122348,0.79376978
-5.27363682,2.00853707,0.33442610,0.44251869,0.00003315,0.03923175,0.21593713,0.92068095,0.00117541,0.79748665
-5.26763382,1.98206987,0.33177797,0.44439256,0.00003096,0.03974501,0.21392071,0.89488193,0.00112182,0.79830962
-5.26163082,1.94768440,0.32783442,0.44460189,0.00002874,0.04006952,0.21106718,0.86526697,0.00106358,0.79622452
-5.25562781,1.90596584,0.32263905,0.44317069,0.00002651,0.04019890,0.20741520,0.83232647,0.00100161,0.79126503
-5.24962481,1.85760019,0.31625683,0.44014798,0.00002430,0.04013016,0.20301467,0.79658893,0.00093690,0.78351076
-5.24362181,1.80335354,0.30877241,0.43560595,0.00002212,0.03986394,0.19792612,0.75860466,0.00087044,0.77308517
-5.23761881,1.74405162,0.30028840,0.42963806,0.00002001,0.03940474,0.19222009,0.71893011,0.00080319,0.76015320
-5.23161581,1.68056044,0.29092355,0.42235686,0.00001797,0.03876092,0.18597661,0.67811347,0.00073608,0.74491870
-5.22561281,1.61376832,0.28081094,0.41389172,0.00001604,0.03794482,0.17928459,0.63668197,0.00066997,0.72762157
-5.21960980,1.54456973,0.27009608,0.40438649,0.00001421,0.03697261,0.17224119,0.59513115,0.00060561,0.70853466
-5.21360680,1.47385114,0.25893497,0.39399704,0.00001250,0.03586413,0.16495113,0.55391636,0.00054368,0.68796028
-5.20760380,1.40247888,0.24749218,0.38288877,0.00001093,0.03464265,0.15752586,0.51344648,0.00048473,0.66622637
-5.20160080,1.33128898,0.23593876,0.37123410,0.00000948,0.03333443,0.15008258,0.47407982,0.00042919,0.64368224
-5.19559780,1.26107881,0.22445012,0.35920986,0.00000817,0.03196835,0.14274307,0.43612214,0.00037740,0.62069398
-5.18959480,1.19260037,0.21320381,0.34699486,0.00000699,0.03057528,0.13563233,0.39982639,0.00032957,0.59763933
-5.18359180,1.12655489,0.20237714,0.33476726,0.00000594,0.02918756,0.12887699,0.36539415,0.00028582,0.57490231
-5.17758879,1.06358851,0.19214478,0.32270217,0.00000501,0.02783826,0.12260355,0.33297821,0.00024616,0.55286742
-5.17158579,1.00428880,0.18267622,0.31096927,0.00000419,0.02656055,0.11693636,0.30268612,0.00021055,0.53191362
-5.16558279,0.94918188,0.17413310,0.29973045,0.00000349,0.02538693,0.11199551,0.27458444,0.00017884,0.51240813
-5.15957979,0.89872980,0.16666662,0.28913765,0.00000288,0.02434854,0.10789450,0.24870326,0.00015086,0.49470014
-5.15357679,0.85332831,0.16041478,0.27933079,0.00000236,0.02347445,0.10473789,0.22504090,0.00012637,0.47911445
-5.14757379,0.81330459,0.15549977,0.27043583,0.00000192,0.02279099,0.10261889,0.20356853,0.00010513,0.46594538
-5.14157079,0.77891508,0.15202537,0.26256297,0.00000155,0.02232110,0.10161693,0.18423454,0.00008685,0.45545073
-5.13556778,0.75034335,0.15007448,0.25580502,0.00000125,0.02208377,0.10179541,0.16696855,0.00007125,0.44784619
-5.12956478,0.72769809,0.14970691,0.25023595,0.00000099,0.02209356,0.10319949,0.15168506,0.00005805,0.44330019
-5.12356178,0.71101125,0.15095732,0.24590959,0.00000078,0.02236020,0.10585425,0.13828659,0.00004697,0.44192928
-5.11755878,0.70023658,0.15383365,0.24285854,0.00000062,0.02288823,0.10976300,0.12666643,0.00003774,0.44379431
-5.11155578,0.69524860,0.15831583,0.24109331,0.00000048,0.02367683,0.11490613,0.11671096,0.00003011,0.44889733
-5.10555278,0.69584240,0.16435500,0.24060175,0.00000037,0.02471971,0.12124025,0.10830155,0.00002386,0.45717962
-5.09954977,0.70173428,0.17187336,0.24134874,0.00000029,0.02600514,0.12869800,0.10131618,0.00001877,0.46852066
-5.09354677,0.71256363,0.18076451,0.24327625,0.00000022,0.02751610,0.13718825,0.09563082,0.00001467,0.48273848
-5.08754377,0.72789607,0.19089451,0.24630382,0.00000016,0.02923052,0.14659708,0.09112048,0.00001138,0.49959121
-5.08154077,0.74722819,0.20210362,0.25032943,0.00000012,0.03112169,0.15678923,0.08766027,0.00000877,0.51878013
-5.07553777,0.76999386,0.21420863,0.25523091,0.00000009,0.03315877,0.16761024,0.08512625,0.00000671,0.53995408
-5.06953477,0.79557221,0.22700599,0.26086782,0.00000007,0.03530739,0.17888918,0.08339626,0.00000510,0.56271531
-5.06353177,0.82329729,0.24027544,0.26708379,0.00000005,0.03753035,0.19044187,0.08235071,0.00000385,0.58662673
-5.05752876,0.85246922,0.25378420,0.27370947,0.00000004,0.03978843,0.20207463,0.08187343,0.00000288,0.61122038
-5.05152576,0.88236671,0.26729169,0.28056581,0.00000003,0.04204122,0.21358839,0.08185245,0.00000215,0.63600693
-5.04552276,0.91226068,0.28055444,0.28746782,0.00000002,0.04424802,0.22478300,0.08218082,0.00000159,0.66048609
-5.03951976,0.94142856,0.29333127,0.29422860,0.00000001,0.04636873,0.23546170,0.08275751,0.00000116,0.68415754
-5.03351676,0.96916898,0.30538852,0.30066358,0.00000001,0.04836471,0.24543561,0.08348823,0.00000085,0.70653216
-5.02751376,0.99481645,0.31650507,0.30659484,0.00000001,0.05019970,0.25452801,0.08428627,0.00000061,0.72714317
-5.02151076,1.01775547,0.32647720,0.31185546,0.00000000,0.05184052,0.26257833,0.08507332,0.00000044,0.74555690
-5.01550775,1.03743378,0.33512299,0.31629359,0.00000000,0.05325784,0.26944575,0.08578020,0.00000032,0.76138288
-5.00950475,1.05337435,0.34228616,0.31977638,0.00000000,0.05442673,0.27501225,0.08634760,0.00000022,0.77428292
-5.00350175,1.06518570,0.34783933,0.32219337,0.00000000,0.05532719,0.27918509,0.08672666,0.00000016,0.78397894
-4.99749875,1.07257041,0.35168660,0.32345953,0.00000000,0.05594446,0.28189854,0.08687946,0.00000011,0.79025945
-4.99149575,1.07533149,0.35376524,0.32351758,0.00000000,0.05626927,0.28311503,0.08677942,0.00000008,0.79298435
-4.98549275,1.07337664,0.35404680,0.32233984,0.00000000,0.05629791,0.28282547,0.08641159,0.00000006,0.79208819
-4.97948974,1.06672015,0.35253728,0.31992930,0.00000000,0.05603218,0.28104899,0.08577275,0.00000005,0.78758167
-4.97348674,1.05548274,0.34927668,0.31632003,0.00000000,0.05547925,0.27783200,0.08487149,0.00000005,0.77955151
-4.96748374,1.03988911,0.34433779,0.31157694,0.00000000,0.05465138,0.27324665,0.08372802,0.00000006,0.76815871
-4.96148074,1.02026351,0.33782440,0.30579480,0.00000000,0.05356550,0.26738883,0.08237395,0.00000007,0.75363534
-4.95547774,0.99702346,0.32986891,0.29909671,0.00000000,0.05224279,0.26037572,0.08085190,0.00000010,0.73627992
-4.94947474,0.97067159,0.32062949,0.29163183,0.00000000,0.05070814,0.25234298,0.07921495,0.00000014,0.71645146
-4.94347174,0.94178606,0.31028678,0.28357258,0.00000000,0.04898956,0.24344172,0.07752595,0.00000020,0.69456250
-4.93746873,0.91100939,0.29904029,0.27511129,0.00000000,0.04711752,0.23383527,0.07585666,0.00000029,0.67107101
-4.93146573,0.87903612,0.28710450,0.26645637,0.00000000,0.04512436,0.22369575,0.07428671,0.00000041,0.64647147
-4.92546273,0.84659926,0.27470475,0.25782793,0.00000000,0.04304356,0.21320076,0.07290236,0.00000059,0.62128517
-4.91945973,0.81445577,0.26207294,0.24945307,0.00000001,0.04090910,0.20252984,0.07179512,0.00000083,0.59604982
-4.91345673,0.78337126,0.24944321,0.24156085,0.00000001,0.03875477,0.19186116,0.07106004,0.00000117,0.57130876
-4.90745373,0.75410402,0.23704747,0.23437685,0.00000001,0.03661359,0.18136820,0.07079390,0.00000164,0.54759957
-4.90145073,0.72738856,0.22511101,0.22811774,0.00000002,0.03451712,0.17121651,0.07109314,0.00000228,0.52544271
-4.89544772,0.70391914,0.21384815,0.22298560,0.00000003,0.03249496,0.16156075,0.07205163,0.00000315,0.50532983
-4.88944472,0.68433324,0.20345809,0.21916239,0.00000004,0.03057420,0.15254180,0.07375824,0.00000433,0.48771247
-4.88344172,0.66919569,0.19412087,0.21680457,0.00000006,0.02877898,0.14428416,0.07629441,0.00000589,0.47299096
-4.87743872,0.65898357,0.18599377,0.21603804,0.00000009,0.02713012,0.13689361,0.07973157,0.00000797,0.46150408
-4.87143572,0.65407261,0.17920799,0.21695363,0.00000012,0.02564480,0.13045527,0.08412875,0.00001070,0.45351958
-4.86543272,0.65472527,0.17386591,0.21960329,0.00000017,0.02433638,0.12503186,0.08953027,0.00001428,0.44922600
-4.85942971,0.66108130,0.17003890,0.22399702,0.00000024,0.02321431,0.12066263,0.09596371,0.00001891,0.44872605
-4.85342671,0.67315108,0.16776576,0.23010104,0.00000033,0.02228406,0.11736253,0.10343838,0.00002489,0.45203185
-4.84742371,0.69081230,0.16705206,0.23783694,0.00000045,0.02154731,0.11512210,0.11194419,0.00003253,0.45906233
-4.84142071,0.71381031,0.16787016,0.24708223,0.00000061,0.02100209,0.11390780,0.12145132,0.00004222,0.46964311
-4.83541771,0.74176251,0.17016024,0.25767229,0.00000083,0.02064310,0.11366299,0.13191047,0.00005443,0.48350895
-4.82941471,0.77416692,0.17383214,0.26940367,0.00000111,0.02046213,0.11430947,0.14325412,0.00006971,0.50030895
-4.82341171,0.81041486,0.17876818,0.28203885,0.00000148,0.02044852,0.11574968,0.15539853,0.00008868,0.51961447
-4.81740870,0.84980775,0.18482678,0.29531229,0.00000196,0.02058971,0.11786941,0.16824669,0.00011206,0.54092973
-4.81140570,0.89157754,0.19184686,0.30893763,0.00000258,0.02087181,0.12054106,0.18169209,0.00014066,0.56370490
-4.80540270,0.93491025,0.19965289,0.32261589,0.00000336,0.02128024,0.12362733,0.19562317,0.00017540,0.58735120
-4.79939970,0.97897184,0.20806046,0.33604435,0.00000436,0.02180033,0.12698530,0.20992845,0.00021728,0.61125781
-4.79339670,1.02293567,0.21688208,0.34892580,0.00000560,0.02241791,0.13047064,0.22450197,0.00026741,0.63480981
-4.78739370,1.06601020,0.22593310,0.36097784,0.00000715,0.02311988,0.13394206,0.23924886,0.00032698,0.65740666
-4.78139070,1.10746616,0.23503750,0.37194184,0.00000907,0.02389465,0.13726560,0.25409088,0.00039725,0.67848045
-4.77538769,1.14666170,0.24403325,0.38159113,0.00001142,0.02473257,0.14031870,0.26897142,0.00047954,0.69751321
-4.76938469,1.18306460,0.25277709,0.38973823,0.00001428,0.02562619,0.14299401,0.28385988,0.00057522,0.71405263
-4.76338169,1.21627043,0.26114845,0.39624058,0.00001773,0.02657044,0.14520263,0.29875500,0.00068566,0.72772541
-4.75737869,1.24601569,0.26905239,0.40100466,0.00002185,0.02756268,0.14687666,0.31368702,0.00081222,0.73824773
-4.75137569,1.27218547,0.27642148,0.40398827,0.00002675,0.02860265,0.14797113,0.32871840,0.00095624,0.74543240
-4.74537269,1.29481491,0.28321644,0.40520087,0.00003251,0.02969225,0.14846499,0.34394302,0.00111895,0.74919232
-4.73936968,1.31408471,0.28942557,0.40470190,0.00003923,0.03083529,0.14836131,0.35948378,0.00130149,0.74954014
-4.73336668,1.33031059,0.29506312,0.40259729,0.00004701,0.03203715,0.14768660,0.37548871,0.00150482,0.74658418
-4.72736368,1.34392728,0.30016660,0.39903423,0.00005595,0.03330434,0.14648925,0.39212573,0.00172976,0.74052086
-4.72136068,1.35546801,0.30479324,0.39419452,0.00006611,0.03464404,0.14483726,0.40957609,0.00197688,0.73162396
-4.71535768,1.36554016,0.30901583,0.38828676,0.00007758,0.03606371,0.14281529,0.42802709,0.00224650,0.72023140
-4.70935468,1.37479866,0.31291812,0.38153784,0.00009041,0.03757063,0.14052112,0.44766411,0.00253870,0.70673006
-4.70335168,1.38391817,0.31659019,0.37418411,0.00010463,0.03917151,0.13806186,0.46866257,0.00285325,0.69153953
-4.69734867,1.39356546,0.32012374,0.36646262,0.00012025,0.04087220,0.13554978,0.49118003,0.00318962,0.67509547
-4.69134567,1.40437332,0.32360788,0.35860281,0.00013725,0.04267745,0.13309828,0.51534894,0.00354700,0.65783347
-4.68534267,1.41691715,0.32712533,0.35081909,0.00015557,0.04459072,0.13081779,0.54127033,0.00392426,0.64017397
-4.67933967,1.43169507,0.33074928,0.34330447,0.00017513,0.04661414,0.12881210,0.56900874,0.00432001,0.62250902
-4.67333667,1.44911250,0.33454103,0.33622561,0.00019580,0.04874849,0.12717502,0.59858856,0.00473260,0.60519125
-4.66733367,1.46947139,0.33854833,0.32971929,0.00021742,0.05099322,0.12598757,0.62999210,0.00516016,0.58852544
-4.66133067,1.49296445,0.34280451,0.32389041,0.00023978,0.05334658,0.12531573,0.66315913,0.00560059,0.57276290
-4.65532766,1.51967411,0.34732826,0.31881149,0.00026266,0.05580568,0.12520892,0.69798812,0.00605166,0.55809860
-4.64932466,1.54957591,0.35212387,0.31452356,0.00028578,0.05836658,0.12569900,0.73433892,0.00651101,0.54467090
-4.64332166,1.58254561,0.35718200,0.31103815,0.00030885,0.06102436,0.12680000,0.77203660,0.00697619,0.53256369
