energy_ev,total_up,Fe_p_up,Fe_d_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-5.68184092,2.13675052,0.46342585,0.48602955,1.20128892,0.39854456,0.00054604,0.52175451,0.80025987,0.00000000
-5.67583792,2.10292071,0.45795019,0.47329830,1.19419860,0.38789343,0.00052743,0.51638103,0.79206537,0.00000000
-5.66983492,2.07458630,0.45362715,0.46105324,1.19004586,0.37899878,0.00051320,0.51312005,0.78522382,0.00000000
-5.66383192,2.05129123,0.45033173,0.44934180,1.18826872,0.37181529,0.00050360,0.51179822,0.77954538,0.00000000
-5.65782891,2.03248138,0.44793358,0.43818940,1.18826103,0.36626382,0.00049889,0.51219876,0.77483557,0.00000000
-5.65182591,2.01753989,0.44630556,0.42760255,1.18940148,0.36223772,0.00049932,0.51407203,0.77090836,0.00000000
-5.64582291,2.00582116,0.44533093,0.41757236,1.19108124,0.35960936,0.00050511,0.51714630,0.76759731,0.00000000
-5.63981991,1.99668202,0.44490915,0.40807816,1.19272924,0.35823634,0.00051648,0.52113844,0.76476436,0.00000000
-5.63381691,1.98950898,0.44495974,0.39909105,1.19383408,0.35796743,0.00053366,0.52576407,0.76230595,0.00000000
-5.62781391,1.98374070,0.44542446,0.39057742,1.19396198,0.35864773,0.00055684,0.53074681,0.76015611,0.00000000
-5.62181091,1.97888502,0.44626744,0.38250195,1.19277033,0.36012326,0.00058618,0.53582659,0.75828678,0.00000000
-5.61580790,1.97453060,0.44747371,0.37483047,1.19001645,0.36224456,0.00062184,0.54076653,0.75670533,0.00000000
-5.60980490,1.97035300,0.44904615,0.36753214,1.18556175,0.36486958,0.00066393,0.54535851,0.75544970,0.00000000
-5.60380190,1.96611588,0.45100122,0.36058137,1.17937144,0.36786569,0.00071249,0.54942734,0.75458175,0.00000000
-5.59779890,1.96166792,0.45336391,0.35395923,1.17151012,0.37111094,0.00076755,0.55283334,0.75417913,0.00000000
-5.59179590,1.95693615,0.45616221,0.34765451,1.16213387,0.37449476,0.00082903,0.55547374,0.75432664,0.00000000
-5.58579290,1.95191686,0.45942166,0.34166445,1.15147943,0.37791803,0.00089680,0.55728266,0.75510746,0.00000000
-5.57978989,1.94666501,0.46316027,0.33599530,1.13985124,0.38129299,0.00097068,0.55823009,0.75659509,0.00000000
-5.57378689,1.94128315,0.46738431,0.33066266,1.12760701,0.38454277,0.00105037,0.55831982,0.75884650,0.00000000
-5.56778389,1.93591070,0.47208523,0.32569180,1.11514269,0.38760102,0.00113555,0.55758679,0.76189699,0.00000000
-5.56178089,1.93071456,0.47723793,0.32111798,1.10287731,0.39041152,0.00122580,0.55609369,0.76575710,0.00000000
-5.55577789,1.92588143,0.48280068,0.31698667,1.09123860,0.39292809,0.00132067,0.55392746,0.77041190,0.00000000
-5.54977489,1.92161249,0.48871657,0.31335398,1.08064971,0.39511465,0.00141966,0.55119543,0.77582253,0.00000000
-5.54377189,1.91812051,0.49491656,0.31028694,1.07151752,0.39694567,0.00152226,0.54802170,0.78193012,0.00000000
-5.53776888,1.91562941,0.50132400,0.30786386,1.06422299,0.39840694,0.00162795,0.54454356,0.78866170,0.00000000
-5.53176588,1.91437618,0.50786037,0.30617461,1.05911362,0.39949659,0.00173624,0.54090829,0.79593776,0.00000000
-5.52576288,1.91461466,0.51445193,0.30532064,1.05649824,0.40022639,0.00184668,0.53727044,0.80368101,0.00000000
-5.51975988,1.91662081,0.52103700,0.30541490,1.05664412,0.40062313,0.00195887,0.53378955,0.81182589,0.00000000
-5.51375688,1.92069885,0.52757347,0.30658127,1.05977639,0.40073015,0.00207251,0.53062839,0.82032804,0.00000000
-5.50775388,1.92718762,0.53404605,0.30895367,1.06607965,0.40060868,0.00218740,0.52795180,0.82917337,0.00000000
-5.50175088,1.93646652,0.54047314,0.31267460,1.07570155,0.40033907,0.00230346,0.52592604,0.83838607,0.00000000
-5.49574787,1.94896040,0.54691257,0.31789311,1.08875811,0.40002164,0.00242075,0.52471854,0.84803505,0.00000000
-5.48974487,1.96514291,0.55346625,0.32476213,1.10534054,0.39977712,0.00253945,0.52449810,0.85823857,0.00000000
-5.48374187,1.98553761,0.56028323,0.33343523,1.12552316,0.39974653,0.00265990,0.52543533,0.86916653,0.00000000
-5.47773887,2.01071661,0.56756104,0.34406272,1.14937196,0.40009040,0.00278256,0.52770319,0.88104038,0.00000000
-5.47173587,2.04129634,0.57554501,0.35678719,1.17695349,0.40098732,0.00290805,0.53147752,0.89413053,0.00000000
-5.46573287,2.07793016,0.58452570,0.37173857,1.20834339,0.40263166,0.00303708,0.53693733,0.90875119,0.00000000
-5.45972986,2.12129768,0.59483414,0.38902884,1.24363416,0.40523052,0.00317049,0.54426469,0.92525291,0.00000000
-5.45372686,2.17209077,0.60683500,0.40874649,1.28294136,0.40899982,0.00330917,0.55364396,0.94401281,0.00000000
-5.44772386,2.23099618,0.62091777,0.43095092,1.32640784,0.41415960,0.00345407,0.56526025,0.96542284,0.00000000
-5.44172086,2.29867499,0.63748601,0.45566691,1.37420523,0.42092851,0.00360616,0.57929684,0.98987645,0.00000000
-5.43571786,2.37573893,0.65694490,0.48287946,1.42653220,0.42951756,0.00376636,0.59593149,1.01775384,0.00000000
-5.42971486,2.46272414,0.67968726,0.51252898,1.48360901,0.44012324,0.00393553,0.61533151,1.04940631,0.00000000
-5.42371186,2.56006265,0.70607840,0.54450738,1.54566810,0.45292009,0.00411441,0.63764755,1.08514002,0.00000000
-5.41770885,2.66805225,0.73644021,0.57865479,1.61294051,0.46805296,0.00430356,0.66300620,1.12519968,0.00000000
-5.41170585,2.78682572,0.77103478,0.61475753,1.68563838,0.48562909,0.00450333,0.69150152,1.16975252,0.00000000
-5.40570285,2.91632023,0.81004829,0.65254721,1.76393384,0.50571027,0.00471377,0.72318580,1.21887318,0.00000000
-5.39969985,3.05624827,0.85357553,0.69170115,1.84793506,0.52830544,0.00493463,0.75805983,1.27252992,0.00000000
-5.39369685,3.20607145,0.90160584,0.73184439,1.93766046,0.55336400,0.00516527,0.79606325,1.33057272,0.00000000
-5.38769385,3.36497870,0.95401111,0.77255311,2.03301237,0.58077017,0.00540462,0.83706540,1.39272391,0.00000000
-5.38169085,3.53187037,1.01053640,0.81335970,2.13375154,0.61033886,0.00565118,0.88085737,1.45857178,0.00000000
-5.37568784,3.70534997,1.07079400,0.85375941,2.23947431,0.64181329,0.00590300,0.92714586,1.52756780,0.00000000
-5.36968484,3.88372487,1.13426141,0.89321848,2.34959403,0.67486482,0.00615762,0.97554943,1.59902781,0.00000000
-5.36368184,4.06501728,1.20028376,0.93118365,2.46332834,0.70909514,0.00641218,1.02559773,1.67213770,0.00000000
-5.35767884,4.24698640,1.26808094,0.96709296,2.57969393,0.74404107,0.00666334,1.07673423,1.74596375,0.00000000
-5.35167584,4.42716222,1.33675973,1.00038749,2.69750982,0.77918217,0.00690743,1.12832263,1.81946769,0.00000000
-5.34567284,4.60289082,1.40533073,1.03052379,2.81540999,0.81395089,0.00714046,1.17965733,1.89152647,0.00000000
-5.33966983,4.77139067,1.47272983,1.05698673,2.93186573,0.84774531,0.00735823,1.22997757,1.96095638,0.00000000
-5.33366683,4.92981847,1.53784379,1.07930229,3.04521740,0.87994407,0.00755646,1.27848530,2.02654086,0.00000000
-5.32766383,5.07534264,1.59953896,1.09704997,3.15371484,0.90992302,0.00773087,1.32436599,2.08706144,0.00000000
-5.32166083,5.20522207,1.65669240,1.10987430,3.25556514,0.93707304,0.00787735,1.36681181,2.14133063,0.00000000
-5.31565783,5.31688712,1.70822407,1.11749509,3.34898590,0.96081842,0.00799205,1.40504622,2.18822567,0.00000000
-5.30965483,5.40801955,1.75312893,1.11971603,3.43226173,0.98063490,0.00807160,1.43834895,2.22672195,0.00000000
-5.30365183,5.47662809,1.79050761,1.11643122,3.50380162,0.99606675,0.00811313,1.46608019,2.25592459,0.00000000
-5.29764882,5.52111613,1.81959439,1.10762939,3.56219439,1.00674202,0.00811447,1.48770300,2.27509709,0.00000000
-5.29164582,5.54033847,1.83978125,1.09339555,3.60625970,1.01238532,0.00807421,1.50280270,2.28368554,0.00000000
-5.28564282,5.53364436,1.85063699,1.07390998,3.63509223,1.01282746,0.00799178,1.51110232,2.28133762,0.00000000
-5.27963982,5.50090467,1.85192059,1.04944454,3.64809671,1.00801157,0.00786748,1.51247345,2.26791521,0.00000000
-5.27363682,5.44252177,1.84358822,1.02035632,3.64501245,0.99799525,0.00770254,1.50694175,2.24350029,0.00000000
-5.26763382,5.35942167,1.82579363,0.98707900,3.62592591,0.98294883,0.00749902,1.49468695,2.20839368,0.00000000
-5.26163082,5.25302835,1.79888203,0.95011198,3.59127096,0.96314968,0.00725984,1.47603728,2.16310669,0.00000000
-5.25562781,5.12522170,1.76337772,0.91000785,3.54181688,0.93897278,0.00698866,1.45145860,2.10834611,0.00000000
-5.24962481,4.97828070,1.71996604,0.86735859,3.47864469,0.91087824,0.00668976,1.42153879,2.04499308,0.00000000
-5.24362181,4.81481437,1.66947068,0.82278093,3.40311298,0.87939607,0.00636794,1.38696807,1.97407682,0.00000000
-5.23761881,4.63768363,1.61282709,0.77690152,3.31681500,0.84510905,0.00602836,1.34851624,1.89674434,0.00000000
-5.23161581,4.44991711,1.55105338,0.73034227,3.22152878,0.80863446,0.00567638,1.30700782,1.81422731,0.00000000
-5.22561281,4.25462467,1.48521983,0.68370642,3.11916257,0.77060543,0.00531741,1.26329629,1.72780750,0.00000000
-5.21960980,4.05491175,1.41641818,0.63756576,3.01169782,0.73165258,0.00495674,1.21823836,1.63878203,0.00000000
-5.21360680,3.85379795,1.34573181,0.59244937,2.90113189,0.69238688,0.00459942,1.17266940,1.54842971,0.00000000
-5.20760380,3.65414235,1.27420803,0.54883407,2.78942259,0.65338411,0.00425008,1.12738091,1.45797968,0.00000000
-5.20160080,3.45857818,1.20283307,0.50713690,2.67843641,0.61517152,0.00391290,1.08310073,1.36858314,0.00000000
-5.19559780,3.26945829,1.13251063,0.46770960,2.56990195,0.57821707,0.00359143,1.04047650,1.28128917,0.00000000
-5.18959480,3.08881270,1.06404454,0.43083527,2.46536984,0.54292136,0.00328859,1.00006292,1.19702495,0.00000000
-5.18359180,2.91831867,0.99812553,0.39672686,2.36617998,0.50961237,0.00300663,0.96231270,1.11658097,0.00000000
-5.17758879,2.75928338,0.93532264,0.36552774,2.27343666,0.47854297,0.00274708,0.92757134,1.04060112,0.00000000
-5.17158579,2.61263853,0.87607877,0.33731380,2.18799178,0.44989095,0.00251082,0.89607553,0.96957775,0.00000000
-5.16558279,2.47894608,0.82071046,0.31209711,2.11043609,0.42376135,0.00229806,0.86795481,0.90385141,0.00000000
-5.15957979,2.35841374,0.76941135,0.28983081,2.04109819,0.40019072,0.00210844,0.84323616,0.84361484,0.00000000
-5.15357679,2.25091901,0.72225902,0.27041495,1.98005074,0.37915294,0.00194108,0.82185093,0.78892082,0.00000000
-5.14757379,2.15603990,0.67922453,0.25370310,1.92712324,0.36056626,0.00179466,0.80364375,0.73969326,0.00000000
-5.14157079,2.07309104,0.64018432,0.23950946,1.88192061,0.34430107,0.00166753,0.78838291,0.69574094,0.00000000
-5.13556778,2.00116345,0.60493366,0.22761628,1.84384685,0.33018818,0.00155777,0.77577166,0.65677328,0.00000000
-5.12956478,1.93916671,0.57320132,0.21778134,1.81213266,0.31802716,0.00146328,0.76546025,0.62241747,0.00000000
-5.12356178,1.88587204,0.54466468,0.20974546,1.78586641,0.30759463,0.00138191,0.75705810,0.59223651,0.00000000
-5.11755878,1.83995536,0.51896505,0.20323974,1.76402728,0.29865211,0.00131149,0.75014606,0.56574739,0.00000000
-5.11155578,1.80003919,0.49572245,0.19799249,1.74551989,0.29095348,0.00124992,0.74428838,0.54243903,0.00000000
-5.10555278,1.76473260,0.47454969,0.19373575,1.72920932,0.28425167,0.00119523,0.73904427,0.52178952,0.00000000
-5.09954977,1.73266861,0.45506523,0.19021129,1.71395582,0.27830486,0.00114561,0.73397898,0.50328217,0.00000000
-5.09354677,1.70253832,0.43690473,0.18717601,1.69864823,0.27288181,0.00109949,0.72867408,0.48642010,0.00000000
-5.08754377,1.67312142,0.41973083,0.18440671,1.68223540,0.26776648,0.00105551,0.72273707,0.47073909,0.00000000
-5.08154077,1.64331270,0.40324126,0.18170411,1.66375482,0.26276202,0.00101255,0.71581013,0.45581842,0.00000000
-5.07553777,1.61214422,0.38717508,0.17889613,1.64235779,0.25769394,0.00096975,0.70757776,0.44128962,0.00000000
-5.06953477,1.57880296,0.37131699,0.17584042,1.61733057,0.25241261,0.00092650,0.69777355,0.42684309,0.00000000
-5.06353177,1.54264386,0.35549988,0.17242603,1.58811099,0.24679515,0.00088238,0.68618555,0.41223248,0.00000000
-5.05752876,1.50319816,0.33960563,0.16857436,1.55430036,0.24074654,0.00083720,0.67266049,0.39727697,0.00000000
-5.05152576,1.46017713,0.32356438,0.16423926,1.51567018,0.23420028,0.00079094,0.65710654,0.38186158,0.00000000
-5.04552276,1.41347126,0.30735236,0.15940646,1.47216396,0.22711824,0.00074373,0.63949462,0.36593565,0.00000000
-5.03951976,1.36314529,0.29098861,0.15409233,1.42389405,0.21949012,0.00069581,0.61985823,0.34950975,0.00000000
-5.03351676,1.30942930,0.27453078,0.14834198,1.37113389,0.21133223,0.00064750,0.59829171,0.33265129,0.00000000
-5.02751376,1.25270634,0.25807030,0.14222697,1.31430614,0.20268583,0.00059921,0.57494707,0.31547902,0.00000000
-5.02151076,1.19349726,0.24172711,0.13584255,1.25396711,0.19361505,0.00055134,0.55002943,0.29815690,0.00000000
-5.01550775,1.13244308,0.22564426,0.12930470,1.19078846,0.18420436,0.00050434,0.52379124,0.28088750,0.00000000
-5.00950475,1.07028580,0.20998257,0.12274695,1.12553661,0.17455580,0.00045862,0.49652540,0.26390517,0.00000000
-5.00350175,1.00784813,0.19491554,0.11631721,1.05905092,0.16478595,0.00041456,0.46855760,0.24746945,0.00000000
-4.99749875,0.94601289,0.18062464,0.11017456,0.99222125,0.15502277,0.00037252,0.44023810,0.23185860,0.00000000
-4.99149575,0.88570249,0.16729509,0.10448624,0.92596577,0.14540235,0.00033280,0.41193315,0.21736372,0.00000000
-4.98549275,0.82785930,0.15511225,0.09942479,0.86120957,0.13606575,0.00029563,0.38401640,0.20428335,0.00000000
-4.97948974,0.77342702,0.14425850,0.09516535,0.79886477,0.12715582,0.00026122,0.35686058,0.19291868,0.00000000
-4.97348674,0.72333353,0.13491068,0.09188322,0.73981243,0.11881430,0.00022970,0.33082948,0.18356935,0.00000000
-4.96748374,0.67847536,0.12723807,0.08975161,0.68488670,0.11117905,0.00020115,0.30627066,0.17652972,0.00000000
-4.96148074,0.63970388,0.12140066,0.08893952,0.63486120,0.10438144,0.00017562,0.28350889,0.17208563,0.00000000
-4.95547774,0.60781307,0.11754769,0.08960981,0.59043778,0.09854417,0.00015312,0.26284043,0.17051143,0.00000000
-4.94947474,0.58352892,0.11581644,0.09191725,0.55223756,0.09377913,0.00013361,0.24452818,0.17206711,0.00000000
-4.94347174,0.56750017,0.11633092,0.09600674,0.52079389,0.09018564,0.00011706,0.22879780,0.17699556,0.00000000
-4.93746873,0.56029020,0.11920062,0.10201139,0.49654733,0.08784886,0.00010341,0.21583460,0.18551966,0.00000000
-4.93146573,0.56236998,0.12451905,0.11005065,0.47984193,0.08683841,0.00009259,0.20578134,0.19783920,0.00000000
-4.92546273,0.57411186,0.13236208,0.12022850,0.47092301,0.08720721,0.00008455,0.19873669,0.21412769,0.00000000
-4.91945973,0.59578407,0.14278622,0.13263149,0.46993581,0.08899046,0.00007922,0.19475442,0.23452883,0.00000000
-4.91345673,0.62754610,0.15582657,0.14732705,0.47692515,0.09220487,0.00007656,0.19384323,0.25915297,0.00000000
-4.90745373,0.66944494,0.17149483,0.16436183,0.49183580,0.09684804,0.00007653,0.19596704,0.28807346,0.00000000
-4.90145073,0.72141223,0.18977723,0.18376031,0.51451370,0.10289806,0.00007911,0.20104601,0.32132321,0.00000000
-4.89544772,0.78326291,0.21063265,0.20552382,0.54470792,0.11031342,0.00008428,0.20895794,0.35889149,0.00000000
-4.88944472,0.85469525,0.23399100,0.22962998,0.58207368,0.11903314,0.00009206,0.21954034,0.40072136,0.00000000
-4.88344172,0.93529285,0.25975200,0.25603262,0.62617646,0.12897730,0.00010242,0.23259310,0.44670772,0.00000000
-4.87743872,1.02452868,0.28778459,0.28466245,0.67649733,0.14004788,0.00011538,0.24788173,0.49669635,0.00000000
-4.87143572,1.12177148,0.31792692,0.31542821,0.73243978,0.15213010,0.00013092,0.26514129,0.55048398,0.00000000
-4.86543272,1.22629452,0.34998718,0.34821855,0.79333805,0.16509407,0.00014903,0.28408095,0.60781946,0.00000000
-4.85942971,1.33728665,0.38374516,0.38290443,0.85846692,0.17879693,0.00016966,0.30438919,0.66840616,0.00000000
-4.85342671,1.45386557,0.41895468,0.41934198,0.92705296,0.19308536,0.00019274,0.32573952,0.73190547,0.00000000
-4.84742371,1.57509270,0.45534670,0.45737567,0.99828695,0.20779843,0.00021816,0.34779665,0.79794133,0.00000000
-4.84142071,1.69998945,0.49263315,0.49684157,1.07133715,0.22277072,0.00024576,0.37022295,0.86610551,0.00000000
-4.83541771,1.82755399,0.53051121,0.53757057,1.14536311,0.23783557,0.00027535,0.39268500,0.93596359,0.00000000
-4.82941471,1.95677796,0.56866805,0.57939117,1.21952929,0.25282841,0.00030667,0.41485998,1.00706117,0.00000000
-4.82341171,2.08666228,0.60678558,0.62213185,1.29301826,0.26759001,0.00033943,0.43644176,1.07893017,0.00000000
-4.81740870,2.21623146,0.64454535,0.66562265,1.36504270,0.28196946,0.00037328,0.45714627,1.15109483,0.00000000
-4.81140570,2.34454565,0.68163313,0.70969595,1.43485587,0.29582689,0.00040781,0.47671619,1.22307729,0.00000000
-4.80540270,2.47071007,0.71774319,0.75418629,1.50176018,0.30903572,0.00044258,0.49492452,1.29440239,0.00000000
-4.79939970,2.59388142,0.75258205,0.79892932,1.56511345,0.32148429,0.00047712,0.51157706,1.36460177,0.00000000
-4.79339670,2.71327127,0.78587168,0.84375987,1.62433302,0.33307703,0.00051092,0.52651366,1.43321702,0.00000000
-4.78739370,2.82814657,0.81735208,0.88850946,1.67889752,0.34373489,0.00054348,0.53960827,1.49980204,0.00000000
-4.78139070,2.93782761,0.84678321,0.93300332,1.72834671,0.35339526,0.00057430,0.55076788,1.56392476,0.00000000
-4.77538769,3.04168419,0.87394645,0.97705732,1.77227970,0.36201122,0.00060288,0.55993041,1.62516827,0.00000000
-4.76938469,3.13913046,0.89864545,1.02047516,1.81035208,0.36955040,0.00062875,0.56706188,1.68313172,0.00000000
-4.76338169,3.22961955,0.92070673,1.06304611,1.84227244,0.37599345,0.00065152,0.57215294,1.73743119,0.00000000
-4.75737869,3.31263869,0.93997994,1.10454365,1.86779899,0.38133216,0.00067083,0.57521523,1.78770083,0.00000000
-4.75137569,3.38770559,0.95633800,1.14472538,1.88673671,0.38556760,0.00068638,0.57627761,1.83359445,0.00000000
-4.74537269,3.45436688,0.96967729,1.18333422,1.89893553,0.38870818,0.00069799,0.57538271,1.87478782,0.00000000
-4.73936968,3.51219903,0.97991777,1.22010125,1.90428982,0.39076788,0.00070554,0.57258389,1.91098165,0.00000000
-4.73336668,3.56081198,0.98700335,1.25475004,1.90273938,0.39176469,0.00070900,0.56794284,1.94190550,0.00000000
-4.72736368,3.59985550,0.99090225,1.28700239,1.89427186,0.39171949,0.00070846,0.56152783,1.96732228,0.00000000
-4.72136068,3.62902802,0.99160766,1.31658527,1.87892640,0.39065513,0.00070408,0.55341279,1.98703340,0.00000000
-4.71535768,3.64808741,0.98913828,1.34323866,1.85679807,0.38859614,0.00069613,0.54367697,2.00088425,0.00000000
-4.70935468,3.65686292,0.98353902,1.36672380,1.82804264,0.38556862,0.00068496,0.53240524,2.00876965,0.00000000
-4.70335168,3.65526757,0.97488148,1.38683139,1.79288109,0.38160066,0.00067099,0.51968882,2.01063904,0.00000000
-4.69734867,3.64330975,0.96326440,1.40338936,1.75160312,0.37672298,0.00065472,0.50562625,2.00650098,0.00000000
-4.69134567,3.62110346,0.94881364,1.41626952,1.70456920,0.37096982,0.00063672,0.49032437,1.99642668,0.00000000
-4.68534267,3.58887588,0.93168195,1.42539288,1.65221058,0.36437990,0.00061762,0.47389915,1.98055218,0.00000000
-4.67933967,3.54697193,0.91204822,1.43073308,1.59502690,0.35699751,0.00059806,0.45647622,1.95907910,0.00000000
-4.67333667,3.49585495,0.89011627,1.43231788,1.53358111,0.34887343,0.00057876,0.43819087,1.93227359,0.00000000
-4.66733367,3.43610341,0.86611313,1.43022840,1.46849183,0.34006574,0.00056045,0.41918752,1.90046365,0.00000000
-4.66133067,3.36840347,0.84028681,1.42459628,1.40042320,0.33064040,0.00054387,0.39961854,1.86403468,0.00000000
-4.65532766,3.29353767,0.81290367,1.41559885,1.33007259,0.32067147,0.00052980,0.37964250,1.82342346,0.00000000
-4.64932466,3.21237013,0.78424524,1.40345252,1.25815670,0.31024103,0.00051901,0.35942192,1.77911076,0.00000000
-4.64332166,3.12582887,0.75460481,1.38840488,1.18539671,0.29943872,0.00051229,0.33912052,1.73161272,0.00000000
