energy_ev,total_up,As_p_up,As_d_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
1.98399200,2.11554773,0.26448767,0.00000000,1.22659582,1.16726260,0.47349145,0.00000000
1.98999500,2.12180701,0.26601073,0.00000000,1.22762494,1.17204316,0.46835575,0.00000000
1.99599800,2.12511567,0.26707421,0.00000000,1.22670354,1.17493342,0.46351314,0.00000000
2.00200100,2.12479320,0.26757833,0.00000000,1.22347101,1.17554402,0.45879575,0.00000000
2.00800400,2.12025510,0.26743413,0.00000000,1.21762852,1.17354226,0.45404295,0.00000000
2.01400700,2.11103892,0.26656718,0.00000000,1.20895271,1.16866716,0.44910935,0.00000000
2.02001001,2.09682564,0.26492083,0.00000000,1.19730659,1.16074175,0.44387233,0.00000000
2.02601301,2.07745571,0.26245901,0.00000000,1.18264699,1.14968222,0.43823877,0.00000000
2.03201601,2.05293924,0.25916834,0.00000000,1.16502859,1.13550355,0.43215062,0.00000000
2.03801901,2.02346007,0.25505954,0.00000000,1.14460437,1.11832149,0.42558924,0.00000000
2.04402201,1.98937378,0.25016812,0.00000000,1.12162259,1.09835100,0.41857822,0.00000000
2.05002501,1.95119992,0.24455430,0.00000000,1.09642053,1.07590126,0.41118456,0.00000000
2.05602801,1.90960888,0.23830222,0.00000000,1.06941534,1.05136751,0.40351833,0.00000000
2.06203102,1.86540423,0.23151840,0.00000000,1.04109260,1.02522024,0.39573062,0.00000000
2.06803402,1.81950116,0.22432969,0.00000000,1.01199277,0.99799221,0.38801002,0.00000000
2.07403702,1.77290208,0.21688059,0.00000000,0.98269651,0.97026377,0.38057768,0.00000000
2.08004002,1.72667020,0.20933021,0.00000000,0.95380908,0.94264710,0.37368118,0.00000000
2.08604302,1.68190217,0.20184888,0.00000000,0.92594457,0.91576997,0.36758743,0.00000000
2.09204602,1.63970048,0.19461454,0.00000000,0.89971041,0.89025954,0.36257483,0.00000000
2.09804902,1.60114659,0.18780906,0.00000000,0.87569258,0.86672658,0.35892495,0.00000000
2.10405203,1.56727530,0.18161454,0.00000000,0.85444185,0.84575074,0.35691404,0.00000000
2.11005503,1.53905111,0.17620961,0.00000000,0.83646155,0.82786695,0.35680458,0.00000000
2.11605803,1.51734688,0.17176591,0.00000000,0.82219673,0.81355346,0.35883722,0.00000000
2.12206103,1.50292504,0.16844480,0.00000000,0.81202521,0.80322153,0.36322323,0.00000000
2.12806403,1.49642179,0.16639419,0.00000000,0.80625034,0.79720695,0.37013768,0.00000000
2.13406703,1.49833403,0.16574568,0.00000000,0.80509557,0.79576348,0.37971365,0.00000000
2.14007004,1.50900940,0.16661191,0.00000000,0.80870089,0.79905814,0.39203743,0.00000000
2.14607304,1.52863920,0.16908425,0.00000000,0.81712085,0.80716841,0.40714496,0.00000000
2.15207604,1.55725416,0.17323066,0.00000000,0.83032439,0.82008117,0.42501950,0.00000000
2.15807904,1.59472306,0.17909395,0.00000000,0.84819608,0.83769344,0.44559051,0.00000000
2.16408204,1.64075414,0.18669021,0.00000000,0.87053900,0.85981476,0.46873393,0.00000000
2.17008504,1.69489916,0.19600769,0.00000000,0.89707889,0.88617115,0.49427357,0.00000000
2.17608804,1.75656018,0.20700593,0.00000000,0.92746973,0.91641053,0.52198376,0.00000000
2.18209105,1.82499894,0.21961532,0.00000000,0.96130048,0.95010963,0.55159304,0.00000000
2.18809405,1.89934882,0.23373713,0.00000000,0.99810313,0.98678214,0.58278885,0.00000000
2.19409705,1.97862935,0.24924398,0.00000000,1.03736169,1.02588810,0.61522301,0.00000000
2.20010005,2.06176315,0.26598093,0.00000000,1.07852233,1.06684435,0.64851803,0.00000000
2.20610305,2.14759511,0.28376707,0.00000000,1.12100430,1.10903591,0.68227392,0.00000000
2.21210605,2.23491373,0.30239792,0.00000000,1.16421167,1.15182814,0.71607540,0.00000000
2.21810905,2.32247418,0.32164836,0.00000000,1.20754560,1.19457937,0.74949953,0.00000000
2.22411206,2.40902284,0.34127632,0.00000000,1.25041700,1.23665386,0.78212342,0.00000000
2.23011506,2.49332284,0.36102715,0.00000000,1.29225927,1.27743482,0.81353196,0.00000000
2.23611806,2.57418008,0.38063860,0.00000000,1.33254097,1.31633705,0.84332556,0.00000000
2.24212106,2.65046908,0.39984630,0.00000000,1.37077796,1.35281912,0.87112756,0.00000000
2.24812406,2.72115814,0.41838974,0.00000000,1.40654478,1.38639461,0.89659148,0.00000000
2.25412706,2.78533293,0.43601849,0.00000000,1.43948499,1.41664206,0.91940768,0.00000000
2.26013007,2.84221804,0.45249853,0.00000000,1.46931992,1.44321363,0.93930964,0.00000000
2.26613307,2.89119553,0.46761846,0.00000000,1.49585578,1.46584176,0.95607943,0.00000000
2.27213607,2.93182007,0.48119541,0.00000000,1.51898859,1.48434410,0.96955252,0.00000000
2.27813907,2.96382992,0.49308038,0.00000000,1.53870686,1.49862608,0.97962162,0.00000000
2.28414207,2.98715333,0.50316282,0.00000000,1.55509156,1.50868144,0.98623945,0.00000000
2.29014507,3.00190991,0.51137423,0.00000000,1.56831362,1.51459035,0.98942047,0.00000000
2.29614807,3.00840692,0.51769057,0.00000000,1.57862848,1.51651535,0.98924112,0.00000000
2.30215108,3.00713022,0.52213337,0.00000000,1.58636799,1.51469514,0.98583888,0.00000000
2.30815408,2.99873009,0.52476938,0.00000000,1.59192981,1.50943643,0.97940969,0.00000000
2.31415708,2.98400225,0.52570884,0.00000000,1.59576429,1.50110405,0.97020397,0.00000000
2.32016008,2.96386449,0.52510219,0.00000000,1.59835947,1.49010965,0.95852111,0.00000000
2.32616308,2.93932957,0.52313549,0.00000000,1.60022444,1.47689934,0.94470250,0.00000000
2.33216608,2.91147524,0.52002448,0.00000000,1.60187160,1.46194061,0.92912323,0.00000000
2.33816908,2.88141216,0.51600769,0.00000000,1.60379851,1.44570895,0.91218270,0.00000000
2.34417209,2.85025092,0.51133868,0.00000000,1.60646979,1.42867456,0.89429427,0.00000000
2.35017509,2.81906903,0.50627765,0.00000000,1.61029992,1.41128959,0.87587427,0.00000000
2.35617809,2.78887913,0.50108297,0.00000000,1.61563744,1.39397617,0.85733084,0.00000000
2.36218109,2.76059929,0.49600261,0.00000000,1.62275120,1.37711573,0.83905272,0.00000000
2.36818409,2.73502660,0.49126612,0.00000000,1.63181931,1.36103972,0.82139859,0.00000000
2.37418709,2.71281466,0.48707712,0.00000000,1.64292115,1.34602217,0.80468725,0.00000000
2.38019010,2.69445599,0.48360695,0.00000000,1.65603280,1.33227405,0.78918900,0.00000000
2.38619310,2.68026967,0.48098939,0.00000000,1.67102623,1.31993978,0.77511848,0.00000000
2.39219610,2.67039475,0.47931676,0.00000000,1.68767219,1.30909568,0.76262944,0.00000000
2.39819910,2.66478950,0.47863765,0.00000000,1.70564680,1.29975060,0.75181132,0.00000000
2.40420210,2.66323653,0.47895609,0.00000000,1.72454157,1.29184847,0.74268810,0.00000000
2.41020510,2.66535347,0.48023236,0.00000000,1.74387656,1.28527268,0.73521916,0.00000000
2.41620810,2.67060877,0.48238533,0.00000000,1.76311608,1.27985217,0.72930232,0.00000000
2.42221111,2.67834202,0.48529611,0.00000000,1.78168640,1.27536884,0.72477879,0.00000000
2.42821411,2.68778798,0.48881305,0.00000000,1.79899475,1.27156615,0.72143988,0.00000000
2.43421711,2.69810338,0.49275759,0.00000000,1.81444885,1.26815854,0.71903523,0.00000000
2.44022011,2.70839559,0.49693099,0.00000000,1.82747625,1.26484132,0.71728214,0.00000000
2.44622311,2.71775200,0.50112145,0.00000000,1.83754277,1.26130076,0.71587574,0.00000000
2.45222611,2.72526915,0.50511148,0.00000000,1.84416922,1.25722399,0.71449957,0.00000000
2.45822911,2.73008049,0.50868518,0.00000000,1.84694591,1.25230842,0.71283620,0.00000000
2.46423212,2.73138193,0.51163518,0.00000000,1.84554438,1.24627045,0.71057752,0.00000000
2.47023512,2.72845429,0.51376895,0.00000000,1.83972601,1.23885307,0.70743436,0.00000000
2.47623812,2.72068196,0.51491441,0.00000000,1.82934715,1.22983231,0.70314509,0.00000000
2.48224112,2.70756731,0.51492454,0.00000000,1.81436085,1.21902231,0.69748301,0.00000000
2.48824412,2.68874046,0.51368091,0.00000000,1.79481514,1.20627886,0.69026235,0.00000000
2.49424712,2.66396438,0.51109620,0.00000000,1.77084805,1.19150155,0.68134261,0.00000000
2.50025013,2.63313539,0.50711543,0.00000000,1.74267981,1.17463436,0.67063138,0.00000000
2.50625313,2.59627932,0.50171625,0.00000000,1.71060264,1.15566498,0.65808539,0.00000000
2.51225613,2.55354392,0.49490814,0.00000000,1.67496865,1.13462289,0.64371016,0.00000000
2.51825913,2.50518792,0.48673072,0.00000000,1.63617652,1.11157637,0.62755802,0.00000000
2.52426213,2.45156775,0.47725138,0.00000000,1.59465760,1.08662888,0.60972495,0.00000000
2.53026513,2.39312246,0.46656226,0.00000000,1.55086199,1.05991470,0.59034630,0.00000000
2.53626813,2.33035785,0.45477688,0.00000000,1.50524537,1.03159448,0.56959163,0.00000000
2.54227114,2.26383040,0.44202654,0.00000000,1.45825695,1.00185058,0.54765895,0.00000000
2.54827414,2.19413193,0.42845664,0.00000000,1.41032911,0.97088270,0.52476856,0.00000000
2.55427714,2.12187544,0.41422312,0.00000000,1.36186901,0.93890375,0.50115685,0.00000000
2.56028014,2.04768264,0.39948900,0.00000000,1.31325240,0.90613623,0.47707003,0.00000000
2.56628314,1.97217351,0.38442134,0.00000000,1.26481976,0.87280918,0.45275834,0.00000000
2.57228614,1.89595806,0.36918842,0.00000000,1.21687462,0.83915564,0.42847053,0.00000000
2.57828914,1.81963023,0.35395738,0.00000000,1.16968401,0.80541072,0.40444907,0.00000000
2.58429215,1.74376377,0.33889207,0.00000000,1.12348073,0.77181014,0.38092589,0.00000000
2.59029515,1.66890995,0.32415144,0.00000000,1.07846699,0.73858909,0.35811890,0.00000000
2.59629815,1.59559657,0.30988800,0.00000000,1.03481924,0.70598142,0.33622919,0.00000000
2.60230115,1.52432794,0.29624665,0.00000000,0.99269350,0.67421896,0.31543891,0.00000000
2.60830415,1.45558548,0.28336361,0.00000000,0.95223096,0.64353073,0.29590976,0.00000000
2.61430715,1.38982834,0.27136543,0.00000000,0.91356326,0.61414213,0.27778210,0.00000000
2.62031016,1.32749377,0.26036814,0.00000000,0.87681734,0.58627387,0.26117443,0.00000000
2.62631316,1.26899707,0.25047635,0.00000000,0.84211922,0.56014055,0.24618331,0.00000000
2.63231616,1.21473069,0.24178235,0.00000000,0.80959690,0.53594902,0.23288360,0.00000000
2.63831916,1.16506257,0.23436524,0.00000000,0.77938194,0.51389638,0.22132883,0.00000000
2.64432216,1.12033366,0.22829012,0.00000000,0.75160984,0.49416771,0.21155183,0.00000000
2.65032516,1.08085480,0.22360722,0.00000000,0.72641929,0.47693368,0.20356538,0.00000000
2.65632816,1.04690304,0.22035133,0.00000000,0.70395032,0.46234802,0.19736304,0.00000000
2.66233117,1.01871774,0.21854120,0.00000000,0.68434161,0.45054506,0.19292001,0.00000000
2.66833417,0.99649674,0.21817935,0.00000000,0.66772711,0.44163745,0.19019410,0.00000000
2.67433717,0.98039289,0.21925204,0.00000000,0.65423234,0.43571420,0.18912681,0.00000000
2.68034017,0.97051106,0.22172966,0.00000000,0.64397038,0.43283902,0.18964459,0.00000000
2.68634317,0.96690619,0.22556746,0.00000000,0.63703806,0.43304928,0.19166021,0.00000000
2.69234617,0.96958220,0.23070663,0.00000000,0.63351227,0.43635540,0.19507436,0.00000000
2.69834917,0.97849200,0.23707578,0.00000000,0.63344675,0.44274092,0.19977746,0.00000000
2.70435218,0.99353868,0.24459272,0.00000000,0.63686935,0.45216296,0.20565161,0.00000000
2.71035518,1.01457752,0.25316644,0.00000000,0.64377991,0.46455336,0.21257274,0.00000000
2.71635818,1.04141897,0.26269928,0.00000000,0.65414860,0.47982006,0.22041285,0.00000000
2.72236118,1.07383204,0.27308914,0.00000000,0.66791497,0.49784886,0.22904231,0.00000000
2.72836418,1.11154808,0.28423158,0.00000000,0.68498732,0.51850536,0.23833210,0.00000000
2.73436718,1.15426439,0.29602171,0.00000000,0.70524264,0.54163686,0.24815594,0.00000000
2.74037019,1.20164758,0.30835578,0.00000000,0.72852674,0.56707414,0.25839215,0.00000000
2.74637319,1.25333624,0.32113231,0.00000000,0.75465468,0.59463312,0.26892523,0.00000000
2.75237619,1.30894281,0.33425277,0.00000000,0.78341142,0.62411604,0.27964699,0.00000000
2.75837919,1.36805456,0.34762170,0.00000000,0.81455253,0.65531235,0.29045728,0.00000000
2.76438219,1.43023356,0.36114636,0.00000000,0.84780514,0.68799923,0.30126420,0.00000000
2.77038519,1.49501597,0.37473586,0.00000000,0.88286902,0.72194170,0.31198383,0.00000000
2.77638819,1.56191068,0.38829995,0.00000000,0.91941794,0.75689252,0.32253957,0.00000000
2.78239120,1.63039781,0.40174763,0.00000000,0.95710143,0.79259199,0.33286107,0.00000000
2.78839420,1.69992738,0.41498559,0.00000000,0.99554700,0.82876780,0.34288303,0.00000000
2.79439720,1.76991883,0.42791687,0.00000000,1.03436304,0.86513514,0.35254376,0.00000000
2.80040020,1.83976162,0.44043978,0.00000000,1.07314248,0.90139738,0.36178393,0.00000000
2.80640320,1.90881769,0.45244727,0.00000000,1.11146727,0.93724729,0.37054542,0.00000000
2.81240620,1.97642595,0.46382703,0.00000000,1.14891382,0.97236929,0.37877056,0.00000000
2.81840920,2.04190917,0.47446223,0.00000000,1.18505938,1.00644255,0.38640181,0.00000000
2.82441221,2.10458341,0.48423312,0.00000000,1.21948924,1.03914522,0.39338200,0.00000000
2.83041521,2.16376988,0.49301940,0.00000000,1.25180467,1.07015965,0.39965510,0.00000000
2.83641821,2.21880895,0.50070328,0.00000000,1.28163131,1.09917853,0.40516756,0.00000000
2.84242121,2.26907583,0.50717322,0.00000000,1.30862778,1.12591175,0.40987016,0.00000000
2.84842421,2.31399738,0.51232794,0.00000000,1.33249413,1.15009373,0.41372019,0.00000000
2.85442721,2.35306903,0.51608065,0.00000000,1.35297973,1.17149082,0.41668384,0.00000000
2.86043022,2.38587113,0.51836322,0.00000000,1.36989024,1.18990843,0.41873861,0.00000000
2.86643322,2.41208358,0.51912991,0.00000000,1.38309320,1.20519752,0.41987557,0.00000000
2.87243622,2.43149804,0.51836046,0.00000000,1.39252195,1.21725990,0.42010115,0.00000000
2.87843922,2.44402667,0.51606240,0.00000000,1.39817764,1.22605213,0.41943840,0.00000000
2.88444222,2.44970690,0.51227220,0.00000000,1.40012900,1.23158766,0.41792751,0.00000000
