energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up,V_p_up,V_d_up
-5.30365183,2.94459707,0.01798655,0.49151691,1.35643211,0.00000000,0.80896126,0.67309717,0.58923033,0.33596615
-5.29764882,2.86288091,0.01753773,0.48863508,1.30483355,0.00000000,0.79338172,0.66592957,0.56459039,0.32437474
-5.29164582,2.78639782,0.01710961,0.48596738,1.25657105,0.00000000,0.77878870,0.65893643,0.54267899,0.31335931
-5.28564282,2.71556319,0.01670295,0.48355505,1.21186031,0.00000000,0.76522705,0.65222270,0.52354107,0.30298157
-5.27963982,2.65078928,0.01631830,0.48145180,1.17090299,0.00000000,0.75276155,0.64590684,0.50720615,0.29329945
-5.27363682,2.59247624,0.01595597,0.47972345,1.13388118,0.00000000,0.74147478,0.64011945,0.49368836,0.28436461
-5.26763382,2.54100138,0.01561606,0.47844677,1.10095164,0.00000000,0.73146337,0.63500094,0.48298623,0.27622018
-5.26163082,2.49670695,0.01529847,0.47770717,1.07224021,0.00000000,0.72283302,0.63069824,0.47508216,0.26889868
-5.25562781,2.45988707,0.01500283,0.47759571,1.04783647,0.00000000,0.71569235,0.62736060,0.46994173,0.26242036
-5.24962481,2.43077411,0.01472856,0.47820517,1.02778917,0.00000000,0.71014612,0.62513461,0.46751281,0.25679191
-5.24362181,2.40952558,0.01447479,0.47962560,1.01210250,0.00000000,0.70628798,0.62415863,0.46772460,0.25200573
-5.23761881,2.39621183,0.01424037,0.48193945,1.00073347,0.00000000,0.70419336,0.62455692,0.47048672,0.24803981
-5.23161581,2.39080569,0.01402386,0.48521655,0.99359063,0.00000000,0.70391267,0.62643366,0.47568848,0.24485810
-5.22561281,2.39317444,0.01382353,0.48950932,0.99053419,0.00000000,0.70546546,0.62986725,0.48319840,0.24241155
-5.21960980,2.40307486,0.01363737,0.49484828,0.99137764,0.00000000,0.70883565,0.63490519,0.49286403,0.24063969
-5.21360680,2.42015176,0.01346309,0.50123837,0.99589085,0.00000000,0.71396824,0.64155978,0.50451231,0.23947269
-5.20760380,2.44394030,0.01329822,0.50865605,1.00380451,0.00000000,0.72076771,0.64980494,0.51795039,0.23883384
-5.20160080,2.47387219,0.01314012,0.51704762,1.01481586,0.00000000,0.72909811,0.65957436,0.53296706,0.23864227
-5.19559780,2.50928568,0.01298608,0.52632866,1.02859538,0.00000000,0.73878501,0.67076112,0.54933472,0.23881591
-5.18959480,2.54943916,0.01283339,0.53638486,1.04479435,0.00000000,0.74961916,0.68321887,0.56681199,0.23927444
-5.18359180,2.59352770,0.01267944,0.54707403,1.06305276,0.00000000,0.76136174,0.69676449,0.58514688,0.23994209
-5.17758879,2.64070222,0.01252184,0.55822943,1.08300753,0.00000000,0.77375096,0.71118229,0.60408045,0.24075029
-5.17158579,2.69009036,0.01235846,0.56966415,1.10430057,0.00000000,0.78650971,0.72622950,0.62335093,0.24163991
-5.16558279,2.74081837,0.01218757,0.58117644,1.12658648,0.00000000,0.79935405,0.74164291,0.64269822,0.24256308
-5.15957979,2.79203324,0.01200790,0.59255568,1.14953968,0.00000000,0.81200202,0.75714632,0.66186864,0.24348449
-5.15357679,2.84292426,0.01181867,0.60358895,1.17286070,0.00000000,0.82418252,0.77245866,0.68061972,0.24438218
-5.14757379,2.89274320,0.01161965,0.61406761,1.19628155,0.00000000,0.83564387,0.78730221,0.69872513,0.24524774
-5.14157079,2.94082264,0.01141116,0.62379391,1.21957011,0.00000000,0.84616179,0.80141092,0.71597934,0.24608608
-5.13556778,2.98659167,0.01119406,0.63258722,1.24253341,0.00000000,0.85554642,0.81453817,0.73220201,0.24691466
-5.12956478,3.02958867,0.01096972,0.64028965,1.26501991,0.00000000,0.86364818,0.82646394,0.74724196,0.24776245
-5.12356178,3.06947089,0.01073994,0.64677084,1.28692075,0.00000000,0.87036232,0.83700093,0.76098050,0.24866852
-5.11755878,3.10602047,0.01050694,0.65193184,1.30817014,0.00000000,0.87563202,0.84599956,0.77333404,0.24968060
-5.11155578,3.13914709,0.01027321,0.65570773,1.32874488,0.00000000,0.87944991,0.85335158,0.78425586,0.25085347
-5.10555278,3.16888713,0.01004144,0.65806918,1.34866315,0.00000000,0.88185814,0.85899217,0.79373686,0.25224747
-5.09954977,3.19539957,0.00981448,0.65902273,1.36798265,0.00000000,0.88294687,0.86290064,0.80180537,0.25392713
-5.09354677,3.21895891,0.00959516,0.65860987,1.38679824,0.00000000,0.88285142,0.86509951,0.80852577,0.25596001
-5.08754377,3.23994539,0.00938628,0.65690503,1.40523899,0.00000000,0.88174823,0.86565235,0.81399616,0.25841575
-5.08154077,3.25883290,0.00919053,0.65401259,1.42346485,0.00000000,0.87984964,0.86466024,0.81834497,0.26136536
-5.07553777,3.27617500,0.00901039,0.65006309,1.44166282,0.00000000,0.87739790,0.86225729,0.82172656,0.26488076
-5.06953477,3.29258955,0.00884814,0.64520884,1.46004274,0.00000000,0.87465848,0.85860529,0.82431617,0.26903441
-5.06353177,3.30874229,0.00870582,0.63961910,1.47883266,0.00000000,0.87191301,0.85388788,0.82630412,0.27389910
-5.05752876,3.32532997,0.00858518,0.63347519,1.49827375,0.00000000,0.86945206,0.84830445,0.82788962,0.27954772
-5.05152576,3.34306337,0.00848776,0.62696561,1.51861485,0.00000000,0.86756798,0.84206410,0.82927443,0.28605291
-5.04552276,3.36265067,0.00841481,0.62028150,1.54010663,0.00000000,0.86654806,0.83537990,0.83065647,0.29348660
-5.03951976,3.38478163,0.00836742,0.61361260,1.56299542,0.00000000,0.86666823,0.82846370,0.83222377,0.30191918
-5.03351676,3.41011284,0.00834644,0.60714378,1.58751678,0.00000000,0.86818741,0.82152179,0.83414887,0.31141847
-5.02751376,3.43925447,0.00835262,0.60105244,1.61388893,0.00000000,0.87134277,0.81475140,0.83658393,0.32204822
-5.02151076,3.47275866,0.00838655,0.59550669,1.64230622,0.00000000,0.87634605,0.80833824,0.83965670,0.33386633
-5.01550775,3.51110987,0.00844876,0.59066435,1.67293268,0.00000000,0.88338079,0.80245523,0.84346740,0.34692266
-5.00950475,3.55471728,0.00853971,0.58667281,1.70589598,0.00000000,0.89260088,0.79726208,0.84808675,0.36125664
-5.00350175,3.60390931,0.00865982,0.58366961,1.74128189,0.00000000,0.90413010,0.79290610,0.85355498,0.37689461
-4.99749875,3.65893028,0.00880946,0.58178364,1.77912949,0.00000000,0.91806277,0.78952361,0.85988191,0.39384715
-4.99149575,3.71993910,0.00898902,0.58113676,1.81942724,0.00000000,0.93446538,0.78724221,0.86704803,0.41210642
-4.98549275,3.78700992,0.00919879,0.58184571,1.86211025,0.00000000,0.95337901,0.78618339,0.87500638,0.43164380
-4.97948974,3.86013450,0.00943905,0.58402406,1.90705863,0.00000000,0.97482240,0.78646538,0.88368524,0.45240774
-4.97348674,3.93922594,0.00970998,0.58778403,1.95409721,0.00000000,0.99879540,0.78820597,0.89299135,0.47432225
-4.96748374,4.02412367,0.01001162,0.59323797,2.00299662,0.00000000,1.02528262,0.79152504,0.90281351,0.49728589
-4.96148074,4.11459920,0.01034387,0.60049924,2.05347567,0.00000000,1.05425693,0.79654650,0.91302648,0.52117157
-4.95547774,4.21036231,0.01070639,0.60968249,2.10520512,0.00000000,1.08568261,0.80339954,0.92349489,0.54582707
-4.94947474,4.31106739,0.01109857,0.62090311,2.15781253,0.00000000,1.11951794,0.81221894,0.93407711,0.57107641
-4.94347174,4.41631963,0.01151946,0.63427578,2.21088833,0.00000000,1.15571690,0.82314432,0.94462891,0.59672209
-4.93746873,4.52568069,0.01196769,0.64991212,2.26399267,0.00000000,1.19422997,0.83631832,0.95500679,0.62254811
-4.93146573,4.63867382,0.01244147,0.66791758,2.31666314,0.00000000,1.23500382,0.85188354,0.96507097,0.64832368
-4.92546273,4.75478818,0.01293846,0.68838740,2.36842292,0.00000000,1.27797998,0.86997857,0.97468789,0.67380767
-4.91945973,4.87348242,0.01345581,0.71140204,2.41878939,0.00000000,1.32309234,0.89073292,0.98373227,0.69875353
-4.91345673,4.99418755,0.01399005,0.73702213,2.46728282,0.00000000,1.37026391,0.91426127,0.99208868,0.72291461
-4.90745373,5.11630919,0.01453715,0.76528314,2.51343509,0.00000000,1.41940274,0.94065709,0.99965261,0.74604968
-4.90145073,5.23922960,0.01509248,0.79619015,2.55679823,0.00000000,1.47039752,0.96998607,1.00633123,0.76792856
-4.89544772,5.36230945,0.01565085,0.82971279,2.59695265,0.00000000,1.52311301,1.00227952,1.01204359,0.78833756
-4.88944472,5.48488994,0.01620659,0.86578082,2.63351484,0.00000000,1.57738572,1.03752811,1.01672062,0.80708473
