energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Hg_p_up,Hg_d_up,Te_p_up,Te_d_up
1.72586293,1.84526728,0.13629645,0.13750575,0.55860230,0.27301199,0.91139918,0.01038245,0.59457023,0.00000000
1.73186593,1.92813394,0.14332486,0.15060971,0.59205904,0.27815821,0.95013731,0.01091146,0.60595298,0.00000000
1.73786893,2.01021514,0.15026606,0.16471330,0.62608824,0.28225492,0.98839410,0.01146706,0.61556460,0.00000000
1.74387194,2.09187161,0.15711821,0.17985412,0.66073937,0.28536739,1.02639764,0.01205580,0.62366719,0.00000000
1.74987494,2.17352356,0.16388265,0.19605422,0.69606232,0.28758743,1.06441064,0.01268436,0.63058577,0.00000000
1.75587794,2.25561575,0.17056201,0.21331534,0.73209606,0.28902981,1.10271173,0.01335914,0.63669749,0.00000000
1.76188094,2.33857826,0.17715777,0.23161413,0.76885617,0.28982765,1.14157440,0.01408596,0.64241844,0.00000000
1.76788394,2.42278495,0.18366788,0.25089764,0.80632186,0.29012719,1.18124440,0.01486958,0.64818853,0.00000000
1.77388694,2.50851172,0.19008416,0.27107949,0.84442332,0.29008206,1.22191708,0.01571341,0.65445513,0.00000000
1.77988994,2.59589721,0.19639004,0.29203689,0.88303035,0.28984730,1.26371564,0.01661908,0.66165589,0.00000000
1.78589295,2.68490820,0.20255857,0.31360882,0.92194302,0.28957341,1.30667179,0.01758617,0.67020162,0.00000000
1.79189595,2.77531193,0.20855093,0.33559574,0.96088532,0.28940067,1.35070986,0.01861195,0.68045980,0.00000000
1.79789895,2.86665727,0.21431563,0.35776089,0.99950235,0.28945389,1.39563549,0.01969123,0.69273931,0.00000000
1.80390195,2.95826632,0.21978847,0.37983328,1.03736177,0.28983787,1.44112967,0.02081628,0.70727698,0.00000000
1.80990495,3.04923713,0.22489331,0.40151268,1.07395960,0.29063358,1.48674870,0.02197685,0.72422657,0.00000000
1.81590795,3.13845815,0.22954368,0.42247616,1.10873065,0.29189534,1.53193040,0.02316034,0.74365039,0.00000000
1.82191096,3.22463392,0.23364520,0.44238634,1.14106315,0.29364891,1.57600627,0.02435202,0.76551406,0.00000000
1.82791396,3.30632110,0.23709867,0.46090094,1.17031724,0.29589061,1.61821943,0.02553538,0.78968447,0.00000000
1.83391696,3.38197341,0.23980376,0.47768333,1.19584653,0.29858745,1.65774744,0.02669257,0.81593115,0.00000000
1.83991996,3.44999337,0.24166309,0.49241362,1.21702175,0.30167820,1.69372911,0.02780493,0.84393093,0.00000000
1.84592296,3.50878860,0.24258644,0.50479983,1.23325537,0.30507534,1.72529399,0.02885353,0.87327586,0.00000000
1.85192596,3.55682994,0.24249492,0.51458859,1.24402600,0.30866793,1.75159329,0.02981975,0.90348403,0.00000000
1.85792896,3.59270873,0.24132492,0.52157500,1.24890125,0.31232507,1.77183077,0.03068595,0.93401314,0.00000000
1.86393197,3.61519066,0.23903151,0.52561090,1.24755797,0.31590006,1.78529219,0.03143597,0.96427619,0.00000000
1.86993497,3.62326367,0.23559116,0.52661136,1.23979855,0.31923499,1.79137197,0.03205573,0.99365901,0.00000000
1.87593797,3.61617783,0.23100365,0.52455895,1.22556276,0.32216576,1.78959605,0.03253369,1.02153883,0.00000000
1.88194097,3.59347553,0.22529306,0.51950546,1.20493407,0.32452724,1.77963974,0.03286121,1.04730344,0.00000000
1.88794397,3.55501067,0.21850774,0.51157118,1.17814038,0.32615850,1.76134014,0.03303286,1.07037013,0.00000000
1.89394697,3.50095646,0.21071932,0.50094143,1.14554901,0.32690805,1.73470259,0.03304660,1.09020383,0.00000000
1.89994997,3.43180148,0.20202079,0.48786070,1.10765607,0.32663873,1.69990101,0.03290378,1.10633369,0.00000000
1.90595298,3.34833465,0.19252373,0.47262462,1.06507095,0.32523225,1.65727238,0.03260908,1.11836746,0.00000000
1.91195598,3.25161999,0.18235494,0.45556997,1.01849649,0.32259317,1.60730576,0.03217034,1.12600312,0.00000000
1.91795898,3.14296245,0.17165245,0.43706336,0.96870592,0.31865224,1.55062648,0.03159822,1.12903730,0.00000000
1.92396198,3.02386663,0.16056135,0.41748898,0.91651760,0.31336881,1.48797638,0.03090579,1.12737002,0.00000000
1.92996498,2.89599019,0.14922943,0.39723595,0.86276887,0.30673245,1.42019101,0.03010808,1.12100568,0.00000000
1.93596798,2.76109404,0.13780293,0.37668587,0.80828999,0.29876354,1.34817482,0.02922155,1.11005022,0.00000000
1.94197099,2.62099136,0.12642258,0.35620106,0.75387943,0.28951277,1.27287550,0.02826346,1.09470450,0.00000000
1.94797399,2.47749743,0.11522006,0.33611396,0.70028153,0.27905981,1.19525824,0.02725138,1.07525441,0.00000000
1.95397699,2.33238215,0.10431496,0.31671806,0.64816728,0.26751082,1.11628117,0.02620257,1.05205799,0.00000000
1.95997999,2.18732675,0.09381246,0.29826079,0.59811890,0.25499527,1.03687244,0.02513347,1.02553040,0.00000000
1.96598299,2.04388620,0.08380165,0.28093839,0.55061866,0.24166195,0.95790993,0.02405924,0.99612733,0.00000000
1.97198599,1.90345819,0.07435449,0.26489311,0.50604214,0.22767441,0.88020397,0.02299337,0.96432766,0.00000000
1.97798899,1.76725946,0.06552556,0.25021248,0.46465581,0.21320608,0.80448332,0.02194739,0.93061638,0.00000000
1.98399200,1.63630976,0.05735230,0.23693083,0.42661884,0.19843518,0.73138486,0.02093064,0.89546835,0.00000000
