energy_ev,total_up,Hg_p_up,Hg_d_up,Li_s_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-1.86393197,1.29372902,0.30423907,0.11388410,0.11315378,0.02190437,0.14611899,0.02111025,0.91184659
-1.85792896,1.29121064,0.30637536,0.11412873,0.11350867,0.02259130,0.15222715,0.02117426,0.90208144
-1.85192596,1.28883180,0.30885789,0.11432854,0.11386045,0.02320551,0.15876227,0.02116784,0.89197084
-1.84592296,1.28633167,0.31158563,0.11444790,0.11416571,0.02372679,0.16569580,0.02108810,0.88139015
-1.83991996,1.28345949,0.31445838,0.11445463,0.11438606,0.02413771,0.17299416,0.02093357,0.87021987
-1.83391696,1.27998027,0.31737860,0.11432060,0.11448853,0.02442399,0.18061915,0.02070425,0.85834886
-1.82791396,1.27568130,0.32025335,0.11402230,0.11444592,0.02457478,0.18852868,0.02040164,0.84567823
-1.82191096,1.27037896,0.32299636,0.11354150,0.11423715,0.02458285,0.19667772,0.02002878,0.83212544
-1.81590795,1.26392536,0.32553003,0.11286572,0.11384740,0.02444472,0.20501955,0.01959021,0.81762840
-1.80990495,1.25621451,0.32778750,0.11198864,0.11326833,0.02416067,0.21350708,0.01909192,0.80214912
-1.80390195,1.24718749,0.32971435,0.11091044,0.11249802,0.02373464,0.22209446,0.01854125,0.78567686
-1.79789895,1.23683627,0.33127023,0.10963783,0.11154090,0.02317399,0.23073863,0.01794676,0.76823037
-1.79189595,1.22520603,0.33242997,0.10818404,0.11040750,0.02248923,0.23940082,0.01731804,0.74985909
-1.78589295,1.21239564,0.33318446,0.10656851,0.10911411,0.02169353,0.24804802,0.01666550,0.73064334
-1.77988994,1.19855640,0.33354087,0.10481642,0.10768225,0.02080231,0.25665409,0.01600010,0.71069337
-1.77388694,1.18388881,0.33352257,0.10295809,0.10613813,0.01983262,0.26520069,0.01533308,0.69014731
-1.76788394,1.16863778,0.33316835,0.10102816,0.10451199,0.01880256,0.27367768,0.01467572,0.66916827
-1.76188094,1.15308622,0.33253124,0.09906467,0.10283735,0.01773071,0.28208322,0.01403898,0.64794058
-1.75587794,1.13754751,0.33167676,0.09710806,0.10115027,0.01663549,0.29042328,0.01343328,0.62666558
-1.74987494,1.12235691,0.33068077,0.09520012,0.09948856,0.01553462,0.29871074,0.01286826,0.60555694
-1.74387194,1.10786255,0.32962689,0.09338292,0.09789104,0.01444465,0.30696402,0.01235250,0.58483595
-1.73786893,1.09441615,0.32860360,0.09169777,0.09639683,0.01338049,0.31520530,0.01189341,0.56472686
-1.73186593,1.08236390,0.32770125,0.09018427,0.09504463,0.01235510,0.32345848,0.01149708,0.54545251
-1.72586293,1.07203789,0.32700880,0.08887942,0.09387211,0.01137925,0.33174696,0.01116818,0.52723036
-1.71985993,1.06374827,0.32661072,0.08781685,0.09291536,0.01046137,0.34009127,0.01090995,0.51026907
-1.71385693,1.05777643,0.32658402,0.08702620,0.09220838,0.00960753,0.34850686,0.01072425,0.49476562
-1.70785393,1.05436930,0.32699546,0.08653262,0.09178261,0.00882148,0.35700202,0.01061156,0.48090309
-1.70185093,1.05373491,0.32789923,0.08635639,0.09166655,0.00810477,0.36557618,0.01057112,0.46884889
-1.69584792,1.05603915,0.32933503,0.08651271,0.09188535,0.00745702,0.37421857,0.01060106,0.45875350
-1.68984492,1.06140362,0.33132668,0.08701150,0.09246043,0.00687611,0.38290737,0.01069854,0.45074956
-1.68384192,1.06990455,0.33388131,0.08785745,0.09340912,0.00635856,0.39160940,0.01085986,0.44495113
-1.67783892,1.08157242,0.33698911,0.08904997,0.09474425,0.00589980,0.40028031,0.01108067,0.44145304
-1.67183592,1.09639223,0.34062366,0.09058330,0.09647376,0.00549457,0.40886528,0.01135609,0.44033013
-1.66583292,1.11430418,0.34474280,0.09244662,0.09860026,0.00513724,0.41730014,0.01168082,0.44163635
-1.65982991,1.13520444,0.34928997,0.09462414,0.10112063,0.00482212,0.42551285,0.01204925,0.44540357
-1.65382691,1.15894612,0.35419596,0.09709529,0.10402563,0.00454378,0.43342527,0.01245555,0.45164012
-1.64782391,1.18534014,0.35938102,0.09983485,0.10729960,0.00429732,0.44095502,0.01289375,0.46032906
-1.64182091,1.21415633,0.36475717,0.10281312,0.11092024,0.00407861,0.44801753,0.01335776,0.47142635
-1.63581791,1.24512455,0.37023075,0.10599615,0.11485860,0.00388445,0.45452807,0.01384140,0.48485898
-1.62981491,1.27793642,0.37570504,0.10934603,0.11907933,0.00371275,0.46040363,0.01433848,0.50052341
-1.62381191,1.31224769,0.38108300,0.11282129,0.12354110,0.00356262,0.46556496,0.01484280,0.51828447
-1.61780890,1.34768180,0.38626994,0.11637741,0.12819752,0.00343444,0.46993831,0.01534820,0.53797512
