energy_ev,total_up,total_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
0.47723862,2.97292973,-2.45637967,0.00799264,-0.00593617,0.33095003,-0.16068830,0.53914248,-0.44613619,0.80248928,-0.78772395,0.04874099,-0.02918978,1.56881064,-1.21454343
0.48324162,2.76517756,-2.33055977,0.00692100,-0.00504233,0.31348720,-0.15417583,0.49983376,-0.42687290,0.74442290,-0.74382023,0.04565645,-0.02821227,1.45419509,-1.15758655
0.48924462,2.57023134,-2.22538663,0.00600516,-0.00432242,0.29676696,-0.14956679,0.46337048,-0.41116796,0.69001310,-0.70617175,0.04267576,-0.02765753,1.34655646,-1.11054568
0.49524762,2.39083302,-2.14165653,0.00523534,-0.00375712,0.28116064,-0.14695144,0.43022814,-0.39915384,0.63995111,-0.67498133,0.03984625,-0.02753121,1.24733704,-1.07385268
0.50125063,2.22935597,-2.07982593,0.00460326,-0.00332972,0.26701923,-0.14640175,0.40079985,-0.39089411,0.59482587,-0.65034768,0.03721277,-0.02783496,1.15776068,-1.04775573
0.50725363,2.08777309,-2.04001578,0.00410237,-0.00302604,0.25466584,-0.14797019,0.37539298,-0.38638570,0.55511575,-0.63226641,0.03481666,-0.02856607,1.07882075,-1.03232454
0.51325663,1.96764005,-2.02202476,0.00372786,-0.00283441,0.24438973,-0.15168874,0.35422877,-0.38556322,0.52118430,-0.62063391,0.03269482,-0.02971712,1.01127646,-1.02746059
0.51925963,1.87009299,-2.02535118,0.00347687,-0.00274556,0.23644177,-0.15756820,0.33744450,-0.38830517,0.49328009,-0.61525397,0.03087909,-0.03127578,0.95565675,-1.03291210
0.52526263,1.79585937,-2.04922253,0.00334850,-0.00275250,0.23103155,-0.16559795,0.32509804,-0.39444165,0.47154005,-0.61584692,0.02939575,-0.03322447,0.91227102,-1.04829287
0.53126563,1.74528040,-2.09263165,0.00334389,-0.00285034,0.22832613,-0.17574613,0.31717431,-0.40376340,0.45599590,-0.62206088,0.02826529,-0.03554030,0.88122555,-1.07310448
0.53726863,1.71834308,-2.15437824,0.00346623,-0.00303620,0.22845015,-0.18796032,0.31359330,-0.41603170,0.44658330,-0.63348475,0.02750228,-0.03819505,0.86244453,-1.10676069
0.54327164,1.71471993,-2.23311389,0.00372068,-0.00330895,0.23148738,-0.20216884,0.31421931,-0.43098866,0.44315286,-0.64966245,0.02711541,-0.04115531,0.85569464,-1.14861323
0.54927464,1.73381409,-2.32738898,0.00411431,-0.00366911,0.23748325,-0.21828239,0.31887088,-0.44836759,0.44548274,-0.67010770,0.02710770,-0.04438278,0.86061178,-1.19797765
0.55527764,1.77480776,-2.43569930,0.00465590,-0.00411857,0.24644842,-0.23619620,0.32733118,-0.46790277,0.45329203,-0.69431891,0.02747676,-0.04783477,0.87672891,-1.25415822
0.56128064,1.83671177,-2.55653035,0.00535571,-0.00466036,0.25836281,-0.25579253,0.33935839,-0.48933836,0.46625438,-0.72179332,0.02821508,-0.05146487,0.90350388,-1.31647070
0.56728364,1.91841428,-2.68839732,0.00622520,-0.00529845,0.27318007,-0.27694323,0.35469573,-0.51243590,0.48401155,-0.75204003,0.02931040,-0.05522374,0.94034619,-1.38426185
0.57328664,2.01872667,-2.82987875,0.00727656,-0.00603737,0.29083209,-0.29951245,0.37308079,-0.53698002,0.50618603,-0.78459109,0.03074612,-0.05906003,0.98664169,-1.45692470
0.57928964,2.13642491,-2.97964220,0.00852234,-0.00688200,0.31123329,-0.32335907,0.39425397,-0.56278209,0.53239267,-0.81901029,0.03250162,-0.06292147,1.04177444,-1.53390883
0.58529265,2.27028498,-3.13646055,0.00997481,-0.00783710,0.33428446,-0.34833882,0.41796561,-0.58968165,0.56224863,-0.85489927,0.03455262,-0.06675591,1.10514505,-1.61472503
0.59129565,2.41911095,-3.29921813,0.01164541,-0.00890704,0.35987586,-0.37430585,0.44398170,-0.61754538,0.59538155,-0.89190055,0.03687154,-0.07051249,1.17618484,-1.69894405
0.59729865,2.58175494,-3.46690618,0.01354406,-0.01009531,0.38788959,-0.40111357,0.47208788,-0.64626387,0.63143563,-0.92969748,0.03942780,-0.07414262,1.25436542,-1.78618959
0.60330165,2.75712826,-3.63860815,0.01567847,-0.01140415,0.41820081,-0.42861478,0.50209183,-0.67574611,0.67007540,-0.96801129,0.04218808,-0.07760102,1.33920364,-1.87612573
0.60930465,2.94420367,-3.81347563,0.01805342,-0.01283414,0.45067801,-0.45666087,0.53382366,-0.70591235,0.71098735,-1.00659517,0.04511669,-0.08084654,1.43026162,-1.96843984
0.61530765,3.14200901,-3.99069662,0.02067006,-0.01438373,0.48518212,-0.48510028,0.56713471,-0.73668545,0.75387924,-1.04522624,0.04817584,-0.08384284,1.52714230,-2.06282173
0.62131066,3.34961278,-4.16945847,0.02352525,-0.01604894,0.52156475,-0.51377631,0.60189457,-0.76798156,0.79847743,-1.08369568,0.05132596,-0.08655888,1.62948075,-2.15894075
0.62731366,3.56610309,-4.34890803,0.02661100,-0.01782297,0.55966547,-0.54252439,0.63798674,-0.79970053,0.84452250,-1.12179791,0.05452616,-0.08896923,1.73693194,-2.25642230
0.63331666,3.79056146,-4.52811240,0.02991399,-0.01969601,0.59930854,-0.57116916,0.67530306,-0.83171704,0.89176343,-1.15931972,0.05773460,-0.09105414,1.84915587,-2.35482555
0.63931966,4.02203340,-4.70602336,0.03341530,-0.02165508,0.64029929,-0.59952175,0.71373736,-0.86387276,0.93995096,-1.19603001,0.06090906,-0.09279947,1.96580086,-2.45362421
