energy_ev,total_up,B_p_up,B_d_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-5.48974487,2.12131710,0.33772184,0.00000000,1.08340652,1.16350120,0.61702876,0.00000000
-5.48374187,2.08179250,0.33330382,0.00000000,1.06471374,1.14436056,0.60363833,0.00000000
-5.47773887,2.03780612,0.32805753,0.00000000,1.04238276,1.12276721,0.58918432,0.00000000
-5.47173587,1.98960465,0.32202381,0.00000000,1.01670231,1.09881575,0.57373521,0.00000000
-5.46573287,1.93757265,0.31526766,0.00000000,0.98805127,1.07267965,0.55739112,0.00000000
-5.45972986,1.88222667,0.30787741,0.00000000,0.95688949,1.04460973,0.54028233,0.00000000
-5.45372686,1.82420428,0.29996314,0.00000000,0.92374597,1.01492977,0.52256654,0.00000000
-5.44772386,1.76424876,0.29165428,0.00000000,0.88920533,0.98402932,0.50442505,0.00000000
-5.44172086,1.70319004,0.28309666,0.00000000,0.85389289,0.95235431,0.48605819,0.00000000
-5.43571786,1.64192298,0.27444894,0.00000000,0.81845912,0.92039570,0.46768003,0.00000000
-5.42971486,1.58138394,0.26587881,0.00000000,0.78356402,0.88867681,0.44951288,0.00000000
-5.42371186,1.52252666,0.25755885,0.00000000,0.74986207,0.85773997,0.43178166,0.00000000
-5.41770885,1.46629869,0.24966245,0.00000000,0.71798815,0.82813296,0.41470846,0.00000000
-5.41170585,1.41361907,0.24235978,0.00000000,0.68854491,0.80039594,0.39850753,0.00000000
-5.40570285,1.36535833,0.23581412,0.00000000,0.66209189,0.77504933,0.38338093,0.00000000
-5.39969985,1.32232134,0.23017857,0.00000000,0.63913647,0.75258311,0.36951479,0.00000000
-5.39369685,1.28523351,0.22559325,0.00000000,0.62012683,0.73344788,0.35707656,0.00000000
-5.38769385,1.25473061,0.22218316,0.00000000,0.60544679,0.71804792,0.34621297,0.00000000
-5.38169085,1.23135225,0.22005664,0.00000000,0.59541246,0.70673631,0.33704900,0.00000000
-5.37568784,1.21553887,0.21930444,0.00000000,0.59027035,0.69981218,0.32968744,0.00000000
-5.36968484,1.20763177,0.21999941,0.00000000,0.59019696,0.69751979,0.32420925,0.00000000
-5.36368184,1.20787593,0.22219670,0.00000000,0.59529928,0.70004933,0.32067440,0.00000000
-5.35767884,1.21642470,0.22593438,0.00000000,0.60561618,0.70753899,0.31912304,0.00000000
-5.35167584,1.23334599,0.23123433,0.00000000,0.62112031,0.72007800,0.31957694,0.00000000
-5.34567284,1.25862902,0.23810335,0.00000000,0.64172043,0.73771015,0.32204086,0.00000000
-5.33966983,1.29219117,0.24653427,0.00000000,0.66726393,0.76043734,0.32650398,0.00000000
-5.33366683,1.33388429,0.25650698,0.00000000,0.69753965,0.78822286,0.33294089,0.00000000
-5.32766383,1.38349992,0.26798927,0.00000000,0.73228078,0.82099397,0.34131249,0.00000000
-5.32166083,1.44077328,0.28093738,0.00000000,0.77116806,0.85864367,0.35156635,0.00000000
-5.31565783,1.50538574,0.29529626,0.00000000,0.81383335,0.90103127,0.36363688,0.00000000
-5.30965483,1.57696579,0.31099948,0.00000000,0.85986363,0.94798202,0.37744501,0.00000000
-5.30365183,1.65508875,0.32796879,0.00000000,0.90880556,0.99928571,0.39289777,0.00000000
-5.29764882,1.73927543,0.34611347,0.00000000,0.96017085,1.05469435,0.40988762,0.00000000
-5.29164582,1.82899024,0.36532952,0.00000000,1.01344228,1.11391948,0.42829180,0.00000000
-5.28564282,1.92363918,0.38549874,0.00000000,1.06808070,1.17662919,0.44797173,0.00000000
-5.27963982,2.02256833,0.40648802,0.00000000,1.12353265,1.24244536,0.46877278,0.00000000
-5.27363682,2.12506324,0.42814870,0.00000000,1.17923882,1.31094165,0.49052420,0.00000000
-5.26763382,2.23034993,0.45031647,0.00000000,1.23464296,1.38164245,0.51303971,0.00000000
-5.26163082,2.33759771,0.47281163,0.00000000,1.28920111,1.45402331,0.53611857,0.00000000
-5.25562781,2.44592423,0.49544004,0.00000000,1.34239089,1.52751311,0.55954718,0.00000000
-5.24962481,2.55440300,0.51799471,0.00000000,1.39372046,1.60149819,0.58310146,0.00000000
-5.24362181,2.66207321,0.54025814,0.00000000,1.44273687,1.67532848,0.60654963,0.00000000
-5.23761881,2.76795194,0.56200526,0.00000000,1.48903348,1.74832581,0.62965569,0.00000000
-5.23161581,2.87104842,0.58300711,0.00000000,1.53225611,1.81979395,0.65218324,0.00000000
-5.22561281,2.97037987,0.60303505,0.00000000,1.57210768,1.88903044,0.67389965,0.00000000
-5.21960980,3.06498850,0.62186533,0.00000000,1.60835116,1.95533965,0.69458048,0.00000000
-5.21360680,3.15395907,0.63928391,0.00000000,1.64081073,2.01804671,0.71401386,0.00000000
-5.20760380,3.23643629,0.65509137,0.00000000,1.66937102,2.07651171,0.73200477,0.00000000
-5.20160080,3.31164156,0.66910761,0.00000000,1.69397462,2.13014376,0.74837913,0.00000000
-5.19559780,3.37888817,0.68117616,0.00000000,1.71461796,2.17841414,0.76298738,0.00000000
-5.18959480,3.43759464,0.69116802,0.00000000,1.73134573,2.22086821,0.77570753,0.00000000
-5.18359180,3.48729546,0.69898464,0.00000000,1.74424413,2.25713542,0.78644759,0.00000000
-5.17758879,3.52764895,0.70456017,0.00000000,1.75343343,2.28693705,0.79514717,0.00000000
-5.17158579,3.55844191,0.70786258,0.00000000,1.75906001,2.31009139,0.80177832,0.00000000
-5.16558279,3.57959082,0.70889392,0.00000000,1.76128839,2.32651608,0.80634548,0.00000000
-5.15957979,3.59113980,0.70768944,0.00000000,1.76029357,2.33622752,0.80888454,0.00000000
-5.15357679,3.59325513,0.70431580,0.00000000,1.75625405,2.33933745,0.80946105,0.00000000
-5.14757379,3.58621687,0.69886839,0.00000000,1.74934582,2.33604675,0.80816770,0.00000000
