energy_ev,total_up,Al_p_up,Al_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
0.12906453,1.39862471,0.53820256,0.00000000,0.78695787,0.59201202,0.48130365,0.00000000
0.13506753,1.41513234,0.54030591,0.00000000,0.80640633,0.59363834,0.48939946,0.00000000
0.14107054,1.43541512,0.54480002,0.00000000,0.83125702,0.59579448,0.50035657,0.00000000
0.14707354,1.45880855,0.55149844,0.00000000,0.86118429,0.59819588,0.51398618,0.00000000
0.15307654,1.48456634,0.56015995,0.00000000,0.89572391,0.60055636,0.53002852,0.00000000
0.15907954,1.51188495,0.57049637,0.00000000,0.93428346,0.60259893,0.54816035,0.00000000
0.16508254,1.53992817,0.58218084,0.00000000,0.97615585,0.60406557,0.56800392,0.00000000
0.17108554,1.56785111,0.59485659,0.00000000,1.02053578,0.60472544,0.58913714,0.00000000
0.17708854,1.59482284,0.60814592,0.00000000,1.06653877,0.60438141,0.61110464,0.00000000
0.18309155,1.62004725,0.62165928,0.00000000,1.11322234,0.60287480,0.63342960,0.00000000
0.18909455,1.64278170,0.63500431,0.00000000,1.15960899,0.60008824,0.65562581,0.00000000
0.19509755,1.66235315,0.64779470,0.00000000,1.20471033,0.59594680,0.67720999,0.00000000
0.20110055,1.67817157,0.65965878,0.00000000,1.24755185,0.59041741,0.69771370,0.00000000
0.20710355,1.68974052,0.67024765,0.00000000,1.28719748,0.58350681,0.71669478,0.00000000
0.21310655,1.69666478,0.67924272,0.00000000,1.32277345,0.57525832,0.73374789,0.00000000
0.21910955,1.69865504,0.68636253,0.00000000,1.35349044,0.56574756,0.74851384,0.00000000
0.22511256,1.69552972,0.69136860,0.00000000,1.37866339,0.55507746,0.76068739,0.00000000
0.23111556,1.68721393,0.69407021,0.00000000,1.39772827,0.54337284,0.77002340,0.00000000
0.23711856,1.67373575,0.69432792,0.00000000,1.41025508,0.53077468,0.77634090,0.00000000
0.24312156,1.65522001,0.69205565,0.00000000,1.41595666,0.51743456,0.77952524,0.00000000
0.24912456,1.63187981,0.68722131,0.00000000,1.41469295,0.50350913,0.77952801,0.00000000
0.25512756,1.60400614,0.67984590,0.00000000,1.40647053,0.48915518,0.77636489,0.00000000
0.26113057,1.57195589,0.67000109,0.00000000,1.39143746,0.47452513,0.77011159,0.00000000
0.26713357,1.53613887,0.65780534,0.00000000,1.36987377,0.45976323,0.76089803,0.00000000
0.27313657,1.49700415,0.64341889,0.00000000,1.34217798,0.44500262,0.74890112,0.00000000
0.27913957,1.45502641,0.62703759,0.00000000,1.30885046,0.43036313,0.73433645,0.00000000
0.28514257,1.41069271,0.60888609,0.00000000,1.27047417,0.41594999,0.71744938,0.00000000
0.29114557,1.36449039,0.58921053,0.00000000,1.22769398,0.40185347,0.69850591,0.00000000
0.29714857,1.31689624,0.56827115,0.00000000,1.18119526,0.38814931,0.67778373,0.00000000
0.30315158,1.26836777,0.54633514,0.00000000,1.13168290,0.37489994,0.65556397,0.00000000
0.30915458,1.21933634,0.52366992,0.00000000,1.07986141,0.36215636,0.63212383,0.00000000
0.31515758,1.17020270,0.50053724,0.00000000,1.02641700,0.34996055,0.60773043,0.00000000
0.32116058,1.12133466,0.47718822,0.00000000,0.97200225,0.33834829,0.58263610,0.00000000
0.32716358,1.07306681,0.45385934,0.00000000,0.91722361,0.32735204,0.55707499,0.00000000
0.33316658,1.02570196,0.43076960,0.00000000,0.86263217,0.31700382,0.53126125,0.00000000
0.33916958,0.97951394,0.40811864,0.00000000,0.80871758,0.30733781,0.50538835,0.00000000
0.34517259,0.93475111,0.38608582,0.00000000,0.75590499,0.29839244,0.47962956,0.00000000
0.35117559,0.89164021,0.36482998,0.00000000,0.70455474,0.29021176,0.45413932,0.00000000
0.35717859,0.85038986,0.34448984,0.00000000,0.65496432,0.28284603,0.42905507,0.00000000
0.36318159,0.81119329,0.32518469,0.00000000,0.60737212,0.27635125,0.40449937,0.00000000
0.36918459,0.77422989,0.30701521,0.00000000,0.56196245,0.27078776,0.38058206,0.00000000
0.37518759,0.73966526,0.29006429,0.00000000,0.51887127,0.26621776,0.35740213,0.00000000
0.38119060,0.70764963,0.27439763,0.00000000,0.47819216,0.26270195,0.33504913,0.00000000
0.38719360,0.67831474,0.26006405,0.00000000,0.43998211,0.26029537,0.31360406,0.00000000
0.39319660,0.65176931,0.24709553,0.00000000,0.40426688,0.25904270,0.29313970,0.00000000
0.39919960,0.62809343,0.23550697,0.00000000,0.37104561,0.25897333,0.27372030,0.00000000
0.40520260,0.60733237,0.22529569,0.00000000,0.34029467,0.26009638,0.25540086,0.00000000
0.41120560,0.58949038,0.21644088,0.00000000,0.31197072,0.26239619,0.23822595,0.00000000
0.41720860,0.57452506,0.20890316,0.00000000,0.28601304,0.26582847,0.22222850,0.00000000
0.42321161,0.56234278,0.20262433,0.00000000,0.26234528,0.27031752,0.20742853,0.00000000
0.42921461,0.55279600,0.19752755,0.00000000,0.24087681,0.27575473,0.19383205,0.00000000
0.43521761,0.54568257,0.19351808,0.00000000,0.22150389,0.28199865,0.18143045,0.00000000
0.44122061,0.54074767,0.19048466,0.00000000,0.20411076,0.28887669,0.17020032,0.00000000
0.44722361,0.53768834,0.18830170,0.00000000,0.18857096,0.29618852,0.16010399,0.00000000
0.45322661,0.53616077,0.18683218,0.00000000,0.17474882,0.30371114,0.15109065,0.00000000
0.45922961,0.53579003,0.18593127,0.00000000,0.16250140,0.31120539,0.14309824,0.00000000
0.46523262,0.53618199,0.18545062,0.00000000,0.15168072,0.31842381,0.13605591,0.00000000
0.47123562,0.53693688,0.18524304,0.00000000,0.14213635,0.32511926,0.12988703,0.00000000
0.47723862,0.53766393,0.18516755,0.00000000,0.13371829,0.33105420,0.12451254,0.00000000
0.48324162,0.53799629,0.18509439,0.00000000,0.12627996,0.33600994,0.11985454,0.00000000
0.48924462,0.53760548,0.18490993,0.00000000,0.11968128,0.33979554,0.11583987,0.00000000
0.49524762,0.53621479,0.18452098,0.00000000,0.11379152,0.34225589,0.11240349,0.00000000
0.50125063,0.53361065,0.18385857,0.00000000,0.10849199,0.34327851,0.10949146,0.00000000
0.50725363,0.52965152,0.18288074,0.00000000,0.10367822,0.34279872,0.10706344,0.00000000
0.51325663,0.52427382,0.18157421,0.00000000,0.09926164,0.34080291,0.10509435,0.00000000
0.51925963,0.51749441,0.17995492,0.00000000,0.09517067,0.33732967,0.10357531,0.00000000
0.52526263,0.50940960,0.17806728,0.00000000,0.09135109,0.33246881,0.10251360,0.00000000
0.53126563,0.50019053,0.17598208,0.00000000,0.08776571,0.32635810,0.10193174,0.00000000
0.53726863,0.49007521,0.17379323,0.00000000,0.08439348,0.31917801,0.10186564,0.00000000
0.54327164,0.47935758,0.17161338,0.00000000,0.08122782,0.31114468,0.10236186,0.00000000
0.54927464,0.46837390,0.16956857,0.00000000,0.07827459,0.30250126,0.10347417,0.00000000
0.55527764,0.45748731,0.16779217,0.00000000,0.07554954,0.29350825,0.10525951,0.00000000
0.56128064,0.44707107,0.16641841,0.00000000,0.07307551,0.28443307,0.10777344,0.00000000
0.56728364,0.43749138,0.16557563,0.00000000,0.07087952,0.27553945,0.11106548,0.00000000
0.57328664,0.42909044,0.16537974,0.00000000,0.06898982,0.26707704,0.11517441,0.00000000
0.57928964,0.42217056,0.16592800,0.00000000,0.06743313,0.25927169,0.12012372,0.00000000
0.58529265,0.41698006,0.16729356,0.00000000,0.06623218,0.25231688,0.12591768,0.00000000
0.59129565,0.41370147,0.16952091,0.00000000,0.06540362,0.24636657,0.13253791,0.00000000
0.59729865,0.41244274,0.17262253,0.00000000,0.06495646,0.24152980,0.13994103,0.00000000
0.60330165,0.41323165,0.17657682,0.00000000,0.06489116,0.23786724,0.14805713,0.00000000
0.60930465,0.41601383,0.18132761,0.00000000,0.06519928,0.23538987,0.15678966,0.00000000
0.61530765,0.42065441,0.18678508,0.00000000,0.06586392,0.23405964,0.16601640,0.00000000
0.62131066,0.42694326,0.19282826,0.00000000,0.06686074,0.23379234,0.17559182,0.00000000
0.62731366,0.43460368,0.19930905,0.00000000,0.06815975,0.23446223,0.18535066,0.00000000
0.63331666,0.44330410,0.20605740,0.00000000,0.06972765,0.23590843,0.19511276,0.00000000
0.63931966,0.45267237,0.21288783,0.00000000,0.07153073,0.23794274,0.20468885,0.00000000
0.64532266,0.46231213,0.21960667,0.00000000,0.07353823,0.24035841,0.21388724,0.00000000
0.65132566,0.47182045,0.22602000,0.00000000,0.07572602,0.24293978,0.22252106,0.00000000
