energy_ev,total_up,Nb_p_up,Nb_d_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up
5.20160080,2.25529820,2.71462618,1.18709213,0.06552122,0.43929085,0.42112684,0.05865303
5.20760380,2.15545547,2.57010350,1.12446921,0.06270202,0.42538060,0.40144934,0.05643311
5.21360680,2.06020509,2.43435518,1.06466644,0.05988886,0.41159126,0.38208798,0.05443548
5.21960980,1.96974068,2.30760556,1.00783972,0.05710021,0.39795697,0.36304153,0.05266076
5.22561281,1.88419369,2.18991608,0.95409118,0.05435642,0.38451394,0.34431754,0.05110701
5.23161581,1.80364755,2.08120739,0.90347861,0.05168008,0.37130242,0.32593554,0.04976997
5.23761881,1.72815191,1.98128366,0.85602547,0.04909623,0.35836826,0.30792927,0.04864344
5.24362181,1.65773598,1.88985825,0.81173104,0.04663258,0.34576412,0.29034780,0.04771963
5.24962481,1.59242084,1.80657970,0.77058018,0.04431956,0.33355005,0.27325565,0.04698957
5.25562781,1.53223024,1.73105715,0.73255229,0.04219031,0.32179368,0.25673199,0.04644353
5.26163082,1.47719962,1.66288452,0.69762914,0.04028054,0.31056989,0.24086894,0.04607152
5.26763382,1.42738326,1.60166257,0.66580121,0.03862834,0.29995998,0.22576930,0.04586364
5.27363682,1.38285940,1.54701840,0.63707244,0.03727389,0.29005046,0.21154375,0.04581064
5.27963982,1.34373332,1.49862182,0.61146312,0.03625910,0.28093150,0.19830776,0.04590423
5.28564282,1.31013836,1.45619811,0.58901105,0.03562714,0.27269512,0.18617841,0.04613752
5.29164582,1.28223482,1.41953706,0.56977083,0.03542198,0.26543309,0.17527109,0.04650527
5.29764882,1.26020694,1.38849787,0.55381145,0.03568782,0.25923482,0.16569652,0.04700415
5.30365183,1.24425784,1.36301010,0.54121238,0.03646840,0.25418507,0.15755777,0.04763285
5.30965483,1.23460259,1.34307049,0.53205831,0.03780636,0.25036170,0.15094767,0.04839203
5.31565783,1.23145955,1.32873604,0.52643289,0.03974244,0.24783343,0.14594641,0.04928423
5.32166083,1.23504006,1.32011351,0.52441168,0.04231456,0.24665774,0.14261939,0.05031357
5.32766383,1.24553684,1.31734599,0.52605479,0.04555698,0.24687886,0.14101536,0.05148532
5.33366683,1.26311131,1.32059694,0.53139943,0.04949917,0.24852594,0.14116467,0.05280538
5.33966983,1.28788026,1.33003263,0.54045282,0.05416480,0.25161148,0.14307779,0.05427959
5.34567284,1.31990228,1.34580351,0.55318580,0.05957058,0.25613001,0.14674389,0.05591302
5.35167584,1.35916462,1.36802569,0.56952748,0.06572507,0.26205707,0.15212967,0.05770915
5.35767884,1.40557088,1.39676318,0.58936113,0.07262755,0.26934857,0.15917833,0.05966910
5.36368184,1.45893034,1.43201190,0.61252174,0.08026688,0.27794059,0.16780879,0.06179085
5.36968484,1.51894939,1.47368617,0.63879525,0.08862049,0.28774958,0.17791521,0.06406855
5.37568784,1.58522577,1.52160859,0.66791967,0.09765350,0.29867313,0.18936688,0.06649199
5.38169085,1.65724609,1.57550357,0.69958798,0.10731805,0.31059117,0.20200866,0.06904624
5.38769385,1.73438702,1.63499518,0.73345301,0.11755290,0.32336781,0.21566189,0.07171143
5.39369685,1.81592048,1.69960935,0.76913376,0.12828329,0.33685366,0.23012604,0.07446286
5.39969985,1.90102285,1.76878032,0.80622333,0.13942124,0.35088867,0.24518106,0.07727125
5.40570285,1.98878817,1.84186119,0.84429789,0.15086616,0.36530542,0.26059050,0.08010335
5.41170585,2.07824498,1.91813799,0.88292637,0.16250594,0.37993278,0.27610532,0.08292267
5.41770885,2.16837641,1.99684661,0.92168057,0.17421845,0.39459988,0.29146853,0.08569047
