energy_ev,total_up,Cd_p_up,Cd_d_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-5.34567284,1.80232968,0.39982715,0.20416310,1.06803069,0.37063979,0.04309161,0.08833738,0.03586509,0.90924698
-5.33966983,1.85970243,0.41765879,0.21149516,1.12455837,0.37509512,0.04503968,0.09210910,0.03655994,0.93504301
-5.33366683,1.92065073,0.43537906,0.21917770,1.18436716,0.38120827,0.04704032,0.09576471,0.03727227,0.96264914
-5.32766383,1.98405498,0.45263618,0.22709988,1.24676780,0.38876764,0.04907266,0.09922046,0.03798682,0.99151282
-5.32166083,2.04871263,0.46907474,0.23514417,1.31100061,0.39752696,0.05111512,0.10239296,0.03868730,1.02104166
-5.31565783,2.11336765,0.48434568,0.24318830,1.37624900,0.40721232,0.05314550,0.10520173,0.03935678,1.05061907
-5.30965483,2.17674078,0.49811617,0.25110718,1.44165391,0.41752956,0.05514110,0.10757176,0.03997806,1.07962008
-5.30365183,2.23755990,0.51007928,0.25877491,1.50632903,0.42817220,0.05707882,0.10943598,0.04053408,1.10742696
-5.29764882,2.29458948,0.51996285,0.26606667,1.56937646,0.43882931,0.05893532,0.11073743,0.04100823,1.13344415
-5.29164582,2.34665848,0.52753732,0.27286073,1.62990237,0.44919338,0.06068718,0.11143126,0.04138483,1.15711201
-5.28564282,2.39268596,0.53262229,0.27904037,1.68703259,0.45896790,0.06231112,0.11148624,0.04164940,1.17791922
-5.27963982,2.43170389,0.53509137,0.28449578,1.73992765,0.46787439,0.06378434,0.11088585,0.04178907,1.19541345
-5.27363682,2.46287663,0.53487536,0.28912590,1.78779728,0.47565890,0.06508478,0.10962886,0.04179289,1.20921011
-5.26763382,2.48551690,0.53196352,0.29284027,1.82991403,0.48209770,0.06619160,0.10772939,0.04165211,1.21899916
-5.26163082,2.49909793,0.52640298,0.29556072,1.86562596,0.48700207,0.06708560,0.10521645,0.04136047,1.22454993
-5.25562781,2.50326187,0.51829631,0.29722297,1.89436825,0.49022219,0.06774973,0.10213293,0.04091438,1.22571400
-5.24962481,2.49782446,0.50779748,0.29777813,1.91567355,0.49164998,0.06816958,0.09853416,0.04031311,1.22242622
-5.24362181,2.48277599,0.49510630,0.29719402,1.92918105,0.49122093,0.06833395,0.09448611,0.03955883,1.21470406
-5.23761881,2.45827904,0.48046176,0.29545621,1.93464405,0.48891485,0.06823532,0.09006318,0.03865668,1.20264547
-5.23161581,2.42466295,0.46413444,0.29256894,1.93193594,0.48475564,0.06787034,0.08534583,0.03761469,1.18642537
-5.22561281,2.38241550,0.44641834,0.28855558,1.92105439,0.47881004,0.06724019,0.08041816,0.03644371,1.16629100
-5.21960980,2.33217199,0.42762255,0.28345893,1.90212351,0.47118547,0.06635095,0.07536529,0.03515714,1.14255623
-5.21360680,2.27470205,0.40806296,0.27734105,1.87539394,0.46202702,0.06521374,0.07027102,0.03377076,1.11559507
-5.20760380,2.21089435,0.38805430,0.27028268,1.84124045,0.45151366,0.06384478,0.06521552,0.03230232,1.08583431
-5.20160080,2.14173955,0.36790281,0.26238233,1.80015707,0.43985374,0.06226538,0.06027334,0.03077126,1.05374560
-5.19559780,2.06831160,0.34789967,0.25375481,1.75274959,0.42727999,0.06050164,0.05551167,0.02919823,1.01983677
-5.18959480,1.99174771,0.32831534,0.24452944,1.69972518,0.41404401,0.05858408,0.05098898,0.02760466,0.98464275
-5.18359180,1.91322715,0.30939492,0.23484776,1.64187952,0.40041047,0.05654713,0.04675405,0.02601232,0.94871582
-5.17758879,1.83394915,0.29135451,0.22486086,1.58008120,0.38665104,0.05442841,0.04284533,0.02444286,0.91261559
-5.17158579,1.75511017,0.27437863,0.21472635,1.51525387,0.37303833,0.05226789,0.03929073,0.02291729,0.87689853
-5.16558279,1.67788093,0.25861855,0.20460503,1.44835649,0.35983985,0.05010702,0.03610770,0.02145564,0.84210740
-5.15957979,1.60338357,0.24419163,0.19465733,1.38036207,0.34731223,0.04798764,0.03330366,0.02007643,0.80876057
-5.15357679,1.53266936,0.23118142,0.18503959,1.31223559,0.33569578,0.04595092,0.03087673,0.01879640,0.77734170
-5.14757379,1.46669756,0.21963848,0.17590033,1.24491173,0.32520958,0.04403626,0.02881662,0.01763010,0.74828971
-5.14157079,1.40631595,0.20958189,0.16737653,1.17927316,0.31604720,0.04228015,0.02710575,0.01658964,0.72198963
-5.13556778,1.35224361,0.20100123,0.15959008,1.11613014,0.30837329,0.04071512,0.02572046,0.01568442,0.69876446
-5.12956478,1.30505653,0.19385911,0.15264462,1.05620213,0.30232097,0.03936873,0.02463233,0.01492101,0.67886845
-5.12356178,1.26517666,0.18809392,0.14662263,1.00010215,0.29799024,0.03826273,0.02380948,0.01430296,0.66248195
-5.11755878,1.23286475,0.18362303,0.14158317,0.94832434,0.29544755,0.03741228,0.02321791,0.01383081,0.64970831
-5.11155578,1.20821765,0.18034608,0.13756016,0.90123537,0.29472635,0.03682543,0.02282271,0.01350202,0.64057282
-5.10555278,1.19116996,0.17814851,0.13456134,0.85906986,0.29582879,0.03650279,0.02258925,0.01331114,0.63502395
-5.09954977,1.18150051,0.17690515,0.13256810,0.82193001,0.29872846,0.03643735,0.02248424,0.01324984,0.63293690
-5.09354677,1.17884339,0.17648377,0.13153595,0.78978936,0.30337415,0.03661466,0.02247660,0.01330720,0.63411944
-5.08754377,1.18270338,0.17674868,0.13139595,0.76250064,0.30969437,0.03701315,0.02253824,0.01346992,0.63831983
-5.08154077,1.19247535,0.17756414,0.13205682,0.73980713,0.31760256,0.03760475,0.02264465,0.01372268,0.64523668
-5.07553777,1.20746695,0.17879756,0.13340789,0.72135721,0.32700281,0.03835572,0.02277525,0.01404852,0.65453031
-5.06953477,1.22692396,0.18032249,0.13532260,0.70672135,0.33779574,0.03922766,0.02291368,0.01442927,0.66583528
-5.06353177,1.25005721,0.18202120,0.13766269,0.69541095,0.34988432,0.04017876,0.02304780,0.01484605,0.67877355
-5.05752876,1.27607018,0.18378691,0.14028265,0.68689815,0.36317942,0.04116511,0.02316960,0.01527974,0.69296774
-5.05152576,1.30418611,0.18552552,0.14303458,0.68063591,0.37760474,0.04214216,0.02327491,0.01571155,0.70805399
-5.04552276,1.33367353,0.18715683,0.14577298,0.67607746,0.39310082,0.04306614,0.02336298,0.01612348,0.72369387
-5.03951976,1.36386924,0.18861527,0.14835953,0.67269467,0.40962800,0.04389554,0.02343599,0.01649890,0.73958472
-5.03351676,1.39419752,0.18985002,0.15066754,0.66999426,0.42716800,0.04459245,0.02349840,0.01682293,0.75546814
-5.02751376,1.42418501,0.19082470,0.15258588,0.66753178,0.44572408,0.04512381,0.02355628,0.01708293,0.77113608
-5.02151076,1.45347037,0.19151647,0.15402237,0.66492254,0.46531957,0.04546241,0.02361663,0.01726877,0.78643442
-5.01550775,1.48180841,0.19191478,0.15490631,0.66184947,0.48599484,0.04558778,0.02368667,0.01737314,0.80126374
-5.00950475,1.50906849,0.19201965,0.15519016,0.65806766,0.50780271,0.04548667,0.02377318,0.01739165,0.81557733
-5.00350175,1.53522715,0.19183981,0.15485028,0.65340559,0.53080244,0.04515336,0.02388187,0.01732294,0.82937654
-4.99749875,1.56035549,0.19139050,0.15388671,0.64776324,0.55505251,0.04458964,0.02401693,0.01716856,0.84270371
-4.99149575,1.58460187,0.19069137,0.15232201,0.64110737,0.58060245,0.04380450,0.02418053,0.01693284,0.85563300
-4.98549275,1.60817064,0.18976426,0.15019922,0.63346429,0.60748409,0.04281354,0.02437266,0.01662261,0.86825962
-4.97948974,1.63129815,0.18863119,0.14757903,0.62491070,0.63570264,0.04163814,0.02459088,0.01624684,0.88068794
-4.97348674,1.65422711,0.18731259,0.14453637,0.61556309,0.66522795,0.04030448,0.02483037,0.01581624,0.89301926
-4.96748374,1.67718064,0.18582574,0.14115649,0.60556627,0.69598648,0.03884233,0.02508403,0.01534272,0.90533957
-4.96148074,1.70033732,0.18418369,0.13753080,0.59508167,0.72785444,0.03728377,0.02534274,0.01483893,0.91770824
-4.95547774,1.72380859,0.18239448,0.13375263,0.58427596,0.76065246,0.03566191,0.02559572,0.01431771,0.93014803
-4.94947474,1.74761957,0.18046078,0.12991308,0.57331044,0.79414224,0.03400962,0.02583095,0.01379154,0.94263707
-4.94347174,1.77169449,0.17838003,0.12609725,0.56233180,0.82802548,0.03235826,0.02603568,0.01327212,0.95510314
-4.93746873,1.79584747,0.17614480,0.12238080,0.55146446,0.86194537,0.03073665,0.02619696,0.01276989,0.96742078
-4.93146573,1.81977929,0.17374364,0.11882730,0.54080491,0.89549071,0.02917012,0.02630220,0.01229373,0.97941123
-4.92546273,1.84308034,0.17116210,0.11548611,0.53041803,0.92820282,0.02767981,0.02633969,0.01185062,0.99084538
-4.91945973,1.86523996,0.16838401,0.11239115,0.52033567,0.95958500,0.02628215,0.02629907,0.01144553,1.00144976
-4.91345673,1.88566167,0.16539292,0.10956044,0.51055729,0.98911453,0.02498863,0.02617178,0.01108127,1.01091517
-4.90745373,1.90368380,0.16217349,0.10699639,0.50105253,1.01625666,0.02380573,0.02595141,0.01075859,1.01890775
-4.90145073,1.91860471,0.15871305,0.10468687,0.49176554,1.04048029,0.02273511,0.02563395,0.01047622,1.02508203
-4.89544772,1.92971146,0.15500293,0.10260693,0.48262083,1.06127480,0.02177398,0.02521794,0.01023109,1.02909539
-4.88944472,1.93631066,0.15103978,0.10072104,0.47353009,1.07816724,0.02091564,0.02470462,0.01001858,1.03062331
-4.88344172,1.93776021,0.14682666,0.09898577,0.46439988,1.09073940,0.02015017,0.02409785,0.00983288,1.02937476
-4.87743872,1.93350046,0.14237397,0.09735270,0.45513956,1.09864388,0.01946516,0.02340406,0.00966727,1.02510706
-4.87143572,1.92308328,0.13770018,0.09577152,0.44566922,1.10161853,0.01884656,0.02263209,0.00951457,1.01763946
-4.86543272,1.90619789,0.13283237,0.09419300,0.43592718,1.09949851,0.01827947,0.02179298,0.00936747,1.00686497
-4.85942971,1.88269205,0.12780648,0.09257192,0.42587677,1.09222551,0.01774900,0.02089978,0.00921893,0.99275976
-4.85342671,1.85258775,0.12266749,0.09086961,0.41551201,1.07985348,0.01724098,0.01996722,0.00906247,0.97538971
-4.84742371,1.81609061,0.11746936,0.08905616,0.40486212,1.06255061,0.01674260,0.01901153,0.00889252,0.95491386
-4.84142071,1.77359245,0.11227481,0.08711213,0.39399449,1.04059743,0.01624304,0.01805016,0.00870461,0.93158444
-4.83541771,1.72566712,0.10715506,0.08502977,0.38301620,1.01438083,0.01573386,0.01710155,0.00849558,0.90574357
-4.82941471,1.67305941,0.10218937,0.08281370,0.37207397,0.98438437,0.01520928,0.01618500,0.00826368,0.87781668
-4.82341171,1.61666788,0.09746454,0.08048100,0.36135254,0.95117514,0.01466643,0.01532046,0.00800863,0.84830285
-4.81740870,1.55752204,0.09307437,0.07806088,0.35107169,0.91538758,0.01410532,0.01452844,0.00773162,0.81776259
-4.81140570,1.49675503,0.08911893,0.07559378,0.34148186,0.87770513,0.01352885,0.01382993,0.00743520,0.78680339
-4.80540270,1.43557295,0.08570390,0.07313016,0.33285878,0.83884025,0.01294257,0.01324638,0.00712324,0.75606372
-4.79939970,1.37522200,0.08293967,0.07072888,0.32549706,0.79951368,0.01235447,0.01279959,0.00680070,0.72619604
-4.79339670,1.31695479,0.08094037,0.06845540,0.31970318,0.76043385,0.01177461,0.01251178,0.00647348,0.69784955
-4.78739370,1.26199710,0.07982279,0.06637977,0.31578793,0.72227717,0.01121476,0.01240547,0.00614819,0.67165318
-4.78139070,1.21151621,0.07970498,0.06457451,0.31405861,0.68566998,0.01068799,0.01250343,0.00583194,0.64819946
-4.77538769,1.16659190,0.08070473,0.06311256,0.31481108,0.65117287,0.01020818,0.01282862,0.00553213,0.62802976
-4.76938469,1.12819080,0.08293771,0.06206515,0.31832195,0.61926773,0.00978963,0.01340395,0.00525617,0.61162137
-4.76338169,1.09714490,0.08651530,0.06149982,0.32484085,0.59034817,0.00944655,0.01425208,0.00501134,0.59937656
-4.75737869,1.07413436,0.09154207,0.06147860,0.33458311,0.56471323,0.00919268,0.01539510,0.00480457,0.59161399
-4.75137569,1.05967496,0.09811301,0.06205624,0.34772268,0.54256458,0.00904083,0.01685408,0.00464224,0.58856232
-4.74537269,1.05410991,0.10631033,0.06327867,0.36438564,0.52400713,0.00900251,0.01864859,0.00453010,0.59035630
-4.73936968,1.05760607,0.11620007,0.06518166,0.38464410,0.50905258,0.00908752,0.02079613,0.00447307,0.59703481
-4.73336668,1.07015384,0.12782846,0.06778954,0.40851076,0.49762578,0.00930368,0.02331143,0.00447521,0.60854110
-4.72736368,1.09157063,0.14121826,0.07111424,0.43593416,0.48957319,0.00965643,0.02620577,0.00453960,0.62472473
-4.72136068,1.12150721,0.15636511,0.07515445,0.46679470,0.48467310,0.01014865,0.02948626,0.00466831,0.64534505
-4.71535768,1.15945657,0.17323412,0.07989496,0.50090171,0.48264691,0.01078036,0.03315506,0.00486236,0.67007616
-4.70935468,1.20476489,0.19175696,0.08530627,0.53799166,0.48317105,0.01154858,0.03720877,0.00512172,0.69851291
-4.70335168,1.25664432,0.21182944,0.09134446,0.57772772,0.48588886,0.01244719,0.04163780,0.00544534,0.73017811
-4.69734867,1.31418738,0.23331013,0.09795123,0.61970106,0.49042223,0.01346691,0.04642595,0.00583113,0.76453058
-4.69134567,1.37638277,0.25601988,0.10505440,0.66343396,0.49638239,0.01459526,0.05155009,0.00627606,0.80097420
-4.68534267,1.44213271,0.27974268,0.11256861,0.70838496,0.50337974,0.01581675,0.05698015,0.00677619,0.83886794
-4.67933967,1.51027166,0.30422782,0.12039647,0.75395641,0.51103250,0.01711300,0.06267921,0.00732675,0.87753672
-4.67333667,1.57958666,0.32919356,0.12843009,0.79950422,0.51897405,0.01846310,0.06860402,0.00792227,0.91628339
-4.66733367,1.64883901,0.35433218,0.13655294,0.84435003,0.52685905,0.01984397,0.07470563,0.00855665,0.95440151
-4.66133067,1.71678743,0.37931656,0.14464214,0.88779559,0.53436823,0.02123089,0.08093035,0.00922329,0.99118918
-4.65532766,1.78221250,0.40380785,0.15257109,0.92913909,0.54121222,0.02259801,0.08722100,0.00991524,1.02596346
-4.64932466,1.84394185,0.42746430,0.16021234,0.96769303,0.54713432,0.02391907,0.09351821,0.01062532,1.05807545
-4.64332166,1.90087588,0.44995077,0.16744072,1.00280314,0.55191244,0.02516806,0.09976204,0.01134630,1.08692551
