energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-5.85592796,2.63410363,1.25226312,2.29966671,0.00730658,0.02995785,0.31379647,0.00000000,0.18237958,0.06964281
-5.84992496,2.71468345,1.30145241,2.36565437,0.00785233,0.03009569,0.32855260,0.00000000,0.19361588,0.07115168
-5.84392196,2.79105959,1.34783951,2.42764342,0.00839808,0.03022834,0.34323980,0.00000000,0.20489478,0.07265846
-5.83791896,2.86117723,1.39045967,2.48385325,0.00893506,0.03034442,0.35752619,0.00000000,0.21600055,0.07411189
-5.83191596,2.92315545,1.42841374,2.53266268,0.00945445,0.03043437,0.37109898,0.00000000,0.22672196,0.07546555
-5.82591296,2.97533237,1.46089075,2.57264948,0.00994755,0.03049084,0.38367019,0.00000000,0.23685629,0.07667904
-5.81990995,3.01630537,1.48718905,2.60262510,0.01040596,0.03050907,0.39498194,0.00000000,0.24621341,0.07771914
-5.81390695,3.04496485,1.50673505,2.62166326,0.01082182,0.03048718,0.40481146,0.00000000,0.25461979,0.07856075
-5.80790395,3.06052059,1.51909902,2.62912156,0.01118791,0.03042633,0.41297536,0.00000000,0.26192221,0.07918767
-5.80190095,3.06251961,1.52400700,2.62465525,0.01149791,0.03033086,0.41933317,0.00000000,0.26799121,0.07959306
-5.79589795,3.05085492,1.52134855,2.60822276,0.01174650,0.03020826,0.42379009,0.00000000,0.27272388,0.07977976
-5.78989495,3.02576482,1.51117984,2.58008279,0.01192948,0.03006910,0.42629860,0.00000000,0.27604617,0.07976026
-5.78389195,2.98782280,1.49372200,2.54078308,0.01204392,0.02992687,0.42685908,0.00000000,0.27791443,0.07955650
-5.77788894,2.93791838,1.46935465,2.49114126,0.01208813,0.02979765,0.42551933,0.00000000,0.27831618,0.07919939
-5.77188594,2.87722969,1.43860506,2.43221868,0.01206177,0.02969987,0.42237296,0.00000000,0.27727007,0.07872802
-5.76588294,2.80718867,1.40213318,2.36528793,0.01196576,0.02965385,0.41755665,0.00000000,0.27482511,0.07818883
-5.75987994,2.72944027,1.36071331,2.29179555,0.01180228,0.02968141,0.41124655,0.00000000,0.27105910,0.07763450
-5.75387694,2.64579712,1.31521293,2.21332108,0.01157466,0.02980546,0.40365364,0.00000000,0.26607632,0.07712270
-5.74787394,2.55819108,1.26656980,2.13153382,0.01128724,0.03004948,0.39501840,0.00000000,0.26000474,0.07671486
-5.74187094,2.46862343,1.21576782,2.04814897,0.01094530,0.03043719,0.38560488,0.00000000,0.25299266,0.07647473
-5.73586793,2.37911516,1.16381286,1.96488425,0.01055483,0.03099209,0.37569430,0.00000000,0.24520496,0.07646709
-5.72986493,2.29165893,1.11170905,1.88341849,0.01012239,0.03173709,0.36557833,0.00000000,0.23681922,0.07675634
-5.72386193,2.20817384,1.06043647,1.80535317,0.00965497,0.03269424,0.35555234,0.00000000,0.22802160,0.07740526
-5.71785893,2.13046432,1.01093071,1.73217803,0.00915976,0.03388444,0.34590862,0.00000000,0.21900280,0.07847371
-5.71185593,2.06018390,0.96406487,1.66524127,0.00864401,0.03532722,0.33692992,0.00000000,0.20995411,0.08001756
-5.70585293,1.99880461,0.92063428,1.60572509,0.00811489,0.03704055,0.32888326,0.00000000,0.20106361,0.08208764
-5.69984992,1.94759241,0.88134416,1.55462680,0.00757930,0.03904072,0.32201427,0.00000000,0.19251274,0.08472877
-5.69384692,1.90758888,0.84680037,1.51274558,0.00704381,0.04134220,0.31654222,0.00000000,0.18447307,0.08797904
-5.68784392,1.87959915,0.81750304,1.48067495,0.00651449,0.04395749,0.31265566,0.00000000,0.17710353,0.09186899
-5.68184092,1.86418595,0.79384311,1.45880056,0.00599689,0.04689702,0.31050903,0.00000000,0.17054795,0.09642112
-5.67583792,1.86166936,0.77610150,1.44730320,0.00549592,0.05016896,0.31022002,0.00000000,0.16493304,0.10164928
-5.66983492,1.87213185,0.76445058,1.44616617,0.00501584,0.05377905,0.31186794,0.00000000,0.16036669,0.10755836
-5.66383192,1.89542805,0.75895769,1.45518680,0.00456022,0.05773030,0.31549310,0.00000000,0.15693672,0.11414391
-5.65782891,1.93119850,0.75959034,1.47399124,0.00413195,0.06202271,0.32109706,0.00000000,0.15470989,0.12139193
-5.65182591,1.97888677,0.76622280,1.50205189,0.00373323,0.06665291,0.32864387,0.00000000,0.15373134,0.12927873
-5.64582291,2.03775919,0.77864369,1.53870674,0.00336560,0.07161371,0.33806223,0.00000000,0.15402427,0.13777093
-5.63981991,2.10692632,0.79656430,1.58317990,0.00303000,0.07689373,0.34924838,0.00000000,0.15558996,0.14682550
-5.63381691,2.18536573,0.81962742,1.63460265,0.00272679,0.08247687,0.36206976,0.00000000,0.15840809,0.15639001
-5.62781391,2.27194506,0.84741628,1.69203428,0.00245579,0.08834195,0.37636920,0.00000000,0.16243736,0.16640294
-5.62181091,2.36544514,0.87946369,1.75448230,0.00221637,0.09446229,0.39196960,0.00000000,0.16761633,0.17679417
-5.61580790,2.46458242,0.91526088,1.82092138,0.00200753,0.10080545,0.40867880,0.00000000,0.17386464,0.18748570
-5.60980490,2.56803042,0.95426624,1.89031081,0.00182791,0.10733306,0.42629467,0.00000000,0.18108447,0.19839250
-5.60380190,2.67444008,0.99591370,1.96161022,0.00167588,0.11400088,0.44461009,0.00000000,0.18916232,0.20942354
-5.59779890,2.78245858,1.03962080,2.03379342,0.00154965,0.12075895,0.46341779,0.00000000,0.19797104,0.22048306
-5.59179590,2.89074703,1.08479645,2.10586047,0.00144727,0.12755210,0.48251491,0.00000000,0.20737224,0.23147203
-5.58579290,2.99799673,1.13084834,2.17684817,0.00136674,0.13432056,0.50170706,0.00000000,0.21721887,0.24228978
-5.57978989,3.10294446,1.17719016,2.24583908,0.00130603,0.14100093,0.52081200,0.00000000,0.22735815,0.25283574
-5.57378689,3.20438675,1.22324856,2.31196954,0.00126317,0.14752725,0.53966264,0.00000000,0.23763459,0.26301138
-5.56778389,3.30119355,1.26846991,2.37443691,0.00123627,0.15383241,0.55810954,0.00000000,0.24789325,0.27272210
-5.56178089,3.39232127,1.31232696,2.43250640,0.00122356,0.15984952,0.57602273,0.00000000,0.25798299,0.28187922
-5.55577789,3.47682528,1.35432526,2.48551763,0.00122345,0.16551358,0.59329294,0.00000000,0.26775979,0.29040183
-5.54977489,3.55387192,1.39400943,2.53289128,0.00123452,0.17076301,0.60983223,0.00000000,0.27708986,0.29821854
-5.54377189,3.62274975,1.43096910,2.57413563,0.00125553,0.17554119,0.62557402,0.00000000,0.28585257,0.30526898
-5.53776888,3.68287978,1.46484447,2.60885301,0.00128548,0.17979797,0.64047252,0.00000000,0.29394304,0.31150504
-5.53176588,3.73382434,1.49533130,2.63674606,0.00132352,0.18349083,0.65450173,0.00000000,0.30127423,0.31689174
-5.52576288,3.77529401,1.52218516,2.65762323,0.00136904,0.18658591,0.66765382,0.00000000,0.30777862,0.32140769
-5.51975988,3.80715221,1.54522487,2.67140328,0.00142154,0.18905874,0.67993712,0.00000000,0.31340910,0.32504515
-5.51375688,3.82941693,1.56433475,2.67811838,0.00148070,0.19089455,0.69137365,0.00000000,0.31813934,0.32780967
-5.50775388,3.84225915,1.57946574,2.67791517,0.00154627,0.19208840,0.70199633,0.00000000,0.32196339,0.32971922
-5.50175088,3.84599781,1.59063517,2.67105361,0.00161807,0.19264482,0.71184584,0.00000000,0.32489462,0.33080307
-5.49574787,3.84109106,1.59792516,2.65790322,0.00169596,0.19257730,0.72096732,0.00000000,0.32696407,0.33110024
-5.48974487,3.82812415,1.60147965,2.63893666,0.00177974,0.19190741,0.72940697,0.00000000,0.32821818,0.33065782
-5.48374187,3.80779399,1.60150013,2.61472054,0.00186916,0.19066386,0.73720873,0.00000000,0.32871613,0.32952906
-5.47773887,3.78089136,1.59824030,2.58590386,0.00196386,0.18888131,0.74441112,0.00000000,0.32852692,0.32777154
-5.47173587,3.74828109,1.59199970,2.55320429,0.00206333,0.18659929,0.75104450,0.00000000,0.32772622,0.32544537
-5.46573287,3.71088148,1.58311678,2.51739293,0.00216690,0.18386105,0.75712883,0.00000000,0.32639334,0.32261163
-5.45972986,3.66964372,1.57196150,2.47927808,0.00227371,0.18071253,0.76267218,0.00000000,0.32460833,0.31933100
-5.45372686,3.62553231,1.55892794,2.43968888,0.00238269,0.17720154,0.76767007,0.00000000,0.32244941,0.31566291
-5.44772386,3.57950751,1.54442703,2.39945936,0.00249261,0.17337706,0.77210579,0.00000000,0.31999094,0.31166491
-5.44172086,3.53251042,1.52887974,2.35941364,0.00260203,0.16928876,0.77595168,0.00000000,0.31730185,0.30739258
-5.43571786,3.48545128,1.51271095,2.32035279,0.00270939,0.16498675,0.77917151,0.00000000,0.31444477,0.30289974
-5.42971486,3.43920133,1.49634400,2.28304391,0.00281301,0.16052146,0.78172381,0.00000000,0.31147575,0.29823907
-5.42371186,3.39458808,1.48019614,2.24821133,0.00291116,0.15594368,0.78356598,0.00000000,0.30844463,0.29346291
-5.41770885,3.35239387,1.46467469,2.21653035,0.00300210,0.15130467,0.78465913,0.00000000,0.30539593,0.28862431
-5.41170585,3.31335706,1.45017398,2.18862313,0.00308415,0.14665630,0.78497328,0.00000000,0.30237022,0.28377804
-5.40570285,3.27817516,1.43707274,2.16505642,0.00315576,0.14205112,0.78449275,0.00000000,0.29940577,0.27898165
-5.39969985,3.24750896,1.42573204,2.14634084,0.00321554,0.13754243,0.78322127,0.00000000,0.29654046,0.27429624
-5.39369685,3.22198679,1.41649330,2.13293103,0.00326238,0.13318406,0.78118671,0.00000000,0.29381363,0.26978704
-5.38769385,3.20220793,1.40967652,2.12522615,0.00329544,0.12903016,0.77844490,0.00000000,0.29126788,0.26552363
-5.38169085,3.18874438,1.40557825,2.12357023,0.00331424,0.12513465,0.77508251,0.00000000,0.28895051,0.26157973
-5.37568784,3.18214031,1.40446960,2.12825192,0.00331865,0.12155060,0.77121858,0.00000000,0.28691467,0.25803260
-5.36968484,3.18290883,1.40659389,2.13950315,0.00330895,0.11832937,0.76700466,0.00000000,0.28521995,0.25496201
-5.36368184,3.19152585,1.41216434,2.15749677,0.00328581,0.11551971,0.76262351,0.00000000,0.28393241,0.25244885
-5.35767884,3.20842123,1.42136149,2.18234290,0.00325028,0.11316670,0.75828625,0.00000000,0.28312413,0.25057343
-5.35167584,3.23396753,1.43433095,2.21408426,0.00320377,0.11131075,0.75422821,0.00000000,0.28287203,0.24941351
-5.34567284,3.26846695,1.45118114,2.25269079,0.00314803,0.10998659,0.75070351,0.00000000,0.28325623,0.24904223
-5.33966983,3.31213727,1.47198165,2.29805385,0.00308504,0.10922240,0.74797869,0.00000000,0.28435792,0.24952601
-5.33366683,3.36509764,1.49676200,2.34998071,0.00301701,0.10903907,0.74632546,0.00000000,0.28625683,0.25092248
-5.32766383,3.42735512,1.52551120,2.40818967,0.00294629,0.10944966,0.74601316,0.00000000,0.28902831,0.25327858
-5.32166083,3.49879282,1.55817798,2.47230656,0.00287527,0.11045912,0.74730090,0.00000000,0.29274038,0.25662889
-5.31565783,3.57916054,1.59467183,2.54186291,0.00280633,0.11206419,0.75042992,0.00000000,0.29745055,0.26099423
-5.30965483,3.66806841,1.63486479,2.61629643,0.00274177,0.11425360,0.75561625,0.00000000,0.30320282,0.26638061
-5.30365183,3.76498410,1.67859383,2.69495384,0.00268368,0.11700839,0.76304405,0.00000000,0.31002475,0.27277850
-5.29764882,3.86923385,1.72566375,2.77709654,0.00263395,0.12030254,0.77285978,0.00000000,0.31792488,0.28016245
-5.29164582,3.98000740,1.77585042,2.86190873,0.00259415,0.12410359,0.78516731,0.00000000,0.32689049,0.28849102
-5.28564282,4.09636667,1.82890420,2.94850829,0.00256550,0.12837347,0.80002416,0.00000000,0.33688583,0.29770706
-5.27963982,4.21725809,1.88455326,3.03595980,0.00254883,0.13306931,0.81743895,0.00000000,0.34785099,0.30773822
-5.27363682,4.34152799,1.94250688,3.12328964,0.00254458,0.13814426,0.83737002,0.00000000,0.35970125,0.31849768
-5.26763382,4.46794070,2.00245840,3.20950249,0.00255274,0.14354822,0.85972536,0.00000000,0.37232729,0.32988521
-5.26163082,4.59519885,2.06408786,3.29359898,0.00257290,0.14922853,0.88436368,0.00000000,0.38559600,0.34178825
-5.25562781,4.72196514,2.12706430,3.37459368,0.00260426,0.15513059,0.91109667,0.00000000,0.39935204,0.35408335
-5.24962481,4.84688522,2.19104767,3.45153328,0.00264563,0.16119827,0.93969238,0.00000000,0.41342026,0.36663761
-5.24362181,4.96861093,2.25569045,3.52351406,0.00269552,0.16737431,0.96987952,0.00000000,0.42760870,0.37931041
-5.23761881,5.08582339,2.32063886,3.58969841,0.00275215,0.17360064,1.00135261,0.00000000,0.44171234,0.39195525
-5.23161581,5.19725542,2.38553387,3.64932998,0.00281355,0.17981863,1.03377784,0.00000000,0.45551739,0.40442175
-5.22561281,5.30171270,2.45001181,3.70174683,0.00287759,0.18596929,1.06679941,0.00000000,0.46880613,0.41655784
-5.21960980,5.39809325,2.51370479,3.74639251,0.00294210,0.19199364,1.10004617,0.00000000,0.48136197,0.42821206
-5.21360680,5.48540457,2.57624058,3.78282463,0.00300487,0.19783301,1.13313835,0.00000000,0.49297473,0.43923605
-5.20760380,5.56277821,2.63724227,3.81072073,0.00306380,0.20342954,1.16569413,0.00000000,0.50344597,0.44948701
-5.20160080,5.62948119,2.69632734,3.82988136,0.00311689,0.20872678,1.19733591,0.00000000,0.51259396,0.45883031
-5.19559780,5.68492404,2.75310634,3.84023016,0.00316236,0.21367047,1.22769600,0.00000000,0.52025839,0.46714202
-5.18959480,5.72866524,2.80718113,3.84181121,0.00319863,0.21820943,1.25642163,0.00000000,0.52630437,0.47431132
-5.18359180,5.76041204,2.85814282,3.83478345,0.00322443,0.22229666,1.28317913,0.00000000,0.53062576,0.48024282
-5.17758879,5.78001759,2.90556964,3.81941266,0.00323875,0.22589047,1.30765733,0.00000000,0.53314756,0.48485855
-5.17158579,5.78747488,2.94902498,3.79606118,0.00324093,0.22895576,1.32956994,0.00000000,0.53382736,0.48809964
-5.16558279,5.78290766,2.98805603,3.76517583,0.00323058,0.23146527,1.34865735,0.00000000,0.53265572,0.48992770
-5.15957979,5.76655917,3.02219349,3.72727449,0.00320764,0.23340078,1.36468755,0.00000000,0.52965558,0.49032563
-5.15357679,5.73877927,3.05095282,3.68293204,0.00317231,0.23475426,1.37745672,0.00000000,0.52488073,0.48929813
-5.14757379,5.70001086,3.07383745,3.63276610,0.00312504,0.23552878,1.38678944,0.00000000,0.51841342,0.48687154
-5.14157079,5.65077635,3.09034454,3.57742332,0.00306649,0.23573920,1.39253886,0.00000000,0.51036127,0.48309341
-5.13556778,5.59166511,3.09997331,3.51756676,0.00299753,0.23541253,1.39458696,0.00000000,0.50085369,0.47803139
-5.12956478,5.52332253,3.10223641,3.45386480,0.00291911,0.23458802,1.39284513,0.00000000,0.49003799,0.47177191
-5.12356178,5.44644117,3.09667385,3.38698203,0.00283233,0.23331676,1.38725511,0.00000000,0.47807535,0.46441829
-5.11755878,5.36175444,3.08286952,3.31757242,0.00273830,0.23166096,1.37779045,0.00000000,0.46513685,0.45608867
-5.11155578,5.27003271,3.06046942,3.24627465,0.00263819,0.22969273,1.36445829,0.00000000,0.45139978,0.44691356
-5.10555278,5.17208171,3.02920104,3.17370965,0.00253316,0.22749256,1.34730150,0.00000000,0.43704425,0.43703327
-5.09954977,5.06874269,2.98889262,3.10048007,0.00242432,0.22514740,1.32640088,0.00000000,0.42225025,0.42659510
-5.09354677,4.96089362,2.93949145,3.02717113,0.00231279,0.22274843,1.30187725,0.00000000,0.40719530,0.41575056
-5.08754377,4.84945061,2.88107967,2.95435242,0.00219959,0.22038863,1.27389308,0.00000000,0.39205248,0.40465244
-5.08154077,4.73536852,2.81388674,2.88257995,0.00208572,0.21816014,1.24265340,0.00000000,0.37698899,0.39345196
-5.07553777,4.61963983,2.73829724,2.81239783,0.00197209,0.21615168,1.20840572,0.00000000,0.36216508,0.38229601
-5.06953477,4.50329100,2.65485334,2.74433898,0.00185960,0.21444590,1.17143870,0.00000000,0.34773329,0.37132450
-5.06353177,4.38737544,2.56425134,2.67892431,0.00174908,0.21311696,1.13207936,0.00000000,0.33383786,0.36066786
-5.05752876,4.27296294,2.46733194,2.61665997,0.00164131,0.21222831,1.09068888,0.00000000,0.32061425,0.35044486
-5.05152576,4.16112514,2.36506452,2.55803246,0.00153705,0.21183087,1.04765690,0.00000000,0.30818859,0.34076058
-5.04552276,4.05291747,2.25852577,2.50350164,0.00143701,0.21196158,1.00339443,0.00000000,0.29667710,0.33170486
-5.03951976,3.94935790,2.14887364,2.45349154,0.00134190,0.21264246,0.95832576,0.00000000,0.28618525,0.32335098
-5.03351676,3.85140337,2.03731755,2.40837966,0.00125237,0.21388016,0.91287946,0.00000000,0.27680682,0.31575482
-5.02751376,3.75992493,1.92508631,2.36848499,0.00116904,0.21566611,0.86747896,0.00000000,0.26862264,0.30895446
-5.02151076,3.67568268,1.81339514,2.33405553,0.00109250,0.21797707,0.82253318,0.00000000,0.26169927,0.30297012
-5.01550775,3.59930192,1.70341327,2.30525595,0.00102328,0.22077627,0.77842744,0.00000000,0.25608744,0.29780463
-5.00950475,3.53125156,1.59623355,2.28215621,0.00096187,0.22401496,0.73551520,0.00000000,0.25182055,0.29344424
-5.00350175,3.47182611,1.49284536,2.26472179,0.00090865,0.22763418,0.69411093,0.00000000,0.24891312,0.28985980
-4.99749875,3.42113209,1.39411185,2.25280632,0.00086395,0.23156694,0.65448436,0.00000000,0.24735943,0.28700827
-4.99149575,3.37907976,1.30075235,2.24614696,0.00082798,0.23574039,0.61685635,0.00000000,0.24713234,0.28483443
-4.98549275,3.34538045,1.21333039,2.24436325,0.00080085,0.24007807,0.58139644,0.00000000,0.24818254,0.28327277
-4.97948974,3.31954994,1.13224764,2.24695939,0.00078254,0.24450207,0.54822212,0.00000000,0.25043816,0.28224949
-4.97348674,3.30091760,1.05774345,2.25333026,0.00077291,0.24893497,0.51739975,0.00000000,0.25380490,0.28168446
-4.96748374,3.28864113,0.98989991,2.26277100,0.00077166,0.25330154,0.48894692,0.00000000,0.25816672,0.28149308
-4.96148074,3.28172619,0.92865157,2.27448998,0.00077838,0.25753012,0.46283615,0.00000000,0.26338713,0.28158811
-4.95547774,3.27905035,0.87379924,2.28762472,0.00079250,0.26155353,0.43899949,0.00000000,0.26931106,0.28188123
-4.94947474,3.27939036,0.82502690,2.30126029,0.00081332,0.26530978,0.41733400,0.00000000,0.27576732,0.28228440
-4.94347174,3.28145191,0.78192087,2.31444969,0.00084001,0.26874226,0.39770760,0.00000000,0.28257165,0.28271109
-4.93746873,3.28390084,0.74399027,2.32623539,0.00087162,0.27179971,0.37996513,0.00000000,0.28953021,0.28307719
-4.93146573,3.28539490,0.71068793,2.33567157,0.00090711,0.27443590,0.36393442,0.00000000,0.29644345,0.28330182
-4.92546273,3.28461522,0.68143100,2.34184622,0.00094537,0.27660915,0.34943210,0.00000000,0.30311039,0.28330797
-4.91945973,3.28029650,0.65562042,2.34390248,0.00098521,0.27828182,0.33626900,0.00000000,0.30933295,0.28302308
-4.91345673,3.27125546,0.63265900,2.34105868,0.00102542,0.27941968,0.32425511,0.00000000,0.31492047,0.28237951
-4.90745373,3.25641666,0.61196742,2.33262640,0.00106479,0.27999157,0.31320392,0.00000000,0.31969410,0.28131507
-4.90145073,3.23483541,0.59299799,2.31802621,0.00110213,0.27996907,0.30293616,0.00000000,0.32349098,0.27977362
-4.89544772,3.20571727,0.57524607,2.29680059,0.00113631,0.27932659,0.29328294,0.00000000,0.32616814,0.27770569
-4.88944472,3.16843384,0.55825888,2.26862375,0.00116627,0.27804159,0.28408833,0.00000000,0.32760594,0.27506923
-4.88344172,3.12253473,0.54164207,2.23330821,0.00119108,0.27609520,0.27521137,0.00000000,0.32771094,0.27183050
-4.87743872,3.06775545,0.52506377,2.19080801,0.00120992,0.27347321,0.26652755,0.00000000,0.32641820,0.26796497
-4.87143572,3.00402140,0.50825661,2.14121848,0.00122214,0.27016718,0.25792988,0.00000000,0.32369278,0.26345835
-4.86543272,2.93144789,0.49101775,2.08477286,0.00122726,0.26617591,0.24932953,0.00000000,0.31953063,0.25830763
-4.85942971,2.85033629,0.47320711,2.02183574,0.00122497,0.26150701,0.24065608,0.00000000,0.31395859,0.25252205
-4.85342671,2.76116665,0.45474425,1.95289374,0.00121516,0.25617851,0.23185754,0.00000000,0.30703380,0.24612404
-4.84742371,2.66458687,0.43560386,1.87854374,0.00119791,0.25022050,0.22289987,0.00000000,0.29884223,0.23914991
-4.84142071,2.56139898,0.41581041,1.79947902,0.00117347,0.24367652,0.21376648,0.00000000,0.28949672,0.23165044
-4.83541771,2.45254258,0.39543198,1.71647380,0.00114226,0.23660479,0.20445721,0.00000000,0.27913435,0.22369109
-4.82941471,2.33907622,0.37457364,1.63036668,0.00110487,0.22907907,0.19498730,0.00000000,0.26791334,0.21535196
-4.82341171,2.22215682,0.35337050,1.54204334,0.00106203,0.22118906,0.18538598,0.00000000,0.25600960,0.20672734
-4.81740870,2.10301794,0.33198081,1.45241918,0.00101457,0.21304030,0.17569495,0.00000000,0.24361298,0.19792489
-4.81140570,1.98294715,0.31057904,1.36242213,0.00096341,0.20475359,0.16596667,0.00000000,0.23092339,0.18906439
-4.80540270,1.86326311,0.28934941,1.27297633,0.00090955,0.19646368,0.15626250,0.00000000,0.21814682,0.18027613
-4.79939970,1.74529290,0.26847980,1.18498682,0.00085400,0.18831755,0.14665078,0.00000000,0.20549143,0.17169886
-4.79339670,1.63034992,0.24815620,1.09932576,0.00079780,0.18047197,0.13720479,0.00000000,0.19316376,0.16347740
-4.78739370,1.51971309,0.22855792,1.01682040,0.00074197,0.17309061,0.12800079,0.00000000,0.18136514,0.15575996
-4.78139070,1.41460735,0.20985345,0.93824299,0.00068752,0.16634067,0.11911599,0.00000000,0.17028840,0.14869511
-4.77538769,1.31618628,0.19219723,0.86430283,0.00063538,0.16038912,0.11062673,0.00000000,0.16011483,0.14242861
-4.76938469,1.22551682,0.17572709,0.79564057,0.00058643,0.15539861,0.10260666,0.00000000,0.15101152,0.13710010
-4.76338169,1.14356642,0.16056260,0.73282469,0.00054151,0.15152326,0.09512520,0.00000000,0.14312910,0.13283965
-4.75737869,1.07119293,0.14680411,0.67635022,0.00050134,0.14890435,0.08824617,0.00000000,0.13659980,0.12976446
-4.75137569,1.00913722,0.13453263,0.62663949,0.00046661,0.14766610,0.08202666,0.00000000,0.13153594,0.12797558
-4.74537269,0.95801865,0.12381018,0.58404486,0.00043791,0.14791166,0.07651619,0.00000000,0.12802877,0.12755484
-4.73936968,0.91833330,0.11468093,0.54885318,0.00041579,0.14971951,0.07175612,0.00000000,0.12614777,0.12856221
-4.73336668,0.89045507,0.10717266,0.52129160,0.00040074,0.15314022,0.06777935,0.00000000,0.12594019,0.13103339
-4.72736368,0.87463921,0.10129867,0.50153463,0.00039321,0.15819398,0.06461028,0.00000000,0.12743111,0.13497808
-4.72136068,0.87102837,0.09705997,0.48971184,0.00039361,0.16486879,0.06226500,0.00000000,0.13062369,0.14037870
-4.71535768,0.87966055,0.09444765,0.48591609,0.00040233,0.17311955,0.06075175,0.00000000,0.13549992,0.14718989
-4.70935468,0.90047880,0.09344527,0.49021157,0.00041977,0.18286802,0.06007151,0.00000000,0.14202153,0.15533868
-4.70335168,0.93334208,0.09403127,0.50264141,0.00044630,0.19400385,0.06021871,0.00000000,0.15013127,0.16472546
-4.69734867,0.97803683,0.09618118,0.52323432,0.00048229,0.20638651,0.06118206,0.00000000,0.15975446,0.17522576
-4.69134567,1.03428852,0.09986962,0.55200981,0.00052811,0.21984833,0.06294537,0.00000000,0.17080067,0.18669280
-4.68534267,1.10177278,0.10507198,0.58898159,0.00058413,0.23419837,0.06548838,0.00000000,0.18316560,0.19896076
-4.67933967,1.18012525,0.11176562,0.63415871,0.00065067,0.24922715,0.06878745,0.00000000,0.19673307,0.21184876
-4.67333667,1.26894965,0.11993070,0.68754415,0.00072805,0.26471212,0.07281617,0.00000000,0.21137702,0.22516531
-4.66733367,1.36782355,0.12955032,0.74913075,0.00081650,0.28042353,0.07754576,0.00000000,0.22696345,0.23871329
-4.66133067,1.47630121,0.14061030,0.81889421,0.00091618,0.29613073,0.08294533,0.00000000,0.24335229,0.25229504
-4.65532766,1.59391338,0.15309816,0.89678331,0.00102713,0.31160844,0.08898182,0.00000000,0.26039917,0.26571759
-4.64932466,1.72016379,0.16700175,0.98270770,0.00114926,0.32664293,0.09561985,0.00000000,0.27795686,0.27879769
-4.64332166,1.85452246,0.18230724,1.07652340,0.00128229,0.34103776,0.10282128,0.00000000,0.29587661,0.29136660
