energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-5.74187094,3.41009555,0.90480479,0.44282518,0.00397347,0.14217402,1.03686231,1.87273363,1.28639451,0.00000000
-5.73586793,3.38877008,0.89348853,0.43557483,0.00369910,0.13982716,1.02069232,1.87702009,1.26721282,0.00000000
-5.72986493,3.35895630,0.88004470,0.42753055,0.00344877,0.13720213,1.00212260,1.87599152,1.24504586,0.00000000
-5.72386193,3.32019240,0.86439127,0.41864759,0.00321968,0.13428583,0.98111901,1.86925377,1.21986428,0.00000000
-5.71785893,3.27216257,0.84648980,0.40889592,0.00300909,0.13107087,0.95769579,1.85649692,1.19169714,0.00000000
-5.71185593,3.21470978,0.82634606,0.39826208,0.00281445,0.12755577,0.93191491,1.83750664,1.16063194,0.00000000
-5.70585293,3.14784447,0.80400950,0.38675064,0.00263344,0.12374499,0.90388417,1.81217332,1.12681301,0.00000000
-5.69984992,3.07174893,0.77957168,0.37438491,0.00246399,0.11964883,0.87375430,1.78049849,1.09043827,0.00000000
-5.69384692,2.98677705,0.75316394,0.36120710,0.00230436,0.11528317,0.84171496,1.74259827,1.05175475,0.00000000
-5.68784392,2.89344945,0.72495403,0.34727788,0.00215308,0.11066920,0.80799015,1.69870360,1.01105277,0.00000000
-5.68184092,2.79244406,0.69514223,0.33267522,0.00200898,0.10583290,0.77283281,1.64915712,0.96865915,0.00000000
-5.67583792,2.68458216,0.66395664,0.31749275,0.00187117,0.10080454,0.73651900,1.59440679,0.92492952,0.00000000
-5.66983492,2.57081038,0.63164804,0.30183757,0.00173900,0.09561802,0.69934170,1.53499623,0.88023999,0.00000000
-5.66383192,2.45217906,0.59848435,0.28582766,0.00161203,0.09031016,0.66160440,1.47155217,0.83497839,0.00000000
-5.65782891,2.32981765,0.56474467,0.26958889,0.00149000,0.08491994,0.62361454,1.40476936,0.78953531,0.00000000
-5.65182591,2.20490783,0.53071324,0.25325185,0.00137280,0.07948769,0.58567710,1.33539344,0.74429512,0.00000000
-5.64582291,2.07865531,0.49667337,0.23694858,0.00126042,0.07405423,0.54808834,1.26420250,0.69962736,0.00000000
-5.63981991,1.95226135,0.46290142,0.22080922,0.00115294,0.06866006,0.51112981,1.19198781,0.65587856,0.00000000
-5.63381691,1.82689486,0.42966116,0.20495892,0.00105046,0.06334451,0.47506304,1.11953473,0.61336491,0.00000000
-5.62781391,1.70366618,0.39719854,0.18951487,0.00095313,0.05814500,0.44012466,1.04760432,0.57236589,0.00000000
-5.62181091,1.58360355,0.36573700,0.17458378,0.00086107,0.05309629,0.40652239,0.97691645,0.53311914,0.00000000
-5.61580790,1.46763300,0.33547366,0.16025969,0.00077443,0.04822985,0.37443196,0.90813509,0.49581673,0.00000000
-5.60980490,1.35656239,0.30657621,0.14662237,0.00069327,0.04357337,0.34399486,0.84185614,0.46060292,0.00000000
-5.60380190,1.25107015,0.27918085,0.13373623,0.00061766,0.03915030,0.31531723,0.77859832,0.42757350,0.00000000
-5.59779890,1.15169889,0.25339115,0.12164981,0.00054761,0.03497963,0.28846978,0.71879726,0.39677677,0.00000000
-5.59179590,1.05885388,0.22927796,0.11039578,0.00048306,0.03107567,0.26348867,0.66280287,0.36821595,0.00000000
-5.58579290,0.97280632,0.20688024,0.09999155,0.00042394,0.02744809,0.24037745,0.61087979,0.34185303,0.00000000
-5.57978989,0.89370076,0.18620677,0.09044026,0.00037011,0.02410199,0.21910977,0.56321069,0.31761383,0.00000000
-5.57378689,0.82156615,0.16723870,0.08173225,0.00032140,0.02103817,0.19963291,0.51990201,0.29539398,0.00000000
-5.56778389,0.75632967,0.14993264,0.07384673,0.00027758,0.01825342,0.18187174,0.48099153,0.27506557,0.00000000
-5.56178089,0.69783238,0.13422432,0.06675381,0.00023841,0.01574091,0.16573318,0.44645721,0.25648409,0.00000000
-5.55577789,0.64584588,0.12003249,0.06041645,0.00020362,0.01349074,0.15111075,0.41622670,0.23949551,0.00000000
-5.54977489,0.60008889,0.10726298,0.05479258,0.00017292,0.01149037,0.13788912,0.39018687,0.22394296,0.00000000
-5.54377189,0.56024300,0.09581272,0.04983705,0.00014600,0.00972520,0.12594843,0.36819271,0.20967291,0.00000000
-5.53776888,0.52596675,0.08557351,0.04550338,0.00012255,0.00817909,0.11516833,0.35007536,0.19654046,0.00000000
-5.53176588,0.49690754,0.07643558,0.04174534,0.00010226,0.00683488,0.10543138,0.33564858,0.18441372,0.00000000
-5.52576288,0.47271092,0.06829059,0.03851820,0.00008481,0.00567485,0.09662600,0.32471373,0.17317697,0.00000000
-5.51975988,0.45302712,0.06103423,0.03577963,0.00006992,0.00468119,0.08864867,0.31706296,0.16273264,0.00000000
-5.51375688,0.43751472,0.05456822,0.03349036,0.00005728,0.00383636,0.08140547,0.31248075,0.15300212,0.00000000
-5.50775388,0.42584180,0.04880181,0.03161440,0.00004665,0.00312339,0.07481298,0.31074399,0.14392542,0.00000000
-5.50175088,0.41768488,0.04365270,0.03011905,0.00003775,0.00252619,0.06879858,0.31162084,0.13545983,0.00000000
-5.49574787,0.41272606,0.03904752,0.02897461,0.00003036,0.00202967,0.06330014,0.31486880,0.12757769,0.00000000
-5.48974487,0.41064916,0.03492182,0.02815386,0.00002427,0.00161996,0.05826539,0.32023240,0.12026360,0.00000000
-5.48374187,0.41113524,0.03121980,0.02763146,0.00001928,0.00128441,0.05365081,0.32744099,0.11351116,0.00000000
-5.47773887,0.41385836,0.02789363,0.02738320,0.00001523,0.00101169,0.04942042,0.33620705,0.10731946,0.00000000
-5.47173587,0.41848206,0.02490272,0.02738525,0.00001198,0.00079175,0.04554440,0.34622536,0.10168968,0.00000000
-5.46573287,0.42465707,0.02221277,0.02761343,0.00000939,0.00061578,0.04199768,0.35717358,0.09662186,0.00000000
-5.45972986,0.43202065,0.01979482,0.02804265,0.00000735,0.00047618,0.03875867,0.36871413,0.09211206,0.00000000
-5.45372686,0.44019793,0.01762428,0.02864638,0.00000577,0.00036645,0.03580805,0.38049783,0.08815009,0.00000000
-5.44772386,0.44880515,0.01568013,0.02939640,0.00000459,0.00028111,0.03312785,0.39216899,0.08471779,0.00000000
-5.44172086,0.45745497,0.01394405,0.03026268,0.00000374,0.00021562,0.03070069,0.40337212,0.08178814,0.00000000
-5.43571786,0.46576353,0.01239986,0.03121357,0.00000319,0.00016625,0.02850931,0.41375978,0.07932492,0.00000000
-5.42971486,0.47335905,0.01103299,0.03221608,0.00000290,0.00013004,0.02653630,0.42300142,0.07728322,0.00000000
-5.42371186,0.47989150,0.00983010,0.03323651,0.00000286,0.00010470,0.02476412,0.43079274,0.07561043,0.00000000
-5.41770885,0.48504282,0.00877891,0.03424111,0.00000309,0.00008850,0.02317523,0.43686515,0.07424789,0.00000000
-5.41170585,0.48853737,0.00786807,0.03519704,0.00000360,0.00008028,0.02175246,0.44099488,0.07313294,0.00000000
-5.40570285,0.49015181,0.00708722,0.03607329,0.00000443,0.00007935,0.02047943,0.44301133,0.07220131,0.00000000
-5.39969985,0.48972413,0.00642703,0.03684177,0.00000564,0.00008545,0.01934112,0.44280414,0.07138964,0.00000000
-5.39369685,0.48716136,0.00587947,0.03747833,0.00000731,0.00009876,0.01832444,0.44032889,0.07063814,0.00000000
-5.38769385,0.48244544,0.00543794,0.03796378,0.00000953,0.00011986,0.01741874,0.43561089,0.06989311,0.00000000
-5.38169085,0.47563725,0.00509755,0.03828483,0.00001243,0.00014973,0.01661643,0.42874707,0.06910934,0.00000000
-5.37568784,0.46687834,0.00485540,0.03843483,0.00001617,0.00018973,0.01591339,0.41990591,0.06825217,0.00000000
-5.36968484,0.45639059,0.00471074,0.03841439,0.00002094,0.00024166,0.01530940,0.40932530,0.06729919,0.00000000
-5.36368184,0.44447359,0.00466523,0.03823184,0.00002695,0.00030768,0.01480842,0.39730862,0.06624159,0.00000000
-5.35767884,0.43149999,0.00472308,0.03790337,0.00003446,0.00039041,0.01441879,0.38421901,0.06508491,0.00000000
-5.35167584,0.41790890,0.00489113,0.03745300,0.00004377,0.00049284,0.01415328,0.37047224,0.06384942,0.00000000
-5.34567284,0.40419771,0.00517888,0.03691229,0.00005520,0.00061838,0.01402906,0.35652832,0.06256994,0.00000000
-5.33966983,0.39091236,0.00559843,0.03631987,0.00006912,0.00077083,0.01406750,0.34288215,0.06129525,0.00000000
-5.33366683,0.37863647,0.00616430,0.03572064,0.00008593,0.00095432,0.01429388,0.33005340,0.06008695,0.00000000
-5.32766383,0.36797946,0.00689319,0.03516488,0.00010608,0.00117327,0.01473692,0.31857595,0.05901804,0.00000000
-5.32166083,0.35956392,0.00780360,0.03470709,0.00013001,0.00143233,0.01542821,0.30898699,0.05817104,0.00000000
-5.31565783,0.35401228,0.00891529,0.03440471,0.00015819,0.00173623,0.01640151,0.30181590,0.05763580,0.00000000
-5.30965483,0.35193315,0.01024874,0.03431670,0.00019110,0.00208969,0.01769188,0.29757309,0.05750711,0.00000000
-5.30365183,0.35390713,0.01182437,0.03450199,0.00022920,0.00249725,0.01933470,0.29673887,0.05788198,0.00000000
-5.29764882,0.36047252,0.01366170,0.03501787,0.00027293,0.00296310,0.02136453,0.29975236,0.05885689,0.00000000
-5.29164582,0.37211081,0.01577847,0.03591830,0.00032266,0.00349088,0.02381390,0.30700048,0.06052479,0.00000000
-5.28564282,0.38923230,0.01818959,0.03725227,0.00037871,0.00408346,0.02671194,0.31880727,0.06297211,0.00000000
-5.27963982,0.41216187,0.02090614,0.03906205,0.00044132,0.00474270,0.03008300,0.33542340,0.06627574,0.00000000
-5.27363682,0.44112536,0.02393429,0.04138163,0.00051057,0.00546927,0.03394517,0.35701630,0.07050005,0.00000000
-5.26763382,0.47623680,0.02727428,0.04423518,0.00058646,0.00626239,0.03830887,0.38366098,0.07569406,0.00000000
-5.26163082,0.51748692,0.03091953,0.04763560,0.00066879,0.00711966,0.04317543,0.41533186,0.08188877,0.00000000
-5.25562781,0.56473354,0.03485581,0.05158340,0.00075720,0.00803691,0.04853586,0.45189613,0.08909475,0.00000000
-5.24962481,0.61769431,0.03906064,0.05606566,0.00085114,0.00900806,0.05436980,0.49310883,0.09730021,0.00000000
-5.24362181,0.67594240,0.04350293,0.06105541,0.00094986,0.01002506,0.06064467,0.53861026,0.10646938,0.00000000
-5.23761881,0.73890579,0.04814285,0.06651129,0.00105243,0.01107796,0.06731522,0.58792616,0.11654163,0.00000000
-5.23161581,0.80587061,0.05293211,0.07237757,0.00115770,0.01215489,0.07432347,0.64047094,0.12743110,0.00000000
-5.22561281,0.87598899,0.05781452,0.07858473,0.00126435,0.01324234,0.08159902,0.69555445,0.13902722,0.00000000
-5.21960980,0.94829169,0.06272690,0.08505032,0.00137091,0.01432529,0.08905996,0.75239244,0.15119595,0.00000000
-5.21360680,1.02170563,0.06760040,0.09168046,0.00147578,0.01538761,0.09661418,0.81012070,0.16378192,0.00000000
-5.20760380,1.09507609,0.07236211,0.09837168,0.00157727,0.01641241,0.10416119,0.86781295,0.17661145,0.00000000
-5.20160080,1.16719337,0.07693690,0.10501324,0.00167363,0.01738250,0.11159447,0.92450203,0.18949637,0.00000000
-5.19559780,1.23682299,0.08124962,0.11148986,0.00176313,0.01828086,0.11880417,0.97920389,0.20223864,0.00000000
-5.18959480,1.30273882,0.08522729,0.11768471,0.00184408,0.01909118,0.12568013,1.03094378,0.21463561,0.00000000
-5.18359180,1.36375777,0.08880147,0.12348263,0.00191489,0.01979835,0.13211515,1.07878359,0.22648574,0.00000000
-5.17758879,1.41877489,0.09191049,0.12877347,0.00197415,0.02038895,0.13800829,1.12184945,0.23759460,0.00000000
-5.17158579,1.46679736,0.09450157,0.13345534,0.00202063,0.02085175,0.14326823,1.15935838,0.24778098,0.00000000
-5.16558279,1.50697590,0.09653275,0.13743782,0.00205335,0.02117802,0.14781630,1.19064290,0.25688269,0.00000000
-5.15957979,1.53863227,0.09797434,0.14064472,0.00207161,0.02136193,0.15158923,1.21517234,0.26476195,0.00000000
-5.15357679,1.56128134,0.09881008,0.14301656,0.00207504,0.02140068,0.15454142,1.23257001,0.27131007,0.00000000
-5.14757379,1.57464677,0.09903778,0.14451241,0.00206354,0.02129465,0.15664657,1.24262516,0.27645105,0.00000000
-5.14157079,1.57866936,0.09866939,0.14511116,0.00203737,0.02104737,0.15789863,1.24529923,0.28014413,0.00000000
-5.13556778,1.57350759,0.09773058,0.14481207,0.00199709,0.02066541,0.15831194,1.24072580,0.28238492,0.00000000
-5.12956478,1.55953015,0.09625983,0.14363464,0.00194355,0.02015811,0.15792068,1.22920439,0.28320514,0.00000000
-5.12356178,1.53730070,0.09430697,0.14161767,0.00187787,0.01953730,0.15677738,1.21118803,0.28267096,0.00000000
-5.11755878,1.50755559,0.09193132,0.13881775,0.00180138,0.01881686,0.15495083,1.18726536,0.28087983,0.00000000
-5.11155578,1.47117530,0.08919957,0.13530705,0.00171559,0.01801225,0.15252329,1.15813779,0.27795620,0.00000000
-5.10555278,1.42915106,0.08618328,0.13117062,0.00162216,0.01713999,0.14958716,1.12459298,0.27404603,0.00000000
-5.09954977,1.38254812,0.08295642,0.12650332,0.00152280,0.01621716,0.14624135,1.08747565,0.26931053,0.00000000
-5.09354677,1.33246726,0.07959276,0.12140646,0.00141927,0.01526085,0.14258742,1.04765715,0.26391942,0.00000000
-5.08754377,1.28000641,0.07616349,0.11598439,0.00131327,0.01428767,0.13872566,1.00600509,0.25804388,0.00000000
-5.08154077,1.22622398,0.07273493,0.11034115,0.00120647,0.01331331,0.13475139,0.96335440,0.25184975,0.00000000
-5.07553777,1.17210549,0.06936669,0.10457724,0.00110039,0.01235216,0.13075161,0.92048112,0.24549114,0.00000000
-5.06953477,1.11853494,0.06611007,0.09878686,0.00099643,0.01141701,0.12680210,0.87807982,0.23910484,0.00000000
-5.06353177,1.06627199,0.06300702,0.09305547,0.00089582,0.01051883,0.12296518,0.83674570,0.23280572,0.00000000
-5.05752876,1.01593573,0.06008952,0.08745795,0.00079958,0.00966664,0.11928813,0.79696190,0.22668346,0.00000000
-5.05152576,0.96799544,0.05737947,0.08205735,0.00070856,0.00886749,0.11580247,0.75909225,0.22080057,0.00000000
-5.04552276,0.92276854,0.05488903,0.07690421,0.00062339,0.00812650,0.11252389,0.72337972,0.21519188,0.00000000
-5.03951976,0.88042527,0.05262141,0.07203651,0.00054452,0.00744700,0.10945310,0.68995006,0.20986540,0.00000000
-5.03351676,0.84099960,0.05057207,0.06748020,0.00047221,0.00683070,0.10657722,0.65882040,0.20480458,0.00000000
-5.02751376,0.80440553,0.04873023,0.06325020,0.00040656,0.00627800,0.10387187,0.62991191,0.19997166,0.00000000
-5.02151076,0.77045751,0.04708056,0.05935187,0.00034753,0.00578820,0.10130369,0.60306579,0.19531198,0.00000000
-5.01550775,0.73889397,0.04560514,0.05578280,0.00029493,0.00535990,0.09883322,0.57806149,0.19075898,0.00000000
-5.00950475,0.70940249,0.04428534,0.05253482,0.00024850,0.00499128,0.09641793,0.55463628,0.18623958,0.00000000
-5.00350175,0.68164531,0.04310380,0.04959612,0.00020788,0.00468048,0.09401531,0.53250499,0.18167974,0.00000000
-4.99749875,0.65528403,0.04204621,0.04695339,0.00017264,0.00442585,0.09158578,0.51137906,0.17700970,0.00000000
-4.99149575,0.63000229,0.04110293,0.04459394,0.00014235,0.00422631,0.08909545,0.49098400,0.17216897,0.00000000
-4.98549275,0.60552553,0.04027037,0.04250749,0.00011653,0.00408158,0.08651838,0.47107455,0.16711050,0.00000000
-4.97948974,0.58163711,0.03955206,0.04068786,0.00009471,0.00399240,0.08383854,0.45144699,0.16180409,0.00000000
-4.97348674,0.55819026,0.03895934,0.03913429,0.00007642,0.00396067,0.08105109,0.43194821,0.15623887,0.00000000
-4.96748374,0.53511563,0.03851171,0.03785235,0.00006123,0.00398961,0.07816329,0.41248148,0.15042469,0.00000000
-4.96148074,0.51242443,0.03823675,0.03685458,0.00004870,0.00408377,0.07519477,0.39300875,0.14439259,0.00000000
-4.95547774,0.49020721,0.03816974,0.03616063,0.00003845,0.00424905,0.07217732,0.37354982,0.13819419,0.00000000
-4.94947474,0.46862884,0.03835275,0.03579708,0.00003015,0.00449261,0.06915419,0.35417859,0.13190024,0.00000000
-4.94347174,0.44792005,0.03883353,0.03579681,0.00002347,0.00482276,0.06617908,0.33501692,0.12559846,0.00000000
-4.93746873,0.42836612,0.03966395,0.03619813,0.00001813,0.00524872,0.06331467,0.31622642,0.11939068,0.00000000
-4.93146573,0.41029353,0.04089826,0.03704349,0.00001391,0.00578044,0.06063103,0.29799902,0.11338964,0.00000000
-4.92546273,0.39405510,0.04259101,0.03837793,0.00001060,0.00642825,0.05820383,0.28054649,0.10771540,0.00000000
-4.91945973,0.38001441,0.04479488,0.04024739,0.00000802,0.00720250,0.05611239,0.26408980,0.10249176,0.00000000
-4.91345673,0.36853011,0.04755834,0.04269678,0.00000602,0.00811320,0.05443779,0.24884864,0.09784261,0.00000000
-4.90745373,0.35994073,0.05092331,0.04576794,0.00000450,0.00916958,0.05326094,0.23503146,0.09388843,0.00000000
-4.90145073,0.35455043,0.05492283,0.04949757,0.00000334,0.01037964,0.05266076,0.22282663,0.09074314,0.00000000
-4.89544772,0.35261617,0.05957886,0.05391519,0.00000246,0.01174969,0.05271235,0.21239468,0.08851106,0.00000000
-4.88944472,0.35433667,0.06490023,0.05904115,0.00000181,0.01328394,0.05348533,0.20386212,0.08728440,0.00000000
-4.88344172,0.35984327,0.07088101,0.06488482,0.00000134,0.01498403,0.05504221,0.19731668,0.08714102,0.00000000
-4.87743872,0.36919304,0.07749903,0.07144293,0.00000100,0.01684870,0.05743685,0.19280416,0.08814252,0.00000000
-4.87143572,0.38236409,0.08471510,0.07869828,0.00000077,0.01887343,0.06071303,0.19032689,0.09033273,0.00000000
-4.86543272,0.39925323,0.09247247,0.08661871,0.00000062,0.02105019,0.06490305,0.18984358,0.09373654,0.00000000
-4.85942971,0.41967591,0.10069708,0.09515648,0.00000055,0.02336733,0.07002642,0.19127054,0.09835891,0.00000000
-4.85342671,0.44336837,0.10929830,0.10424810,0.00000054,0.02580949,0.07608864,0.19448422,0.10418434,0.00000000
-4.84742371,0.46999202,0.11817023,0.11381462,0.00000060,0.02835769,0.08308007,0.19932468,0.11117646,0.00000000
-4.84142071,0.49913977,0.12719375,0.12376240,0.00000072,0.03098952,0.09097508,0.20560009,0.11927799,0.00000000
-4.83541771,0.53034428,0.13623902,0.13398439,0.00000093,0.03367950,0.09973123,0.21309183,0.12841104,0.00000000
-4.82941471,0.56308788,0.14516854,0.14436189,0.00000122,0.03639948,0.10928894,0.22156030,0.13847767,0.00000000
-4.82341171,0.59681398,0.15384063,0.15476677,0.00000163,0.03911930,0.11957139,0.23075104,0.14936086,0.00000000
-4.81740870,0.63093974,0.16211327,0.16506414,0.00000218,0.04180747,0.13048492,0.24040116,0.16092599,0.00000000
-4.81140570,0.66486971,0.16984805,0.17511531,0.00000293,0.04443195,0.14192003,0.25024583,0.17302271,0.00000000
-4.80540270,0.69801016,0.17691431,0.18478112,0.00000390,0.04696110,0.15375285,0.26002484,0.18548741,0.00000000
-4.79939970,0.72978384,0.18319310,0.19392542,0.00000517,0.04936461,0.16584737,0.26948893,0.19814617,0.00000000
-4.79339670,0.75964477,0.18858095,0.20241863,0.00000682,0.05161446,0.17805836,0.27840590,0.21081838,0.00000000
-4.78739370,0.78709284,0.19299333,0.21014143,0.00000893,0.05368599,0.19023485,0.28656636,0.22332082,0.00000000
-4.78139070,0.81168774,0.19636757,0.21698814,0.00001162,0.05555883,0.20222439,0.29378897,0.23547227,0.00000000
-4.77538769,0.83306203,0.19866526,0.22287011,0.00001502,0.05721784,0.21387779,0.29992521,0.24709849,0.00000000
-4.76938469,0.85093294,0.19987397,0.22771864,0.00001928,0.05865400,0.22505425,0.30486347,0.25803757,0.00000000
-4.76338169,0.86511263,0.20000828,0.23148757,0.00002458,0.05986507,0.23562688,0.30853240,0.26814531,0.00000000
-4.75737869,0.87551659,0.19911012,0.23415538,0.00003114,0.06085628,0.24548814,0.31090367,0.27730057,0.00000000
-4.75137569,0.88217006,0.19724839,0.23572668,0.00003920,0.06164072,0.25455526,0.31199379,0.28541042,0.00000000
-4.74537269,0.88521206,0.19451789,0.23623315,0.00004902,0.06223966,0.26277514,0.31186523,0.29241464,0.00000000
-4.73936968,0.88489701,0.19103768,0.23573377,0.00006090,0.06268257,0.27012869,0.31062660,0.29828972,0.00000000
-4.73336668,0.88159383,0.18694884,0.23431436,0.00007517,0.06300703,0.27663423,0.30843214,0.30305169,0.00000000
-4.72736368,0.87578231,0.18241185,0.23208648,0.00009221,0.06325833,0.28234976,0.30548015,0.30675801,0.00000000
-4.72136068,0.86804684,0.17760356,0.22918557,0.00011240,0.06348895,0.28737394,0.30201079,0.30950804,0.00000000
-4.71535768,0.85906752,0.17271382,0.22576854,0.00013615,0.06375775,0.29184564,0.29830287,0.31144216,0.00000000
-4.70935468,0.84960869,0.16794205,0.22201064,0.00016391,0.06412894,0.29594187,0.29466988,0.31273939,0.00000000
-4.70335168,0.84050497,0.16349349,0.21810185,0.00019613,0.06467090,0.29987417,0.29145518,0.31361349,0.00000000
-4.69734867,0.83264506,0.15957558,0.21424285,0.00023326,0.06545477,0.30388349,0.28902641,0.31430770,0.00000000
-4.69134567,0.82695349,0.15639410,0.21064044,0.00027577,0.06655289,0.30823355,0.28776905,0.31508805,0.00000000
-4.68534267,0.82437058,0.15414946,0.20750288,0.00032411,0.06803707,0.31320295,0.28807923,0.31623560,0.00000000
-4.67933967,0.82583086,0.15303288,0.20503489,0.00037871,0.06997679,0.31907628,0.29035591,0.31803772,0.00000000
-4.67333667,0.83224039,0.15322271,0.20343259,0.00043997,0.07243728,0.32613431,0.29499223,0.32077869,0.00000000
-4.66733367,0.84445330,0.15488066,0.20287859,0.00050822,0.07547752,0.33464384,0.30236639,0.32472998,0.00000000
-4.66133067,0.86324804,0.15814812,0.20353702,0.00058378,0.07914833,0.34484733,0.31283194,0.33014042,0.00000000
-4.65532766,0.88930373,0.16314258,0.20554900,0.00066686,0.08349039,0.35695274,0.32670777,0.33722675,0.00000000
-4.64932466,0.92317719,0.16995404,0.20902836,0.00075760,0.08853241,0.37112396,0.34426785,0.34616468,0.00000000
-4.64332166,0.96528125,0.17864165,0.21405779,0.00085603,0.09428936,0.38747218,0.36573100,0.35708094,0.00000000
