energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-5.39969985,4.00508913,0.06295300,0.49074949,0.61966117,0.59484342,0.09658307,1.66226425,1.19092849,0.53050380
-5.39369685,3.95970469,0.06178428,0.47971680,0.62517022,0.58609903,0.09420338,1.65610296,1.21630782,0.51358892
-5.38769385,3.92495783,0.06060522,0.46955700,0.63375317,0.57826040,0.09196520,1.65552408,1.24883738,0.49696562
-5.38169085,3.90167140,0.05944403,0.46053747,0.64519124,0.57147890,0.08991028,1.66060542,1.28854316,0.48098614
-5.37568784,3.89041149,0.05832656,0.45290866,0.65922424,0.56585546,0.08807091,1.67129256,1.33532850,0.46599720
-5.36968484,3.89144654,0.05727562,0.44689304,0.67555397,0.56143554,0.08646924,1.68739033,1.38895362,0.45232891
-5.36368184,3.90471883,0.05631061,0.44267530,0.69384888,0.55820649,0.08511696,1.70855969,1.44901969,0.44028483
-5.35767884,3.92983002,0.05544716,0.44039443,0.71374975,0.55609744,0.08401548,1.73432035,1.51495859,0.43013372
-5.35167584,3.96604144,0.05469707,0.44013791,0.73487654,0.55498151,0.08315641,1.76405912,1.58602923,0.42210324
-5.34567284,4.01228942,0.05406839,0.44193832,0.75683601,0.55468054,0.08252247,1.79704396,1.66132119,0.41637565
-5.33966983,4.06721490,0.05356563,0.44577230,0.77923000,0.55497187,0.08208869,1.83244316,1.73976597,0.41308558
-5.33366683,4.12920607,0.05319010,0.45156200,0.80166422,0.55559699,0.08182381,1.86934902,1.82015588,0.41231979
-5.32766383,4.19645208,0.05294033,0.45917880,0.82375709,0.55627170,0.08169190,1.90680503,1.90117010,0.41411871
-5.32166083,4.26700534,0.05281262,0.46844897,0.84514851,0.55669723,0.08165412,1.94383567,1.98140735,0.41847939
-5.31565783,4.33884964,0.05280148,0.47916106,0.86550819,0.55657194,0.08167043,1.97947737,2.05942392,0.42535965
-5.30965483,4.40997089,0.05290020,0.49107454,0.88454327,0.55560308,0.08170130,2.01280955,2.13377573,0.43468295
-5.30365183,4.47842734,0.05310129,0.50392919,0.90200489,0.55351810,0.08170931,2.04298437,2.20306276,0.44634367
-5.29764882,4.54241620,0.05339685,0.51745489,0.91769358,0.55007507,0.08166056,2.06925389,2.26597395,0.46021231
-5.29164582,4.60033360,0.05377893,0.53138125,0.93146312,0.54507181,0.08152582,2.09099363,2.32133070,0.47614051
-5.28564282,4.65082547,0.05423969,0.54544664,0.94322278,0.53835335,0.08128149,2.10772146,2.36812689,0.49396544
-5.27963982,4.69282720,0.05477155,0.55940629,0.95293778,0.52981753,0.08091017,2.11911097,2.40556359,0.51351351
-5.27363682,4.72559066,0.05536720,0.57303910,0.96062794,0.51941856,0.08040102,2.12499904,2.43307685,0.53460318
-5.26763382,4.74869760,0.05601954,0.58615293,0.96636452,0.50716839,0.07974978,2.12538716,2.45035707,0.55704703
-5.26163082,4.76205957,0.05672155,0.59858820,0.97026536,0.49313610,0.07895855,2.12043661,2.45735903,0.58065302
-5.25562781,4.76590459,0.05746617,0.61021980,0.97248852,0.47744528,0.07803527,2.11045800,2.45430205,0.60522512
-5.24962481,4.76075209,0.05824603,0.62095728,0.97322459,0.46026976,0.07699312,2.09589558,2.44166005,0.63056351
-5.24362181,4.74737763,0.05905334,0.63074349,0.97268809,0.44182784,0.07584969,2.07730742,2.42014208,0.65646452
-5.23761881,4.72676980,0.05987968,0.63955179,0.97110824,0.42237554,0.07462612,2.05534237,2.39066417,0.68272061
-5.23161581,4.70008180,0.06071591,0.64738219,0.96871957,0.40219911,0.07334619,2.03071519,2.35431372,0.70912055
-5.22561281,4.66858041,0.06155205,0.65425665,0.96575278,0.38160720,0.07203545,2.00418090,2.31230828,0.73545002
-5.21960980,4.63359517,0.06237726,0.66021377,0.96242622,0.36092318,0.07072047,1.97650988,2.26595059,0.76149272
-5.21360680,4.59647022,0.06317992,0.66530344,0.95893852,0.34047784,0.06942816,1.94846474,2.21658194,0.78703223
