energy_ev,total_up,Ir_p_up,Ir_d_up,Sn_p_up,Sn_d_up,Te_p_up,Te_d_up
5.38769385,0.89092458,1.32716286,0.12804950,0.20853406,0.01039567,0.02295170,0.00000000
5.39369685,0.92394390,1.38278234,0.13146990,0.21291916,0.01088429,0.02270260,0.00000000
5.39969985,0.95613269,1.43458628,0.13497122,0.21734277,0.01135313,0.02262121,0.00000000
5.40570285,0.98653011,1.48126416,0.13839891,0.22155601,0.01179219,0.02267575,0.00000000
5.41170585,1.01426679,1.52165526,0.14161269,0.22534433,0.01219243,0.02284079,0.00000000
5.41770885,1.03858836,1.55478619,0.14449003,0.22853435,0.01254594,0.02309825,0.00000000
5.42371186,1.05887524,1.57990290,0.14692905,0.23099949,0.01284623,0.02343827,0.00000000
5.42971486,1.07465819,1.59649582,0.14885065,0.23266438,0.01308839,0.02385978,0.00000000
5.43571786,1.08562910,1.60431732,0.15019998,0.23350765,0.01326921,0.02437097,0.00000000
5.44172086,1.09164674,1.60339064,0.15094718,0.23356320,0.01338728,0.02498954,0.00000000
5.44772386,1.09273754,1.59400999,0.15108730,0.23291985,0.01344297,0.02574263,0.00000000
5.45372686,1.08909123,1.57673169,0.15063954,0.23171928,0.01343845,0.02666664,0.00000000
5.45972986,1.08105189,1.55235683,0.14964586,0.23015232,0.01337760,0.02780664,0.00000000
5.46573287,1.06910455,1.52190596,0.14816890,0.22845365,0.01326583,0.02921562,0.00000000
5.47173587,1.05385807,1.48658679,0.14628938,0.22689506,0.01310996,0.03095338,0.00000000
5.47773887,1.03602491,1.44775613,0.14410310,0.22577725,0.01291799,0.03308513,0.00000000
5.48374187,1.01639844,1.40687730,0.14171756,0.22542066,0.01269888,0.03567981,0.00000000
5.48974487,0.99582868,1.36547465,0.13924834,0.22615515,0.01246225,0.03880807,0.00000000
5.49574787,0.97519699,1.32508655,0.13681538,0.22830918,0.01221818,0.04254006,0.00000000
5.50175088,0.95539072,1.28721837,0.13453919,0.23219847,0.01197688,0.04694287,0.00000000
5.50775388,0.93727822,1.25329700,0.13253714,0.23811457,0.01174844,0.05207787,0.00000000
5.51375688,0.92168500,1.22462807,0.13091994,0.24631368,0.01154261,0.05799788,0.00000000
5.51975988,0.90937145,1.20235712,0.12978832,0.25700596,0.01136848,0.06474430,0.00000000
5.52576288,0.90101271,1.18743582,0.12923004,0.27034575,0.01123432,0.07234430,0.00000000
5.53176588,0.89718090,1.18059391,0.12931724,0.28642304,0.01114731,0.08080813,0.00000000
5.53776888,0.89833022,1.18231774,0.13010435,0.30525641,0.01111344,0.09012680,0.00000000
5.54377189,0.90478503,1.19283578,0.13162634,0.32678799,0.01113728,0.10027002,0.00000000
5.54977489,0.91673125,1.21211156,0.13389757,0.35088044,0.01122191,0.11118483,0.00000000
5.55577789,0.93421115,1.23984407,0.13691124,0.37731643,0.01136880,0.12279471,0.00000000
5.56178089,0.95712163,1.27547572,0.14063937,0.40580060,0.01157778,0.13499956,0.00000000
5.56778389,0.98521620,1.31820771,0.14503338,0.43596422,0.01184703,0.14767643,0.00000000
5.57378689,1.01811041,1.36702231,0.15002527,0.46737248,0.01217307,0.16068109,0.00000000
5.57978989,1.05529085,1.42071162,0.15552938,0.49953430,0.01255086,0.17385055,0.00000000
5.58579290,1.09612747,1.47791202,0.16144467,0.53191448,0.01297387,0.18700633,0.00000000
5.59179590,1.13988896,1.53714335,0.16765746,0.56394777,0.01343428,0.19995858,0.00000000
5.59779890,1.18576092,1.59685180,0.17404454,0.59505447,0.01392310,0.21251083,0.00000000
5.60380190,1.23286629,1.65545507,0.18047668,0.62465703,0.01443042,0.22446524,0.00000000
5.60980490,1.28028762,1.71138862,0.18682220,0.65219698,0.01494567,0.23562817,0.00000000
5.61580790,1.32709053,1.76315142,0.19295072,0.67715155,0.01545788,0.24581596,0.00000000
5.62181091,1.37234781,1.80934974,0.19873681,0.69904937,0.01595602,0.25486045,0.00000000
5.62781391,1.41516345,1.84873758,0.20406355,0.71748448,0.01642925,0.26261442,0.00000000
5.63381691,1.45469601,1.88025244,0.20882569,0.73212820,0.01686732,0.26895628,0.00000000
5.63981991,1.49018060,1.90304518,0.21293258,0.74273825,0.01726084,0.27379423,0.00000000
5.64582291,1.52094911,1.91650325,0.21631057,0.74916486,0.01760165,0.27706945,0.00000000
5.65182591,1.54644795,1.92026639,0.21890487,0.75135355,0.01788304,0.27875841,0.00000000
5.65782891,1.56625312,1.91423477,0.22068095,0.74934461,0.01810012,0.27887406,0.00000000
5.66383192,1.58008213,1.89856921,0.22162528,0.74326937,0.01824999,0.27746597,0.00000000
5.66983492,1.58780257,1.87368410,0.22174560,0.73334345,0.01833197,0.27461947,0.00000000
5.67583792,1.58943733,1.84023328,0.22107058,0.71985747,0.01834772,0.27045373,0.00000000
