energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-4.00700350,2.12919835,0.35007593,1.19008002,0.00011620,0.24514030,0.93564193,0.00000000,0.31269683,0.14174946
-4.00100050,2.01742816,0.33678515,1.12698088,0.00012893,0.22345549,0.89407638,0.00000000,0.28030201,0.13584177
-3.99499750,1.91361780,0.32600186,1.06532016,0.00014378,0.20383367,0.85620489,0.00000000,0.25137879,0.13087249
-3.98899450,1.81795903,0.31768319,1.00547521,0.00016072,0.18615308,0.82218859,0.00000000,0.22574994,0.12681434
-3.98299150,1.73052496,0.31174623,0.94777960,0.00017969,0.17028618,0.79210932,0.00000000,0.20321750,0.12362906
-3.97698849,1.65126737,0.30806794,0.89251852,0.00020058,0.15610216,0.76596717,0.00000000,0.18356825,0.12126732
-3.97098549,1.58001512,0.30648596,0.83992451,0.00022324,0.14346893,0.74367953,0.00000000,0.16657857,0.11966882
-3.96498249,1.51647455,0.30680018,0.79017408,0.00024746,0.13225459,0.72508192,0.00000000,0.15201874,0.11876252
-3.95897949,1.46023251,0.30877544,0.74338534,0.00027298,0.12232873,0.70993094,0.00000000,0.13965670,0.11846723
-3.95297649,1.41076263,0.31214534,0.69961716,0.00029948,0.11356339,0.69790950,0.00000000,0.12926133,0.11869250
-3.94697349,1.36743539,0.31661723,0.65886991,0.00032662,0.10583392,0.68863448,0.00000000,0.12060532,0.11933991
-3.94097049,1.32953199,0.32187825,0.62108810,0.00035401,0.09901980,0.68166675,0.00000000,0.11346780,0.12030484
-3.93496748,1.29626211,0.32760256,0.58616479,0.00038121,0.09300544,0.67652346,0.00000000,0.10763661,0.12147849
-3.92896448,1.26678519,0.33345920,0.55394791,0.00040778,0.08768097,0.67269220,0.00000000,0.10291051,0.12275040
-3.92296148,1.24023449,0.33912081,0.52424807,0.00043326,0.08294318,0.66964675,0.00000000,0.09910114,0.12401115
-3.91695848,1.21574330,0.34427245,0.49684776,0.00045717,0.07869633,0.66686368,0.00000000,0.09603488,0.12515531
-3.91095548,1.19247217,0.34862053,0.47151141,0.00047907,0.07485307,0.66383946,0.00000000,0.09355455,0.12608438
-3.90495248,1.16963596,0.35190138,0.44799599,0.00049854,0.07133529,0.66010705,0.00000000,0.09152098,0.12670975
-3.89894947,1.14652963,0.35388903,0.42606163,0.00051520,0.06807486,0.65525167,0.00000000,0.08981435,0.12695541
-3.89294647,1.12255159,0.35440205,0.40548172,0.00052872,0.06501423,0.64892471,0.00000000,0.08833531,0.12676037
-3.88694347,1.09722349,0.35330893,0.38605217,0.00053884,0.06210684,0.64085551,0.00000000,0.08700573,0.12608062
-3.88094047,1.07020556,0.35053193,0.36759936,0.00054538,0.05931733,0.63086020,0.00000000,0.08576924,0.12489058
-3.87493747,1.04130689,0.34604921,0.34998641,0.00054823,0.05662143,0.61884753,0.00000000,0.08459118,0.12318386
-3.86893447,1.01049006,0.33989505,0.33311768,0.00054738,0.05400565,0.60482118,0.00000000,0.08345826,0.12097351
-3.86293147,0.97787013,0.33215821,0.31694123,0.00054292,0.05146666,0.58887868,0.00000000,0.08237764,0.11829141
-3.85692846,0.94370785,0.32297856,0.30144931,0.00053501,0.04901040,0.57120680,0.00000000,0.08137559,0.11518714
-3.85092546,0.90839767,0.31254197,0.28667684,0.00052391,0.04665099,0.55207396,0.00000000,0.08049563,0.11172616
-3.84492246,0.87245093,0.30107391,0.27269817,0.00050996,0.04440940,0.53181960,0.00000000,0.07979621,0.10798747
-3.83891946,0.83647510,0.28883174,0.25962212,0.00049355,0.04231200,0.51084139,0.00000000,0.07934794,0.10406082
-3.83291646,0.80114987,0.27609625,0.24758583,0.00047516,0.04038899,0.48958051,0.00000000,0.07923052,0.10004358
-3.82691346,0.76720112,0.26316265,0.23674748,0.00045529,0.03867274,0.46850576,0.00000000,0.07952928,0.09603734
-3.82091046,0.73537375,0.25033138,0.22727835,0.00043447,0.03719616,0.44809710,0.00000000,0.08033151,0.09214451
-3.81490745,0.70640435,0.23789900,0.21935449,0.00041326,0.03599109,0.42882920,0.00000000,0.08172279,0.08846487
-3.80890445,0.68099467,0.22614957,0.21314832,0.00039220,0.03508679,0.41115554,0.00000000,0.08378308,0.08509233
-3.80290145,0.65978674,0.21534667,0.20882038,0.00037184,0.03450849,0.39549367,0.00000000,0.08658312,0.08211187
-3.79689845,0.64334037,0.20572637,0.20651165,0.00035266,0.03427618,0.38221202,0.00000000,0.09018089,0.07959696
-3.79089545,0.63211371,0.19749123,0.20633649,0.00033512,0.03440347,0.37161856,0.00000000,0.09461841,0.07760729
-3.78489245,0.62644727,0.19080556,0.20837649,0.00031963,0.03489679,0.36395175,0.00000000,0.09991903,0.07618706
-3.77888944,0.62655182,0.18579193,0.21267540,0.00030651,0.03575468,0.35937378,0.00000000,0.10608515,0.07536382
-3.77288644,0.63250049,0.18252904,0.21923519,0.00029603,0.03696740,0.35796634,0.00000000,0.11309668,0.07514780
-3.76688344,0.64422505,0.18105090,0.22801342,0.00028836,0.03851676,0.35972883,0.00000000,0.12091008,0.07553184
-3.76088044,0.66151647,0.18134731,0.23892199,0.00028362,0.04037618,0.36457910,0.00000000,0.12945827,0.07649193
-3.75487744,0.68402966,0.18336559,0.25182724,0.00028180,0.04251105,0.37235646,0.00000000,0.13865128,0.07798815
-3.74887444,0.71129225,0.18701347,0.26655148,0.00028284,0.04487930,0.38282692,0.00000000,0.14837775,0.07996617
-3.74287144,0.74271709,0.19216305,0.28287597,0.00028661,0.04743223,0.39569035,0.00000000,0.15850730,0.08235918
-3.73686843,0.77761811,0.19865569,0.30054518,0.00029287,0.05011558,0.41058939,0.00000000,0.16889349,0.08509014
-3.73086543,0.81522923,0.20630768,0.31927238,0.00030134,0.05287074,0.42711980,0.00000000,0.17937772,0.08807430
-3.72486243,0.85472559,0.21491663,0.33874642,0.00031167,0.05563623,0.44484191,0.00000000,0.18979346,0.09122202
-3.71885943,0.89524679,0.22426833,0.35863950,0.00032348,0.05834922,0.46329285,0.00000000,0.19997116,0.09444153
-3.71285643,0.93592120,0.23414383,0.37861568,0.00033632,0.06094721,0.48199931,0.00000000,0.20974323,0.09764192
-3.70685343,0.97589090,0.24432675,0.39834014,0.00034975,0.06336969,0.50049025,0.00000000,0.21894932,0.10073587
-3.70085043,1.01433627,0.25461045,0.41748858,0.00036331,0.06555985,0.51830946,0.00000000,0.22744135,0.10364233
-3.69484742,1.05049962,0.26480481,0.43575675,0.00037653,0.06746615,0.53502740,0.00000000,0.23508833,0.10628896
-3.68884442,1.08370711,0.27474264,0.45286960,0.00038896,0.06904377,0.55025207,0.00000000,0.24178069,0.10861415
