energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-5.60980490,3.05887399,0.01636760,0.00000000,0.01463569,0.10579351,1.30096513,1.07958162,0.00448951,1.88522519
-5.60380190,2.99115120,0.01622670,0.00000000,0.01464358,0.10467622,1.27991657,1.05043849,0.00457709,1.84560393
-5.59779890,2.92660099,0.01608280,0.00000000,0.01471904,0.10402632,1.25961963,1.02230127,0.00468096,1.80722202
-5.59179590,2.86630261,0.01593847,0.00000000,0.01487237,0.10387936,1.24035678,0.99565716,0.00480098,1.77068161
-5.58579290,2.81118186,0.01579567,0.00000000,0.01511284,0.10426155,1.22235349,0.97094328,0.00493657,1.73649828
-5.57978989,2.76200794,0.01565566,0.00000000,0.01544857,0.10518961,1.20577811,0.94854503,0.00508681,1.70509949
-5.57378689,2.71939515,0.01551908,0.00000000,0.01588632,0.10667066,1.19074334,0.92879611,0.00525045,1.67682608
-5.56778389,2.68380893,0.01538592,0.00000000,0.01643140,0.10870243,1.17730930,0.91198001,0.00542593,1.65193640
-5.56178089,2.65557558,0.01525561,0.00000000,0.01708760,0.11127344,1.16548786,0.89833265,0.00561142,1.63061270
-5.55577789,2.63489478,0.01512714,0.00000000,0.01785714,0.11436344,1.15524824,0.88804573,0.00580493,1.61296930
-5.54977489,2.62185402,0.01499913,0.00000000,0.01874060,0.11794385,1.14652337,0.88127053,0.00600433,1.59906195
-5.54377189,2.61644395,0.01486999,0.00000000,0.01973697,0.12197849,1.13921694,0.87812165,0.00620745,1.58889776
-5.53776888,2.61857373,0.01473802,0.00000000,0.02084364,0.12642418,1.13321064,0.87868041,0.00641210,1.58244503
-5.53176588,2.62808527,0.01460162,0.00000000,0.02205642,0.13123167,1.12837136,0.88299763,0.00661619,1.57964249
-5.52576288,2.64476577,0.01445935,0.00000000,0.02336959,0.13634645,1.12455794,0.89109554,0.00681776,1.58040718
-5.51975988,2.66835758,0.01431006,0.00000000,0.02477593,0.14170979,1.12162720,0.90296851,0.00701504,1.58464070
-5.51375688,2.69856501,0.01415302,0.00000000,0.02626678,0.14725963,1.11943886,0.91858280,0.00720649,1.59223324
-5.50775388,2.73505785,0.01398794,0.00000000,0.02783209,0.15293170,1.11785935,0.93787500,0.00739081,1.60306535
-5.50175088,2.77747142,0.01381503,0.00000000,0.02946043,0.15866049,1.11676418,0.96074960,0.00756700,1.61700734
-5.49574787,2.82540354,0.01363497,0.00000000,0.03113913,0.16438032,1.11603893,0.98707562,0.00773429,1.63391638
-5.48974487,2.87840879,0.01344890,0.00000000,0.03285428,0.17002629,1.11557891,1.01668278,0.00789220,1.65363164
-5.48374187,2.93599094,0.01325833,0.00000000,0.03459087,0.17553532,1.11528766,1.04935743,0.00804049,1.67596796
-5.47773887,2.99759436,0.01306507,0.00000000,0.03633290,0.18084704,1.11507453,1.08483879,0.00817910,1.70070858
-5.47173587,3.06259552,0.01287110,0.00000000,0.03806349,0.18590471,1.11485157,1.12281573,0.00830814,1.72759766
-5.46573287,3.13029566,0.01267847,0.00000000,0.03976514,0.19065606,1.11453029,1.16292475,0.00842787,1.75633334
-5.45972986,3.19991575,0.01248912,0.00000000,0.04141986,0.19505408,1.11401843,1.20474936,0.00853858,1.78656198
-5.45372686,3.27059463,0.01230483,0.00000000,0.04300947,0.19905774,1.11321722,1.24782135,0.00864063,1.81787444
-5.44772386,3.34139126,0.01212706,0.00000000,0.04451588,0.20263267,1.11201953,1.29162397,0.00873437,1.84980473
-5.44172086,3.41129139,0.01195689,0.00000000,0.04592140,0.20575178,1.11030894,1.33559743,0.00882008,1.88183174
-5.43571786,3.47921914,0.01179492,0.00000000,0.04720906,0.20839577,1.10796014,1.37914649,0.00889799,1.91338396
-5.42971486,3.54405319,0.01164128,0.00000000,0.04836293,0.21055359,1.10484056,1.42165015,0.00896822,1.94384750
-5.42371186,3.60464727,0.01149559,0.00000000,0.04936849,0.21222275,1.10081336,1.46247311,0.00903078,1.97257708
-5.41770885,3.65985428,0.01135698,0.00000000,0.05021287,0.21340957,1.09574143,1.50097864,0.00908551,1.99890968
-5.41170585,3.70855293,0.01122417,0.00000000,0.05088518,0.21412926,1.08949249,1.53654248,0.00913216,2.02218027
-5.40570285,3.74967588,0.01109549,0.00000000,0.05137668,0.21440581,1.08194473,1.56856707,0.00917029,2.04173895
-5.39969985,3.78223801,0.01096902,0.00000000,0.05168098,0.21427175,1.07299282,1.59649570,0.00919933,2.05696874
-5.39369685,3.80536366,0.01084266,0.00000000,0.05179409,0.21376769,1.06255398,1.61982585,0.00921857,2.06730325
-5.38769385,3.81831138,0.01071423,0.00000000,0.05171452,0.21294160,1.05057368,1.63812129,0.00922715,2.07224331
-5.38169085,3.82049530,0.01058162,0.00000000,0.05144319,0.21184796,1.03703063,1.65102245,0.00922410,2.07137204
-5.37568784,3.81150209,0.01044283,0.00000000,0.05098334,0.21054658,1.02194106,1.65825453,0.00920835,2.06436753
-5.36968484,3.79110289,0.01029614,0.00000000,0.05034041,0.20910129,1.00536168,1.65963330,0.00917875,2.05101274
-5.36368184,3.75925985,0.01014011,0.00000000,0.04952181,0.20757846,0.98739162,1.65506822,0.00913409,2.03120238
-5.35767884,3.71612717,0.00997370,0.00000000,0.04853673,0.20604532,0.96817295,1.64456301,0.00907319,2.00494638
-5.35167584,3.66204682,0.00979632,0.00000000,0.04739588,0.20456824,0.94788995,1.62821366,0.00899487,1.97237012
-5.34567284,3.59753939,0.00960784,0.00000000,0.04611126,0.20321104,0.92676712,1.60620417,0.00889809,1.93371159
-5.33966983,3.52329069,0.00940859,0.00000000,0.04469591,0.20203328,0.90506608,1.57880029,0.00878193,1.88931552
-5.33366683,3.44013479,0.00919942,0.00000000,0.04316371,0.20108880,0.88308135,1.54634160,0.00864573,1.83962505
-5.32766383,3.34903446,0.00898163,0.00000000,0.04152919,0.20042444,0.86113528,1.50923233,0.00848911,1.78517125
-5.32166083,3.25105977,0.00875695,0.00000000,0.03980736,0.20007911,0.83957220,1.46793146,0.00831204,1.72656097
-5.31565783,3.14736580,0.00852751,0.00000000,0.03801356,0.20008324,0.81875192,1.42294230,0.00811493,1.66446348
-5.30965483,3.03917011,0.00829581,0.00000000,0.03616337,0.20045875,0.79904267,1.37480218,0.00789867,1.59959624
-5.30365183,2.92773077,0.00806460,0.00000000,0.03427251,0.20121940,0.78081377,1.32407228,0.00766467,1.53271039
-5.29764882,2.81432534,0.00783690,0.00000000,0.03235676,0.20237177,0.76442785,1.27132823,0.00741491,1.46457618
-5.29164582,2.70023142,0.00761586,0.00000000,0.03043194,0.20391666,0.75023311,1.21715128,0.00715192,1.39596872
-5.28564282,2.58670887,0.00740470,0.00000000,0.02851378,0.20585089,0.73855544,1.16212054,0.00687882,1.32765428
-5.27963982,2.47498395,0.00720669,0.00000000,0.02661789,0.20816957,0.72969072,1.10680605,0.00659926,1.26037746
-5.27363682,2.36623543,0.00702501,0.00000000,0.02475970,0.21086850,0.72389747,1.05176292,0.00631739,1.19484935
-5.26763382,2.26158265,0.00686269,0.00000000,0.02295433,0.21394680,0.72138993,0.99752633,0.00603780,1.13173685
-5.26163082,2.16207539,0.00672258,0.00000000,0.02121656,0.21740938,0.72233192,0.94460737,0.00576544,1.07165334
-5.25562781,2.06868542,0.00660725,0.00000000,0.01956062,0.22126935,0.72683161,0.89348960,0.00550551,1.01515073
-5.24962481,1.98229958,0.00651893,0.00000000,0.01800017,0.22554999,0.73493740,0.84462619,0.00526339,0.96271300
-5.24362181,1.90371410,0.00645947,0.00000000,0.01654809,0.23028618,0.74663521,0.79843749,0.00504449,0.91475134
-5.23761881,1.83363001,0.00643029,0.00000000,0.01521636,0.23552530,0.76184724,0.75530889,0.00485414,0.87160078
-5.23161581,1.77264936,0.00643237,0.00000000,0.01401595,0.24132720,0.78043230,0.71558888,0.00469747,0.83351840
-5.22561281,1.72127211,0.00646618,0.00000000,0.01295662,0.24776348,0.80218795,0.67958712,0.00457930,0.80068297
-5.21960980,1.67989337,0.00653171,0.00000000,0.01204681,0.25491571,0.82685415,0.64757254,0.00450403,0.77319602
-5.21360680,1.64880099,0.00662847,0.00000000,0.01129348,0.26287291,0.85411857,0.61977128,0.00447547,0.75108410
-5.20760380,1.62817323,0.00675547,0.00000000,0.01070199,0.27172810,0.88362326,0.59636460,0.00449683,0.73430210
-5.20160080,1.61807643,0.00691125,0.00000000,0.01027596,0.28157410,0.91497243,0.57748663,0.00457054,0.72273748
-5.19559780,1.61846273,0.00709393,0.00000000,0.01001714,0.29249882,0.94774111,0.56322210,0.00469823,0.71621510
-5.18959480,1.62916784,0.00730120,0.00000000,0.00992531,0.30457998,0.98148423,0.55360404,0.00488061,0.71450248
-5.18359180,1.64990897,0.00753040,0.00000000,0.00999816,0.31787973,1.01574586,0.54861170,0.00511743,0.71731535
-5.17758879,1.68028309,0.00777853,0.00000000,0.01023124,0.33243926,1.05006821,0.54816864,0.00540747,0.72432323
-5.17158579,1.71976581,0.00804230,0.00000000,0.01061787,0.34827365,1.08399995,0.55214139,0.00574842,0.73515487
-5.16558279,1.76771129,0.00831821,0.00000000,0.01114910,0.36536734,1.11710377,0.56033856,0.00613698,0.74940365
-5.15957979,1.82335340,0.00860253,0.00000000,0.01181375,0.38367023,1.14896274,0.57251094,0.00656878,0.76663260
-5.15357679,1.88580867,0.00889142,0.00000000,0.01259844,0.40309487,1.17918546,0.58835238,0.00703845,0.78637940
-5.14757379,1.95408145,0.00918090,0.00000000,0.01348766,0.42351483,1.20740996,0.60750198,0.00753965,0.80816104
-5.14157079,2.02707159,0.00946697,0.00000000,0.01446399,0.44476431,1.23330625,0.62954737,0.00806518,0.83147860
-5.13556778,2.10358498,0.00974561,0.00000000,0.01550825,0.46663923,1.25657780,0.65402949,0.00860704,0.85582200
-5.12956478,2.18234725,0.01001284,0.00000000,0.01659988,0.48889976,1.27696207,0.68044863,0.00915661,0.88067502
-5.12356178,2.26202065,0.01026477,0.00000000,0.01771720,0.51127423,1.29423027,0.70827190,0.00970475,0.90552058
-5.11755878,2.34122405,0.01049766,0.00000000,0.01883790,0.53346450,1.30818675,0.73694194,0.01024203,0.92984653
-5.11155578,2.41855589,0.01070796,0.00000000,0.01993951,0.55515234,1.31866811,0.76588676,0.01075891,0.95315193
-5.10555278,2.49261967,0.01089241,0.00000000,0.02099989,0.57600705,1.32554249,0.79453055,0.01124595,0.97495378
-5.09954977,2.56205133,0.01104803,0.00000000,0.02199781,0.59569364,1.32870910,0.82230503,0.01169405,0.99479428
-5.09354677,2.62554790,0.01117224,0.00000000,0.02291349,0.61388163,1.32809814,0.84866125,0.01209469,1.01224841
-5.08754377,2.68189651,0.01126290,0.00000000,0.02372918,0.63025397,1.32367130,0.87308129,0.01244014,1.02693166
-5.08154077,2.73000281,0.01131835,0.00000000,0.02442962,0.64451591,1.31542277,0.89508970,0.01272367,1.03850777
-5.07553777,2.76891775,0.01133751,0.00000000,0.02500256,0.65640332,1.30338069,0.91426404,0.01293976,1.04669601
-5.06953477,2.79786176,0.01131985,0.00000000,0.02543906,0.66569040,1.28760889,0.93024444,0.01308427,1.05127789
-5.06353177,2.81624535,0.01126549,0.00000000,0.02573382,0.67219627,1.26820872,0.94274166,0.01315454,1.05210284
-5.05752876,2.82368521,0.01117520,0.00000000,0.02588534,0.67579042,1.24532072,0.95154336,0.01314948,1.04909263
-5.05152576,2.82001497,0.01105038,0.00000000,0.02589588,0.67639658,1.21912590,0.95651848,0.01306961,1.04224410
-5.04552276,2.80529028,0.01089311,0.00000000,0.02577145,0.67399516,1.18984622,0.95761933,0.01291705,1.03163014
-5.03951976,2.77978756,0.01070605,0.00000000,0.02552149,0.66862392,1.15774414,0.95488152,0.01269544,1.01739860
-5.03351676,2.74399635,0.01049244,0.00000000,0.02515856,0.66037696,1.12312103,0.94842144,0.01240981,0.99976903
-5.02751376,2.69860547,0.01025602,0.00000000,0.02469787,0.64940209,1.08631410,0.93843158,0.01206644,0.97902736
-5.02151076,2.64448310,0.01000095,0.00000000,0.02415664,0.63589659,1.04769208,0.92517364,0.01167267,0.95551839
-5.01550775,2.58265145,0.00973168,0.00000000,0.02355353,0.62010155,1.00764934,0.90896966,0.01123663,0.92963644
-5.00950475,2.51425684,0.00945287,0.00000000,0.02290792,0.60229504,0.96659873,0.89019153,0.01076698,0.90181436
-5.00350175,2.44053596,0.00916926,0.00000000,0.02223917,0.58278416,0.92496329,0.86924904,0.01027270,0.87251116
-4.99749875,2.36277960,0.00888551,0.00000000,0.02156597,0.56189645,0.88316703,0.84657705,0.00976277,0.84219877
-4.99149575,2.28229506,0.00860608,0.00000000,0.02090565,0.53997083,0.84162520,0.82262197,0.00924591,0.81134844
-4.98549275,2.20036837,0.00833510,0.00000000,0.02027360,0.51734840,0.80073433,0.79782828,0.00873037,0.78041701
-4.97948974,2.11822792,0.00807624,0.00000000,0.01968275,0.49436334,0.76086253,0.77262521,0.00822368,0.74983390
-4.97348674,2.03701049,0.00783260,0.00000000,0.01914318,0.47133436,0.72234045,0.74741441,0.00773249,0.71998906
-4.96748374,1.95773115,0.00760662,0.00000000,0.01866190,0.44855683,0.68545325,0.72255874,0.00726243,0.69122244
-4.96148074,1.88125800,0.00739999,0.00000000,0.01824262,0.42629585,0.65043409,0.69837274,0.00681799,0.66381537
-4.95547774,1.80829257,0.00721364,0.00000000,0.01788584,0.40478067,0.61745928,0.67511514,0.00640251,0.63798417
-4.94947474,1.73935685,0.00704766,0.00000000,0.01758894,0.38420030,0.58664549,0.65298355,0.00601814,0.61387630
-4.94347174,1.67478704,0.00690137,0.00000000,0.01734642,0.36470074,0.55804909,0.63211175,0.00566587,0.59156903
