energy_ev,total_up,B_p_up,B_d_up,Cu_p_up,Cu_d_up,Te_p_up,Te_d_up
-5.41770885,0.40181618,0.05483153,0.00000000,0.09763158,0.17683561,0.08331964,0.00000000
-5.41170585,0.42529123,0.06021328,0.00000000,0.10332925,0.18912867,0.08345655,0.00000000
-5.40570285,0.45332571,0.06603534,0.00000000,0.11041094,0.20327308,0.08500317,0.00000000
-5.39969985,0.48542500,0.07225634,0.00000000,0.11870613,0.21907517,0.08778641,0.00000000
-5.39369685,0.52101819,0.07882005,0.00000000,0.12802856,0.23630301,0.09162803,0.00000000
-5.38769385,0.55946125,0.08565566,0.00000000,0.13817731,0.25468783,0.09634572,0.00000000
-5.38169085,0.60004311,0.09267855,0.00000000,0.14893847,0.27392690,0.10175432,0.00000000
-5.37568784,0.64199511,0.09979176,0.00000000,0.16008751,0.29368795,0.10766740,0.00000000
-5.36968484,0.68450374,0.10688804,0.00000000,0.17139235,0.31361528,0.11389903,0.00000000
-5.36368184,0.72672669,0.11385258,0.00000000,0.18261719,0.33333728,0.12026603,0.00000000
-5.35767884,0.76781183,0.12056613,0.00000000,0.19352696,0.35247548,0.12659052,0.00000000
-5.35167584,0.80691861,0.12690862,0.00000000,0.20389238,0.37065457,0.13270278,0.00000000
-5.34567284,0.84324110,0.13276305,0.00000000,0.21349538,0.38751330,0.13844437,0.00000000
-5.33966983,0.87603183,0.13801947,0.00000000,0.22213472,0.40271566,0.14367140,0.00000000
-5.33366683,0.90462529,0.14257895,0.00000000,0.22963162,0.41596189,0.14825766,0.00000000
-5.32766383,0.92846017,0.14635731,0.00000000,0.23583493,0.42699897,0.15209775,0.00000000
-5.32166083,0.94709905,0.14928845,0.00000000,0.24062590,0.43562982,0.15510967,0.00000000
-5.31565783,0.96024466,0.15132707,0.00000000,0.24392201,0.44172093,0.15723707,0.00000000
-5.30965483,0.96775179,0.15245079,0.00000000,0.24567981,0.44520801,0.15845077,0.00000000
-5.30365183,0.96963403,0.15266128,0.00000000,0.24589649,0.44609918,0.15874949,0.00000000
-5.29764882,0.96606502,0.15198470,0.00000000,0.24461020,0.44447563,0.15815984,0.00000000
-5.29164582,0.95737379,0.15047101,0.00000000,0.24189888,0.44048958,0.15673533,0.00000000
-5.28564282,0.94403445,0.14819250,0.00000000,0.23787781,0.43435958,0.15455452,0.00000000
-5.27963982,0.92665044,0.14524142,0.00000000,0.23269579,0.42636329,0.15171836,0.00000000
-5.27363682,0.90593402,0.14172683,0.00000000,0.22653023,0.41682813,0.14834681,0.00000000
-5.26763382,0.88268180,0.13777090,0.00000000,0.21958135,0.40611999,0.14457477,0.00000000
-5.26163082,0.85774739,0.13350466,0.00000000,0.21206559,0.39463071,0.14054763,0.00000000
-5.25562781,0.83201237,0.12906356,0.00000000,0.20420878,0.38276469,0.13641655,0.00000000
-5.24962481,0.80635675,0.12458294,0.00000000,0.19623912,0.37092540,0.13233367,0.00000000
-5.24362181,0.78163033,0.12019364,0.00000000,0.18838045,0.35950212,0.12844743,0.00000000
-5.23761881,0.75862602,0.11601789,0.00000000,0.18084597,0.34885770,0.12489822,0.00000000
-5.23161581,0.73805636,0.11216577,0.00000000,0.17383280,0.33931780,0.12181458,0.00000000
-5.22561281,0.72053406,0.10873226,0.00000000,0.16751749,0.33116193,0.11930996,0.00000000
-5.21960980,0.70655744,0.10579505,0.00000000,0.16205262,0.32461671,0.11748027,0.00000000
-5.21360680,0.69650110,0.10341320,0.00000000,0.15756473,0.31985164,0.11640229,0.00000000
-5.20760380,0.69061216,0.10162663,0.00000000,0.15415351,0.31697736,0.11613282,0.00000000
-5.20160080,0.68901197,0.10045651,0.00000000,0.15189218,0.31604640,0.11670885,0.00000000
-5.19559780,0.69170308,0.09990644,0.00000000,0.15082914,0.31705645,0.11814830,0.00000000
-5.18959480,0.69858083,0.09996433,0.00000000,0.15099052,0.31995563,0.12045166,0.00000000
-5.18359180,0.70944888,0.10060492,0.00000000,0.15238367,0.32464968,0.12360407,0.00000000
-5.17758879,0.72403770,0.10179275,0.00000000,0.15500117,0.33101046,0.12757785,0.00000000
-5.17158579,0.74202502,0.10348541,0.00000000,0.15882517,0.33888537,0.13233529,0.00000000
-5.16558279,0.76305712,0.10563696,0.00000000,0.16383182,0.34810719,0.13783150,0.00000000
-5.15957979,0.78676969,0.10820120,0.00000000,0.16999544,0.35850369,0.14401718,0.00000000
-5.15357679,0.81280734,0.11113480,0.00000000,0.17729223,0.36990671,0.15084110,0.00000000
-5.14757379,0.84084059,0.11439995,0.00000000,0.18570324,0.38216003,0.15825213,0.00000000
-5.14157079,0.87057957,0.11796650,0.00000000,0.19521643,0.39512582,0.16620085,0.00000000
-5.13556778,0.90178372,0.12181346,0.00000000,0.20582761,0.40868926,0.17464042,0.00000000
-5.12956478,0.93426701,0.12592972,0.00000000,0.21754030,0.42276112,0.18352691,0.00000000
-5.12356178,0.96789860,0.13031401,0.00000000,0.23036430,0.43727825,0.19281895,0.00000000
-5.11755878,1.00259884,0.13497411,0.00000000,0.24431321,0.45220205,0.20247679,0.00000000
-5.11155578,1.03833113,0.13992526,0.00000000,0.25940077,0.46751495,0.21246082,0.00000000
-5.10555278,1.07509006,0.14518796,0.00000000,0.27563648,0.48321518,0.22272985,0.00000000
-5.09954977,1.11288664,0.15078521,0.00000000,0.29302046,0.49931032,0.23323898,0.00000000
-5.09354677,1.15173162,0.15673936,0.00000000,0.31153800,0.51580980,0.24393759,0.00000000
-5.08754377,1.19161796,0.16306869,0.00000000,0.33115403,0.53271700,0.25476736,0.00000000
-5.08154077,1.23250341,0.16978403,0.00000000,0.35180790,0.55002146,0.26566063,0.00000000
-5.07553777,1.27429454,0.17688549,0.00000000,0.37340875,0.56769146,0.27653926,0.00000000
-5.06953477,1.31683309,0.18435951,0.00000000,0.39583174,0.58566779,0.28731401,0.00000000
-5.06353177,1.35988555,0.19217648,0.00000000,0.41891563,0.60385869,0.29788470,0.00000000
-5.05752876,1.40313683,0.20028902,0.00000000,0.44246166,0.62213674,0.30814110,0.00000000
-5.05152576,1.44618841,0.20863098,0.00000000,0.46623417,0.64033752,0.31796456,0.00000000
-5.04552276,1.48856125,0.21711747,0.00000000,0.48996283,0.65826047,0.32723042,0.00000000
-5.03951976,1.52970362,0.22564568,0.00000000,0.51334671,0.67567184,0.33581106,0.00000000
-5.03351676,1.56900345,0.23409669,0.00000000,0.53605998,0.69230965,0.34357947,0.00000000
-5.02751376,1.60580486,0.24233816,0.00000000,0.55775915,0.70789050,0.35041329,0.00000000
-5.02151076,1.63942814,0.25022777,0.00000000,0.57809165,0.72211796,0.35619895,0.00000000
-5.01550775,1.66919231,0.25761741,0.00000000,0.59670536,0.73469215,0.36083595,0.00000000
-5.00950475,1.69443937,0.26435777,0.00000000,0.61325889,0.74532014,0.36424088,0.00000000
-5.00350175,1.71455900,0.27030328,0.00000000,0.62743208,0.75372669,0.36635120,0.00000000
-4.99749875,1.72901282,0.27531719,0.00000000,0.63893637,0.75966484,0.36712837,0.00000000
-4.99149575,1.73735697,0.27927649,0.00000000,0.64752463,0.76292598,0.36656040,0.00000000
-4.98549275,1.73926205,0.28207649,0.00000000,0.65300001,0.76334886,0.36466357,0.00000000
