energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
1.35967984,7.24853184,0.00732648,0.49062761,0.05212530,0.29317225,0.10757926,6.67788667
1.36568284,7.27494936,0.00728489,0.49465600,0.05394998,0.27916015,0.10392291,6.70433116
1.37168584,7.30030217,0.00727357,0.49773417,0.05565928,0.26652864,0.10056063,6.73037184
1.37768884,7.32188852,0.00728653,0.49976869,0.05723318,0.25528680,0.09749467,6.75335548
1.38369185,7.33709877,0.00731743,0.50068137,0.05865349,0.24542474,0.09472336,6.77071328
1.38969485,7.34351018,0.00735987,0.50041205,0.05990423,0.23691476,0.09224115,6.78005543
1.39569785,7.33897704,0.00740747,0.49892137,0.06097201,0.22971315,0.09003892,6.77926041
1.40170085,7.32171235,0.00745414,0.49619334,0.06184636,0.22376245,0.08810444,6.76655527
1.40770385,7.29035784,0.00749423,0.49223776,0.06252005,0.21899426,0.08642292,6.74058383
1.41370685,7.24403935,0.00752272,0.48709207,0.06298932,0.21533207,0.08497774,6.70045997
1.41970985,7.18240521,0.00753537,0.48082269,0.06325399,0.21269436,0.08375111,6.64580401
1.42571286,7.10564611,0.00752890,0.47352557,0.06331758,0.21099756,0.08272485,6.57676077
1.43171586,7.01449548,0.00750106,0.46532586,0.06318719,0.21015876,0.08188106,6.49399861
1.43771886,6.91021058,0.00745074,0.45637656,0.06287335,0.21009826,0.08120274,6.39868985
1.44372186,6.79453503,0.00737799,0.44685627,0.06238977,0.21074164,0.08067433,6.29247353
1.44972486,6.66964464,0.00728404,0.43696577,0.06175290,0.21202145,0.08028213,6.17740227
1.45572786,6.53807889,0.00717128,0.42692379,0.06098148,0.21387852,0.08001455,6.05587581
1.46173087,6.40266120,0.00704315,0.41696188,0.06009594,0.21626282,0.07986238,5.93056423
1.46773387,6.26641162,0.00690411,0.40731876,0.05911778,0.21913400,0.07981880,5.80432438
1.47373687,6.13245576,0.00675943,0.39823410,0.05806887,0.22246155,0.07987943,5.68011315
