energy_ev,total_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-1.65382691,1.20946037,0.00090992,0.01944698,0.69670816,0.39000976,0.00223460,0.09662850,0.12850444,0.46090291
-1.64782391,1.18123578,0.00084884,0.01911756,0.64102880,0.36914589,0.00212664,0.09537437,0.12664375,0.47197210
-1.64182091,1.15766424,0.00078981,0.01888359,0.59047174,0.35056218,0.00203501,0.09452063,0.12501074,0.48334872
-1.63581791,1.13827918,0.00073316,0.01873814,0.54488563,0.33409251,0.00195974,0.09403020,0.12357237,0.49482702
-1.62981491,1.12259492,0.00067918,0.01867424,0.50407290,0.31955903,0.00190085,0.09386305,0.12229522,0.50621086
-1.62381191,1.11011907,0.00062810,0.01868501,0.46779580,0.30677739,0.00185828,0.09397714,0.12114639,0.51731783
-1.61780890,1.10036292,0.00058008,0.01876397,0.43578213,0.29556108,0.00183192,0.09432930,0.12009422,0.52798249
-1.61180590,1.09284987,0.00053524,0.01890503,0.40773097,0.28572517,0.00182164,0.09487586,0.11910885,0.53805843
-1.60580290,1.08712187,0.00049360,0.01910263,0.38331838,0.27708927,0.00182723,0.09557337,0.11816263,0.54741943
-1.59979990,1.08274415,0.00045516,0.01935162,0.36220333,0.26947993,0.00184840,0.09637902,0.11723036,0.55595951
-1.59379690,1.07930826,0.00041985,0.01964717,0.34403370,0.26273243,0.00188476,0.09725111,0.11628941,0.56359202
-1.58779390,1.07643377,0.00038754,0.01998465,0.32845251,0.25669217,0.00193579,0.09814937,0.11531972,0.57024802
-1.58179090,1.07376884,0.00035807,0.02035935,0.31510419,0.25121560,0.00200081,0.09903526,0.11430367,0.57587392
-1.57578789,1.07098995,0.00033125,0.02076637,0.30364087,0.24617080,0.00207895,0.09987218,0.11322588,0.58042875
-1.56978489,1.06780106,0.00030685,0.02120031,0.29372845,0.24143788,0.00216917,0.10062564,0.11207302,0.58388119
-1.56378189,1.06393238,0.00028464,0.02165513,0.28505239,0.23690906,0.00227015,0.10126344,0.11083353,0.58620664
-1.55777889,1.05913927,0.00026439,0.02212395,0.27732303,0.23248866,0.00238038,0.10175582,0.10949733,0.58738443
-1.55177589,1.05320112,0.00024586,0.02259895,0.27028023,0.22809299,0.00249809,0.10207563,0.10805566,0.58739558
-1.54577289,1.04592077,0.00022882,0.02307132,0.26369723,0.22365007,0.00262131,0.10219842,0.10650089,0.58622109
-1.53976988,1.03712434,0.00021307,0.02353126,0.25738375,0.21909942,0.00274785,0.10210271,0.10482641,0.58384093
-1.53376688,1.02666174,0.00019842,0.02396811,0.25118795,0.21439170,0.00287536,0.10177013,0.10302663,0.58023395
-1.52776388,1.01440779,0.00018472,0.02437048,0.24499764,0.20948847,0.00300140,0.10118563,0.10109707,0.57537851
-1.52176088,1.00026399,0.00017184,0.02472652,0.23874033,0.20436183,0.00312343,0.10033776,0.09903451,0.56925398
-1.51575788,0.98416087,0.00015966,0.02502424,0.23238251,0.19899415,0.00323897,0.09921885,0.09683724,0.56184302
-1.50975488,0.96606071,0.00014813,0.02525183,0.22592796,0.19337774,0.00334560,0.09782532,0.09450539,0.55313437
