energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-5.53776888,2.62114764,0.00379423,0.41190044,0.71697500,0.45013548,0.01635627,1.26963317,0.74728212,0.62689601
-5.53176588,2.65054579,0.00396958,0.41855400,0.72213210,0.45901341,0.01559611,1.28079028,0.75993627,0.63724899
-5.52576288,2.67927510,0.00415688,0.42499863,0.72739642,0.46775051,0.01482280,1.29188042,0.77337974,0.64725093
-5.51975988,2.70680353,0.00435418,0.43110493,0.73259698,0.47621121,0.01404549,1.30266519,0.78714442,0.65679696
-5.51375688,2.73257796,0.00455890,0.43674746,0.73755952,0.48425863,0.01327231,1.31288321,0.80077401,0.66577860
-5.50775388,2.75603720,0.00476790,0.44180597,0.74210897,0.49175939,0.01251029,1.32225935,0.81383402,0.67408463
-5.50175088,2.77662761,0.00497749,0.44616664,0.74607246,0.49858891,0.01176528,1.33051588,0.82592119,0.68160262
-5.49574787,2.79382084,0.00518357,0.44972325,0.74928290,0.50463709,0.01104197,1.33738504,0.83667191,0.68822081
-5.48974487,2.80713259,0.00538173,0.45237837,0.75158283,0.50981387,0.01034391,1.34262231,0.84576946,0.69383058
-5.48374187,2.81614165,0.00556738,0.45404449,0.75282856,0.51405447,0.00967365,1.34601976,0.85294981,0.69832926
-5.47773887,2.82050785,0.00573590,0.45464511,0.75289437,0.51732391,0.00903279,1.34741833,0.85800565,0.70162309
-5.47173587,2.81998784,0.00588281,0.45411584,0.75167649,0.51962050,0.00842218,1.34671850,0.86078877,0.70363020
-5.46573287,2.81444762,0.00600391,0.45240529,0.74909656,0.52097797,0.00784199,1.34388839,0.86121040,0.70428356
-5.45972986,2.80387072,0.00609546,0.44947598,0.74510450,0.52146594,0.00729193,1.33896862,0.85923973,0.70353335
-5.45372686,2.78836143,0.00615427,0.44530504,0.73968038,0.52118875,0.00677131,1.33207362,0.85490059,0.70134906
-5.44772386,2.76814243,0.00617787,0.43988474,0.73283515,0.52028238,0.00627921,1.32338878,0.84826640,0.69772070
-5.44172086,2.74354683,0.00616457,0.43322281,0.72461024,0.51890959,0.00581458,1.31316382,0.83945381,0.69265939
-5.43571786,2.71500471,0.00611351,0.42534254,0.71507581,0.51725342,0.00537631,1.30170215,0.82861508,0.68619705
-5.42971486,2.68302472,0.00602474,0.41628257,0.70432781,0.51550935,0.00496328,1.28934711,0.81592982,0.67838532
-5.42371186,2.64817171,0.00589917,0.40609646,0.69248391,0.51387634,0.00457447,1.27646539,0.80159620,0.66929360
-5.41770885,2.61104139,0.00573854,0.39485196,0.67967854,0.51254732,0.00420892,1.26342884,0.78582234,0.65900656
-5.41170585,2.57223355,0.00554540,0.38262996,0.66605726,0.51169956,0.00386578,1.25059545,0.76881799,0.64762104
-5.40570285,2.53232522,0.00532294,0.36952320,0.65177074,0.51148539,0.00354435,1.23829069,0.75078704,0.63524267
-5.39969985,2.49184527,0.00507494,0.35563471,0.63696884,0.51202383,0.00324401,1.22679030,0.73192114,0.62198231
-5.39369685,2.45125209,0.00480562,0.34107605,0.62179487,0.51339367,0.00296427,1.21630551,0.71239458,0.60795264
-5.38769385,2.41091537,0.00451949,0.32596539,0.60638057,0.51562823,0.00270477,1.20697158,0.69236077,0.59326503
-5.38169085,2.37110329,0.00422119,0.31042540,0.59084203,0.51871231,0.00246523,1.19884044,0.67195025,0.57802688
-5.37568784,2.33197569,0.00391540,0.29458117,0.57527666,0.52258144,0.00224552,1.19187776,0.65127030,0.56233963
-5.36968484,2.29358367,0.00360667,0.27855804,0.55976148,0.52712352,0.00204561,1.18596475,0.63040608,0.54629752
-5.36368184,2.25587560,0.00329929,0.26247958,0.54435279,0.53218285,0.00186563,1.18090452,0.60942303,0.52998707
-5.35767884,2.21870908,0.00299722,0.24646564,0.52908701,0.53756633,0.00170582,1.17643272,0.58837044,0.51348747
-5.35167584,2.18186821,0.00270401,0.23063062,0.51398284,0.54305147,0.00156666,1.17223173,0.56728580,0.49687164
-5.34567284,2.14508497,0.00242269,0.21508193,0.49904435,0.54839590,0.00144878,1.16794765,0.54619963,0.48020789
-5.33966983,2.10806341,0.00215581,0.19991883,0.48426477,0.55334788,0.00135307,1.16320912,0.52514050,0.46356219
-5.33366683,2.07050532,0.00190537,0.18523146,0.46963087,0.55765716,0.00128066,1.15764684,0.50413991,0.44700051
-5.32766383,2.03213561,0.00167283,0.17110023,0.45512737,0.56108574,0.00123295,1.15091263,0.48323661,0.43059148
-5.32166083,1.99272608,0.00145917,0.15759556,0.44074122,0.56341797,0.00121165,1.14269719,0.46248035,0.41440866
-5.31565783,1.95211620,0.00126486,0.14477785,0.42646544,0.56446945,0.00121874,1.13274537,0.44193454,0.39853269
-5.30965483,1.91022955,0.00108999,0.13269777,0.41230229,0.56409433,0.00125650,1.12086836,0.42167797,0.38305274
-5.30365183,1.86708538,0.00093427,0.12139671,0.39826550,0.56219079,0.00132746,1.10695212,0.40180531,0.36806736
-5.29764882,1.82280437,0.00079709,0.11090753,0.38438156,0.55870428,0.00143440,1.09096181,0.38242650,0.35368450
-5.29164582,1.77760866,0.00067762,0.10125531,0.37068993,0.55362875,0.00158023,1.07294212,0.36366503,0.34002066
-5.28564282,1.73181624,0.00057483,0.09245833,0.35724222,0.54700560,0.00176795,1.05301364,0.34565534,0.32719922
-5.27963982,1.68583006,0.00048755,0.08452896,0.34410046,0.53892080,0.00200054,1.03136576,0.32853935,0.31534792
-5.27363682,1.64012282,0.00041455,0.07747470,0.33133456,0.52950024,0.00228083,1.00824652,0.31246258,0.30459564
-5.26763382,1.59521834,0.00035456,0.07129914,0.31901921,0.51890372,0.00261135,0.98395029,0.29756988,0.29506860
-5.26163082,1.55167062,0.00030631,0.06600290,0.30723040,0.50731808,0.00299419,0.95880402,0.28400121,0.28688620
-5.25562781,1.51004199,0.00026854,0.06158460,0.29604176,0.49494966,0.00343079,0.93315282,0.27188756,0.28015665
-5.24962481,1.47088144,0.00024007,0.05804178,0.28552105,0.48201669,0.00392184,0.90734573,0.26134751,0.27497272
-5.24362181,1.43470434,0.00021976,0.05537186,0.27572697,0.46874194,0.00446701,0.88172250,0.25248435,0.27140775
-5.23761881,1.40197464,0.00020656,0.05357306,0.26670636,0.45534586,0.00506486,0.85660176,0.24538418,0.26951212
-5.23161581,1.37309028,0.00019946,0.05264549,0.25849212,0.44204060,0.00571268,0.83227122,0.24011497,0.26931061
-5.22561281,1.34837255,0.00019757,0.05259217,0.25110182,0.42902498,0.00640635,0.80898022,0.23672682,0.27080044
-5.21960980,1.32805966,0.00020005,0.05342031,0.24453706,0.41648056,0.00714030,0.78693462,0.23525325,0.27395060
-5.21360680,1.31230469,0.00020610,0.05514249,0.23878358,0.40456872,0.00790748,0.76629411,0.23571361,0.27870210
-5.20760380,1.30117771,0.00021503,0.05777811,0.23381219,0.39342888,0.00869937,0.74717179,0.23811655,0.28496957
-5.20160080,1.29467182,0.00022617,0.06135476,0.22958016,0.38317752,0.00950609,0.72963573,0.24246425,0.29264387
-5.19559780,1.29271248,0.00023890,0.06590964,0.22603334,0.37390796,0.01031653,0.71371206,0.24875736,0.30159592
-5.18959480,1.29516940,0.00025265,0.07149092,0.22310853,0.36569074,0.01111858,0.69938936,0.25700024,0.31168139
-5.18359180,1.30187028,0.00026690,0.07815893,0.22073619,0.35857434,0.01189940,0.68662382,0.26720637,0.32274613
-5.17758879,1.31261542,0.00028116,0.08598705,0.21884325,0.35258612,0.01264573,0.67534471,0.27940344,0.33463224
-5.17158579,1.32719238,0.00029496,0.09506231,0.21735585,0.34773330,0.01334427,0.66545997,0.29363792,0.34718427
-5.16558279,1.34538982,0.00030791,0.10548537,0.21620205,0.34400397,0.01398202,0.65686141,0.30997865,0.36025547
-5.15957979,1.36700971,0.00031964,0.11736992,0.21531411,0.34136791,0.01454676,0.64942949,0.32851916,0.37371359
-5.15357679,1.39187733,0.00032982,0.13084132,0.21463062,0.33977733,0.01502736,0.64303731,0.34937850,0.38744613
-5.14757379,1.41984834,0.00033819,0.14603443,0.21409805,0.33916756,0.01541420,0.63755396,0.37270014,0.40136457
-5.14157079,1.45081279,0.00034454,0.16309047,0.21367192,0.33945768,0.01569948,0.63284704,0.39864900,0.41540745
-5.13556778,1.48469565,0.00034869,0.18215297,0.21331753,0.34055120,0.01587749,0.62878450,0.42740627,0.42954207
