energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,V_p_up,V_d_up
3.08254127,0.14426574,0.00000077,0.04951798,0.00004831,0.01234158,0.02464823,0.07619864
3.08854427,0.12552782,0.00000057,0.04309226,0.00003623,0.01072209,0.02143802,0.06630607
3.09454727,0.10849499,0.00000042,0.03724954,0.00002697,0.00925487,0.01852254,0.05731235
3.10055028,0.09314102,0.00000030,0.03198141,0.00001993,0.00793599,0.01589641,0.04920411
3.10655328,0.07941582,0.00000022,0.02727113,0.00001463,0.00675981,0.01355035,0.04195524
3.11255628,0.06724880,0.00000016,0.02309483,0.00001066,0.00571924,0.01147174,0.03552875
3.11855928,0.05655271,0.00000011,0.01942288,0.00000771,0.00480602,0.00964525,0.02987879
3.12456228,0.04722768,0.00000008,0.01622118,0.00000554,0.00401098,0.00805348,0.02495274
3.13056528,0.03916510,0.00000006,0.01345264,0.00000395,0.00332440,0.00667764,0.02069337
3.13656828,0.03225140,0.00000004,0.01107838,0.00000279,0.00273626,0.00549817,0.01704078
3.14257129,0.02637143,0.00000003,0.00905895,0.00000196,0.00223648,0.00449528,0.01393421
3.14857429,0.02141141,0.00000002,0.00735536,0.00000137,0.00181519,0.00364946,0.01131359
3.15457729,0.01726137,0.00000001,0.00592989,0.00000095,0.00146292,0.00294188,0.00912087
3.16058029,0.01381709,0.00000001,0.00474677,0.00000065,0.00117071,0.00235470,0.00730100
3.16658329,0.01098155,0.00000001,0.00377272,0.00000045,0.00093025,0.00187136,0.00580275
3.17258629,0.00866585,0.00000000,0.00297722,0.00000030,0.00073394,0.00147667,0.00457915
3.17858929,0.00678976,0.00000000,0.00233271,0.00000020,0.00057496,0.00115694,0.00358783
3.18459230,0.00528190,0.00000000,0.00181469,0.00000014,0.00044721,0.00089997,0.00279107
3.19059530,0.00407958,0.00000000,0.00140163,0.00000009,0.00034537,0.00069509,0.00215575
3.19659830,0.00312844,0.00000000,0.00107485,0.00000006,0.00026482,0.00053302,0.00165315
3.20260130,0.00238190,0.00000000,0.00081837,0.00000004,0.00020161,0.00040581,0.00125866
3.20860430,0.00180053,0.00000000,0.00061863,0.00000003,0.00015239,0.00030676,0.00095146
3.21460730,0.00135132,0.00000000,0.00046429,0.00000002,0.00011436,0.00023022,0.00071408
3.22061031,0.00100692,0.00000000,0.00034596,0.00000001,0.00008521,0.00017154,0.00053209
3.22661331,0.00074492,0.00000000,0.00025595,0.00000001,0.00006303,0.00012691,0.00039364
3.23261631,0.00054714,0.00000000,0.00018799,0.00000000,0.00004630,0.00009321,0.00028913
3.23861931,0.00039900,0.00000000,0.00013709,0.00000000,0.00003376,0.00006797,0.00021084
3.24462231,0.00028888,0.00000000,0.00009925,0.00000000,0.00002444,0.00004921,0.00015265
3.25062531,0.00020765,0.00000000,0.00007135,0.00000000,0.00001757,0.00003537,0.00010973
3.25662831,0.00014819,0.00000000,0.00005092,0.00000000,0.00001254,0.00002524,0.00007831
3.26263132,0.00010500,0.00000000,0.00003608,0.00000000,0.00000888,0.00001789,0.00005548
3.26863432,0.00007386,0.00000000,0.00002538,0.00000000,0.00000625,0.00001258,0.00003903
3.27463732,0.00005158,0.00000000,0.00001772,0.00000000,0.00000436,0.00000879,0.00002726
3.28064032,0.00003577,0.00000000,0.00001229,0.00000000,0.00000303,0.00000609,0.00001890
3.28664332,0.00002462,0.00000000,0.00000846,0.00000000,0.00000208,0.00000419,0.00001301
3.29264632,0.00001683,0.00000000,0.00000578,0.00000000,0.00000142,0.00000287,0.00000889
3.29864932,0.00001142,0.00000000,0.00000392,0.00000000,0.00000097,0.00000195,0.00000603
3.30465233,0.00000769,0.00000000,0.00000264,0.00000000,0.00000065,0.00000131,0.00000407
3.31065533,0.00000515,0.00000000,0.00000177,0.00000000,0.00000044,0.00000088,0.00000272
3.31665833,0.00000342,0.00000000,0.00000117,0.00000000,0.00000029,0.00000058,0.00000181
3.32266133,0.00000225,0.00000000,0.00000077,0.00000000,0.00000019,0.00000038,0.00000119
3.32866433,0.00000147,0.00000000,0.00000051,0.00000000,0.00000012,0.00000025,0.00000078
3.33466733,0.00000096,0.00000000,0.00000033,0.00000000,0.00000008,0.00000016,0.00000051
3.34067034,0.00000062,0.00000000,0.00000021,0.00000000,0.00000005,0.00000011,0.00000033
3.34667334,0.00000040,0.00000000,0.00000014,0.00000000,0.00000003,0.00000007,0.00000021
3.35267634,0.00000025,0.00000000,0.00000009,0.00000000,0.00000002,0.00000004,0.00000013
3.35867934,0.00000016,0.00000000,0.00000005,0.00000000,0.00000001,0.00000003,0.00000008
3.36468234,0.00000010,0.00000000,0.00000003,0.00000000,0.00000001,0.00000002,0.00000005
3.37068534,0.00000006,0.00000000,0.00000002,0.00000000,0.00000001,0.00000001,0.00000003
3.37668834,0.00000004,0.00000000,0.00000001,0.00000000,0.00000000,0.00000001,0.00000002
3.38269135,0.00000002,0.00000000,0.00000001,0.00000000,0.00000000,0.00000000,0.00000001
3.38869435,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000001
3.39469735,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.40070035,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.40670335,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.41270635,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.41870935,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.42471236,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.43071536,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.43671836,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.44272136,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.44872436,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.45472736,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.46073037,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.46673337,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.47273637,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.47873937,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.48474237,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.49074537,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.49674837,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.50275138,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.50875438,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.51475738,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.52076038,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.52676338,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.53276638,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.53876938,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.54477239,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.55077539,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.55677839,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.56278139,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.56878439,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.57478739,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.58079040,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.58679340,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.59279640,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.59879940,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.60480240,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.61080540,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.61680840,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.62281141,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.62881441,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.63481741,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.64082041,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.64682341,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.65282641,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.65882941,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.66483242,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.67083542,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.67683842,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.68284142,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.68884442,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.69484742,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.70085043,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
