energy_ev,total_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up
-4.45122561,1.22257723,0.42483982,0.78686475,0.01320888,0.09563889,0.21577340,0.00030746
-4.44522261,1.24548988,0.43595492,0.80229797,0.01296752,0.09577823,0.21849410,0.00032214
-4.43921961,1.27969613,0.44878116,0.82605944,0.01289739,0.09664265,0.22303444,0.00034104
-4.43321661,1.32509587,0.46336203,0.85805555,0.01300011,0.09824392,0.22939145,0.00036415
-4.42721361,1.38146092,0.47972748,0.89809031,0.01327646,0.10059002,0.23753979,0.00039138
-4.42121061,1.44843005,0.49788826,0.94586453,0.01372620,0.10368446,0.24743011,0.00042257
-4.41520760,1.52550563,0.51783056,1.00097646,0.01434778,0.10752548,0.25898763,0.00045753
-4.40920460,1.61205236,0.53951097,1.06292389,0.01513810,0.11210507,0.27211134,0.00049599
-4.40320160,1.70729860,0.56285230,1.13110822,0.01609218,0.11740798,0.28667370,0.00053763
-4.39719860,1.81034084,0.58774033,1.20484063,0.01720293,0.12341070,0.30252122,0.00058209
-4.39119560,1.92015171,0.61402182,1.28335049,0.01846092,0.13008047,0.31947567,0.00062897
-4.38519260,2.03559157,0.64150385,1.36579607,0.01985417,0.13737452,0.33733625,0.00067783
-4.37918959,2.15542384,0.66995470,1.45127751,0.02136808,0.14523944,0.35588243,0.00072820
-4.37318659,2.27833389,0.69910612,1.53885182,0.02298539,0.15361094,0.37487769,0.00077963
-4.36718359,2.40295095,0.72865706,1.62754959,0.02468624,0.16241384,0.39407371,0.00083164
-4.36118059,2.52787272,0.75827871,1.71639296,0.02644838,0.17156257,0.41321523,0.00088375
-4.35517759,2.65169160,0.78762063,1.80441430,0.02824742,0.18096198,0.43204512,0.00093554
-4.34917459,2.77302198,0.81631782,1.89067500,0.03005727,0.19050868,0.45030969,0.00098659
-4.34317159,2.89052739,0.84399837,1.97428359,0.03185057,0.20009263,0.46776389,0.00103652
-4.33716858,3.00294664,0.87029154,2.05441271,0.03359933,0.20959920,0.48417637,0.00108500
-4.33116558,3.10911795,0.89483592,2.13031406,0.03527555,0.21891147,0.49933412,0.00113177
-4.32516258,3.20800011,0.91728736,2.20133097,0.03685192,0.22791271,0.51304656,0.00117660
-4.31915958,3.29869006,0.93732660,2.26690793,0.03830251,0.23648900,0.52514904,0.00121933
-4.31315658,3.38043606,0.95466610,2.32659696,0.03960351,0.24453182,0.53550555,0.00125988
