energy_ev,total_up,Ru_p_up,Ru_d_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up
1.20960480,0.77712160,0.46357718,0.15824490,0.04826154,0.00000000,0.83744846,0.00000000
1.21560780,0.77360982,0.44874451,0.15224523,0.04715120,0.00000000,0.84352171,0.00000000
1.22161081,0.77505273,0.43722430,0.14787193,0.04646792,0.00000000,0.85350618,0.00000000
1.22761381,0.78129741,0.42893730,0.14507804,0.04619195,0.00000000,0.86726097,0.00000000
1.23361681,0.79208524,0.42375859,0.14379649,0.04629819,0.00000000,0.88452617,0.00000000
1.23961981,0.80705435,0.42151859,0.14394192,0.04675636,0.00000000,0.90492342,0.00000000
1.24562281,0.82574521,0.42200536,0.14541274,0.04753149,0.00000000,0.92796094,0.00000000
1.25162581,0.84760943,0.42496825,0.14809337,0.04858436,0.00000000,0.95304272,0.00000000
1.25762881,0.87202171,0.43012287,0.15185674,0.04987222,0.00000000,0.97948222,0.00000000
1.26363182,0.89829465,0.43715729,0.15656679,0.05134953,0.00000000,1.00651988,0.00000000
1.26963482,0.92569603,0.44573923,0.16208121,0.05296894,0.00000000,1.03334420,0.00000000
1.27563782,0.95346819,0.45552421,0.16825422,0.05468220,0.00000000,1.05911550,0.00000000
1.28164082,0.98084855,0.46616401,0.17493930,0.05644130,0.00000000,1.08299156,0.00000000
1.28764382,1.00709089,0.47731551,0.18199201,0.05819946,0.00000000,1.10415408,0.00000000
1.29364682,1.03148635,0.48864930,0.18927266,0.05991228,0.00000000,1.12183490,0.00000000
1.29964982,1.05338334,0.49985775,0.19664881,0.06153870,0.00000000,1.13534088,0.00000000
1.30565283,1.07220572,0.51066232,0.20399756,0.06304194,0.00000000,1.14407633,0.00000000
1.31165583,1.08746841,0.52081967,0.21120762,0.06439031,0.00000000,1.14756216,0.00000000
1.31765883,1.09878976,0.53012642,0.21818099,0.06555784,0.00000000,1.14545082,0.00000000
1.32366183,1.10590030,0.53842235,0.22483417,0.06652473,0.00000000,1.13753642,0.00000000
1.32966483,1.10864757,0.54559186,0.23109907,0.06727765,0.00000000,1.12375977,0.00000000
1.33566783,1.10699666,0.55156384,0.23692335,0.06780977,0.00000000,1.10420808,0.00000000
1.34167084,1.10102689,0.55630982,0.24227032,0.06812066,0.00000000,1.07910951,0.00000000
1.34767384,1.09092446,0.55984064,0.24711832,0.06821596,0.00000000,1.04882288,0.00000000
1.35367684,1.07697181,0.56220182,0.25145971,0.06810691,0.00000000,1.01382309,0.00000000
1.35967984,1.05953398,0.56346789,0.25529945,0.06780971,0.00000000,0.97468313,0.00000000
1.36568284,1.03904287,0.56373601,0.25865325,0.06734482,0.00000000,0.93205335,0.00000000
1.37168584,1.01597992,0.56311916,0.26154564,0.06673617,0.00000000,0.88663922,0.00000000
1.37768884,0.99085821,0.56173932,0.26400769,0.06601030,0.00000000,0.83917826,0.00000000
1.38369185,0.96420458,0.55972091,0.26607478,0.06519557,0.00000000,0.79041752,0.00000000
1.38969485,0.93654262,0.55718480,0.26778440,0.06432135,0.00000000,0.74109205,0.00000000
1.39569785,0.90837715,0.55424320,0.26917401,0.06341728,0.00000000,0.69190562,0.00000000
1.40170085,0.88018075,0.55099559,0.27027926,0.06251264,0.00000000,0.64351389,0.00000000
1.40770385,0.85238276,0.54752585,0.27113236,0.06163577,0.00000000,0.59651087,0.00000000
1.41370685,0.82536093,0.54390064,0.27176096,0.06081362,0.00000000,0.55141865,0.00000000
1.41970985,0.79943599,0.54016900,0.27218728,0.06007140,0.00000000,0.50868075,0.00000000
1.42571286,0.77486893,0.53636322,0.27242781,0.05943227,0.00000000,0.46865875,0.00000000
1.43171586,0.75186090,0.53250061,0.27249324,0.05891718,0.00000000,0.43163218,0.00000000
1.43771886,0.73055541,0.52858617,0.27238885,0.05854467,0.00000000,0.39780113,0.00000000
1.44372186,0.71104233,0.52461575,0.27211510,0.05833083,0.00000000,0.36729120,0.00000000
1.44972486,0.69336334,0.52057958,0.27166857,0.05828910,0.00000000,0.34016021,0.00000000
1.45572786,0.67751828,0.51646575,0.27104283,0.05843027,0.00000000,0.31640603,0.00000000
1.46173087,0.66347180,0.51226336,0.27022952,0.05876223,0.00000000,0.29597509,0.00000000
1.46773387,0.65116000,0.50796523,0.26921930,0.05928987,0.00000000,0.27877094,0.00000000
1.47373687,0.64049645,0.50356979,0.26800263,0.06001486,0.00000000,0.26466239,0.00000000
1.47973987,0.63137747,0.49908211,0.26657040,0.06093534,0.00000000,0.25349098,0.00000000
1.48574287,0.62368630,0.49451390,0.26491436,0.06204573,0.00000000,0.24507731,0.00000000
1.49174587,0.61729608,0.48988260,0.26302723,0.06333635,0.00000000,0.23922626,0.00000000
1.49774887,0.61207168,0.48520951,0.26090259,0.06479324,0.00000000,0.23573091,0.00000000
1.50375188,0.60787050,0.48051713,0.25853459,0.06639790,0.00000000,0.23437532,0.00000000
1.50975488,0.60454240,0.47582605,0.25591749,0.06812712,0.00000000,0.23493627,0.00000000
1.51575788,0.60192908,0.47115139,0.25304514,0.06995305,0.00000000,0.23718411,0.00000000
1.52176088,0.59986323,0.46649937,0.24991039,0.07184325,0.00000000,0.24088320,0.00000000
1.52776388,0.59816779,0.46186409,0.24650472,0.07376099,0.00000000,0.24579200,0.00000000
1.53376688,0.59665565,0.45722495,0.24281789,0.07566581,0.00000000,0.25166323,0.00000000
1.53976988,0.59513007,0.45254483,0.23883787,0.07751411,0.00000000,0.25824447,0.00000000
1.54577289,0.59338609,0.44776943,0.23455109,0.07926011,0.00000000,0.26527917,0.00000000
1.55177589,0.59121296,0.44282763,0.22994284,0.08085686,0.00000000,0.27250851,0.00000000
1.55777889,0.58839778,0.43763322,0.22499811,0.08225747,0.00000000,0.27967410,0.00000000
1.56378189,0.58473014,0.43208773,0.21970258,0.08341640,0.00000000,0.28652146,0.00000000
1.56978489,0.58000767,0.42608435,0.21404380,0.08429086,0.00000000,0.29280435,0.00000000
1.57578789,0.57404230,0.41951279,0.20801254,0.08484219,0.00000000,0.29828969,0.00000000
1.58179090,0.56666678,0.41226470,0.20160415,0.08503714,0.00000000,0.30276297,0.00000000
1.58779390,0.55774124,0.40423945,0.19481987,0.08484908,0.00000000,0.30603378,0.00000000
1.59379690,0.54715932,0.39534987,0.18766793,0.08425902,0.00000000,0.30794124,0.00000000
1.59979990,0.53485357,0.38552773,0.18016449,0.08325641,0.00000000,0.30835907,0.00000000
1.60580290,0.52079973,0.37472854,0.17233421,0.08183961,0.00000000,0.30719991,0.00000000
1.61180590,0.50501971,0.36293540,0.16421048,0.08001615,0.00000000,0.30441871,0.00000000
1.61780890,0.48758294,0.35016183,0.15583528,0.07780261,0.00000000,0.30001510,0.00000000
1.62381191,0.46860619,0.33645326,0.14725859,0.07522423,0.00000000,0.29403432,0.00000000
1.62981491,0.44825169,0.32188721,0.13853749,0.07231424,0.00000000,0.28656700,0.00000000
1.63581791,0.42672370,0.30657226,0.12973494,0.06911287,0.00000000,0.27774749,0.00000000
1.64182091,0.40426374,0.29064565,0.12091826,0.06566624,0.00000000,0.26775107,0.00000000
1.64782391,0.38114468,0.27426993,0.11215747,0.06202501,0.00000000,0.25678995,0.00000000
1.65382691,0.35766397,0.25762867,0.10352347,0.05824299,0.00000000,0.24510849,0.00000000
1.65982991,0.33413643,0.24092161,0.09508635,0.05437566,0.00000000,0.23297764,0.00000000
1.66583292,0.31088668,0.22435936,0.08691359,0.05047876,0.00000000,0.22068891,0.00000000
1.67183592,0.28824185,0.20815800,0.07906854,0.04660690,0.00000000,0.20854815,0.00000000
1.67783892,0.26652453,0.19253374,0.07160908,0.04281237,0.00000000,0.19686928,0.00000000
1.68384192,0.24604628,0.17769786,0.06458650,0.03914403,0.00000000,0.18596807,0.00000000
1.68984492,0.22710192,0.16385214,0.05804466,0.03564645,0.00000000,0.17615625,0.00000000
1.69584792,0.20996451,0.15118472,0.05201947,0.03235918,0.00000000,0.16773589,0.00000000
1.70185093,0.19488119,0.13986664,0.04653859,0.02931631,0.00000000,0.16099408,0.00000000
1.70785393,0.18206970,0.13004889,0.04162144,0.02654614,0.00000000,0.15619801,0.00000000
1.71385693,0.17171560,0.12186012,0.03727936,0.02407109,0.00000000,0.15359024,0.00000000
1.71985993,0.16396999,0.11540476,0.03351599,0.02190770,0.00000000,0.15338419,0.00000000
1.72586293,0.15894762,0.11076161,0.03032776,0.02006680,0.00000000,0.15575982,0.00000000
1.73186593,0.15672534,0.10798277,0.02770445,0.01855375,0.00000000,0.16085935,0.00000000
1.73786893,0.15734063,0.10709288,0.02562981,0.01736874,0.00000000,0.16878306,0.00000000
1.74387194,0.16079035,0.10808850,0.02408220,0.01650717,0.00000000,0.17958523,0.00000000
1.74987494,0.16702958,0.11093780,0.02303513,0.01595995,0.00000000,0.19327027,0.00000000
1.75587794,0.17597060,0.11558039,0.02245785,0.01571389,0.00000000,0.20978916,0.00000000
1.76188094,0.18748223,0.12192746,0.02231589,0.01575207,0.00000000,0.22903648,0.00000000
1.76788394,0.20138951,0.12986224,0.02257149,0.01605415,0.00000000,0.25084823,0.00000000
1.77388694,0.21747406,0.13924090,0.02318412,0.01659673,0.00000000,0.27500064,0.00000000
1.77988994,0.23547532,0.14989401,0.02411088,0.01735369,0.00000000,0.30121048,0.00000000
1.78589295,0.25509276,0.16162871,0.02530704,0.01829653,0.00000000,0.32913684,0.00000000
1.79189595,0.27598945,0.17423159,0.02672655,0.01939485,0.00000000,0.35838497,0.00000000
1.79789895,0.29779693,0.18747259,0.02832266,0.02061669,0.00000000,0.38851195,0.00000000
1.80390195,0.32012171,0.20110966,0.03004864,0.02192914,0.00000000,0.41903468,0.00000000
1.80990495,0.34255314,0.21489447,0.03185860,0.02329888,0.00000000,0.44943981,0.00000000
1.81590795,0.36467285,0.22857890,0.03370846,0.02469288,0.00000000,0.47919569,0.00000000
1.82191096,0.38606534,0.24192236,0.03555699,0.02607909,0.00000000,0.50776593,0.00000000
1.82791396,0.40632960,0.25469962,0.03736700,0.02742730,0.00000000,0.53462423,0.00000000
1.83391696,0.42509137,0.26670897,0.03910663,0.02870994,0.00000000,0.55926993,0.00000000
1.83991996,0.44201552,0.27778056,0.04075059,0.02990301,0.00000000,0.58124370,0.00000000
1.84592296,0.45681825,0.28778433,0.04228157,0.03098694,0.00000000,0.60014266,0.00000000
1.85192596,0.46927836,0.29663753,0.04369154,0.03194744,0.00000000,0.61563436,0.00000000
1.85792896,0.47924735,0.30431121,0.04498294,0.03277629,0.00000000,0.62746881,0.00000000
1.86393197,0.48665769,0.31083565,0.04616983,0.03347204,0.00000000,0.63548810,0.00000000
1.86993497,0.49152895,0.31630420,0.04727887,0.03404060,0.00000000,0.63963301,0.00000000
1.87593797,0.49397141,0.32087552,0.04835000,0.03449562,0.00000000,0.63994627,0.00000000
1.88194097,0.49418700,0.32477392,0.04943697,0.03485877,0.00000000,0.63657231,0.00000000
1.88794397,0.49246745,0.32828778,0.05060753,0.03515978,0.00000000,0.62975338,0.00000000
1.89394697,0.48918953,0.33176599,0.05194330,0.03543627,0.00000000,0.61982216,0.00000000
1.89994997,0.48480778,0.33561246,0.05353929,0.03573342,0.00000000,0.60719125,0.00000000
1.90595298,0.47984465,0.34027877,0.05550306,0.03610337,0.00000000,0.59233995,0.00000000
1.91195598,0.47487855,0.34625516,0.05795346,0.03660442,0.00000000,0.57579889,0.00000000
