energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-5.61580790,3.24573894,0.06327726,0.45353333,1.56530259,0.95728889,0.10530637,1.44660360,0.17949124,0.19144734
-5.60980490,3.25234989,0.06430512,0.46341182,1.58996930,0.97324756,0.10448702,1.45289942,0.17854821,0.18930020
-5.60380190,3.27294702,0.06550307,0.47509221,1.62074593,0.99304410,0.10408390,1.46558241,0.17828203,0.18826224
-5.59779890,3.30712456,0.06687596,0.48844601,1.65727364,1.01653152,0.10409036,1.48445911,0.17866624,0.18830557
-5.59179590,3.35417007,0.06842400,0.50330333,1.69905933,1.04347070,0.10449058,1.50920177,0.17965801,0.18938097
-5.58579290,3.41309306,0.07014267,0.51945845,1.74549246,1.07353862,0.10526022,1.53936174,0.18119999,0.19141939
-5.57978989,3.48266065,0.07202271,0.53667654,1.79586485,1.10633899,0.10636739,1.57438555,0.18322244,0.19433409
-5.57378689,3.56143877,0.07405021,0.55470121,1.84939255,1.14141492,0.10777384,1.61363313,0.18564557,0.19802305
-5.56778389,3.64783702,0.07620690,0.57326269,1.90523888,1.17826286,0.10943625,1.65639719,0.18838200,0.20237181
-5.56178089,3.74015540,0.07847038,0.59208611,1.96253782,1.21634749,0.11130773,1.70192297,0.19133926,0.20725650
-5.55577789,3.83663122,0.08081457,0.61089967,2.02041660,1.25511666,0.11333924,1.74942780,0.19442218,0.21254708
-5.54977489,3.93548418,0.08321014,0.62944242,2.07801693,1.29401603,0.11548114,1.79811948,0.19753527,0.21811052
-5.54377189,4.03495853,0.08562503,0.64747113,2.13451412,1.33250280,0.11768445,1.84721328,0.20058483,0.22381402
-5.53776888,4.13336080,0.08802505,0.66476626,2.18913346,1.37005807,0.11990212,1.89594686,0.20348089,0.22952795
-5.53176588,4.22909224,0.09037446,0.68113663,2.24116366,1.40619754,0.12209003,1.94359297,0.20613890,0.23512867
-5.52576288,4.32067553,0.09263664,0.69642270,2.28996700,1.44048024,0.12420778,1.98946977,0.20848123,0.24050094
-5.51975988,4.40677520,0.09477476,0.71049856,2.33498625,1.47251517,0.12621923,2.03294883,0.21043834,0.24553996
-5.51375688,4.48621208,0.09675252,0.72327231,2.37574845,1.50196589,0.12809278,2.07346076,0.21194979,0.25015305
-5.50775388,4.55797187,0.09853486,0.73468517,2.41186576,1.52855291,0.12980148,2.11049896,0.21296497,0.25426079
-5.50175088,4.62120844,0.10008868,0.74470941,2.44303385,1.55205431,0.13132285,2.14362146,0.21344367,0.25779783
-5.49574787,4.67524250,0.10138357,0.75334509,2.46902807,1.57230444,0.13263862,2.17245151,0.21335638,0.26071317
-5.48974487,4.71955650,0.10239255,0.76061601,2.48969802,1.58919128,0.13373425,2.19667693,0.21268457,0.26297002
-5.48374187,4.75378638,0.10309268,0.76656510,2.50496105,1.60265243,0.13459851,2.21604877,0.21142059,0.26454538
-5.47773887,4.77771127,0.10346570,0.77124935,2.51479497,1.61267021,0.13522292,2.23037948,0.20956766,0.26542918
-5.47173587,4.79124174,0.10349855,0.77473464,2.51923067,1.61926606,0.13560127,2.23954082,0.20713956,0.26562325
-5.46573287,4.79440730,0.10318381,0.77709077,2.51834488,1.62249452,0.13572921,2.24346168,0.20416028,0.26513996
-5.45972986,4.78734387,0.10251999,0.77838673,2.51225357,1.62243711,0.13560391,2.24212600,0.20066351,0.26400085
-5.45372686,4.77028160,0.10151171,0.77868659,2.50110613,1.61919623,0.13522388,2.23557072,0.19669208,0.26223507
-5.44772386,4.74353349,0.10016976,0.77804605,2.48508058,1.61288946,0.13458889,2.22388387,0.19229727,0.25987788
-5.44172086,4.70748501,0.09851096,0.77650982,2.46438000,1.60364427,0.13369998,2.20720271,0.18753798,0.25696912
-5.43571786,4.66258498,0.09655793,0.77410997,2.43923015,1.59159351,0.13255970,2.18571188,0.18247992,0.25355184
-5.42971486,4.60933761,0.09433867,0.77086519,2.40987816,1.57687165,0.13117230,2.15964136,0.17719457,0.24967097
-5.42371186,4.54829587,0.09188603,0.76678103,2.37659233,1.55961202,0.12954410,2.12926430,0.17175822,0.24537229
-5.41770885,4.48005598,0.08923710,0.76185111,2.33966283,1.53994503,0.12768379,2.09489452,0.16625079,0.24070145
-5.41170585,4.40525282,0.08643243,0.75605913,2.29940287,1.51799751,0.12560278,2.05688355,0.16075468,0.23570325
-5.40570285,4.32455625,0.08351525,0.74938171,2.25615032,1.49389303,0.12331547,2.01561730,0.15535350,0.23042115
-5.39969985,4.23866785,0.08053063,0.74179170,2.21026927,1.46775331,0.12083944,1.97151214,0.15013079,0.22489688
-5.39369685,4.14831805,0.07752458,0.73326203,2.16215129,1.43970047,0.11819554,1.92501051,0.14516860,0.21917035
-5.38769385,4.05426312,0.07454319,0.72376975,2.11221601,1.40986008,0.11540776,1.87657599,0.14054618,0.21327953
-5.38169085,3.95728196,0.07163176,0.71329999,2.06091073,1.37836468,0.11250308,1.82668791,0.13633846,0.20726062
-5.37568784,3.85817233,0.06883399,0.70184986,2.00870880,1.34535767,0.10951101,1.77583556,0.13261472,0.20114820
-5.36968484,3.75774624,0.06619115,0.68943180,1.95610654,1.31099715,0.10646308,1.72451210,0.12943713,0.19497539
-5.36368184,3.65682442,0.06374141,0.67607639,1.90361863,1.27545954,0.10339214,1.67320828,0.12685943,0.18877416
-5.35767884,3.55622976,0.06151909,0.66183434,1.85177183,1.23894263,0.10033156,1.62240609,0.12492569,0.18257543
-5.35167584,3.45677963,0.05955411,0.64677762,1.80109731,1.20166779,0.09731437,1.57257250,0.12366923,0.17640928
-5.34567284,3.35927726,0.05787142,0.63099955,1.75212147,1.16388110,0.09437230,1.52415352,0.12311165,0.17030504
-5.33966983,3.26450233,0.05649054,0.61461389,1.70535586,1.12585339,0.09153486,1.47756859,0.12326225,0.16429128
-5.33366683,3.17320103,0.05542516,0.59775295,1.66128629,1.08787879,0.08882853,1.43320562,0.12411759,0.15839575
-5.32766383,3.08607607,0.05468285,0.58056479,1.62036187,1.05027206,0.08627589,1.39141678,0.12566149,0.15264526
-5.32166083,3.00377697,0.05426486,0.56320960,1.58298421,1.01336460,0.08389509,1.35251517,0.12786537,0.14706547
-5.31565783,2.92689119,0.05416602,0.54585559,1.54949751,0.97749930,0.08169930,1.31677250,0.13068898,0.14168067
-5.30965483,2.85593657,0.05437481,0.52867436,1.52018005,0.94302449,0.07969654,1.28441788,0.13408155,0.13651352
-5.30365183,2.79135557,0.05487350,0.51183622,1.49523747,0.91028725,0.07788957,1.25563781,0.13798333,0.13158479
-5.29764882,2.73351164,0.05563852,0.49550562,1.47479833,0.87962629,0.07627616,1.23057726,0.14232749,0.12691310
-5.29164582,2.68268811,0.05664091,0.47983681,1.45891227,0.85136487,0.07484948,1.20934192,0.14704232,0.12251479
-5.28564282,2.63908957,0.05784699,0.46497010,1.44755086,0.82580399,0.07359877,1.19200143,0.15205370,0.11840369
-5.27963982,2.60284596,0.05921920,0.45102887,1.44061133,0.80321621,0.07251014,1.17859346,0.15728760,0.11459114
-5.27363682,2.57401890,0.06071697,0.43811733,1.43792285,0.78384029,0.07156753,1.16912842,0.16267277,0.11108590
