energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-5.15357679,2.03521135,0.84658691,0.38045471,0.00015022,0.06696508,0.34980101,0.20584508,0.00912890,1.45133223
-5.14757379,2.11136404,0.86970296,0.40428345,0.00015550,0.07172892,0.35961361,0.21360756,0.00957077,1.49974109
-5.14157079,2.18496812,0.89059031,0.42909482,0.00016112,0.07652635,0.36842187,0.22106398,0.00998652,1.54569407
-5.13556778,2.25592435,0.90918061,0.45493748,0.00016715,0.08131833,0.37617263,0.22818920,0.01037047,1.58914179
-5.12956478,2.32419346,0.92544249,0.48186274,0.00017367,0.08606395,0.38282821,0.23496182,0.01071726,1.63008652
-5.12356178,2.38979546,0.93938212,0.50992268,0.00018078,0.09072126,0.38836729,0.24136427,0.01102200,1.66858122
-5.11755878,2.45280797,0.95104329,0.53916806,0.00018858,0.09524814,0.39278564,0.24738305,0.01128050,1.70472781
-5.11155578,2.51336356,0.96050699,0.56964591,0.00019716,0.09960334,0.39609661,0.25300878,0.01148942,1.73867452
-5.10555278,2.57164558,0.96789021,0.60139682,0.00020662,0.10374727,0.39833121,0.25823640,0.01164643,1.77061208
-5.09954977,2.62788213,0.97334380,0.63445200,0.00021704,0.10764298,0.39953775,0.26306506,0.01175036,1.80076853
-5.09354677,2.68233810,0.97704928,0.66882994,0.00022848,0.11125682,0.39978092,0.26749804,0.01180134,1.82940254
-5.08754377,2.73530491,0.97921450,0.70453295,0.00024099,0.11455914,0.39914024,0.27154244,0.01180076,1.85679500
-5.08154077,2.78708799,0.98006808,0.74154347,0.00025458,0.11752471,0.39770796,0.27520865,0.01175141,1.88323908
-5.07553777,2.83799228,0.97985263,0.77982039,0.00026924,0.12013303,0.39558629,0.27850970,0.01165733,1.90902867
-5.06953477,2.88830586,0.97881708,0.81929541,0.00028492,0.12236840,0.39288409,0.28146037,0.01152382,1.93444572
-5.06353177,2.93828246,0.97720803,0.85986969,0.00030153,0.12421993,0.38971319,0.28407613,0.01135721,1.95974660
-5.05752876,2.98812346,0.97526070,0.90141089,0.00031894,0.12568123,0.38618434,0.28637199,0.01116475,1.98514826
-5.05152576,3.03796014,0.97318972,0.94375083,0.00033696,0.12675011,0.38240314,0.28836132,0.01095432,2.01081460
-5.04552276,3.08783731,0.97118020,0.98668393,0.00035540,0.12742811,0.37846598,0.29005458,0.01073423,2.03684387
-5.03951976,3.13769898,0.96937956,1.02996660,0.00037400,0.12771999,0.37445642,0.29145823,0.01051289,2.06325772
-5.03351676,3.18737717,0.96789049,1.07331758,0.00039248,0.12763316,0.37044189,0.29257378,0.01029852,2.08999254
-5.02751376,3.23658455,0.96676557,1.11641955,0.00041052,0.12717721,0.36647126,0.29339700,0.01009891,2.11689375
-5.02151076,3.28491148,0.96600367,1.15892177,0.00042780,0.12636340,0.36257314,0.29391752,0.00992108,2.14371336
-5.01550775,3.33182802,0.96554863,1.20044395,0.00044397,0.12520425,0.35875512,0.29411868,0.00977102,2.17011126
-5.00950475,3.37669077,0.96529012,1.24058119,0.00045870,0.12371323,0.35500399,0.29397774,0.00965353,2.19566015
-5.00350175,3.41875484,0.96506684,1.27890983,0.00047165,0.12190459,0.35128700,0.29346651,0.00957198,2.21985434
-4.99749875,3.45719030,0.96467199,1.31499425,0.00048251,0.11979319,0.34755391,0.29255223,0.00952822,2.24212179
-4.99149575,3.49110268,0.96386057,1.34839421,0.00049101,0.11739451,0.34373991,0.29119883,0.00952248,2.26183940
-4.98549275,3.51955687,0.96235856,1.37867281,0.00049691,0.11472474,0.33976921,0.28936837,0.00955337,2.27835057
-4.97948974,3.54160338,0.95987320,1.40540457,0.00050002,0.11180087,0.33555898,0.28702272,0.00961794,2.29098472
-4.97348674,3.55630616,0.95610427,1.42818376,0.00050022,0.10864093,0.33102371,0.28412530,0.00971177,2.29907780
-4.96748374,3.56277089,0.95075564,1.44663255,0.00049743,0.10526408,0.32607946,0.28064290,0.00982911,2.30199311
-4.96148074,3.56017283,0.94354672,1.46040895,0.00049165,0.10169092,0.32064808,0.27654739,0.00996314,2.29914173
-4.95547774,3.54778320,0.93422341,1.46921428,0.00048295,0.09794355,0.31466110,0.27181737,0.01010616,2.29000170
-4.94947474,3.52499340,0.92256795,1.47280013,0.00047145,0.09404580,0.30806307,0.26643955,0.01024990,2.27413547
-4.94347174,3.49133625,0.90840751,1.47097464,0.00045734,0.09002324,0.30081441,0.26041000,0.01038583,2.25120499
-4.93746873,3.44650369,0.89162111,1.46360793,0.00044085,0.08590326,0.29289352,0.25373504,0.01050543,2.22098394
-4.93146573,3.39036043,0.87214472,1.45063659,0.00042226,0.08171506,0.28429824,0.24643180,0.01060053,2.18336690
-4.92546273,3.32295331,0.84997436,1.43206719,0.00040189,0.07748955,0.27504652,0.23852857,0.01066355,2.13837522
-4.91945973,3.24451615,0.82516726,1.40797852,0.00038008,0.07325931,0.26517649,0.23006469,0.01068784,2.08615934
-4.91345673,3.15546995,0.79784106,1.37852263,0.00035720,0.06905839,0.25474579,0.22109022,0.01066784,2.02699779
-4.90745373,3.05641857,0.76817113,1.34392451,0.00033360,0.06492221,0.24383049,0.21166527,0.01059927,1.96129285
-4.90145073,2.94814010,0.73638627,1.30448025,0.00030966,0.06088737,0.23252335,0.20185913,0.01047931,1.88956315
-4.89544772,2.83157404,0.70276292,1.26055374,0.00028571,0.05699148,0.22093187,0.19174910,0.01030664,1.81243337
-4.88944472,2.70780478,0.66761834,1.21257191,0.00026210,0.05327298,0.20917599,0.18141914,0.01008144,1.73062154
-4.88344172,2.57804188,0.63130268,1.16101835,0.00023913,0.04977098,0.19738554,0.17095850,0.00980541,1.64492434
-4.87743872,2.44359752,0.59419073,1.10642569,0.00021709,0.04652507,0.18569773,0.16046009,0.00948164,1.55620074
-4.87143572,2.30586197,0.55667318,1.04936660,0.00019621,0.04357517,0.17425447,0.15001892,0.00911450,1.46535469
-4.86543272,2.16627753,0.51914806,0.99044383,0.00017673,0.04096127,0.16319981,0.13973052,0.00870944,1.37331711
-4.85942971,2.02631188,0.48201240,0.93027939,0.00015883,0.03872324,0.15267738,0.12968940,0.00827279,1.28102805
-4.85342671,1.88743133,0.44565440,0.86950327,0.00014267,0.03690054,0.14282800,0.11998755,0.00781154,1.18941920
-4.84742371,1.75107486,0.41044642,0.80874200,0.00012841,0.03553188,0.13378740,0.11071315,0.00733308,1.09939737
-4.84142071,1.61862953,0.37673874,0.74860737,0.00011616,0.03465483,0.12568401,0.10194933,0.00684498,1.01182942
-4.83541771,1.49140786,0.34485440,0.68968566,0.00010602,0.03430531,0.11863699,0.09377317,0.00635472,0.92752888
-4.82941471,1.37062771,0.31508497,0.63252781,0.00009809,0.03451707,0.11275437,0.08625479,0.00586950,0.84724447
-4.82341171,1.25739499,0.28768747,0.57764060,0.00009246,0.03532102,0.10813124,0.07945674,0.00539606,0.77165089
-4.81740870,1.15268946,0.26288215,0.52547930,0.00008922,0.03674454,0.10484826,0.07343340,0.00494048,0.70134169
-4.81140570,1.05735382,0.24085123,0.47644178,0.00008845,0.03881072,0.10297011,0.06823075,0.00450805,0.63682438
-4.80540270,0.97208591,0.22173836,0.43086425,0.00009023,0.04153759,0.10254429,0.06388608,0.00410322,0.57851749
-4.79939970,0.89743406,0.20564878,0.38901867,0.00009466,0.04493739,0.10359998,0.06042803,0.00372950,0.52674948
-4.79339670,0.83379521,0.19264988,0.35111164,0.00010181,0.04901586,0.10614719,0.05787656,0.00338947,0.48175915
-4.78739370,0.78141561,0.18277210,0.31728487,0.00011177,0.05377170,0.11017618,0.05624321,0.00308478,0.44369727
-4.78139070,0.74039368,0.17601005,0.28761680,0.00012461,0.05919612,0.11565717,0.05553121,0.00281618,0.41262905
-4.77538769,0.71068472,0.17232366,0.26212541,0.00014040,0.06527273,0.12254051,0.05573589,0.00258363,0.38853732
-4.76938469,0.69210714,0.17163939,0.24077185,0.00015917,0.07197759,0.13075728,0.05684488,0.00238632,0.37132585
-4.76338169,0.68434989,0.17385137,0.22346466,0.00018094,0.07927962,0.14022036,0.05883858,0.00222286,0.36082288
-4.75737869,0.68698094,0.17882244,0.21006453,0.00020569,0.08714142,0.15082622,0.06169049,0.00209133,0.35678465
-4.75137569,0.69945660,0.18638538,0.20038925,0.00023335,0.09552032,0.16245714,0.06536767,0.00198943,0.35889873
-4.74537269,0.72113169,0.19634397,0.19421873,0.00026381,0.10436996,0.17498425,0.06983122,0.00191462,0.36678747
-4.73936968,0.75127043,0.20847447,0.19130013,0.00029690,0.11364200,0.18827099,0.07503676,0.00186420,0.38001148
-4.73336668,0.78905834,0.22252728,0.19135286,0.00033240,0.12328830,0.20217731,0.08093501,0.00183549,0.39807338
-4.72736368,0.83361486,0.23822905,0.19407357,0.00037000,0.13326318,0.21656418,0.08747247,0.00182586,0.42042212
