energy_ev,total_up,Al_p_up,Al_d_up,Hg_p_up,Hg_d_up,Se_s_up,Se_p_up
3.20260130,1.67624694,0.78771977,0.00000000,1.42696299,0.00919095,0.05310530,0.36782439
3.20860430,1.65262683,0.77285625,0.00000000,1.39400269,0.00905382,0.05176539,0.36282900
3.21460730,1.63244093,0.75945604,0.00000000,1.36338866,0.00894290,0.05055817,0.35892966
3.22061031,1.61604258,0.74788091,0.00000000,1.33566285,0.00885940,0.04949999,0.35602917
3.22661331,1.60362335,0.73840946,0.00000000,1.31122987,0.00880352,0.04860179,0.35400943
3.23261631,1.59520228,0.73122620,0.00000000,1.29034317,0.00877441,0.04786873,0.35273359
3.23861931,1.59062250,0.72641483,0.00000000,1.27309804,0.00877020,0.04729996,0.35204901
3.24462231,1.58955576,0.72395620,0.00000000,1.25943188,0.00878804,0.04688867,0.35179095
3.25062531,1.59151461,0.72373100,0.00000000,1.24913157,0.00882420,0.04662241,0.35178700
3.25662831,1.59587186,0.72552709,0.00000000,1.24184760,0.00887420,0.04648359,0.35186197
3.26263132,1.60188653,0.72905116,0.00000000,1.23711432,0.00893297,0.04645025,0.35184333
3.26863432,1.60873511,0.73394416,0.00000000,1.23437525,0.00899503,0.04649696,0.35156677
3.27463732,1.61554694,0.73979981,0.00000000,1.23301240,0.00905472,0.04659595,0.35088188
3.28064032,1.62144201,0.74618521,0.00000000,1.23237811,0.00910638,0.04671824,0.34965759
3.28664332,1.62556966,0.75266268,0.00000000,1.23182805,0.00914458,0.04683489,0.34778736
3.29264632,1.62714640,0.75881170,0.00000000,1.23075389,0.00916434,0.04691829,0.34519366
3.29864932,1.62549124,0.76424980,0.00000000,1.22861401,0.00916127,0.04694331,0.34183185
3.30465233,1.62005689,0.76865157,0.00000000,1.22496111,0.00913182,0.04688844,0.33769306
3.31065533,1.61045563,0.77176462,0.00000000,1.21946525,0.00907334,0.04673677,0.33280612
3.31665833,1.59647838,0.77342182,0.00000000,1.21193133,0.00898423,0.04647677,0.32723827
3.32266133,1.57810649,0.77354912,0.00000000,1.20231035,0.00886396,0.04610290,0.32109480
3.32866433,1.55551536,0.77216863,0.00000000,1.19070366,0.00871315,0.04561593,0.31451731
3.33466733,1.52907000,0.76939668,0.00000000,1.17736032,0.00853348,0.04502309,0.30768087
3.34067034,1.49931243,0.76543698,0.00000000,1.16266728,0.00832770,0.04433785,0.30078992
3.34667334,1.46694167,0.76056925,0.00000000,1.14713317,0.00809946,0.04357956,0.29407304
3.35267634,1.43278698,0.75513379,0.00000000,1.13136609,0.00785322,0.04277278,0.28777680
3.35867934,1.39777568,0.74951279,0.00000000,1.11604659,0.00759406,0.04194637,0.28215863
3.36468234,1.36289670,0.74410944,0.00000000,1.10189693,0.00732753,0.04113252,0.27747907
3.37068534,1.32916167,0.73932568,0.00000000,1.08964800,0.00705941,0.04036547,0.27399356
3.37668834,1.29756503,0.73553995,0.00000000,1.08000555,0.00679553,0.03968027,0.27194388
3.38269135,1.26904499,0.73308603,0.00000000,1.07361709,0.00654156,0.03911145,0.27154973
3.38869435,1.24444702,0.73223406,0.00000000,1.07104119,0.00630282,0.03869162,0.27300050
3.39469735,1.22449138,0.73317478,0.00000000,1.07272057,0.00608410,0.03845030,0.27644767
3.40070035,1.20974623,0.73600798,0.00000000,1.07896040,0.00588953,0.03841271,0.28199803
3.40670335,1.20060737,0.74073556,0.00000000,1.08991293,0.00572245,0.03859879,0.28970810
3.41270635,1.19728561,0.74725998,0.00000000,1.10556927,0.00558533,0.03902246,0.29957989
3.41870935,1.19980234,0.75538792,0.00000000,1.12575905,0.00547973,0.03969107,0.31155839
3.42471236,1.20799348,0.76483935,0.00000000,1.15015812,0.00540629,0.04060517,0.32553083
3.43071536,1.22152181,0.77526137,0.00000000,1.17830422,0.00536478,0.04175852,0.34132794
