energy_ev,total_up,C_s_up,C_p_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-3.03451726,2.72292236,0.00110808,0.08304971,0.27729893,1.56118406,0.01206899,0.41747165,0.60219958,0.65876316
-3.02851426,2.65187618,0.00109877,0.07926801,0.27010996,1.51899418,0.01170236,0.40430405,0.58627378,0.64538523
-3.02251126,2.58051318,0.00109010,0.07542292,0.26274530,1.47830085,0.01130665,0.39072288,0.57011676,0.63094197
-3.01650825,2.50993156,0.00108260,0.07156433,0.25535265,1.43960520,0.01088894,0.37689768,0.55411353,0.61574169
-3.01050525,2.44110246,0.00107671,0.06773845,0.24807105,1.40329891,0.01045644,0.36297889,0.53862671,0.60008823
-3.00450225,2.37485023,0.00107274,0.06398720,0.24102773,1.36965624,0.01001624,0.34909557,0.52398770,0.58427498
-2.99849925,2.31184088,0.00107087,0.06034770,0.23433594,1.33883138,0.00957514,0.33535445,0.51049016,0.56858039
-2.99249625,2.25257889,0.00107114,0.05685202,0.22809355,1.31086100,0.00913949,0.32184015,0.49838600,0.55326489
-2.98649325,2.19741203,0.00107345,0.05352719,0.22238248,1.28567177,0.00871503,0.30861659,0.48788382,0.53856933
-2.98049025,2.14654349,0.00107756,0.05039532,0.21726898,1.26309245,0.00830679,0.29572915,0.47914969,0.52471483
-2.97448724,2.10005020,0.00108311,0.04747392,0.21280454,1.24286972,0.00791900,0.28320765,0.47231015,0.51190379
-2.96848424,2.05790611,0.00108965,0.04477634,0.20902726,1.22468707,0.00755509,0.27106961,0.46745686,0.50032188
-2.96248124,2.02000872,0.00109663,0.04231225,0.20596372,1.20818561,0.00721759,0.25932379,0.46465276,0.49014067
-2.95647824,1.98620726,0.00110346,0.04008817,0.20363089,1.19298596,0.00690827,0.24797349,0.46393896,0.48152049
-2.95047524,1.95633069,0.00110955,0.03810804,0.20203818,1.17870986,0.00662809,0.23701975,0.46534203,0.47461341
-2.94447224,1.93021402,0.00111429,0.03637372,0.20118926,1.16500073,0.00637732,0.22646386,0.46888107,0.46956561
-2.93846923,1.90772117,0.00111714,0.03488542,0.20108363,1.15154201,0.00615563,0.21630944,0.47457406,0.46651921
-2.93246623,1.88876326,0.00111760,0.03364207,0.20171784,1.13807250,0.00596215,0.20656375,0.48244302,0.46561310
