energy_ev,total_up,As_p_up,As_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-2.38619310,2.97299865,0.73319260,0.00000000,0.15799251,0.96498879,1.48106203,0.01041349
-2.38019010,2.85994754,0.71179826,0.00000000,0.14390093,0.92274518,1.43592364,0.00999929
-2.37418709,2.73815512,0.68822530,0.00000000,0.13042785,0.87796051,1.38379880,0.00955169
-2.36818409,2.60977965,0.66306611,0.00000000,0.11765916,0.83125278,1.32570470,0.00907885
-2.36218109,2.47709271,0.63695283,0.00000000,0.10566544,0.78327311,1.26275467,0.00858930
-2.35617809,2.34242137,0.61054134,0.00000000,0.09450126,0.73468858,1.19612581,0.00809167
-2.35017509,2.20809122,0.58449495,0.00000000,0.08420518,0.68616528,1.12702608,0.00759453
-2.34417209,2.07637152,0.55946824,0.00000000,0.07480021,0.63835222,1.05666193,0.00710612
-2.33816908,1.94942408,0.53609119,0.00000000,0.06629478,0.59186652,0.98620767,0.00663420
-2.33216608,1.82925658,0.51495422,0.00000000,0.05868396,0.54728021,0.91677732,0.00618588
-2.32616308,1.71768159,0.49659399,0.00000000,0.05195099,0.50510908,0.84939989,0.00576751
-2.32016008,1.61628157,0.48148063,0.00000000,0.04606890,0.46580360,0.78499847,0.00538451
-2.31415708,1.52638047,0.47000622,0.00000000,0.04100214,0.42974227,0.72437373,0.00504134
-2.30815408,1.44902207,0.46247506,0.00000000,0.03670827,0.39722719,0.66819173,0.00474144
-2.30215108,1.38495525,0.45909568,0.00000000,0.03313937,0.36848199,0.61697631,0.00448719
-2.29614807,1.33462604,0.45997491,0.00000000,0.03024347,0.34365189,0.57110572,0.00427992
-2.29014507,1.29817636,0.46511411,0.00000000,0.02796570,0.32280571,0.53081330,0.00411991
-2.28414207,1.27544931,0.47440780,0.00000000,0.02624931,0.30593966,0.49619184,0.00400648
-2.27813907,1.26600070,0.48764477,0.00000000,0.02503647,0.29298261,0.46720113,0.00393802
-2.27213607,1.26911640,0.50451177,0.00000000,0.02426897,0.28380249,0.44367824,0.00391205
-2.26613307,1.28383536,0.52459993,0.00000000,0.02388877,0.27821373,0.42535017,0.00392537
-2.26013007,1.30897754,0.54741373,0.00000000,0.02383846,0.27598513,0.41184808,0.00397412
-2.25412706,1.34317645,0.57238259,0.00000000,0.02406163,0.27684824,0.40272305,0.00405391
-2.24812406,1.38491549,0.59887481,0.00000000,0.02450330,0.28050565,0.39746247,0.00415996
-2.24212106,1.43256724,0.62621357,0.00000000,0.02511027,0.28663918,0.39550704,0.00428719
-2.23611806,1.48443499,0.65369460,0.00000000,0.02583151,0.29491766,0.39626768,0.00443037
-2.23011506,1.53879525,0.68060504,0.00000000,0.02661860,0.30500407,0.39914215,0.00458427
-2.22411206,1.59394031,0.70624286,0.00000000,0.02742615,0.31656199,0.40353102,0.00474372
-2.21810905,1.64821944,0.72993624,0.00000000,0.02821234,0.32926110,0.40885253,0.00490378
-2.21210605,1.70007770,0.75106222,0.00000000,0.02893934,0.34278186,0.41455629,0.00505983
-2.20610305,1.74809118,0.76906392,0.00000000,0.02957382,0.35681908,0.42013520,0.00520765
-2.20010005,1.79099742,0.78346566,0.00000000,0.03008738,0.37108463,0.42513582,0.00534349
-2.19409705,1.82772031,0.79388549,0.00000000,0.03045690,0.38530918,0.42916650,0.00546418
-2.18809405,1.85738857,0.80004455,0.00000000,0.03066485,0.39924319,0.43190359,0.00556707
-2.18209105,1.87934758,0.80177296,0.00000000,0.03069946,0.41265716,0.43309532,0.00565017
-2.17608804,1.89316418,0.79901211,0.00000000,0.03055472,0.42534143,0.43256356,0.00571205
-2.17008504,1.89862469,0.79181328,0.00000000,0.03023032,0.43710567,0.43020339,0.00575190
-2.16408204,1.89572657,0.78033273,0.00000000,0.02973135,0.44777815,0.42598074,0.00576944
-2.15807904,1.88466446,0.76482358,0.00000000,0.02906794,0.45720519,0.41992811,0.00576492
-2.15207604,1.86581130,0.74562499,0.00000000,0.02825469,0.46525075,0.41213886,0.00573907
-2.14607304,1.83969596,0.72314908,0.00000000,0.02731004,0.47179642,0.40276017,0.00569299
-2.14007004,1.80697807,0.69786625,0.00000000,0.02625547,0.47674184,0.39198513,0.00562813
-2.13406703,1.76842171,0.67028967,0.00000000,0.02511477,0.48000562,0.38004413,0.00554620
-2.12806403,1.72486869,0.64095940,0.00000000,0.02391310,0.48152671,0.36719613,0.00544912
-2.12206103,1.67721263,0.61042692,0.00000000,0.02267619,0.48126622,0.35371991,0.00533896
-2.11605803,1.62637468,0.57924056,0.00000000,0.02142945,0.47920948,0.33990565,0.00521787
-2.11005503,1.57328145,0.54793225,0.00000000,0.02019730,0.47536818,0.32604706,0.00508801
-2.10405203,1.51884570,0.51700600,0.00000000,0.01900236,0.46978252,0.31243432,0.00495157
-2.09804902,1.46394994,0.48692830,0.00000000,0.01786494,0.46252299,0.29934784,0.00481067
-2.09204602,1.40943312,0.45812050,0.00000000,0.01680254,0.45369174,0.28705292,0.00466736
-2.08604302,1.35608014,0.43095338,0.00000000,0.01582950,0.44342318,0.27579549,0.00452360
-2.08004002,1.30461415,0.40574352,0.00000000,0.01495677,0.43188385,0.26579868,0.00438122
-2.07403702,1.25569117,0.38275162,0.00000000,0.01419182,0.41927130,0.25726039,0.00424190
-2.06803402,1.20989682,0.36218239,0.00000000,0.01353867,0.40581199,0.25035167,0.00410720
-2.06203102,1.16774473,0.34418589,0.00000000,0.01299803,0.39175817,0.24521584,0.00397850
-2.05602801,1.12967634,0.32885996,0.00000000,0.01256746,0.37738386,0.24196833,0.00385701
-2.05002501,1.09606182,0.31625369,0.00000000,0.01224177,0.36297992,0.24069710,0.00374378
-2.04402201,1.06720185,0.30637153,0.00000000,0.01201329,0.34884841,0.24146355,0.00363967
-2.03801901,1.04333009,0.29917803,0.00000000,0.01187234,0.33529637,0.24430392,0.00354534
-2.03201601,1.02461617,0.29460287,0.00000000,0.01180764,0.32262922,0.24923101,0.00346130
-2.02601301,1.01116912,0.29254617,0.00000000,0.01180677,0.31114395,0.25623617,0.00338785
-2.02001001,1.00304101,0.29288390,0.00000000,0.01185659,0.30112223,0.26529153,0.00332513
-2.01400700,1.00023089,0.29547318,0.00000000,0.01194371,0.29282372,0.27635233,0.00327310
-2.00800400,1.00268866,0.30015760,0.00000000,0.01205492,0.28647956,0.28935922,0.00323159
-2.00200100,1.01031889,0.30677213,0.00000000,0.01217750,0.28228640,0.30424052,0.00320025
-1.99599800,1.02298450,0.31514777,0.00000000,0.01229966,0.28040085,0.32091428,0.00317865
-1.98999500,1.04050993,0.32511570,0.00000000,0.01241077,0.28093467,0.33929005,0.00316622
