energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-1.28764382,5.29398801,0.11874616,1.15965993,1.06937215,0.00000000,2.91733578,0.00000000,1.96540211,0.01203896
-1.28164082,5.32870805,0.12278036,1.16239004,1.06199252,0.00000000,2.96666202,0.00000000,1.98290130,0.01203896
-1.27563782,5.36852064,0.12677925,1.16462600,1.05555514,0.00000000,3.02278073,0.00000000,2.00011255,0.01204866
-1.26963482,5.41132258,0.13067510,1.16603384,1.04973398,0.00000000,3.08401987,0.00000000,2.01633384,0.01206377
-1.26363182,5.45470729,0.13439381,1.16624504,1.04419126,0.00000000,3.14846903,0.00000000,2.03079972,0.01207932
-1.25762881,5.49605703,0.13785687,1.16487209,1.03859498,0.00000000,3.21404421,0.00000000,2.04270860,0.01208987
-1.25162581,5.53264320,0.14098367,1.16152503,1.03263534,0.00000000,3.27855917,0.00000000,2.05125224,0.01208973
-1.24562281,5.56173054,0.14369400,1.15582820,1.02603934,0.00000000,3.33980050,0.00000000,2.05564616,0.01207315
-1.23961981,5.58068105,0.14591065,1.14743646,1.01858293,0.00000000,3.39560358,0.00000000,2.05515981,0.01203460
-1.23361681,5.58705345,0.14756199,1.13605022,1.01010024,0.00000000,3.44392644,0.00000000,2.04914499,0.01196894
-1.22761381,5.57869417,0.14858455,1.12142868,1.00048970,0.00000000,3.48291865,0.00000000,2.03706155,0.01187163
-1.22161081,5.55381634,0.14892525,1.10340071,0.98971670,0.00000000,3.51098234,0.00000000,2.01849912,0.01173888
-1.21560780,5.51106378,0.14854343,1.08187301,0.97781287,0.00000000,3.52682310,0.00000000,1.99319407,0.01156785
-1.20960480,5.44955745,0.14741248,1.05683524,0.96487209,0.00000000,3.52948847,0.00000000,1.96104087,0.01135667
-1.20360180,5.36892295,0.14552096,1.02836205,0.95104346,0.00000000,3.51839272,0.00000000,1.92209762,0.01110456
-1.19759880,5.26929819,0.14287324,0.99661193,0.93652172,0.00000000,3.49332691,0.00000000,1.87658536,0.01081182
-1.19159580,5.15132132,0.13948959,0.96182306,0.92153550,0.00000000,3.45445409,0.00000000,1.82488139,0.01047986
-1.18559280,5.01610016,0.13540575,0.92430640,0.90633404,0.00000000,3.40229001,0.00000000,1.76750699,0.01011107
-1.17958979,4.86516467,0.13067187,0.88443648,0.89117314,0.00000000,3.33767077,0.00000000,1.70511008,0.00970880
-1.17358679,4.70040540,0.12535112,0.84264019,0.87630098,0.00000000,3.26170898,0.00000000,1.63844383,0.00927720
-1.16758379,4.52400092,0.11951772,0.79938430,0.86194446,0.00000000,3.17574102,0.00000000,1.56834217,0.00882108
-1.16158079,4.33833799,0.11325476,0.75516215,0.84829700,0.00000000,3.08126803,0.00000000,1.49569342,0.00834578
-1.15557779,4.14592850,0.10665172,0.71048020,0.83550815,0.00000000,2.97989385,0.00000000,1.42141326,0.00785694
-1.14957479,3.94932692,0.09980187,0.66584491,0.82367589,0.00000000,2.87326289,0.00000000,1.34641834,0.00736039
-1.14357179,3.75105228,0.09279965,0.62175062,0.81284181,0.00000000,2.76300107,0.00000000,1.27160159,0.00686193
-1.13756878,3.55351783,0.08573814,0.57866878,0.80298954,0.00000000,2.65066248,0.00000000,1.19781038,0.00636722
-1.13156578,3.35897137,0.07870674,0.53703892,0.79404669,0.00000000,2.53768425,0.00000000,1.12582822,0.00588158
-1.12556278,3.16944823,0.07178901,0.49726163,0.78588995,0.00000000,2.42535117,0.00000000,1.05636073,0.00540994
-1.11955978,2.98673807,0.06506098,0.45969362,0.77835338,0.00000000,2.31477130,0.00000000,0.99002615,0.00495669
-1.11355678,2.81236607,0.05858977,0.42464499,0.77123927,0.00000000,2.20686297,0.00000000,0.92735038,0.00452567
-1.10755378,2.64758778,0.05243254,0.39237838,0.76433104,0.00000000,2.10235277,0.00000000,0.86876649,0.00412004
-1.10155078,2.49339663,0.04663601,0.36310994,0.75740748,0.00000000,2.00178380,0.00000000,0.81461802,0.00374238
-1.09554777,2.35054186,0.04123620,0.33701174,0.75025744,0.00000000,1.90553245,0.00000000,0.76516559,0.00339460
-1.08954477,2.21955471,0.03625865,0.31421519,0.74269419,0.00000000,1.81383203,0.00000000,0.72059588,0.00307802
-1.08354177,2.10077990,0.03171889,0.29481512,0.73456856,0.00000000,1.72680097,0.00000000,0.68103214,0.00279341
-1.07753877,1.99440958,0.02762318,0.27887405,0.72578013,0.00000000,1.64447323,0.00000000,0.64654521,0.00254101
-1.07153577,1.90051702,0.02396947,0.26642621,0.71628567,0.00000000,1.56682886,0.00000000,0.61716420,0.00232066
-1.06553277,1.81908745,0.02074843,0.25748108,0.70610457,0.00000000,1.49382249,0.00000000,0.59288605,0.00213178
-1.05952976,1.75004398,0.01794465,0.25202598,0.69532060,0.00000000,1.42540810,0.00000000,0.57368336,0.00197350
-1.05352676,1.69326725,0.01553774,0.25002784,0.68408017,0.00000000,1.36155872,0.00000000,0.55950991,0.00184469
-1.04752376,1.64860771,0.01350346,0.25143372,0.67258710,0.00000000,1.30228031,0.00000000,0.55030386,0.00174402
-1.04152076,1.61589066,0.01181482,0.25617049,0.66109411,0.00000000,1.24761936,0.00000000,0.54598847,0.00166997
-1.03551776,1.59491425,0.01044295,0.26414352,0.64989171,0.00000000,1.19766441,0.00000000,0.54647067,0.00162094
-1.02951476,1.58544165,0.00935801,0.27523489,0.63929497,0.00000000,1.15254212,0.00000000,0.55163783,0.00159519
-1.02351176,1.58718903,0.00852981,0.28930133,0.62962910,0.00000000,1.11240869,0.00000000,0.56135344,0.00159089
-1.01750875,1.59981093,0.00792844,0.30617219,0.62121455,0.00000000,1.07743794,0.00000000,0.57545217,0.00160615
-1.01150575,1.62288543,0.00752470,0.32564810,0.61435247,0.00000000,1.04780730,0.00000000,0.59373527,0.00163902
-1.00550275,1.65590091,0.00729043,0.34750040,0.60931135,0.00000000,1.02368312,0.00000000,0.61596690,0.00168746
-0.99949975,1.69824640,0.00719880,0.37147192,0.60631551,0.00000000,1.00520652,0.00000000,0.64187209,0.00174938
-0.99349675,1.74920714,0.00722446,0.39727924,0.60553601,0.00000000,0.99248100,0.00000000,0.67113675,0.00182264
-0.98749375,1.80796645,0.00734369,0.42461668,0.60708423,0.00000000,0.98556266,0.00000000,0.70341032,0.00190507
-0.98149075,1.87361454,0.00753452,0.45316195,0.61100852,0.00000000,0.98445351,0.00000000,0.73831094,0.00199448
-0.97548774,1.94516435,0.00777676,0.48258354,0.61729371,0.00000000,0.98909843,0.00000000,0.77543326,0.00208866
-0.96948474,2.02157394,0.00805215,0.51254938,0.62586344,0.00000000,0.99938541,0.00000000,0.81435859,0.00218546
-0.96348174,2.10177431,0.00834438,0.54273672,0.63658491,0.00000000,1.01514910,0.00000000,0.85466686,0.00228279
-0.95747874,2.18470119,0.00863923,0.57284250,0.64927558,0.00000000,1.03617685,0.00000000,0.89594976,0.00237865
-0.95147574,2.26932899,0.00892460,0.60259383,0.66371129,0.00000000,1.06221679,0.00000000,0.93782443,0.00247122
-0.94547274,2.35470481,0.00919069,0.63175799,0.67963523,0.00000000,1.09298691,0.00000000,0.97994659,0.00255882
-0.93946973,2.43998039,0.00943004,0.66015126,0.69676712,0.00000000,1.12818442,0.00000000,1.02202260,0.00264005
-0.93346673,2.52443999,0.00963764,0.68764613,0.71481206,0.00000000,1.16749470,0.00000000,1.06381939,0.00271371
-0.92746373,2.60752240,0.00981100,0.71417637,0.73346875,0.00000000,1.21059888,0.00000000,1.10517173,0.00277891
-0.92146073,2.68883562,0.00995017,0.73973948,0.75243648,0.00000000,1.25717984,0.00000000,1.14598623,0.00283507
-0.91545773,2.76816323,0.01005777,0.76439635,0.77142093,0.00000000,1.30692603,0.00000000,1.18624174,0.00288188
-0.90945473,2.84546189,0.01013887,0.78826806,0.79013860,0.00000000,1.35953313,0.00000000,1.22598611,0.00291936
-0.90345173,2.92085009,0.01020096,0.81152963,0.80831984,0.00000000,1.41470350,0.00000000,1.26532924,0.00294779
-0.89744872,2.99458855,0.01025371,0.83440122,0.82571081,0.00000000,1.47214369,0.00000000,1.30443281,0.00296772
-0.89144572,3.06705341,0.01030875,0.85713689,0.84207449,0.00000000,1.53156031,0.00000000,1.34349718,0.00297993
-0.88544272,3.13870342,0.01037938,0.88001148,0.85719109,0.00000000,1.59265479,0.00000000,1.38274603,0.00298538
-0.87943972,3.21004287,0.01048014,0.90330610,0.87085812,0.00000000,1.65511742,0.00000000,1.42240953,0.00298514
-0.87343672,3.28158205,0.01062645,0.92729290,0.88289041,0.00000000,1.71862125,0.00000000,1.46270672,0.00298039
-0.86743372,3.35379706,0.01083407,0.95221978,0.89312036,0.00000000,1.78281632,0.00000000,1.50382808,0.00297231
-0.86143072,3.42709081,0.01111861,0.97829558,0.90139856,0.00000000,1.84732454,0.00000000,1.54591880,0.00296207
-0.85542771,3.50175694,0.01149498,1.00567647,0.90759480,0.00000000,1.91173564,0.00000000,1.58906369,0.00295076
-0.84942471,3.57794805,0.01197684,1.03445400,0.91159948,0.00000000,1.97560437,0.00000000,1.63327414,0.00293936
-0.84342171,3.65564954,0.01257606,1.06464539,0.91332539,0.00000000,2.03844907,0.00000000,1.67847770,0.00292867
-0.83741871,3.73466005,0.01330222,1.09618636,0.91270958,0.00000000,2.09975184,0.00000000,1.72451063,0.00291933
-0.83141571,3.81457910,0.01416216,1.12892679,0.90971512,0.00000000,2.15896011,0.00000000,1.77111362,0.00291176
-0.82541271,3.89480256,0.01515961,1.16262952,0.90433256,0.00000000,2.21548988,0.00000000,1.81793094,0.00290617
-0.81940970,3.97452598,0.01629493,1.19697226,0.89658087,0.00000000,2.26873042,0.00000000,1.86451296,0.00290255
-0.81340670,4.05275595,0.01756494,1.23155273,0.88650760,0.00000000,2.31805056,0.00000000,1.91032208,0.00290067
-0.80740370,4.12832922,0.01896298,1.26589691,0.87418815,0.00000000,2.36280658,0.00000000,1.95474202,0.00290011
-0.80140070,4.19993928,0.02047902,1.29947027,0.85972421,0.00000000,2.40235163,0.00000000,1.99709022,0.00290025
-0.79539770,4.26616990,0.02209998,1.33169173,0.84324123,0.00000000,2.43604683,0.00000000,2.03663325,0.00290033
-0.78939470,4.32553490,0.02381029,1.36195011,0.82488520,0.00000000,2.46327392,0.00000000,2.07260496,0.00289948
-0.78339170,4.37652328,0.02559250,1.38962255,0.80481881,0.00000000,2.48344940,0.00000000,2.10422692,0.00289673
-0.77738869,4.41764861,0.02742818,1.41409461,0.78321732,0.00000000,2.49604004,0.00000000,2.13073085,0.00289105
-0.77138569,4.44750149,0.02929884,1.43478130,0.76026433,0.00000000,2.50057941,0.00000000,2.15138248,0.00288145
-0.76538269,4.46480330,0.03118703,1.45114863,0.73614781,0.00000000,2.49668501,0.00000000,2.16550610,0.00286691
-0.75937969,4.46845987,0.03307750,1.46273478,0.71105663,0.00000000,2.48407548,0.00000000,2.17250923,0.00284655
-0.75337669,4.45761280,0.03495837,1.46917035,0.68517764,0.00000000,2.46258715,0.00000000,2.17190647,0.00281955
-0.74737369,4.43168670,0.03682229,1.47019674,0.65869371,0.00000000,2.43218926,0.00000000,2.16334171,0.00278525
-0.74137069,4.39043008,0.03866745,1.46568203,0.63178256,0.00000000,2.39299676,0.00000000,2.14660760,0.00274316
-0.73536768,4.33394804,0.04049853,1.45563357,0.60461645,0.00000000,2.34528011,0.00000000,2.12166162,0.00269301
-0.72936468,4.26272476,0.04232737,1.44020652,0.57736261,0.00000000,2.28947110,0.00000000,2.08863756,0.00263470
-0.72336168,4.17763435,0.04417337,1.41970799,0.55018425,0.00000000,2.22616395,0.00000000,2.04785195,0.00256840
-0.71735868,4.07993877,0.04606362,1.39459610,0.52324194,0.00000000,2.15611136,0.00000000,1.99980456,0.00249447
-0.71135568,3.97127210,0.04803265,1.36547387,0.49669505,0.00000000,2.08021496,0.00000000,1.94517286,0.00241351
-0.70535268,3.85361110,0.05012175,1.33307783,0.47070308,0.00000000,1.99951032,0.00000000,1.88480011,0.00232631
-0.69934967,3.72923237,0.05237798,1.29826154,0.44542667,0.00000000,1.91514667,0.00000000,1.81967734,0.00223387
-0.69334667,3.60065726,0.05485277,1.26197435,0.42102794,0.00000000,1.82836191,0.00000000,1.75091971,0.00213733
-0.68734367,3.47058615,0.05760013,1.22523601,0.39767027,0.00000000,1.74045369,0.00000000,1.67973793,0.00203796
-0.68134067,3.34182428,0.06067458,1.18910793,0.37551724,0.00000000,1.65274766,0.00000000,1.60740571,0.00193710
-0.67533767,3.21720175,0.06412890,1.15466210,0.35473092,0.00000000,1.56656405,0.00000000,1.53522461,0.00183615
-0.66933467,3.09949075,0.06801161,1.12294859,0.33546943,0.00000000,1.48318410,0.00000000,1.46448748,0.00173652
-0.66333167,2.99132306,0.07236453,1.09496304,0.31788411,0.00000000,1.40381749,0.00000000,1.39644212,0.00163956
-0.65732866,2.89511117,0.07722026,1.07161518,0.30211632,0.00000000,1.32957240,0.00000000,1.33225648,0.00154653
-0.65132566,2.81297598,0.08259995,1.05369961,0.28829423,0.00000000,1.26142927,0.00000000,1.27298701,0.00145859
-0.64532266,2.74668425,0.08851122,1.04187015,0.27652975,0.00000000,1.20021948,0.00000000,1.21955131,0.00137674
-0.63931966,2.69759795,0.09494662,1.03661847,0.26691601,0.00000000,1.14660974,0.00000000,1.17270622,0.00130179
-0.63331666,2.66663792,0.10188241,1.03825822,0.25952535,0.00000000,1.10109285,0.00000000,1.13303230,0.00123436
-0.62731366,2.65426302,0.10927802,1.04691510,0.25440829,0.00000000,1.06398500,0.00000000,1.10092509,0.00117486
-0.62131066,2.66046576,0.11707606,1.06252343,0.25159331,0.00000000,1.03542980,0.00000000,1.07659361,0.00112347
-0.61530765,2.68478456,0.12520304,1.08482944,0.25108780,0.00000000,1.01540849,0.00000000,1.06006589,0.00108017
-0.60930465,2.72633209,0.13357062,1.11340115,0.25287986,0.00000000,1.00375592,0.00000000,1.05120119,0.00104473
-0.60330165,2.78383853,0.14207763,1.14764466,0.25694114,0.00000000,1.00018132,0.00000000,1.04970832,0.00101674
-0.59729865,2.85570803,0.15061254,1.18682619,0.26323030,0.00000000,1.00429289,0.00000000,1.05516895,0.00099563
-0.59129565,2.94008607,0.15905640,1.23009911,0.27169718,0.00000000,1.01562492,0.00000000,1.06706494,0.00098068
-0.58529265,3.03493489,0.16728618,1.27653502,0.28228713,0.00000000,1.03366623,0.00000000,1.08480832,0.00097107
-0.57928964,3.13811408,0.17517832,1.32515762,0.29494548,0.00000000,1.05788858,0.00000000,1.10777248,0.00096593
-0.57328664,3.24746306,0.18261229,1.37497811,0.30962164,0.00000000,1.08777365,0.00000000,1.13532313,0.00096432
-0.56728364,3.36088197,0.18947419,1.42503086,0.32627271,0.00000000,1.12283760,0.00000000,1.16684777,0.00096530
-0.56128064,3.47640812,0.19565998,1.47440782,0.34486630,0.00000000,1.16265192,0.00000000,1.20178217,0.00096796
-0.55527764,3.59228469,0.20107846,1.52229041,0.36538224,0.00000000,1.20685998,0.00000000,1.23963292,0.00097145
-0.54927464,3.70701924,0.20565370,1.56797774,0.38781325,0.00000000,1.25518839,0.00000000,1.27999495,0.00097497
-0.54327164,3.81942993,0.20932692,1.61090996,0.41216425,0.00000000,1.30745305,0.00000000,1.32256355,0.00097782
-0.53726863,3.92867771,0.21205773,1.65068593,0.43845045,0.00000000,1.36355966,0.00000000,1.36714034,0.00097941
-0.53126563,4.03428373,0.21382467,1.68707464,0.46669430,0.00000000,1.42349892,0.00000000,1.41363330,0.00097928
-0.52526263,4.13613150,0.21462513,1.72001991,0.49692125,0.00000000,1.48733684,0.00000000,1.46205085,0.00097706
-0.51925963,4.23445422,0.21447459,1.74963840,0.52915488,0.00000000,1.55520078,0.00000000,1.51249069,0.00097251
-0.51325663,4.32980821,0.21340531,1.77621101,0.56341125,0.00000000,1.62726209,0.00000000,1.56512401,0.00096551
