energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
5.68784392,0.81467006,0.00247328,0.11448545,1.05157671,0.00000000,0.02009543,0.04498489,0.35708767,0.30430873
5.69384692,0.78818035,0.00212956,0.11360966,1.06482200,0.00000000,0.01881119,0.04198103,0.35242706,0.28019104
5.69984992,0.76242597,0.00183644,0.11245174,1.07236269,0.00000000,0.01759015,0.03926163,0.34721272,0.25839989
5.70585293,0.73736319,0.00159229,0.11096892,1.07393744,0.00000000,0.01646113,0.03681765,0.34140184,0.23899985
5.71185593,0.71298569,0.00139525,0.10912858,1.06941498,0.00000000,0.01545253,0.03463902,0.33498212,0.22204581
5.71785893,0.68933518,0.00124341,0.10690992,1.05880201,0.00000000,0.01459209,0.03271583,0.32797556,0.20758831
5.72386193,0.66650881,0.00113493,0.10430501,1.04224617,0.00000000,0.01390659,0.03103944,0.32044059,0.19567806
5.72986493,0.64466308,0.00106810,0.10131936,1.02003384,0.00000000,0.01342163,0.02960323,0.31247249,0.18636921
5.73586793,0.62401385,0.00104142,0.09797171,0.99258278,0.00000000,0.01316137,0.02840312,0.30420201,0.17972126
5.74187094,0.60483249,0.00105364,0.09429335,0.96042998,0.00000000,0.01314829,0.02743789,0.29579223,0.17579949
5.74787394,0.58743834,0.00110374,0.09032685,0.92421509,0.00000000,0.01340296,0.02670910,0.28743375,0.17467365
5.75387694,0.57218769,0.00119090,0.08612434,0.88466036,0.00000000,0.01394365,0.02622080,0.27933841,0.17641522
5.75987994,0.55945976,0.00131447,0.08174547,0.84254782,0.00000000,0.01478604,0.02597904,0.27173192,0.18109305
5.76588294,0.54964047,0.00147389,0.07725506,0.79869481,0.00000000,0.01594280,0.02599110,0.26484546,0.18876765
5.77188594,0.54310452,0.00166859,0.07272069,0.75392897,0.00000000,0.01742310,0.02626465,0.25890694,0.19948444
5.77788894,0.54019677,0.00189788,0.06821029,0.70906371,0.00000000,0.01923213,0.02680674,0.25413201,0.21326616
5.78389195,0.54121376,0.00216086,0.06378975,0.66487517,0.00000000,0.02137062,0.02762279,0.25071543,0.23010498
5.78989495,0.54638621,0.00245626,0.05952086,0.62208171,0.00000000,0.02383430,0.02871561,0.24882312,0.24995450
5.79589795,0.55586356,0.00278240,0.05545948,0.58132656,0.00000000,0.02661350,0.03008448,0.24858522,0.27272249
5.80190095,0.56970117,0.00313703,0.05165405,0.54316440,0.00000000,0.02969277,0.03172436,0.25009064,0.29826450
5.80790395,0.58785110,0.00351729,0.04814457,0.50805206,0.00000000,0.03305070,0.03362532,0.25338322,0.32637905
5.81390695,0.61015697,0.00391962,0.04496198,0.47634380,0.00000000,0.03665985,0.03577220,0.25845980,0.35680484
5.81990995,0.63635345,0.00433977,0.04212792,0.44829085,0.00000000,0.04048697,0.03814452,0.26527042,0.38922030
5.82591296,0.66607060,0.00477277,0.03965504,0.42404534,0.00000000,0.04449337,0.04071673,0.27372053,0.42324582
