energy_ev,total_up,In_p_up,In_d_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up
0.74137069,1.82573302,0.62913493,0.00054730,0.93440915,0.67684215,0.12227966,0.49415701
0.74737369,1.82470409,0.62963322,0.00053782,0.94552922,0.68186093,0.12581364,0.48926497
0.75337669,1.83531337,0.63344056,0.00053192,0.96150217,0.69143992,0.12992082,0.48788793
0.75937969,1.85685243,0.64039864,0.00052955,0.98199418,0.70529608,0.13453830,0.48968824
0.76538269,1.88833387,0.65024034,0.00053056,1.00651365,0.72305024,0.13958265,0.49426229
0.77138569,1.92852974,0.66260388,0.00053471,1.03443234,0.74424063,0.14495285,0.50115186
0.77738869,1.97601814,0.67704998,0.00054171,1.06501135,0.76833910,0.15053390,0.50985765
0.78339170,2.02923575,0.69308165,0.00055118,1.09743081,0.79476932,0.15620091,0.51985427
0.78939470,2.08653397,0.71016526,0.00056273,1.13082180,0.82292605,0.16182356,0.53060629
0.79539770,2.14623607,0.72775222,0.00057592,1.16429923,0.85219453,0.16727074,0.54158450
0.80140070,2.20669285,0.74530007,0.00059031,1.19699412,0.88196928,0.17241505,0.55228182
0.80740370,2.26633466,0.76229225,0.00060547,1.22808404,0.91167125,0.17713713,0.56222817
0.81340670,2.32371758,0.77825570,0.00062098,1.25682043,0.94076292,0.18132952,0.57100369
0.81940970,2.37756233,0.79277555,0.00063643,1.28255183,0.96876050,0.18489997,0.57824992
0.82541271,2.42678462,0.80550661,0.00065149,1.30474227,0.99524324,0.18777405,0.58367842
0.83141571,2.47051649,0.81618114,0.00066582,1.32298435,1.01985938,0.18989699,0.58707666
0.83741871,2.50811851,0.82461314,0.00067918,1.33700693,1.04232904,0.19123471,0.58831118
0.84342171,2.53918337,0.83069897,0.00069136,1.34667744,1.06244432,0.19177401,0.58732781
0.84942471,2.56353164,0.83441491,0.00070219,1.35199939,1.08006683,0.19152211,0.58414944
0.85542771,2.58120126,0.83581196,0.00071158,1.35310569,1.09512360,0.19050540,0.57887137
0.86143072,2.59243209,0.83500852,0.00071947,1.35024851,1.10760161,0.18876771,0.57165491
0.86743372,2.59764722,0.83218168,0.00072588,1.34378682,1.11754197,0.18636815,0.56271939
0.87343672,2.59743281,0.82755767,0.00073086,1.33417233,1.12503420,0.18337866,0.55233342
0.87943972,2.59251771,0.82140222,0.00073449,1.32193498,1.13021114,0.17988147,0.54080559
0.88544272,2.58375420,0.81401133,0.00073695,1.30766846,1.13324505,0.17596652,0.52847520
0.89144572,2.57210049,0.80570286,0.00073840,1.29201666,1.13434495,0.17172902,0.51570348
0.89744872,2.55860543,0.79680926,0.00073910,1.27566125,1.13375531,0.16726721,0.50286535
0.90345173,2.54439512,0.78767150,0.00073930,1.25931044,1.13175587,0.16268041,0.49034208
0.90945473,2.53066108,0.77863418,0.00073933,1.24368907,1.12866231,0.15806729,0.47851487
0.91545773,2.51864883,0.77004154,0.00073952,1.22952949,1.12482706,0.15352450,0.46775925
0.92146073,2.50964581,0.76223409,0.00074025,1.21756279,1.12063987,0.14914548,0.45844010
0.92746373,2.50496734,0.75554547,0.00074191,1.20850998,1.11652722,0.14501948,0.45090728
0.93346673,2.50593941,0.75029898,0.00074491,1.20307223,1.11295012,0.14123077,0.44549127
0.93946973,2.51387708,0.74680352,0.00074967,1.20191998,1.11039966,0.13785780,0.44249892
0.94547274,2.53005803,0.74534842,0.00075659,1.20568024,1.10938988,0.13497247,0.44220876
0.95147574,2.55569091,0.74619708,0.00076608,1.21492210,1.11044782,0.13263928,0.44486591
0.95747874,2.59187874,0.74957926,0.00077847,1.23014036,1.11410070,0.13091442,0.45067632
0.96348174,2.63957849,0.75568219,0.00079409,1.25173775,1.12086069,0.12984485,0.45980049
0.96948474,2.69955809,0.76464070,0.00081318,1.28000626,1.13120748,0.12946716,0.47234686
0.97548774,2.77235307,0.77652698,0.00083590,1.31510853,1.14556979,0.12980662,0.48836484
0.98149075,2.85822512,0.79134044,0.00086234,1.35706031,1.16430642,0.13087611,0.50783829
0.98749375,2.95712523,0.80899851,0.00089247,1.40571529,1.18768803,0.13267525,0.53067943
0.99349675,3.06866413,0.82932913,0.00092615,1.46075350,1.21588071,0.13518979,0.55672414
0.99949975,3.19209247,0.85206566,0.00096315,1.52167447,1.24893232,0.13839119,0.58572878
1.00550275,3.32629307,0.87684500,0.00100309,1.58779630,1.28676263,0.14223669,0.61736932
1.01150575,3.46978677,0.90320951,0.00104553,1.65826135,1.32915789,0.14666973,0.65124307
1.01750875,3.62075295,0.93061304,0.00108989,1.73204905,1.37577038,0.15162093,0.68687333
1.02351176,3.77706476,0.95843139,0.00113552,1.80799606,1.42612326,0.15700944,0.72371726
1.02951476,3.93633866,0.98597703,0.00118172,1.88482328,1.47962049,0.16274479,0.76117684
1.03551776,4.09599646,1.01251780,0.00122772,1.96116912,1.53556169,0.16872921,0.79861288
1.04152076,4.25333798,1.03729898,0.00127273,2.03562791,1.59316111,0.17486011,0.83536166
1.04752376,4.40562117,1.05956795,0.00131599,2.10679195,1.65157012,0.18103292,0.87075376
1.05352676,4.55014649,1.07860042,0.00135672,2.17329559,1.70990202,0.18714398,0.90413436
1.05952976,4.68434201,1.09372711,0.00139424,2.23385943,1.76725822,0.19309339,0.93488430
1.06553277,4.80584553,1.10435958,0.00142789,2.28733282,1.82275473,0.19878776,0.96244100
1.07153577,4.91258022,1.11001422,0.00145714,2.33273277,1.87554779,0.20414269,0.98631843
1.07753877,5.00282091,1.11033303,0.00148155,2.36927776,1.92485777,0.20908497,1.00612530
1.08354177,5.07524825,1.10510038,0.00150078,2.39641498,1.96999062,0.21355434,1.02158055
1.08954477,5.12898911,1.09425486,0.00151464,2.41383992,2.01035616,0.21750483,1.03252575
1.09554777,5.16364189,1.07789565,0.00152304,2.42150783,2.04548293,0.22090567,1.03893355
1.10155078,5.17928653,1.05628313,0.00152603,2.41963659,2.07502928,0.22374170,1.04091209
1.10755378,5.17647938,1.02983368,0.00152376,2.40870119,2.09879079,0.22601342,1.03870502
1.11355678,5.15623387,0.99910892,0.00151650,2.38942022,2.11670401,0.22773664,1.03268714
1.11955978,5.11998836,0.96479977,0.00150460,2.36273522,2.12884680,0.22894181,1.02335581
1.12556278,5.06956289,0.92770611,0.00148851,2.32978358,2.13543533,0.22967299,1.01131841
1.13156578,5.00710667,0.88871281,0.00146873,2.29186634,2.13681820,0.22998670,0.99727621
1.13756878,4.93503820,0.84876306,0.00144584,2.25041181,2.13346766,0.22995040,0.98200514
1.14357179,4.85597990,0.80883003,0.00142043,2.20693627,2.12596813,0.22964091,0.96633411
