energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-5.36968484,2.15308453,0.00067846,0.26141868,0.86121967,0.34318373,0.38025827,0.73219756,0.00873179,0.91225321
-5.36368184,2.16260742,0.00068579,0.27616381,0.83508585,0.33895044,0.39054246,0.74593583,0.00866698,0.89598583
-5.35767884,2.17775017,0.00069675,0.29353792,0.81074054,0.33476355,0.40338847,0.76219610,0.00854551,0.87991244
-5.35167584,2.19836518,0.00071042,0.31364604,0.78822657,0.33055187,0.41891556,0.78085580,0.00836991,0.86392437
-5.34567284,2.22418447,0.00072590,0.33653967,0.76753635,0.32624168,0.43719260,0.80173895,0.00814381,0.84790686
-5.33966983,2.25482302,0.00074231,0.36221017,0.74861647,0.32176036,0.45823053,0.82461835,0.00787182,0.83174569
-5.33366683,2.28978404,0.00075883,0.39058334,0.73137351,0.31703991,0.48197585,0.84921864,0.00755939,0.81533340
-5.32766383,2.32846568,0.00077470,0.42151538,0.71568067,0.31202003,0.50830567,0.87522025,0.00721258,0.79857482
-5.32166083,2.37016917,0.00078921,0.45479054,0.70138480,0.30665063,0.53702443,0.90226413,0.00683790,0.78139160
-5.31565783,2.41410835,0.00080172,0.49012077,0.68831338,0.30089370,0.56786272,0.92995727,0.00644209,0.76372538
-5.30965483,2.45942055,0.00081169,0.52714745,0.67628112,0.29472450,0.60047833,0.95787891,0.00603194,0.74553961
-5.30365183,2.50517906,0.00081869,0.56544558,0.66509600,0.28813194,0.63445977,0.98558760,0.00561407,0.72681993
-5.29764882,2.55040736,0.00082236,0.60453017,0.65456460,0.28111835,0.66933233,1.01262891,0.00519478,0.70757330
-5.29164582,2.59409517,0.00082248,0.64386512,0.64449661,0.27369862,0.70456658,1.03854391,0.00477990,0.68782601
-5.28564282,2.63521652,0.00081893,0.68287428,0.63470865,0.26589884,0.73958939,1.06287831,0.00437470,0.66762082
-5.27963982,2.67274990,0.00081171,0.72095447,0.62502735,0.25775463,0.77379701,1.08519215,0.00398374,0.64701361
-5.27363682,2.70570010,0.00080093,0.75749025,0.61529185,0.24930915,0.80657007,1.10506993,0.00361087,0.62606972
