energy_ev,total_up,Au_p_up,Au_d_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up
-4.84742371,3.89595809,1.21112311,2.29659335,0.29005595,0.00000000,0.86197425,0.00000000
-4.84142071,3.91737966,1.25627141,2.29741882,0.29326989,0.00000000,0.87654388,0.00000000
-4.83541771,3.96095716,1.30614129,2.31117413,0.29720139,0.00000000,0.89691927,0.00000000
-4.82941471,4.02809605,1.36040682,2.33843502,0.30183827,0.00000000,0.92367313,0.00000000
-4.82341171,4.11972902,1.41862048,2.37949338,0.30714145,0.00000000,0.95728303,0.00000000
-4.81740870,4.23629152,1.48022539,2.43434920,0.31304721,0.00000000,0.99811912,0.00000000
-4.81140570,4.37770917,1.54457126,2.50270978,0.31947022,0.00000000,1.04643387,0.00000000
-4.80540270,4.54339678,1.61093319,2.58399567,0.32630732,0.00000000,1.10235376,0.00000000
-4.79939970,4.73226810,1.67853249,2.67735296,0.33344175,0.00000000,1.16587307,0.00000000
-4.79339670,4.94275561,1.74655856,2.78167120,0.34074766,0.00000000,1.23684979,0.00000000
-4.78739370,5.17283931,1.81419079,2.89560639,0.34809452,0.00000000,1.31500359,0.00000000
-4.78139070,5.42008348,1.88061945,3.01760825,0.35535147,0.00000000,1.39991598,0.00000000
-4.77538769,5.68168043,1.94506485,3.14595110,0.36239112,0.00000000,1.49103253,0.00000000
-4.76938469,5.95450021,2.00679376,3.27876770,0.36909293,0.00000000,1.58766724,0.00000000
-4.76338169,6.23514517,2.06513273,3.41408521,0.37534579,0.00000000,1.68900909,0.00000000
-4.75737869,6.52000852,2.11947774,3.54986275,0.38104993,0.00000000,1.79413063,0.00000000
-4.75137569,6.80533576,2.16930015,3.68402962,0.38611801,0.00000000,1.90199875,0.00000000
-4.74537269,7.08728800,2.21414895,3.81452364,0.39047549,0.00000000,2.01148741,0.00000000
-4.73936968,7.36200617,2.25364969,3.93932870,0.39406038,0.00000000,2.12139247,0.00000000
-4.73336668,7.62567500,2.28750051,4.05651092,0.39682237,0.00000000,2.23044827,0.00000000
-4.72736368,7.87458588,2.31546601,4.16425250,0.39872161,0.00000000,2.33734595,0.00000000
-4.72136068,8.10519743,2.33736978,4.26088272,0.39972722,0.00000000,2.44075338,0.00000000
-4.71535768,8.31419281,2.35308631,4.34490545,0.39981574,0.00000000,2.53933630,0.00000000
-4.70935468,8.49853298,2.36253331,4.41502237,0.39896969,0.00000000,2.63178055,0.00000000
-4.70335168,8.65550501,2.36566509,4.47015191,0.39717631,0.00000000,2.71681500,0.00000000
-4.69734867,8.78276467,2.36246774,4.50944319,0.39442671,0.00000000,2.79323492,0.00000000
-4.69134567,8.87837292,2.35295655,4.53228515,0.39071536,0.00000000,2.85992518,0.00000000
-4.68534267,8.94082574,2.33717603,4.53831077,0.38604014,0.00000000,2.91588318,0.00000000
-4.67933967,8.96907706,2.31520249,4.52739660,0.38040275,0.00000000,2.96024063,0.00000000
-4.67333667,8.96255463,2.28714912,4.49965804,0.37380960,0.00000000,2.99228406,0.00000000
-4.66733367,8.92116874,2.25317298,4.45544063,0.36627300,0.00000000,3.01147309,0.00000000
-4.66133067,8.84531379,2.21348348,4.39530808,0.35781253,0.00000000,3.01745630,0.00000000
-4.65532766,8.73586270,2.16835142,4.32002750,0.34845654,0.00000000,3.01008376,0.00000000
-4.64932466,8.59415419,2.11811774,4.23055229,0.33824353,0.00000000,2.98941590,0.00000000
