energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-5.57978989,0.64466306,0.09145710,0.31762301,0.00003472,0.03344265,0.12979450,0.11065838,0.00033030,0.21903909
-5.57378689,0.64070321,0.08841642,0.32496263,0.00002883,0.03439965,0.13393575,0.09704508,0.00027111,0.22378619
-5.56778389,0.64252011,0.08585617,0.33494543,0.00002377,0.03536587,0.13835904,0.08567654,0.00022096,0.22952132
-5.56178089,0.64967981,0.08370226,0.34743618,0.00001946,0.03633902,0.14303662,0.07634387,0.00017884,0.23617235
-5.55577789,0.66171542,0.08188780,0.36226840,0.00001582,0.03731761,0.14793976,0.06883571,0.00014375,0.24366041
-5.54977489,0.67813187,0.08035407,0.37924420,0.00001277,0.03830069,0.15303791,0.06294332,0.00011478,0.25189932
-5.54377189,0.69840985,0.07905083,0.39813448,0.00001024,0.03928742,0.15829785,0.05846476,0.00009107,0.26079496
-5.53776888,0.72200925,0.07793630,0.41867979,0.00000817,0.04027670,0.16368288,0.05520820,0.00007185,0.27024479
-5.53176588,0.74837278,0.07697674,0.44059201,0.00000648,0.04126681,0.16915213,0.05299446,0.00005641,0.28013776
-5.52576288,0.77693018,0.07614589,0.46355716,0.00000511,0.04225508,0.17466015,0.05165888,0.00004417,0.29035456
-5.51975988,0.80710362,0.07542418,0.48723953,0.00000403,0.04323759,0.18015690,0.05105269,0.00003460,0.30076863
-5.51375688,0.83831437,0.07479800,0.51128701,0.00000319,0.04420907,0.18558805,0.05104403,0.00002726,0.31124760
-5.50775388,0.86999119,0.07425898,0.53533794,0.00000255,0.04516285,0.19089583,0.05151854,0.00002180,0.32165554
-5.50175088,0.90158012,0.07380332,0.55902899,0.00000209,0.04609093,0.19602022,0.05237996,0.00001792,0.33185579
-5.49574787,0.93255575,0.07343135,0.58200413,0.00000178,0.04698418,0.20090054,0.05355046,0.00001542,0.34171419
-5.48974487,0.96243344,0.07314715,0.60392424,0.00000160,0.04783270,0.20547739,0.05497097,0.00001413,0.35110284
-5.48374187,0.99078203,0.07295845,0.62447697,0.00000155,0.04862616,0.20969469,0.05660156,0.00001398,0.35990386
-5.47773887,1.01723649,0.07287653,0.64338645,0.00000163,0.04935434,0.21350185,0.05842165,0.00001491,0.36801322
-5.47173587,1.04150982,0.07291637,0.66042242,0.00000184,0.05000755,0.21685582,0.06043034,0.00001695,0.37534423
-5.46573287,1.06340355,0.07309679,0.67540820,0.00000219,0.05057719,0.21972295,0.06264663,0.00002018,0.38183056
-5.45972986,1.08281618,0.07344066,0.68822723,0.00000270,0.05105617,0.22208053,0.06510947,0.00002470,0.38742864
-5.45372686,1.09974912,0.07397510,0.69882776,0.00000340,0.05143932,0.22391790,0.06787779,0.00003070,0.39211912
-5.44772386,1.11430963,0.07473166,0.70722548,0.00000430,0.05172365,0.22523698,0.07103020,0.00003841,0.39590760
-5.44172086,1.12671058,0.07574637,0.71350397,0.00000546,0.05190864,0.22605242,0.07466445,0.00004809,0.39882422
-5.43571786,1.13726687,0.07705973,0.71781280,0.00000692,0.05199620,0.22639103,0.07889651,0.00006007,0.40092250
-5.42971486,1.14638859,0.07871656,0.72036365,0.00000874,0.05199073,0.22629085,0.08385920,0.00007475,0.40227722
-5.42371186,1.15457119,0.08076571,0.72142434,0.00001096,0.05189892,0.22579968,0.08970036,0.00009256,0.40298166
-5.41770885,1.16238295,0.08325970,0.72131127,0.00001367,0.05172951,0.22497329,0.09658040,0.00011398,0.40314423
-5.41170585,1.17045016,0.08625415,0.72038054,0.00001694,0.05149296,0.22387339,0.10466928,0.00013958,0.40288477
-5.40570285,1.17944060,0.08980721,0.71901815,0.00002084,0.05120111,0.22256544,0.11414281,0.00016996,0.40233062
-5.39969985,1.19004587,0.09397888,0.71762966,0.00002547,0.05086668,0.22111641,0.12517831,0.00020578,0.40161273
-5.39369685,1.20296299,0.09883034,0.71662986,0.00003092,0.05050297,0.21959265,0.13794965,0.00024776,0.40086187
-5.38769385,1.21887601,0.10442323,0.71643256,0.00003727,0.05012337,0.21805787,0.15262168,0.00029669,0.40020510
-5.38169085,1.23843800,0.11081901,0.71744116,0.00004462,0.04974102,0.21657140,0.16934419,0.00035342,0.39976265
-5.37568784,1.26225391,0.11807850,0.72004004,0.00005305,0.04936853,0.21518664,0.18824556,0.00041884,0.39964505
-5.36968484,1.29086486,0.12626142,0.72458709,0.00006265,0.04901770,0.21394986,0.20942620,0.00049395,0.39995084
-5.36368184,1.32473400,0.13542622,0.73140750,0.00007348,0.04869934,0.21289930,0.23295207,0.00057979,0.40076446
