energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-5.68784392,1.89792122,0.00301777,0.16274340,0.46594677,0.29273812,0.38624826,0.88869928,0.55293295,0.00000000
-5.68184092,1.87468284,0.00304538,0.15879079,0.46420961,0.28431901,0.37785458,0.88739543,0.54324103,0.00000000
-5.67583792,1.85865988,0.00309004,0.15553325,0.46417188,0.27699459,0.37134729,0.88929738,0.53576227,0.00000000
-5.66983492,1.84912508,0.00314799,0.15296398,0.46564585,0.27066241,0.36654646,0.89397765,0.53026838,0.00000000
-5.66383192,1.84515128,0.00321544,0.15106010,0.46839378,0.26519301,0.36324687,0.90090616,0.52647990,0.00000000
-5.65782891,1.84564685,0.00328857,0.14978436,0.47213405,0.26043579,0.36122421,0.90947006,0.52407537,0.00000000
-5.65182591,1.84939827,0.00336369,0.14908752,0.47654945,0.25622550,0.36024224,0.91899706,0.52270247,0.00000000
-5.64582291,1.85511801,0.00343736,0.14891122,0.48129765,0.25238930,0.36006074,0.92878132,0.52199072,0.00000000
-5.63981991,1.86149541,0.00350640,0.14919105,0.48602303,0.24875393,0.36044375,0.93811073,0.52156513,0.00000000
-5.63381691,1.86724825,0.00356807,0.14985978,0.49036957,0.24515278,0.36116772,0.94629432,0.52106016,0.00000000
-5.62781391,1.87117252,0.00362006,0.15085042,0.49399392,0.24143251,0.36202913,0.95268867,0.52013337,0.00000000
-5.62181091,1.87218820,0.00366056,0.15209908,0.49657824,0.23745896,0.36285113,0.95672196,0.51847802,0.00000000
-5.61580790,1.86937877,0.00368830,0.15354729,0.49784201,0.23312215,0.36348896,0.95791484,0.51583420,0.00000000
-5.60980490,1.86202297,0.00370257,0.15514378,0.49755228,0.22834005,0.36383379,0.95589700,0.51199791,0.00000000
-5.60380190,1.84961715,0.00370318,0.15684561,0.49553197,0.22306121,0.36381472,0.95041891,0.50682758,0.00000000
-5.59779890,1.83188766,0.00369045,0.15861853,0.49166561,0.21726596,0.36339903,0.94135823,0.50024802,0.00000000
-5.59179590,1.80879283,0.00366518,0.16043660,0.48590257,0.21096625,0.36259042,0.92872084,0.49225142,0.00000000
-5.58579290,1.78051479,0.00362858,0.16228124,0.47825745,0.20420431,0.36142562,0.91263644,0.48289559,0.00000000
-5.57978989,1.74744189,0.00358218,0.16413955,0.46880771,0.19704996,0.35996939,0.89334930,0.47229947,0.00000000
-5.57378689,1.71014294,0.00352779,0.16600232,0.45768886,0.18959706,0.35830821,0.87120464,0.46063635,0.00000000
-5.56778389,1.66933481,0.00346739,0.16786169,0.44508734,0.18195901,0.35654320,0.84663150,0.44812502,0.00000000
-5.56178089,1.62584529,0.00340310,0.16970873,0.43123165,0.17426372,0.35478234,0.82012308,0.43501941,0.00000000
-5.55577789,1.58057324,0.00333703,0.17153116,0.41638208,0.16664819,0.35313283,0.79221553,0.42159732,0.00000000
-5.54977489,1.53444804,0.00327130,0.17331123,0.40081973,0.15925295,0.35169357,0.76346634,0.40814861,0.00000000
-5.54377189,1.48839043,0.00320791,0.17502422,0.38483525,0.15221666,0.35054851,0.73443335,0.39496354,0.00000000
-5.53776888,1.44327645,0.00314877,0.17663737,0.36871785,0.14567096,0.34976096,0.70565523,0.38232178,0.00000000
-5.53176588,1.39990614,0.00309563,0.17810955,0.35274511,0.13973591,0.34936932,0.67763437,0.37048235,0.00000000
-5.52576288,1.35897814,0.00305008,0.17939163,0.33717399,0.13451602,0.34938421,0.65082286,0.35967516,0.00000000
-5.51975988,1.32107098,0.00301356,0.18042755,0.32223326,0.13009710,0.34978730,0.62561174,0.35009409,0.00000000
-5.51375688,1.28663162,0.00298734,0.18115609,0.30811779,0.12654394,0.35053175,0.60232420,0.34189213,0.00000000
-5.50775388,1.25597107,0.00297258,0.18151312,0.29498456,0.12389888,0.35154415,0.58121233,0.33517835,0.00000000
-5.50175088,1.22926694,0.00297032,0.18143438,0.28295058,0.12218132,0.35272787,0.56245759,0.33001695,0.00000000
-5.49574787,1.20657210,0.00298153,0.18085840,0.27209267,0.12138801,0.35396766,0.54617460,0.32642801,0.00000000
-5.48974487,1.18782863,0.00300709,0.17972959,0.26244869,0.12149424,0.35513502,0.53241769,0.32439011,0.00000000
-5.48374187,1.17288599,0.00304784,0.17800118,0.25402038,0.12245570,0.35609429,0.52118987,0.32384421,0.00000000
-5.47773887,1.16152206,0.00310453,0.17563787,0.24677717,0.12421095,0.35670903,0.51245349,0.32469884,0.00000000
-5.47173587,1.15346600,0.00317785,0.17261804,0.24066095,0.12668445,0.35684835,0.50614193,0.32683607,0.00000000
-5.46573287,1.14842165,0.00326841,0.16893545,0.23559132,0.12978994,0.35639302,0.50217177,0.33011818,0.00000000
-5.45972986,1.14609034,0.00337664,0.16460023,0.23147116,0.13343404,0.35524101,0.50045486,0.33439450,0.00000000
-5.45372686,1.14619223,0.00350282,0.15963919,0.22819216,0.13752004,0.35331233,0.50090966,0.33950837,0.00000000
-5.44772386,1.14848533,0.00364694,0.15409550,0.22564019,0.14195158,0.35055292,0.50347146,0.34530378,0.00000000
-5.44172086,1.15278152,0.00380870,0.14802762,0.22370021,0.14663632,0.34693762,0.50810106,0.35163173,0.00000000
-5.43571786,1.15895934,0.00398744,0.14150784,0.22226070,0.15148921,0.34247198,0.51479163,0.35835584,0.00000000
-5.42971486,1.16697304,0.00418203,0.13462016,0.22121745,0.15643555,0.33719312,0.52357350,0.36535736,0.00000000
-5.42371186,1.17685793,0.00439089,0.12745807,0.22047668,0.16141346,0.33116942,0.53451679,0.37253927,0.00000000
-5.41770885,1.18873210,0.00461193,0.12012203,0.21995748,0.16637592,0.32449940,0.54773175,0.37982960,0.00000000
-5.41170585,1.20279448,0.00484252,0.11271697,0.21959363,0.17129220,0.31730956,0.56336682,0.38718379,0.00000000
-5.40570285,1.21931965,0.00507956,0.10534998,0.21933479,0.17614864,0.30975163,0.58160450,0.39458608,0.00000000
-5.39969985,1.23864951,0.00531946,0.09812815,0.21914710,0.18094875,0.30199904,0.60265510,0.40205011,0.00000000
-5.39369685,1.26118227,0.00555827,0.09115685,0.21901335,0.18571276,0.29424300,0.62674857,0.40961847,0.00000000
-5.38769385,1.28735901,0.00579170,0.08453836,0.21893266,0.19047636,0.28668817,0.65412455,0.41736150,0.00000000
-5.38169085,1.31764820,0.00601531,0.07837100,0.21891981,0.19528901,0.27954808,0.68502099,0.42537515,0.00000000
-5.37568784,1.35252861,0.00622460,0.07274867,0.21900425,0.20021155,0.27304044,0.71966156,0.43377807,0.00000000
-5.36968484,1.39247098,0.00641516,0.06776084,0.21922872,0.20531340,0.26738246,0.75824235,0.44270790,0.00000000
-5.36368184,1.43791885,0.00658283,0.06349289,0.21964774,0.21066938,0.26278619,0.80091813,0.45231683,0.00000000
-5.35767884,1.48926907,0.00672386,0.06002672,0.22032565,0.21635614,0.25945407,0.84778878,0.46276650,0.00000000
-5.35167584,1.54685253,0.00683502,0.05744144,0.22133455,0.22244854,0.25757471,0.89888629,0.47422228,0.00000000
-5.34567284,1.61091545,0.00691376,0.05581425,0.22275189,0.22901588,0.25731890,0.95416294,0.48684709,0.00000000
-5.33966983,1.68160204,0.00695825,0.05522103,0.22465788,0.23611820,0.25883600,1.01348123,0.50079481,0.00000000
-5.33366683,1.75893895,0.00696750,0.05573687,0.22713263,0.24380286,0.26225069,1.07660601,0.51620354,0.00000000
-5.32766383,1.84282211,0.00694137,0.05743615,0.23025317,0.25210138,0.26766013,1.14319943,0.53318872,0.00000000
-5.32166083,1.93300662,0.00688057,0.06039225,0.23409029,0.26102676,0.27513145,1.21281902,0.55183659,0.00000000
-5.31565783,2.02910001,0.00678662,0.06467665,0.23870533,0.27057135,0.28469985,1.28491933,0.57219789,0.00000000
-5.30965483,2.13055955,0.00666177,0.07035756,0.24414707,0.28070541,0.29636695,1.35885729,0.59428239,0.00000000
-5.30365183,2.23669372,0.00650893,0.07749790,0.25044863,0.29137636,0.31009978,1.43390134,0.61805423,0.00000000
-5.29764882,2.34666814,0.00633151,0.08615274,0.25762473,0.30250882,0.32583017,1.50924427,0.64342851,0.00000000
-5.29164582,2.45951597,0.00613329,0.09636625,0.26566928,0.31400550,0.34345463,1.58401937,0.67026920,0.00000000
-5.28564282,2.57415259,0.00591828,0.10816821,0.27455346,0.32574876,0.36283482,1.65731949,0.69838872,0.00000000
-5.27963982,2.68939428,0.00569057,0.12157032,0.28422447,0.33760305,0.38379843,1.72821843,0.72754915,0.00000000
-5.27363682,2.80398038,0.00545415,0.13656235,0.29460491,0.34941793,0.40614079,1.79579374,0.75746530,0.00000000
-5.26763382,2.91659825,0.00521282,0.15310844,0.30559305,0.36103163,0.42962682,1.85915016,0.78780951,0.00000000
-5.26163082,3.02591026,0.00497004,0.17114371,0.31706391,0.37227518,0.45399379,1.91744280,0.81821815,0.00000000
-5.25562781,3.13058190,0.00472887,0.19057139,0.32887114,0.38297666,0.47895445,1.96989897,0.84829966,0.00000000
-5.24962481,3.22931009,0.00449186,0.21126071,0.34084988,0.39296574,0.50420091,2.01583789,0.87764387,0.00000000
-5.24362181,3.32085076,0.00426107,0.23304576,0.35282021,0.40207810,0.52940896,2.05468747,0.90583221,0.00000000
-5.23761881,3.40404474,0.00403801,0.25572546,0.36459146,0.41015965,0.55424296,2.08599735,0.93244862,0.00000000
-5.23161581,3.47784124,0.00382370,0.27906483,0.37596688,0.41707054,0.57836121,2.10944793,0.95709052,0.00000000
-5.22561281,3.54131816,0.00361867,0.30279755,0.38674880,0.42268851,0.60142173,2.12485486,0.97937963,0.00000000
-5.21960980,3.59369869,0.00342302,0.32662994,0.39674395,0.42691189,0.62308825,2.13216918,0.99897204,0.00000000
-5.21360680,3.63436394,0.00323652,0.35024621,0.40576868,0.42966172,0.64303657,2.13147305,1.01556729,0.00000000
-5.20760380,3.66286130,0.00305867,0.37331501,0.41365410,0.43088340,0.66096077,2.12297150,1.02891595,0.00000000
-5.20160080,3.67890862,0.00288876,0.39549688,0.42025066,0.43054744,0.67657949,2.10698081,1.03882567,0.00000000
-5.19559780,3.68239444,0.00272600,0.41645267,0.42543230,0.42864963,0.68964190,2.08391413,1.04516520,0.00000000
-5.18959480,3.67337440,0.00256954,0.43585234,0.42909971,0.42521053,0.69993320,2.05426507,1.04786662,0.00000000
-5.18359180,3.65206454,0.00241858,0.45338409,0.43118293,0.42027439,0.70727963,2.01859024,1.04692544,0.00000000
-5.17758879,3.61883185,0.00227240,0.46876325,0.43164284,0.41390754,0.71155270,1.97749142,1.04239905,0.00000000
-5.17158579,3.57418274,0.00213040,0.48174078,0.43047193,0.40619644,0.71267260,1.93159832,1.03440331,0.00000000
-5.16558279,3.51875005,0.00199213,0.49211095,0.42769398,0.39724542,0.71061059,1.88155243,1.02310784,0.00000000
-5.15957979,3.45327921,0.00185732,0.49971789,0.42336299,0.38717431,0.70539042,1.82799280,1.00873023,0.00000000
