energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Te_p_up,Te_d_up
-5.00350175,7.76555509,1.38672489,5.93306800,0.07822176,0.12129453,0.63630164,0.00000000,1.17734497,0.00000000
-4.99749875,7.79010224,1.41738397,5.92893077,0.07993288,0.12310946,0.65216356,0.00000000,1.19657756,0.00000000
-4.99149575,7.80195739,1.44512618,5.91686540,0.08159542,0.12465484,0.66655885,0.00000000,1.21275650,0.00000000
-4.98549275,7.79889630,1.46931454,5.89504479,0.08313810,0.12588442,0.67927981,0.00000000,1.22566372,0.00000000
-4.97948974,7.77914577,1.48940866,5.86198086,0.08449541,0.12675860,0.69016249,0.00000000,1.23515268,0.00000000
-4.97348674,7.74143816,1.50498018,5.81656991,0.08560935,0.12724618,0.69909177,0.00000000,1.24115237,0.00000000
-4.96748374,7.68505124,1.51572535,5.75812596,0.08643106,0.12732595,0.70600536,0.00000000,1.24366962,0.00000000
-4.96148074,7.60983249,1.52147429,5.68640138,0.08692196,0.12698797,0.71089654,0.00000000,1.24279005,0.00000000
-4.95547774,7.51620776,1.52219669,5.60159464,0.08705473,0.12623446,0.71381540,0.00000000,1.23867746,0.00000000
-4.94947474,7.40517398,1.51800352,5.50434520,0.08681379,0.12508028,0.71486866,0.00000000,1.23157178,0.00000000
-4.94347174,7.27827644,1.50914479,5.39571595,0.08619544,0.12355293,0.71421783,0.00000000,1.22178561,0.00000000
-4.93746873,7.13757101,1.49600306,5.27716362,0.08520760,0.12169205,0.71207579,0.00000000,1.20969923,0.00000000
-4.93146573,6.98557241,1.47908294,5.15049820,0.08386918,0.11954844,0.70870165,0.00000000,1.19575430,0.00000000
-4.92546273,6.82518952,1.45899676,5.01783236,0.08220907,0.11718252,0.70439411,0.00000000,1.18044606,0.00000000
-4.91945973,6.65964940,1.43644663,4.88152211,0.08026487,0.11466242,0.69948326,0.00000000,1.16431417,0.00000000
-4.91345673,6.49241172,1.41220348,4.74410049,0.07808135,0.11206174,0.69432107,0.00000000,1.14793223,0.00000000
