energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-4.10905453,0.68895973,0.00064232,0.10366447,0.06593023,0.10560789,0.22218426,0.39908279,0.00109120,0.08790291
-4.10305153,0.72645879,0.00070502,0.10250956,0.06944245,0.11183655,0.21716250,0.42820085,0.00117722,0.09107054
-4.09704852,0.76641414,0.00076863,0.10242903,0.07318374,0.11811938,0.21457280,0.45838411,0.00126545,0.09442294
-4.09104552,0.80774870,0.00083230,0.10322779,0.07704254,0.12429691,0.21399504,0.48904636,0.00135440,0.09780424
-4.08504252,0.84936556,0.00089510,0.10471009,0.08090852,0.13021334,0.21500857,0.51957523,0.00144251,0.10106785
-4.07903952,0.89016934,0.00095606,0.10668281,0.08467443,0.13571977,0.21719975,0.54934457,0.00152815,0.10407889
-4.07303652,0.92908889,0.00101417,0.10895871,0.08823783,0.14067739,0.22016923,0.57772842,0.00160965,0.10671642
-4.06703352,0.96510062,0.00106843,0.11135955,0.09150300,0.14496066,0.22353873,0.60411582,0.00168537,0.10887545
-4.06103052,0.99725178,0.00111786,0.11371897,0.09438268,0.14846012,0.22695718,0.62792630,0.00175375,0.11046857
-4.05502751,1.02468273,0.00116153,0.11588524,0.09679979,0.15108499,0.23010625,0.64862509,0.00181331,0.11142722
-4.04902451,1.04664743,0.00119859,0.11772355,0.09868898,0.15276519,0.23270496,0.66573770,0.00186277,0.11170249
-4.04302151,1.06253125,0.00122833,0.11911800,0.09999790,0.15345288,0.23451344,0.67886314,0.00190099,0.11126545
-4.03701851,1.07186534,0.00125012,0.11997316,0.10068819,0.15312335,0.23533564,0.68768518,0.00192711,0.11010694
-4.03101551,1.07433684,0.00126353,0.12021507,0.10073614,0.15177517,0.23502093,0.69198113,0.00194049,0.10823683
-4.02501251,1.06979456,0.00126828,0.11979182,0.10013293,0.14942970,0.23346464,0.69162779,0.00194079,0.10568277
-4.01900950,1.05824972,0.00126427,0.11867346,0.09888447,0.14612989,0.23060733,0.68660420,0.00192792,0.10248852
-4.01300650,1.03987177,0.00125157,0.11685141,0.09701085,0.14193842,0.22643313,0.67699104,0.00190211,0.09871177
-4.00700350,1.01497934,0.00123046,0.11433738,0.09454537,0.13693531,0.22096682,0.66296683,0.00186384,0.09442173
-4.00100050,0.98402679,0.00120134,0.11116168,0.09153317,0.13121507,0.21427013,0.64480091,0.00181384,0.08969648
-3.99499750,0.94758691,0.00116482,0.10737123,0.08802968,0.12488345,0.20643710,0.62284360,0.00175309,0.08462017
-3.98899450,0.90633051,0.00112160,0.10302703,0.08409866,0.11805410,0.19758893,0.59751408,0.00168275,0.07928020
-3.98299150,0.86100373,0.00107252,0.09820158,0.07981021,0.11084507,0.18786826,0.56928633,0.00160414,0.07376455
-3.97698849,0.81240412,0.00101850,0.09297589,0.07523865,0.10337546,0.17743330,0.53867398,0.00151870,0.06815924
-3.97098549,0.76135639,0.00096051,0.08743664,0.07046039,0.09576220,0.16645185,0.50621450,0.00142793,0.06254610
-3.96498249,0.70868886,0.00089955,0.08167325,0.06555188,0.08811726,0.15509560,0.47245356,0.00133336,0.05700085
-3.95897949,0.65521141,0.00083664,0.07577518,0.06058779,0.08054514,0.14353470,0.43793011,0.00123650,0.05159157
-3.95297649,0.60169573,0.00077273,0.06982937,0.05563934,0.07314098,0.13193291,0.40316270,0.00113881,0.04637764
-3.94697349,0.54885855,0.00070876,0.06391809,0.05077294,0.06598904,0.12044339,0.36863758,0.00104166,0.04140897
-3.94097049,0.49734818,0.00064558,0.05811714,0.04604916,0.05916182,0.10920530,0.33479884,0.00094629,0.03672576
-3.93496748,0.44773471,0.00058395,0.05249439,0.04152201,0.05271969,0.09834115,0.30204094,0.00085381,0.03235856
-3.92896448,0.40050388,0.00052454,0.04710884,0.03723855,0.04671099,0.08795504,0.27070357,0.00076518,0.02832869
-3.92296148,0.35605463,0.00046791,0.04201004,0.03323887,0.04117253,0.07813166,0.24106902,0.00068118,0.02464889
-3.91695848,0.31469990,0.00041449,0.03723794,0.02955638,0.03613058,0.06893616,0.21336177,0.00060243,0.02132426
-3.91095548,0.27667053,0.00036463,0.03282309,0.02621828,0.03160206,0.06041458,0.18775018,0.00052940,0.01835328
-3.90495248,0.24212151,0.00031853,0.02878719,0.02324634,0.02759595,0.05259499,0.16434992,0.00046238,0.01572895
-3.89894947,0.21114036,0.00027633,0.02514387,0.02065781,0.02411492,0.04548900,0.14322894,0.00040156,0.01344000
