energy_ev,total_up,B_p_up,B_d_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-4.73336668,5.06283700,0.42098814,0.00000000,2.64839468,4.19474066,0.46912776,0.00000000
-4.72736368,5.04741019,0.41290927,0.00000000,2.59969086,4.19756657,0.45904378,0.00000000
-4.72136068,5.02931691,0.40388668,0.00000000,2.54728662,4.19912553,0.44832790,0.00000000
-4.71535768,5.00880046,0.39402027,0.00000000,2.49170808,4.19945289,0.43707895,0.00000000
-4.70935468,4.98616712,0.38343064,0.00000000,2.43358348,4.19861069,0.42541376,0.00000000
-4.70335168,4.96177381,0.37225471,0.00000000,2.37362167,4.19668289,0.41346433,0.00000000
-4.69734867,4.93601556,0.36064114,0.00000000,2.31258791,4.19377105,0.40137466,0.00000000
-4.69134567,4.90931289,0.34874542,0.00000000,2.25127793,4.18999053,0.38929704,0.00000000
-4.68534267,4.88209981,0.33672510,0.00000000,2.19049116,4.18546741,0.37738833,0.00000000
-4.67933967,4.85481243,0.32473508,0.00000000,2.13100419,4.18033599,0.36580600,0.00000000
-4.67333667,4.82787865,0.31292318,0.00000000,2.07354546,4.17473691,0.35470435,0.00000000
-4.66733367,4.80170870,0.30142613,0.00000000,2.01877231,4.16881554,0.34423089,0.00000000
-4.66133067,4.77668667,0.29036607,0.00000000,1.96725099,4.16272032,0.33452286,0.00000000
-4.65532766,4.75316269,0.27984771,0.00000000,1.91944066,4.15660086,0.32570422,0.00000000
-4.64932466,4.73144570,0.26995611,0.00000000,1.87568169,4.15060521,0.31788283,0.00000000
-4.64332166,4.71179641,0.26075523,0.00000000,1.83618873,4.14487617,0.31114810,0.00000000
-4.63731866,4.69442038,0.25228721,0.00000000,1.80104847,4.13954633,0.30556901,0.00000000
-4.63131566,4.67946089,0.24457242,0.00000000,1.77022217,4.13473162,0.30119250,0.00000000
-4.62531266,4.66699175,0.23761010,0.00000000,1.74355237,4.13052348,0.29804228,0.00000000
-4.61930965,4.65700989,0.23137967,0.00000000,1.72077337,4.12697982,0.29611802,0.00000000
-4.61330665,4.64942810,0.22584262,0.00000000,1.70152479,4.12411498,0.29539501,0.00000000
