energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
1.16758379,3.91730528,0.02141325,0.10028441,0.00639210,0.00000000,1.98274599,2.75035331,1.16056191,0.00000000
1.17358679,3.87746144,0.02151081,0.09697760,0.00633086,0.00000000,1.97187486,2.75739419,1.12558283,0.00000000
1.17958979,3.84167733,0.02164112,0.09407598,0.00627473,0.00000000,1.96210433,2.76509717,1.09271267,0.00000000
1.18559280,3.81027771,0.02180165,0.09161807,0.00622428,0.00000000,1.95360125,2.77363816,1.06193297,0.00000000
1.19159580,3.78340641,0.02198824,0.08963013,0.00617986,0.00000000,1.94644682,2.78307925,1.03319710,0.00000000
1.19759880,3.76102362,0.02219525,0.08812600,0.00614154,0.00000000,1.94063262,2.79336061,1.00643497,0.00000000
1.20360180,3.74291186,0.02241564,0.08710728,0.00610918,0.00000000,1.93606176,2.80429941,0.98155819,0.00000000
1.20960480,3.72869039,0.02264125,0.08656404,0.00608236,0.00000000,1.93255473,2.81559564,0.95846542,0.00000000
1.21560780,3.71783746,0.02286309,0.08647578,0.00606049,0.00000000,1.92985990,2.82684481,0.93704808,0.00000000
1.22161081,3.70971929,0.02307168,0.08681272,0.00604276,0.00000000,1.92766793,2.83755672,0.91719600,0.00000000
1.22761381,3.70362439,0.02325740,0.08753733,0.00602825,0.00000000,1.92562928,2.84717939,0.89880311,0.00000000
1.23361681,3.69880136,0.02341090,0.08860605,0.00601593,0.00000000,1.92337376,2.85512679,0.88177274,0.00000000
1.23961981,3.69449828,0.02352346,0.08997106,0.00600477,0.00000000,1.92053120,2.86080885,0.86602246,0.00000000
1.24562281,3.69000166,0.02358737,0.09158205,0.00599373,0.00000000,1.91675197,2.86366228,0.85148808,0.00000000
1.25162581,3.68467284,0.02359624,0.09338799,0.00598186,0.00000000,1.91172636,2.86318033,0.83812664,0.00000000
1.25762881,3.67798022,0.02354525,0.09533870,0.00596833,0.00000000,1.90520173,2.85894013,0.82591812,0.00000000
1.26363182,3.66952550,0.02343137,0.09738625,0.00595248,0.00000000,1.89699683,2.85062614,0.81486578,0.00000000
1.26963482,3.65906292,0.02325350,0.09948619,0.00593383,0.00000000,1.88701244,2.83804859,0.80499496,0.00000000
1.27563782,3.64651051,0.02301250,0.10159841,0.00591213,0.00000000,1.87523800,2.82115598,0.79635035,0.00000000
1.28164082,3.63195299,0.02271119,0.10368782,0.00588736,0.00000000,1.86175404,2.80004132,0.78899177,0.00000000
1.28764382,3.61563641,0.02235425,0.10572466,0.00585975,0.00000000,1.84673048,2.77494159,0.78298867,0.00000000
1.29364682,3.59795480,0.02194806,0.10768462,0.00582973,0.00000000,1.83042092,2.74623089,0.77841345,0.00000000
1.29964982,3.57942986,0.02150049,0.10954864,0.00579796,0.00000000,1.81315332,2.71440757,0.77533418,0.00000000
1.30565283,3.56068460,0.02102064,0.11130252,0.00576526,0.00000000,1.79531772,2.68007597,0.77380673,0.00000000
1.31165583,3.54241238,0.02051851,0.11293635,0.00573260,0.00000000,1.77735139,2.64392394,0.77386705,0.00000000
1.31765883,3.52534283,0.02000472,0.11444382,0.00570106,0.00000000,1.75972227,2.60669696,0.77552389,0.00000000
1.32366183,3.51020623,0.01949010,0.11582141,0.00567174,0.00000000,1.74291127,2.56917017,0.77875232,0.00000000
1.32966483,3.49769793,0.01898542,0.11706759,0.00564579,0.00000000,1.72739414,2.53211956,0.78348863,0.00000000
1.33566783,3.48844438,0.01850098,0.11818200,0.00562428,0.00000000,1.71362359,2.49629341,0.78962674,0.00000000
1.34167084,3.48297210,0.01804636,0.11916468,0.00560820,0.00000000,1.70201216,2.46238519,0.79701658,0.00000000
1.34767384,3.48168090,0.01763009,0.12001543,0.00559838,0.00000000,1.69291648,2.43100899,0.80546445,0.00000000
1.35367684,3.48482233,0.01725938,0.12073326,0.00559548,0.00000000,1.68662343,2.40267831,0.81473554,0.00000000
1.35967984,3.49248421,0.01693993,0.12131600,0.00559994,0.00000000,1.68333840,2.37778903,0.82455859,0.00000000
1.36568284,3.50458183,0.01667576,0.12176008,0.00561193,0.00000000,1.68317637,2.35660712,0.83463238,0.00000000
1.37168584,3.52085609,0.01646907,0.12206042,0.00563136,0.00000000,1.68615569,2.33926153,0.84463409,0.00000000
1.37768884,3.54087865,0.01632018,0.12221058,0.00565785,0.00000000,1.69219511,2.32574238,0.85422889,0.00000000
1.38369185,3.56406395,0.01622752,0.12220299,0.00569076,0.00000000,1.70111409,2.31590455,0.86308064,0.00000000
1.38969485,3.58968763,0.01618769,0.12202933,0.00572914,0.00000000,1.71263635,2.30947638,0.87086301,0.00000000
1.39569785,3.61691071,0.01619555,0.12168106,0.00577181,0.00000000,1.72639684,2.30607325,0.87727067,0.00000000
1.40170085,3.64480864,0.01624436,0.12115000,0.00581737,0.00000000,1.74195184,2.30521536,0.88203008,0.00000000
1.40770385,3.67240413,0.01632603,0.12042901,0.00586426,0.00000000,1.75879204,2.30634896,0.88490929,0.00000000
1.41370685,3.69870260,0.01643137,0.11951264,0.00591078,0.00000000,1.77635815,2.30887032,0.88572638,0.00000000
1.41970985,3.72272874,0.01655036,0.11839779,0.00595517,0.00000000,1.79405868,2.31215125,0.88435628,0.00000000
1.42571286,3.74356292,0.01667250,0.11708437,0.00599569,0.00000000,1.81128920,2.31556528,0.88073548,0.00000000
1.43171586,3.76037580,0.01678716,0.11557580,0.00603065,0.00000000,1.82745245,2.31851327,0.87486460,0.00000000
1.43771886,3.77245984,0.01688391,0.11387942,0.00605850,0.00000000,1.84197848,2.32044743,0.86680868,0.00000000
1.44372186,3.77925632,0.01695292,0.11200680,0.00607791,0.00000000,1.85434414,2.32089268,0.85669514,0.00000000
1.44972486,3.78037664,0.01698526,0.10997384,0.00608779,0.00000000,1.86409099,2.31946447,0.84470963,0.00000000
1.45572786,3.77561711,0.01697322,0.10780073,0.00608735,0.00000000,1.87084094,2.31588224,0.83108988,0.00000000
1.46173087,3.76496642,0.01691055,0.10551169,0.00607616,0.00000000,1.87430897,2.30997809,0.81611781,0.00000000
1.46773387,3.74860553,0.01679269,0.10313461,0.00605414,0.00000000,1.87431228,2.30170025,0.80011036,0.00000000
